cbsa,d_native_birth_rate,d_fb_share,d_log_rent,d_log_income,d_ba,d_black,d_hisp,d_own,d_age,d_w2034,fb_share_2010,pop,name,native_women_15_50,bartik_raw,bartik,k,zori_growth
29420,23.952681939430036,-1.182845030294927,0.345988121469742,0.428423870644826,2.999513144905288,0.5933234557166622,2.76533886205754,4.292440157648414,6.0,-2.6490299408920706,6.888266119162158,223682.0,"Lake Havasu City-Kingman, AZ Metro Area",33731.0,0.0,0.0,"('lake havasu city', 'az')",0.6158012531553518
29460,-0.21919569735861444,1.6768589978409558,0.5273549257172014,0.4855264980468128,8.61027776455542,-1.2230710801052833,12.496646366843844,0.26318615885828933,-1.8000000000000043,-1.9556144477445656,10.708242367134051,818330.0,"Lakeland-Winter Haven, FL Metro Area",162328.0,0.0,0.0,"('lakeland', 'fl')",0.557912037665438
29540,11.463939652550657,1.460479572635613,0.4804416636570661,0.43663260740855847,7.499566807567465,0.3977197213721855,2.9647910695524278,-0.6215106048236692,0.6999999999999957,-1.4794526371470056,4.735310176177916,558589.0,"Lancaster, PA Metro Area",111950.0,0.0,0.0,"('lancaster', 'pa')",0.4794823842635594
29620,-5.427749649098999,-0.7484130686868902,0.31557878903293535,0.3830141550676167,7.892224578829115,0.1591076481966507,1.4533522600971516,0.6976833384470069,0.6000000000000014,-1.2049352844291121,6.991742731793931,473177.0,"Lansing-East Lansing, MI Metro Area",109441.0,0.0,0.0,"('lansing', 'mi')",0.43978512355341415
29740,0.6931664254951855,-2.98353091196965,0.37537574392667405,0.4714750128774696,7.355270401297407,-0.13788952310056346,2.104453952772303,3.3360680480965996,1.6999999999999993,1.5040847829056716,18.5196971568078,225210.0,"Las Cruces, NM Metro Area",45379.0,0.0,0.0,"('las cruces', 'nm')",0.4669715341726337
29820,-9.922232826179084,0.4639874909630137,0.5172955209810013,0.37799664700885316,7.062549369973446,1.4029079407220806,2.90807963842666,2.8295270637762613,2.0,-2.725648233667883,21.663033577927195,2336573.0,"Las Vegas-Henderson-North Las Vegas, NV Metro Area",426486.0,-8485195.639602505,-434.18970042893494,"('las vegas', 'nv')",0.5231730752836329
29940,9.328974437660818,-1.104975998198661,0.2529391240079084,0.3489200938961421,3.363899428246853,1.3235895236374597,2.081805928914874,0.6785985338900815,4.799999999999997,-3.2874607023274933,6.78214703500405,120553.0,"Lawrence, KS Metro Area",31888.0,0.0,0.0,"('lawrence', 'ks')",
30020,2.434032264735926,-0.6369661429287792,0.3948509068663908,0.2573995448883295,7.855035276988495,-3.0195655176365257,3.4081267470236014,2.2110507242275546,3.6000000000000014,-7.1017421929124325,5.4551400676408655,126687.0,"Lawton, OK Metro Area",27642.0,0.0,0.0,"('lawton', 'ok')",0.3826540793479284
30460,1.6692924640515372,2.0088200258192463,0.473052138734781,0.41466807810911455,13.368935370926959,-0.5055509533690206,2.0495739435511675,2.604887357020104,1.5,-1.1427771918307243,7.093276908099935,520045.0,"Lexington-Fayette, KY Metro Area",111958.0,0.0,0.0,"('lexington', 'ky')",0.43824836894503016
30700,-40.588322074017796,-0.15206051348379024,0.3961763588482423,0.3511316691900799,8.34519924904344,0.07267097421854363,2.7333312441462487,-2.3219618086203084,2.200000000000003,-1.139659458163699,7.4563501357409345,343620.0,"Lincoln, NE Metro Area",76660.0,0.0,0.0,"('lincoln', 'ne')",
