domain,race_code,race_label,measure,measure_label,estimate,se,n_obs,weighted_n,cv,ci95_lo,ci95_hi
"65+ income <$25,000",4,Other,PAMTCARE,Medicare payments,7663.05631105434,1913.0915022591432,93,1021855.0004794,0.24965123895793556,3913.3969666264193,11412.715655482261
"65+ income <$25,000",4,Other,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,3796.7565620484293,1414.0371848991326,93,1021855.0004794,0.37243293368701785,1025.2436796461293,6568.269444450729
"65+ income <$25,000",4,Other,PAMTCAID,Medicaid payments,1522.542160572163,596.4456891194185,93,1021855.0004794,0.3917432991775265,353.5086098981028,2691.5757112462234
"65+ income <$25,000",4,Other,PAMTOOP,Out-of-pocket payments,1060.1344578353815,259.139278325768,93,1021855.0004794,0.244440010802863,552.2214723168763,1568.0474433538866
"65+ income <$25,000",4,Other,PAMTALPR,All private insurance payments,146.9519326686437,67.27671240199298,93,1021855.0004794,0.4578144103330214,15.089576360737453,278.81428897654996
"65+ income <$25,000",4,Other,PAMTOTH,Other payments (includes VA),509.1336793586053,396.4833945760568,93,1021855.0004794,0.7787412435090472,-267.973774010466,1286.2411327276766
"65+ income <$25,000",4,Other,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,12982.35503367493,2277.34719225386,93,1021855.0004794,0.17541864987875075,8518.754536857365,17445.955530492494
"65+ income <$25,000",4,Other,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.36336593144477697,0.05287429309269104,93,1021855.0004794,0.14551252199802522,0.2597323169831025,0.46699954590645143
"65+ income <$25,000",4,Other,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.6305455667933482,0.061064830899374326,93,1021855.0004794,0.09684443776192214,0.5108584982305745,0.7502326353561218
"65+ income >=$25,000",1,Non-Hispanic white,PAMTTOT,"Total payments, all sources",17931.920842925185,748.5782477017541,3761,36612989.20698927,0.04174556949358252,16464.707477429747,19399.134208420623
"65+ income >=$25,000",1,Non-Hispanic white,PAMTCARE,Medicare payments,7798.500694114299,460.38882580413707,3761,36612989.20698927,0.059035556174483986,6896.13859553819,8700.862792690408
"65+ income >=$25,000",1,Non-Hispanic white,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,4157.667768741254,413.0487007183136,3761,36612989.20698927,0.0993462497950781,3348.0923153333592,4967.243222149149
"65+ income >=$25,000",1,Non-Hispanic white,PAMTCAID,Medicaid payments,52.24123934331511,14.735661129044628,3761,36612989.20698927,0.2820695166170523,23.359343530387637,81.12313515624258
"65+ income >=$25,000",1,Non-Hispanic white,PAMTOOP,Out-of-pocket payments,3183.070541472454,84.14828990169035,3761,36612989.20698927,0.026436200142383355,3018.139893265141,3348.001189679767
"65+ income >=$25,000",1,Non-Hispanic white,PAMTALPR,All private insurance payments,1585.4781093192955,87.31322567406897,3761,36612989.20698927,0.05507059678771331,1414.3441869981202,1756.6120316404708
"65+ income >=$25,000",1,Non-Hispanic white,PAMTOTH,Other payments (includes VA),630.3949583586909,54.32061437919545,3761,36612989.20698927,0.0861691764169969,523.9265541754678,736.8633625419141
"65+ income >=$25,000",1,Non-Hispanic white,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,12008.409702198858,642.1001329146953,3761,36612989.20698927,0.053470871567375025,10749.893441686056,13266.92596271166
"65+ income >=$25,000",1,Non-Hispanic white,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.017475103898655753,0.002442565681690892,3761,36612989.20698927,0.13977402914776277,0.012687675162541604,0.0222625326347699
"65+ income >=$25,000",1,Non-Hispanic white,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.4016512127280078,0.009732575820950091,3761,36612989.20698927,0.024231411514598976,0.3825753641189456,0.42072706133707
"65+ income >=$25,000",2,Non-Hispanic black,PAMTTOT,"Total payments, all sources",17498.49303446961,2795.1219662688445,252,2693277.8555003004,0.1597350103670551,12020.053980582677,22976.932088356545
"65+ income >=$25,000",2,Non-Hispanic black,PAMTCARE,Medicare payments,8618.861050567974,2366.4683268703925,252,2693277.8555003004,0.2745685668890607,3980.5831299020047,13257.138971233942
"65+ income >=$25,000",2,Non-Hispanic black,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,2503.31111255418,490.6719249219322,252,2693277.8555003004,0.1960091666038623,1541.5941397071929,3465.028085401167
"65+ income >=$25,000",2,Non-Hispanic black,PAMTCAID,Medicaid payments,175.1211438299563,110.14700369854302,252,2693277.8555003004,0.628976040754373,-40.766983419187994,391.0092710791006
"65+ income >=$25,000",2,Non-Hispanic black,PAMTOOP,Out-of-pocket payments,2209.115316972715,206.47341103825386,252,2693277.8555003004,0.0934642974279844,1804.4274313377373,2613.8032026076926
"65+ income >=$25,000",2,Non-Hispanic black,PAMTALPR,All private insurance payments,1936.7803788324009,573.8532232091015,252,2693277.8555003004,0.29629235688305156,812.0280613425618,3061.5326963222396
"65+ income >=$25,000",2,Non-Hispanic black,PAMTOTH,Other payments (includes VA),796.7117809191622,340.12807919171786,252,2693277.8555003004,0.4269148358761733,130.06074570339513,1463.3628161349293
"65+ income >=$25,000",2,Non-Hispanic black,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,11297.293306952102,2411.040667490696,252,2693277.8555003004,0.21341755073376692,6571.653598670338,16022.933015233866
"65+ income >=$25,000",2,Non-Hispanic black,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.06394338848020903,0.01571008600967367,252,2693277.8555003004,0.24568741793431956,0.03315161990124864,0.09473515705916942
"65+ income >=$25,000",2,Non-Hispanic black,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.5010631746700779,0.04076366609833833,252,2693277.8555003004,0.08135434444005774,0.4211663891173347,0.580959960222821
"65+ income >=$25,000",3,Hispanic,PAMTTOT,"Total payments, all sources",11937.579583653387,1320.817041270654,259,2114066.38527668,0.11064362185105786,9348.778182762904,14526.38098454387
"65+ income >=$25,000",3,Hispanic,PAMTCARE,Medicare payments,4293.4756439324665,687.2298214668061,259,2114066.38527668,0.1600637521812889,2946.5051938575266,5640.446094007406
"65+ income >=$25,000",3,Hispanic,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,3834.0430238917256,897.0571200743681,259,2114066.38527668,0.23397158416960456,2075.811068545964,5592.274979237487
"65+ income >=$25,000",3,Hispanic,PAMTCAID,Medicaid payments,322.3918648152383,123.14035173354577,259,2114066.38527668,0.3819586198433298,81.0367754174886,563.746954212988
"65+ income >=$25,000",3,Hispanic,PAMTOOP,Out-of-pocket payments,1963.0065307619516,244.25707026123536,259,2114066.38527668,0.12443008539886297,1484.2626730499303,2441.7503884739726
"65+ income >=$25,000",3,Hispanic,PAMTALPR,All private insurance payments,881.296111108736,274.5268485709729,259,2114066.38527668,0.311503528848661,343.22348790962917,1419.3687343078427
"65+ income >=$25,000",3,Hispanic,PAMTOTH,Other payments (includes VA),348.9566068351361,93.16820183783362,259,2114066.38527668,0.26699079488083965,166.3469312329822,531.5662824372899
"65+ income >=$25,000",3,Hispanic,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,8449.910532639435,1271.5319194614174,259,2114066.38527668,0.15047874347898432,5957.7079704950565,10942.113094783814
"65+ income >=$25,000",3,Hispanic,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.08640616054580662,0.01809796283391566,259,2114066.38527668,0.2094522279383235,0.05093415339133192,0.12187816770028131
"65+ income >=$25,000",3,Hispanic,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.504378604541436,0.03934361320723492,259,2114066.38527668,0.07800412795662656,0.42726512265525557,0.5814920864276165
"65+ income >=$25,000",4,Other,PAMTTOT,"Total payments, all sources",14076.93153131466,2725.6638341524244,183,1980862.6715794997,0.19362627630098814,8734.630416375909,19419.23264625341
"65+ income >=$25,000",4,Other,PAMTCARE,Medicare payments,6046.348724826491,1957.5172112485318,183,1980862.6715794997,0.323751953507231,2209.614990779369,9883.082458873614
"65+ income >=$25,000",4,Other,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,2938.9163222465336,678.3151071719263,183,1980862.6715794997,0.23080449825581162,1609.418712189558,4268.413932303509
"65+ income >=$25,000",4,Other,PAMTCAID,Medicaid payments,726.0620732980467,548.8849498910571,183,1980862.6715794997,0.7559752396896527,-349.75242848842527,1801.8765750845187
"65+ income >=$25,000",4,Other,PAMTOOP,Out-of-pocket payments,2285.4731525691905,301.7059526477554,183,1980862.6715794997,0.1320102808071037,1694.1294853795898,2876.816819758791
"65+ income >=$25,000",4,Other,PAMTALPR,All private insurance payments,1083.4576387852653,264.45533544804886,183,1980862.6715794997,0.2440846102156305,565.1251813070895,1601.7900962634412
"65+ income >=$25,000",4,Other,PAMTOTH,Other payments (includes VA),630.3394871557549,287.2556043896249,183,1980862.6715794997,0.45571570596948013,67.31850255209008,1193.3604717594199
"65+ income >=$25,000",4,Other,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,9711.32712037107,2542.8954489855546,183,1980862.6715794997,0.2618483980064293,4727.2520403593835,14695.402200382756
"65+ income >=$25,000",4,Other,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.07233443932362445,0.033355800699619825,183,1980862.6715794997,0.46113305102685453,0.006957069952369596,0.1377118086948793
"65+ income >=$25,000",4,Other,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.47156210814935856,0.047010466969982706,183,1980862.6715794997,0.09969093393545736,0.37942159288819244,0.5637026234105247
