domain,race_code,race_label,measure,measure_label,estimate,se,n_obs,weighted_n,cv,ci95_lo,ci95_hi
65+,3,Hispanic,PAMTOOP,Out-of-pocket payments,1263.1723136366313,127.87500403476268,632,4341939.34816608,0.10123322262076405,1012.5373057284964,1513.8073215447662
65+,3,Hispanic,PAMTALPR,All private insurance payments,463.03355357491904,133.93181487716993,632,4341939.34816608,0.28924861674306224,200.52719641566597,725.539910734172
65+,3,Hispanic,PAMTOTH,Other payments (includes VA),233.6919799627436,48.946485488915755,632,4341939.34816608,0.2094487174815287,137.75686840446872,329.6270915210185
65+,3,Hispanic,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,15637.58680017046,1694.0512492220084,632,4341939.34816608,0.10833201253300427,12317.246351695325,18957.927248645596
65+,3,Hispanic,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.35791224276993644,0.0252839964556593,632,4341939.34816608,0.07064300527968159,0.3083556097168442,0.40746887582302865
65+,3,Hispanic,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.6275459661083426,0.024832397814569696,632,4341939.34816608,0.039570643675020466,0.578874466391786,0.6762174658248992
65+,4,Other,PAMTTOT,"Total payments, all sources",14339.766156215484,1830.2551830546424,276,3002717.6720589,0.12763493930905767,10752.465997428386,17927.066315002583
65+,4,Other,PAMTCARE,Medicare payments,6596.530563989257,1355.955154848093,276,3002717.6720589,0.20555580569129933,3938.8584604869948,9254.202667491518
65+,4,Other,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,3230.8479769641604,644.0704048439276,276,3002717.6720589,0.19935026638087844,1968.4699834700623,4493.225970458258
65+,4,Other,PAMTCAID,Medicaid payments,997.1122514539105,415.67379299118227,276,3002717.6720589,0.41687763076331624,182.3916171911933,1811.8328857166277
65+,4,Other,PAMTOOP,Out-of-pocket payments,1868.478080356459,231.99721462985926,276,3002717.6720589,0.12416373361233116,1413.7635396819348,2323.192621030983
65+,4,Other,PAMTALPR,All private insurance payments,764.7553353094327,178.79153155961228,276,3002717.6720589,0.2337891915291709,414.3239334525926,1115.1867371662727
65+,4,Other,PAMTOTH,Other payments (includes VA),589.0919326696422,252.34179523934657,276,3002717.6720589,0.4283572414508988,94.50201400052299,1083.6818513387616
65+,4,Other,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,10824.490792407323,1726.4944690723287,276,3002717.6720589,0.1594989087415874,7440.561633025559,14208.419951789088
65+,4,Other,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.1713753808974172,0.029402474916736653,276,3002717.6720589,0.17156767070491033,0.11374653006061336,0.22900423173422102
65+,4,Other,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.5256657768760545,0.038028478232073774,276,3002717.6720589,0.07234345453887217,0.45112995954118995,0.6002015942109191
65-74,1,Non-Hispanic white,PAMTTOT,"Total payments, all sources",15879.28266345416,941.2561087294735,1844,24339350.584320202,0.05927573232862432,14034.420690344392,17724.144636563928
65-74,1,Non-Hispanic white,PAMTCARE,Medicare payments,6776.119551116436,538.4840323271384,1844,24339350.584320202,0.07946790611721388,5720.690847755244,7831.548254477628
65-74,1,Non-Hispanic white,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,4008.2978466149866,584.1122934662488,1844,24339350.584320202,0.14572577084298577,2863.437751421139,5153.157941808834
65-74,1,Non-Hispanic white,PAMTCAID,Medicaid payments,267.21231496770423,67.97868751900137,1844,24339350.584320202,0.25439953067738436,133.97408743046154,400.45054250494695
65-74,1,Non-Hispanic white,PAMTOOP,Out-of-pocket payments,2517.151870448879,98.64586586929667,1844,24339350.584320202,0.039189477213270145,2323.8059733450573,2710.4977675527007
65-74,1,Non-Hispanic white,PAMTALPR,All private insurance payments,1385.5839659614294,114.17187895528201,1844,24339350.584320202,0.0823998269033522,1161.8070832090766,1609.3608487137822
65-74,1,Non-Hispanic white,PAMTOTH,Other payments (includes VA),485.6048640947627,67.19944324004133,1844,24339350.584320202,0.13838296979440426,353.8939553442817,617.3157728452437
65-74,1,Non-Hispanic white,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,11051.629712699134,834.4270901228733,1844,24339350.584320202,0.07550262828332507,9416.152616058302,12687.106809339966
65-74,1,Non-Hispanic white,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.05826866638202087,0.005584631528076771,1844,24339350.584320202,0.09584278952709893,0.0473227885869904,0.06921454417705133
65-74,1,Non-Hispanic white,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.41958477357404406,0.012350925707498617,1844,24339350.584320202,0.0294360674775989,0.3953769591873468,0.44379258796074134
65-74,2,Non-Hispanic black,PAMTTOT,"Total payments, all sources",16185.034148930048,2315.091211685327,231,3020249.2285435004,0.14303900692346527,11647.455374026807,20722.612923833287
65-74,2,Non-Hispanic black,PAMTCARE,Medicare payments,8687.217218192589,2131.409752996221,231,3020249.2285435004,0.2453501160915681,4509.654102319996,12864.78033406518
65-74,2,Non-Hispanic black,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,2434.788213320312,415.43347054544216,231,3020249.2285435004,0.1706240683574351,1620.5386110512454,3249.0378155893786
65-74,2,Non-Hispanic black,PAMTCAID,Medicaid payments,837.408065191583,292.56405544159685,231,3020249.2285435004,0.34936856665533045,263.98251652605313,1410.8336138571128
