domain,measure,measure_label,hispanic_mean,hispanic_se,hispanic_n_obs,nhwhite_mean,nhwhite_se,nhwhite_n_obs,ratio,ratio_se,ratio_ci95_lo,ratio_ci95_hi,ratio_excludes_1,diff,diff_se,diff_ci95_lo,diff_ci95_hi
65-74,PAMTTOT,"Total payments, all sources",16907.711079838526,2097.8640153445094,266,15879.28266345416,941.2561087294735,1844,1.0647654203392496,0.1541470332553146,0.762637235158833,1.366893605519666,False,1028.4284163843658,2388.277247185252,-3652.5949880987273,5709.451820867459
65-74,PAMTCARE,Medicare payments,8911.418256289558,1782.1009024200227,266,6776.119551116436,538.4840323271384,1844,1.315121167663181,0.2885583980530223,0.7495467074792574,1.8806956278471048,False,2135.2987051731225,1888.4825524901828,-1566.1270977076356,5836.7245080538805
65-74,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,3730.647756555806,543.083494757386,266,4008.2978466149866,584.1122934662488,1844,0.9307311730105944,0.20568733134687198,0.5275840035707253,1.3338783424504634,False,-277.65009005918046,833.7245905012318,-1911.7502874415948,1356.4501073232339
65-74,PAMTCAID,Medicaid payments,2026.7551494761485,755.9415006971034,266,267.21231496770423,67.97868751900137,1844,7.5848119115359856,4.338243474143865,-0.9181452977859896,16.08776912085796,False,1759.5428345084442,762.6494925571209,264.74982909648725,3254.335839920401
65-74,PAMTOOP,Out-of-pocket payments,1274.1409944569846,171.97232489710038,266,2517.151870448879,98.64586586929667,1844,0.506183599573501,0.07257015928750563,0.36394608736999,0.648421111777012,True,-1243.0108759918944,206.01930175071377,-1646.8087074232933,-839.2130445604955
65-74,PAMTALPR,All private insurance payments,559.4087296916143,215.51208736212828,266,1385.5839659614294,114.17187895528201,1844,0.403734990757815,0.16056734305028783,0.08902299837925087,0.7184469831363791,True,-826.1752362698151,243.26817765802213,-1302.9808644795385,-349.3696080600917
65-74,PAMTOTH,Other payments (includes VA),220.51914846260993,67.06079209276307,266,485.6048640947627,67.19944324004133,1844,0.4541123138741399,0.15345357712313934,0.1533433027127868,0.7548813250354931,True,-265.08571563215276,92.4557936786828,-446.29907124237104,-83.87236002193447
65-74,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,14668.821162321517,2163.546661146268,266,11051.629712699134,834.4270901228733,1844,1.32729937064992,0.23211111482000346,0.8723615856027134,1.7822371556971268,False,3617.1914496223835,2399.081625613909,-1085.0085365808782,8319.391435825644
65-74,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.34713093480123713,0.039438229162404276,266,0.05826866638202087,0.005584631528076771,1844,5.957420280144705,0.8760838327612555,4.240295967932644,7.6745445923567654,True,0.28886226841921625,0.03943772445794665,0.2115643284816408,0.3661602083567917
65-74,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.5977288782148729,0.036076613879239085,266,0.41958477357404406,0.012350925707498617,1844,1.4245723769320522,0.09866674840283103,1.2311855500625033,1.617959203801601,True,0.1781441046408288,0.03896454019858189,0.1017736058516083,0.2545146034300493
75+,PAMTTOT,"Total payments, all sources",19278.892476758214,2070.060449928144,366,20667.39840736641,757.0464073933571,2610,0.9328166079135874,0.10284025017138865,0.7312497175776658,1.1343834982495091,False,-1388.5059306081966,2132.677950734728,-5568.554714048263,2791.54285283187
75+,PAMTCARE,Medicare payments,8395.399709653246,1239.1535263107012,366,9411.92920308005,514.5729544855292,2610,0.8919956290051412,0.14417161945229534,0.6094192548786423,1.17457200313164,False,-1016.529493426804,1358.3121688884733,-3678.8213444482117,1645.7623575946036
75+,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,5874.954604798969,1064.4931138426202,366,4467.157525860239,381.5015075584245,2610,1.31514381814141,0.25601561117494875,0.8133532202385103,1.8169344160443095,False,1407.79707893873,1106.0854078754726,-760.1303204971964,3575.7244783746564
75+,PAMTCAID,Medicaid payments,2958.2344034295293,754.3008571350947,366,249.9920526850929,67.49976559912233,2610,11.833313786002325,4.705819220082074,2.6099081146414598,21.05671945736319,True,2708.2423507444364,755.2472402576084,1227.957759839524,4188.526941649348
75+,PAMTOOP,Out-of-pocket payments,1245.1584705169573,199.72662798644325,366,3678.8985210953015,125.44357709901661,2610,0.33845958603561643,0.05464244075166147,0.23136040216235995,0.4455587699088729,True,-2433.7400505783444,229.82787405043325,-2884.2026837171934,-1983.2774174394951
75+,PAMTALPR,All private insurance payments,304.75678979344775,85.3746047418621,366,1520.4582046628962,123.33419594071474,2610,0.2004374660604472,0.05764275639693254,0.08745766352245944,0.313417268598435,True,-1215.7014148694484,142.58320819590264,-1495.1645029334177,-936.2383268054792
75+,PAMTOTH,Other payments (includes VA),255.3256954451962,54.24426062906238,366,750.5181390126551,73.77166981121579,2610,0.3401992332671535,0.08096424424040398,0.18150931455596173,0.49888915197834527,True,-495.1924435674589,92.76651429722831,-677.0148115900264,-313.3700755448914
75+,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,17228.58871788175,1984.295605098572,366,14129.07878162539,644.6385659826623,2610,1.21937098548047,0.1459398583295674,0.9333288631545178,1.5054131078064221,False,3099.5099362563597,2020.8953775528894,-861.4450037473034,7060.464876260023
75+,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.375618363820766,0.0334562341253432,366,0.04109503809060656,0.005304316610551146,2610,9.140236419603765,1.571922296028149,6.059268719388593,12.221204119818937,True,0.33452332573015947,0.03469838043562302,0.26651450007633837,0.4025321513839806
75+,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.676514511405232,0.03806721176187595,366,0.4371797232033821,0.011598182669116717,2610,1.5474517126461238,0.09750759095584641,1.356336834372665,1.7385665909195827,True,0.2393347882018499,0.040177603346467916,0.1605866856427728,0.318082890760927
"65+ income <$25,000",PAMTTOT,"Total payments, all sources",23372.898642649678,2898.842649575551,373,17827.243653546015,1489.3638741155958,693,1.311077533738682,0.20786099984470477,0.9036699740430607,1.7184850934343032,False,5545.654989103663,3389.099373571455,-1096.979783096389,12188.289761303715
"65+ income <$25,000",PAMTCARE,Medicare payments,12912.855152557715,2277.4391361400976,373,8531.149596429499,1020.4312226340892,693,1.5136125567370275,0.33381959732367594,0.8593261459826227,2.1678989674914324,False,4381.705556128216,2541.273570019557,-599.1906411101163,9362.601753366547
"65+ income <$25,000",PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,5214.140797474203,598.4265337780189,373,4495.410417315309,597.2272354026819,693,1.1598809259751917,0.2010300940082534,0.765861941719015,1.5538999102313684,False,718.7303801588941,800.5044278503872,-850.2582984278647,2287.719058745653
"65+ income <$25,000",PAMTCAID,Medicaid payments,4331.098589381956,1081.5101496869509,373,1577.6088103191287,326.5324586519303,693,2.745356492086168,1.0273904157837805,0.731671277149958,4.759041707022378,False,2753.4897790628274,1140.0989094937067,518.8959164551625,4988.083641670492
"65+ income <$25,000",PAMTOOP,Out-of-pocket payments,599.087772760364,97.50736599415767,373,1924.3583357731918,174.8519461027306,693,0.31131819974664715,0.05856485185625167,0.19653109010839387,0.42610530938490043,True,-1325.2705630128278,200.41134162477888,-1718.0767925973944,-932.4643334282612
"65+ income <$25,000",PAMTALPR,All private insurance payments,66.13712912381281,29.508354896858084,373,538.8218298943625,165.98179460228351,693,0.12274396740157907,0.07261761679107126,-0.01958656150892059,0.26507449631207874,True,-472.6847007705497,167.60092366395807,-801.1825111519074,-144.1868903891919
"65+ income <$25,000",PAMTOTH,Other payments (includes VA),124.31542342589744,31.303503228575707,373,395.2307872579112,91.02543404024074,693,0.3145388148741924,0.12041242128058646,0.07853046916424292,0.5505471605841419,True,-270.9153638320137,99.13893635301864,-465.22767908393024,-76.60304858009721
"65+ income <$25,000",PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,22458.094539413865,2899.144913267346,373,14604.168824063938,1355.6005111695677,693,1.5377865601230702,0.26275348339196924,1.0227897326748105,2.05278338757133,True,7853.9257153499275,3336.51509852801,1314.3561222350272,14393.495308464828
"65+ income <$25,000",ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.615548962362684,0.034679805657406616,373,0.2634440607002387,0.022093538195848035,693,2.336545226058787,0.2233073525742291,1.898862815013298,2.774227637104276,True,0.3521049016624453,0.03810674971827343,0.27741567221462937,0.4267941311102612
"65+ income <$25,000",ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.7444215614358765,0.03125246053896392,373,0.5884216398472448,0.023616857518272815,693,1.2651158812397338,0.0693204209772262,1.1292478561243704,1.4009839063550973,True,0.15599992158863163,0.03659193255305854,0.08427973378463689,0.22772010939262638
"65+ income >=$25,000",PAMTTOT,"Total payments, all sources",11937.579583653387,1320.817041270654,259,17931.920842925185,748.5782477017541,3761,0.6657167231676249,0.07935039432995541,0.5101899502809123,0.8212434960543374,True,-5994.341259271798,1530.4358156772435,-8993.995457999195,-2994.6870605444005
"65+ income >=$25,000",PAMTCARE,Medicare payments,4293.4756439324665,687.2298214668061,259,7798.500694114299,460.38882580413707,3761,0.5505514216563252,0.09823263987078047,0.35801544750959546,0.7430873958030549,True,-3505.0250501818327,856.627825602378,-5184.015588362494,-1826.0345120011718
"65+ income >=$25,000",PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,3834.0430238917256,897.0571200743681,259,4157.667768741254,413.0487007183136,3761,0.9221619516396553,0.23471578149306394,0.46211901991325,1.3822048833660605,False,-323.62474484952827,999.1453159597824,-2281.9495641307017,1634.7000744316451
"65+ income >=$25,000",PAMTCAID,Medicaid payments,322.3918648152383,123.14035173354577,259,52.24123934331511,14.735661129044628,3761,6.171213946448845,3.4912527152084842,-0.6716413753597834,13.014069268257474,False,270.1506254719232,124.06133625634732,26.99040640948246,513.3108445343639
"65+ income >=$25,000",PAMTOOP,Out-of-pocket payments,1963.0065307619516,244.25707026123536,259,3183.070541472454,84.14828990169035,3761,0.6167021764631977,0.07940789477154778,0.46106270271096406,0.7723416502154313,True,-1220.0640107105023,265.4070872794904,-1740.2619017783036,-699.8661196427012
"65+ income >=$25,000",PAMTALPR,All private insurance payments,881.296111108736,274.5268485709729,259,1585.4781093192955,87.31322567406897,3761,0.5558551114194248,0.1768189664799875,0.2092899371186493,0.9024202857202003,True,-704.1819982105595,288.11662443959943,-1268.8905821121743,-139.4734143089446
"65+ income >=$25,000",PAMTOTH,Other payments (includes VA),348.9566068351361,93.16820183783362,259,630.3949583586909,54.32061437919545,3761,0.5535523439839788,0.15795557421268638,0.2439594185271135,0.8631452694408441,True,-281.43835152355484,107.15489012515731,-491.4619361688632,-71.41476687824652
"65+ income >=$25,000",PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,8449.910532639435,1271.5319194614174,259,12008.409702198858,642.1001329146953,3761,0.7036660758744909,0.11189215221920275,0.48435745752485354,0.9229746942241284,True,-3558.4991695594235,1409.971530055228,-6322.04336846767,-794.9549706511766
"65+ income >=$25,000",ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.08640616054580662,0.01809796283391566,259,0.017475103898655753,0.002442565681690892,3761,4.944529145400577,1.2875461154031564,2.4209387592103906,7.468119531590764,True,0.06893105664715087,0.01829068004531935,0.03308132375832494,0.10478078953597679
"65+ income >=$25,000",ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.504378604541436,0.03934361320723492,259,0.4016512127280078,0.009732575820950091,3761,1.2557626830396094,0.10154144377263687,1.056741453245241,1.4547839128339777,True,0.10272739181342821,0.040212192474379876,0.023911494563643665,0.18154328906321276
