scheme,band,band_label,nativity,subgroup,denominator,measure,ratio,se,ci_lo,ci_hi,excludes_one,difference,se_difference,n_mexican,n_denominator,pooled_ratio,coverage_composition_part,standard_share_medicaid_ever
pooled,all_ages,all_ages,foreign_born,all,nh_white,medicaid,3.571369559233461,1.4373486418169972,0.7542179880445845,6.388521130422338,False,649.674114324826,207.27856887563377,890,432,,,
pooled,all_ages,all_ages,foreign_born,all,nh_white,out_of_pocket,0.28780864381527205,0.04098036634453514,0.20748860170672584,0.36812868592381826,True,-1168.6626598105702,186.19639085100175,890,432,,,
pooled,all_ages,all_ages,foreign_born,all,nh_white,private,0.23746222495782296,0.05398575378002796,0.13165209187072108,0.34327235804492484,True,-3209.0249912794,599.7421319912722,890,432,,,
pooled,all_ages,all_ages,foreign_born,all,nh_white,total_all_sources,0.3321621721785985,0.06347722026341884,0.20774910662358145,0.4565752377336155,True,-7514.317698842855,1847.7440166080924,890,432,,,
pooled,all_ages,all_ages,foreign_born,all,nh_white,share_medicaid_ever,2.526306934421402,0.5436474607904079,1.4607774909855513,3.591836377857253,True,0.1372503712098103,0.028875221350322697,890,432,,,
pooled,all_ages,all_ages,foreign_born,all,all_donors,public,0.7189153417884451,0.12023668309886268,0.4832557732941184,0.9545749102827717,True,-838.6101411487098,410.5865345498815,890,2975,,,
pooled,all_ages,all_ages,foreign_born,all,all_donors,medicare,0.5521064270733754,0.14107533814028936,0.2756038452115984,0.8286090089351524,True,-899.5789605508812,367.51352720480577,890,2975,,,
pooled,all_ages,all_ages,foreign_born,all,all_donors,medicaid,1.1974137994998746,0.2287527901314054,0.7490665694792705,1.6457610295204788,False,148.76443107028808,169.85408642615903,890,2975,,,
pooled,all_ages,all_ages,foreign_born,all,all_donors,out_of_pocket,0.5669623783208134,0.06222855100263564,0.4449966595455337,0.6889280970960932,True,-360.7178967221514,65.11162591983768,890,2975,,,
pooled,all_ages,all_ages,foreign_born,all,all_donors,private,0.442704737566239,0.08475298421241152,0.2765919409276206,0.6088175342048574,True,-1257.9907585359288,249.1203258344786,890,2975,,,
pooled,all_ages,all_ages,foreign_born,all,all_donors,total_all_sources,0.6067818841828767,0.06650891648778609,0.4764268032160338,0.7371369651497196,True,-2421.9748074993595,487.788585174208,890,2975,,,
pooled,all_ages,all_ages,foreign_born,all,all_donors,share_medicaid_ever,1.1395903674070371,0.109151803640048,0.9256567634249551,1.3535239713891192,False,0.027826875519094157,0.021824337813717187,890,2975,,,
pooled,all_ages,all_ages,both,all,nh_white,public,0.6588597038156425,0.20485837875078008,0.257344659532848,1.060374748098437,False,-1366.7309064904375,829.2403587523289,2576,10438,,,
pooled,all_ages,all_ages,both,all,nh_white,medicare,0.2606174543253258,0.05527925962030724,0.1522720963774843,0.3689628122731673,True,-2108.0006862934483,202.4306867942522,2576,10438,,,
pooled,all_ages,all_ages,both,all,nh_white,medicaid,2.120890430928876,1.0041711812842136,0.1527510812987758,4.089029780558976,False,883.8588081894845,782.0294999827428,2576,10438,,,
pooled,all_ages,all_ages,both,all,nh_white,out_of_pocket,0.3607019250389926,0.05303676566161704,0.2567517744857326,0.46465207559225263,True,-938.902122785533,90.7264441244945,2576,10438,,,
pooled,all_ages,all_ages,both,all,nh_white,private,0.32549022115484844,0.04260294851525226,0.24198997642973985,0.408990465879957,True,-3121.286264735425,300.68312467744124,2576,10438,,,
pooled,all_ages,all_ages,both,all,nh_white,total_all_sources,0.464714177166586,0.08353482227341105,0.300988934055746,0.6284394202774259,True,-5464.260796439077,891.1317780108346,2576,10438,,,
pooled,all_ages,all_ages,both,all,nh_white,share_medicaid_ever,2.4356120694079926,0.192298141078116,2.058714638600883,2.812509500215102,True,0.21664395911223105,0.0255663615256297,2576,10438,,,
pooled,all_ages,all_ages,both,all,all_donors,public,0.7573343254667498,0.2108972233020417,0.34398336335524665,1.170685287578253,False,-845.7921453848985,711.3648414979523,2576,18476,,,
pooled,all_ages,all_ages,both,all,all_donors,medicare,0.3475489174108925,0.0697155089712056,0.2109090306634505,0.48418880415833454,True,-1394.8807092596849,153.8460046317124,2576,18476,,,
pooled,all_ages,all_ages,both,all,all_donors,medicaid,1.6060466192882705,0.5930748119245717,0.44364134777824393,2.768451890798297,False,631.0820835960849,677.1270586670265,2576,18476,,,
pooled,all_ages,all_ages,both,all,all_donors,out_of_pocket,0.47353124647966655,0.06367873452534516,0.34872322022890273,0.5983392727304303,True,-588.9648048598503,69.93949339286209,2576,18476,,,
pooled,all_ages,all_ages,both,all,all_donors,private,0.4178391722061163,0.05005971792772512,0.31972392799154103,0.5159544164206916,True,-2098.539379952801,220.80751560860094,2576,18476,,,
pooled,all_ages,all_ages,both,all,all_donors,total_all_sources,0.5711734855306788,0.09442718284700043,0.3860996079889796,0.756247363072378,True,-3561.6003960402686,752.541813153284,2576,18476,,,
pooled,all_ages,all_ages,both,all,all_donors,share_medicaid_ever,1.5977281484562778,0.09232640258552606,1.416771724566501,1.7786845723460545,True,0.1375049783541821,0.022104764346113623,2576,18476,,,
pooled,65plus,65plus,us_born,all,nh_white,public,0.9736837432316711,0.22602314636254897,0.5306865166886497,1.4166809697746925,False,-290.00881885351373,2491.8611473621772,125,3372,,,
pooled,65plus,65plus,us_born,all,nh_white,medicare,0.9303015883088769,0.23916828389183717,0.46154036563662487,1.399062810981129,False,-689.2915430072026,2369.08761982616,125,3372,,,
pooled,65plus,65plus,us_born,all,nh_white,medicaid,2.864317739027074,0.8444492048442633,1.2092277107588314,4.519407767295316,True,520.1756991253551,281.57899701621034,125,3372,,,
pooled,65plus,65plus,us_born,all,nh_white,out_of_pocket,0.48638632114481833,0.11182561143836185,0.26721215017645883,0.7055604921131778,True,-1193.5972071643887,279.1904922628148,125,3372,,,
pooled,65plus,65plus,us_born,all,nh_white,private,0.63635497941158,0.19430908054774895,0.25551617966889967,1.0171937791542605,False,-1079.2783985591327,612.4041937042907,125,3372,,,
pooled,65plus,65plus,us_born,all,nh_white,total_all_sources,0.8383974418578031,0.1812298877130984,0.48319338901789216,1.193601494697714,False,-2660.669670941543,2995.116120673672,125,3372,,,
pooled,65plus,65plus,us_born,all,nh_white,share_medicaid_ever,2.3105993810588017,0.5099741411890287,1.3110684312815608,3.3101303308360426,True,0.09254436251564425,0.03487638815927672,125,3372,,,
pooled,65plus,65plus,us_born,all,all_donors,public,0.9706462919640946,0.21825273697235165,0.5428787879709919,1.3984137959571972,False,-324.49423002397634,2411.5304476841966,125,4177,,,
pooled,65plus,65plus,us_born,all,all_donors,medicare,0.9487871015398965,0.2359061434234428,0.48641955669820813,1.411154646381585,False,-496.6088047274716,2285.9683871039506,125,4177,,,
pooled,65plus,65plus,us_born,all,all_donors,medicaid,1.9311298530597323,0.6282878203565229,0.699708353235776,3.1625513528836886,False,385.34532410999225,283.00178135835085,125,4177,,,
pooled,65plus,65plus,us_born,all,all_donors,out_of_pocket,0.5290686715976913,0.11944446409587325,0.29496182381709213,0.7631755193782905,True,-1006.1161067932017,265.44797973755146,125,4177,,,
pooled,65plus,65plus,us_born,all,all_donors,private,0.645933137007855,0.1920628816402719,0.2694968062259429,1.0223694677897672,False,-1035.2685115646036,585.8963014180594,125,4177,,,
pooled,65plus,65plus,us_born,all,all_donors,total_all_sources,0.8487583781987283,0.17829234144986994,0.4993118102376654,1.1982049461597912,False,-2459.687441760363,2894.509434527495,125,4177,,,
pooled,65plus,65plus,us_born,all,all_donors,share_medicaid_ever,1.708381791742917,0.3476729216892874,1.026955386832099,2.3898081966537346,True,0.06765300906558269,0.03356346226823888,125,4177,,,
pooled,65plus,65plus,foreign_born,all,nh_white,public,0.7385658170477751,0.21663047413211395,0.31397788979499597,1.1631537443005544,False,-3121.3460041228736,3097.842179018386,155,130,,,
pooled,65plus,65plus,foreign_born,all,nh_white,medicare,0.6968747309231453,0.22262647721917814,0.2605348535685294,1.1332146082777612,False,-3278.053340084376,3016.3350111315253,155,130,,,
pooled,65plus,65plus,foreign_born,all,nh_white,medicaid,1.8602595285906225,1.1068454760246673,-0.3091177408688175,4.0296367980500625,False,535.0377228313507,475.8711001935216,155,130,,,
pooled,65plus,65plus,foreign_born,all,nh_white,out_of_pocket,0.4044572362313461,0.16140730179876717,0.08810473786397538,0.7208097345987168,True,-1035.2791931947813,361.9376796243038,155,130,,,
pooled,65plus,65plus,foreign_born,all,nh_white,private,0.1029727197512621,0.06734180853305126,-0.02901479962731046,0.23496023912983466,True,-2641.5330706694876,1382.1978414178634,155,130,,,
pooled,65plus,65plus,foreign_born,all,nh_white,total_all_sources,0.5990838455268181,0.15572205202562087,0.29387423195792867,0.9042934590957077,True,-6688.7402452897095,3561.8850389554073,155,130,,,
pooled,65plus,65plus,foreign_born,all,nh_white,share_medicaid_ever,3.95643984200641,1.1640973925674325,1.6748508780772573,6.238028805935563,True,0.26661205759609474,0.047694549625860165,155,130,,,
pooled,65plus,65plus,foreign_born,all,all_donors,public,0.8437445618618282,0.16330824604105987,0.523666281242945,1.1638228424807116,False,-1633.0252475606612,1757.0116377789943,155,662,,,
pooled,65plus,65plus,foreign_born,all,all_donors,medicare,0.8354361215763801,0.17562432305096895,0.49121877358725335,1.179653469565507,False,-1484.4646396278822,1640.296871344611,155,662,,,
pooled,65plus,65plus,foreign_born,all,all_donors,medicaid,0.9742723715209977,0.3576001394780423,0.27338897727753475,1.6751557657644605,False,-30.552574919493736,428.9088715517735,155,662,,,
pooled,65plus,65plus,foreign_born,all,all_donors,out_of_pocket,0.7070062088903283,0.24773838167403148,0.22144790322098884,1.1925645145596677,False,-291.37503120427766,254.50034573739975,155,662,,,
pooled,65plus,65plus,foreign_born,all,all_donors,private,0.21326703666294916,0.11070966573201868,-0.0037199209122756594,0.430253994238174,True,-1118.6035608256161,366.7316762478652,155,662,,,
pooled,65plus,65plus,foreign_born,all,all_donors,total_all_sources,0.7730435267724803,0.13844115614895114,0.5017038467424503,1.0443832068025105,False,-2934.384430982658,1883.647930943584,155,662,,,
pooled,65plus,65plus,foreign_born,all,all_donors,share_medicaid_ever,1.263145012871357,0.16528166618010773,0.9391988998535741,1.58709112588914,False,0.0743288200954238,0.044043011415069146,155,662,,,
pooled,65plus,65plus,both,all,nh_white,public,0.8857373106598034,0.15137185918545026,0.5890539183834523,1.1824207029361546,False,-1263.452106643157,1682.5756900781455,280,3502,,,
pooled,65plus,65plus,both,all,nh_white,medicare,0.8447125178165492,0.14929683626316426,0.5520960957349738,1.1373289398981248,False,-1541.561037003983,1495.6729343687355,280,3502,,,
pooled,65plus,65plus,both,all,nh_white,medicaid,3.3262501493821586,0.9989028570466661,1.3684365255165307,5.284063773247786,True,681.429839247704,268.49486087267076,280,3502,,,
pooled,65plus,65plus,both,all,nh_white,out_of_pocket,0.40047789946400675,0.08132689243701309,0.2410801193128982,0.5598756796151153,True,-1378.9984453967345,215.52528536970001,280,3502,,,
pooled,65plus,65plus,both,all,nh_white,private,0.37494822289683877,0.10757204077649468,0.16411089723143507,0.5857855485622425,True,-1854.5313628385754,404.7585797341185,280,3502,,,
pooled,65plus,65plus,both,all,nh_white,total_all_sources,0.7247508755187306,0.11612224643562497,0.49715545470102107,0.9523462963364402,True,-4534.228251829358,1944.7293713432084,280,3502,,,
pooled,65plus,65plus,both,all,nh_white,share_medicaid_ever,3.6125189230521335,0.4833311044686129,2.665207365685686,4.559830480418581,True,0.18654999163390756,0.029270130553439012,280,3502,,,
pooled,65plus,65plus,both,all,all_donors,public,0.8933746165162947,0.14456539068975985,0.6100316573534033,1.1767175756791861,False,-1168.924009189619,1582.046208525882,280,4839,,,
pooled,65plus,65plus,both,all,all_donors,medicare,0.8740281268750134,0.1458340614321326,0.5881986187488317,1.159857635001195,False,-1208.5966467149156,1397.1933618574642,280,4839,,,
pooled,65plus,65plus,both,all,all_donors,medicaid,1.833547521566563,0.4987608681381998,0.8559941831177605,2.8111008600153657,False,442.9531905347076,265.97801805089574,280,4839,,,
pooled,65plus,65plus,both,all,all_donors,out_of_pocket,0.46928241208495225,0.09251064276172528,0.2879648840853196,0.6505999400845849,True,-1041.7567808881931,194.01845335857993,280,4839,,,
pooled,65plus,65plus,both,all,all_donors,private,0.41268499456871066,0.11234340738747652,0.19249596218874565,0.6328740269486757,True,-1583.2223294141015,345.72278768634163,280,4839,,,
pooled,65plus,65plus,both,all,all_donors,total_all_sources,0.7577061433025053,0.11589038834965246,0.5305651559828262,0.9848471306221844,True,-3817.752546161073,1821.6607667031788,280,4839,,,
pooled,65plus,65plus,both,all,all_donors,share_medicaid_ever,2.0817764541315484,0.22793018228736717,1.6350415058586594,2.5285114024044373,True,0.13404460892713918,0.02763213557958092,280,4839,,,
pooled,18_64,18_64,us_born,all,nh_white,public,0.6762158111528469,0.12592514296710838,0.42940706618925717,0.9230245561164366,True,-652.2863180007753,282.9864420797049,870,5088,,,
pooled,18_64,18_64,us_born,all,nh_white,medicare,0.2666775596328446,0.07535920441457467,0.11897623307668642,0.4143788861890028,True,-534.013940430782,106.83179154753016,870,5088,,,
pooled,18_64,18_64,us_born,all,nh_white,medicaid,0.8306809227889049,0.22321739016504422,0.393182877342393,1.268178968235417,False,-179.18854989363842,244.67510928191265,870,5088,,,
pooled,18_64,18_64,us_born,all,nh_white,out_of_pocket,0.5548794694161179,0.14002587954436005,0.2804337886056283,0.8293251502266075,True,-595.8597909550257,192.86540089293487,870,5088,,,
pooled,18_64,18_64,us_born,all,nh_white,private,0.3895372668770133,0.06781714494526904,0.25661810524995343,0.5224564285040731,True,-3756.3346620722473,543.5041626058662,870,5088,,,
pooled,18_64,18_64,us_born,all,nh_white,total_all_sources,0.475669131116086,0.06783914198682693,0.3427068560798062,0.6086314061523658,True,-5039.282101114502,763.5081843233256,870,5088,,,
pooled,18_64,18_64,us_born,all,nh_white,share_medicaid_ever,2.0578510895579263,0.21461737046702667,1.6372087729858638,2.4784934061299886,True,0.15546609770897918,0.029347875071147198,870,5088,,,
pooled,18_64,18_64,us_born,all,all_donors,public,0.6723236606299463,0.10949862962120263,0.4577102902158984,0.8869370310439942,True,-663.9488772748261,235.4092428637852,870,7952,,,
pooled,18_64,18_64,us_born,all,all_donors,medicare,0.3020588722354746,0.0796773459198537,0.14589414384882193,0.4582236006221273,True,-448.71572140135396,79.90395371690843,870,7952,,,
pooled,18_64,18_64,us_born,all,all_donors,medicaid,0.7584601535301577,0.18090576664572183,0.4038913663089356,1.1130289407513798,False,-279.9591169355516,214.11369675561016,870,7952,,,
pooled,18_64,18_64,us_born,all,all_donors,out_of_pocket,0.6472842933717512,0.15186044336749424,0.34964329369517794,0.9449252930483245,True,-404.7574403170023,170.18399903068442,870,7952,,,
pooled,18_64,18_64,us_born,all,all_donors,private,0.46622381554348225,0.07640227204658377,0.3164781139951467,0.6159695170918178,True,-2744.2196669905065,448.47048245622005,870,7952,,,
