scheme,band,band_label,nativity,subgroup,group,n,population,mean_public,se_public,mean_medicare,se_medicare,mean_medicaid,se_medicaid,mean_out_of_pocket,se_out_of_pocket,mean_private,se_private,mean_total_all_sources,se_total_all_sources,mean_share_medicaid_ever,se_share_medicaid_ever
transport,1,18-34,foreign_born,all,nh_white,64,1531441.663441,697.5801126391623,446.05921331111966,1.2743225165201895,1.2770700600898635,257.4225388073118,147.25112773720855,2172.3134148026875,714.1193471880598,4113.757391186211,1299.244923504737,6999.066569041609,1656.5830079245247,0.12652264199057742,0.04893001998104194
transport,1,18-34,foreign_born,all,all_donors,466,10482558.923521,803.7479075761295,148.95240990030572,9.33844261118356,5.387448516399248,625.3361341001307,132.1451687080986,974.9530769945727,188.51798576073233,2103.543214628932,352.82528511970105,3947.7291582861226,423.1300155098286,0.19595738472109955,0.02258937453832837
transport,1,18-34,both,all,mexican_origin,641,12074595.297549,1080.0056748154698,188.32331541011652,31.25200195343505,22.164233273240786,791.3599524821607,175.49177688397896,383.2255369069551,55.89785934078164,957.2250757599901,128.69769150698244,2491.079654927122,253.58704397654753,0.3448700836377744,0.03358618543460538
transport,1,18-34,both,all,nh_white,1476,37929621.085209005,1147.3165726778527,196.44208245448706,94.12292449925961,33.44450282298665,940.491114493785,188.5671420692455,879.2319604731622,67.34202702584433,3915.2916842905775,480.2631252768223,6029.311337117222,548.5264653356259,0.19049160552438424,0.014335683130151865
transport,1,18-34,both,all,all_donors,3140,75798429.84064001,1040.596046747263,109.05807891469104,68.2576508231067,18.417968384448056,859.5852350588923,108.61606485812369,728.6438876315292,46.72241211236372,2797.9202909040237,285.9007722853632,4642.624169363895,313.13134790667647,0.251340921073216,0.012956597051694043
transport,2,35-49,us_born,all,mexican_origin,209,3682307.968529,1219.5479415750008,335.14102725383253,245.9932779811171,159.64973247023835,532.6694611347065,163.92287043499357,726.7009958634206,198.12930718676515,3861.4175425055114,881.3863272899281,5860.387211228919,1040.9004719552574,0.22806891666627474,0.039140808068421636
transport,2,35-49,us_born,all,nh_white,1651,33210727.730673,1840.210779191524,313.49079155463255,605.9343184596062,202.61713060458032,1036.564763415979,201.553415698736,1375.379469843315,123.44980557845278,6546.452827592915,711.4157218444378,9842.339064754067,819.3827472557008,0.13433384501862564,0.010598491891943921
transport,2,35-49,us_born,all,all_donors,2458,48598894.23875201,1981.1901565896253,301.6292541468275,534.2034363092001,147.58969803662885,1227.3206291977872,231.04998879018018,1220.7956831154254,108.42335400203855,5543.680449474952,507.2864426752488,8819.992678240824,609.5752193653259,0.1654327538131135,0.010270265433106492
transport,2,35-49,foreign_born,all,mexican_origin,294,4550753.602980999,662.3726486907467,235.26840272879727,10.829902553089681,6.678165460273682,545.7770805878649,224.87813096656276,402.64938651733064,76.35010692566628,895.6647540143061,290.11854812223027,2058.6088940533964,434.54719752752453,0.15487030364450663,0.03561533245579466
transport,2,35-49,foreign_born,all,nh_white,94,2046487.4388930001,128.47297213150776,50.05318092604512,48.96985064876511,39.64205157081804,53.7245858118734,28.061731945769584,1235.6049854608593,297.8437570605504,3572.61860520864,1369.5492745833424,4962.6699026194365,1508.416772051148,0.06476405357303039,0.027183729911585523
transport,2,35-49,foreign_born,all,all_donors,872,16254347.728021001,562.3748597336147,105.72644184027334,54.94728497960125,20.76072996209183,434.020062683363,97.55099283804536,641.2529047212877,71.31729008899701,1844.9006588984435,304.66675722369547,3132.1487604348117,339.01449565291256,0.15035695216214967,0.019409715580523717
transport,2,35-49,both,all,mexican_origin,503,8233061.57151,911.5741156097989,173.28507117215244,116.00875536786126,72.00290872553218,539.9145844627499,94.7045908000838,547.5842704539391,96.76038417534049,2222.123329708562,436.67583119420783,3758.9871154868392,519.9560350946042,0.18760901617254763,0.030056521453608896
transport,2,35-49,both,all,nh_white,1745,35257215.169566005,1740.8538134192984,294.3859433405237,573.6055942026629,190.14729034279887,979.5162963651165,190.25811018841952,1367.266329733107,118.3298969448708,6373.838105976645,685.3197786511377,9559.101106275652,785.5271233861553,0.1302957012334434,0.010368874817415401
transport,2,35-49,both,all,all_donors,3330,64853241.966772996,1625.5885475174296,224.81196105772497,414.0861391894125,109.73549362893738,1028.4935101530998,175.40396884101918,1075.5432707825457,84.37145250193439,4616.645022067794,400.9824828364238,7394.432597372465,475.3530474279225,0.16165426387364393,0.009640653650690422
transport,3,50-64,us_born,all,mexican_origin,154,2370870.791448,3242.887617545516,803.0384245842271,771.1876514555833,233.56797720158474,2136.212009745901,750.406675257291,2271.655411040158,1138.1153895128753,6317.282367323832,1654.1540753074157,11987.704624857477,2710.6474143713426,0.14208894875888836,0.03378385185793177
