poll,date,panel,url,question,statement,panelist,institution,vote,confidence,comment
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Daron Acemoglu,MIT,Uncertain,6,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Alberto Alesina,Harvard,Disagree,6,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Alberto Alesina,Harvard,Agree,4,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Joseph Altonji,Yale,Disagree,7,"Real income of avg the American would rise, but social strains and inequality would also increase."
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Joseph Altonji,Yale,Disagree,7,"I agree that the effect would be negative, but believe that it would be modest, not substantial."
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Alan Auerbach,Berkeley,Uncertain,3,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Alan Auerbach,Berkeley,Agree,5,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,David Autor,MIT,Agree,8,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",David Autor,MIT,Strongly Disagree,8,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Katherine Baicker,University of Chicago,Agree,4,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Katherine Baicker,University of Chicago,Agree,4,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Abhijit Banerjee,MIT,Agree,5,The median US worker (which is how I interpret the word average) is high skill by global standards
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Abhijit Banerjee,MIT,Uncertain,5,It all turns on what fraction of low skilled US workers don't have an option that they clearly prefer to these mostly dead end low paid jobs
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Marianne Bertrand,Chicago,Uncertain,4,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Marianne Bertrand,Chicago,Uncertain,4,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Markus Brunnermeier,Princeton,Uncertain,6,It depends on whether one takes a long or short-term horizon.
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Markus Brunnermeier,Princeton,Agree,8,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Raj Chetty,Harvard,Did Not Answer,,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Raj Chetty,Harvard,Did Not Answer,,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Janet Currie,Princeton,Agree,8,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Janet Currie,Princeton,Agree,7,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,David Cutler,Harvard,Agree,5,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",David Cutler,Harvard,Strongly Agree,7,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Angus Deaton,Princeton,Disagree,7,I think it matters a lot whether or not they are granted citizenship which we are not told.
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Angus Deaton,Princeton,Agree,7,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Darrell Duffie,Stanford,Agree,4,Labor is a valuable factor input. My answer presumes that many of these new workers would be employed. But I'm not confident of that.
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Darrell Duffie,Stanford,Agree,1,"A higher number of workers of the same type seeking jobs would lower their average wages or employment rate, other things equal."
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Aaron Edlin,Berkeley,Agree,6,This would drive down the cost of a variety of services.
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Aaron Edlin,Berkeley,Agree,7,Those who compete with low skill immigrants will be hurt by extra competition.
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Barry Eichengreen,Berkeley,Uncertain,1,"""Average US citizen?"" What does this mean.  Unskilled natives likely to be worse off, skilled native better off. Who's average?"
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Barry Eichengreen,Berkeley,Agree,5,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Liran Einav,Stanford,Agree,6,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Liran Einav,Stanford,Strongly Agree,8,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Ray Fair,Yale,Agree,5,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Ray Fair,Yale,Agree,5,"""substantially"" is probably too strong."
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Amy Finkelstein,MIT,Agree,5,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Amy Finkelstein,MIT,Uncertain,5,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Pinelopi Goldberg,Yale,Uncertain,6,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Pinelopi Goldberg,Yale,Agree,6,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Austan Goolsbee,Chicago,Did Not Answer,,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Austan Goolsbee,Chicago,Did Not Answer,,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Michael Greenstone,University of Chicago,Did Not Answer,,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Michael Greenstone,University of Chicago,Did Not Answer,,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Robert Hall,Stanford,Uncertain,5,"If only workers are admitted, we come out ahead because of tax revenue. But it's not so obvious if they bring their families and relatives."
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Robert Hall,Stanford,Uncertain,4,My understanding is that the Mariel question is still up in the air in terms of serious research.
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Oliver Hart,Harvard,Agree,8,On average citizens would be better off--by classical gains from trade . A countervailing effect : welfare payments to unemployed immigrants
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Oliver Hart,Harvard,Agree,8,There can be winners and losers. Similarly skilled workers will face greater competition for jobs and their wages may fall.
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Bengt Holmström,MIT,Agree,5,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Bengt Holmström,MIT,Agree,4,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Caroline Hoxby,Stanford,Uncertain,10,I am sure that I am uncertain. A certain answer would require a knowledge of general eqm effects on which we've only a partial grasp.
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Caroline Hoxby,Stanford,Uncertain,10,Low-skilled workers would probably be worse off but positive gen eqm effects might offset negative direct effects.
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Hilary Hoynes,Berkeley,Agree,10,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Hilary Hoynes,Berkeley,Agree,10,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Kenneth Judd,Stanford,Uncertain,8,"Free trade is as good as migration for traded goods. The impact on nongraded goods is unclear, as are the burdens on social programs."
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Kenneth Judd,Stanford,Agree,8,"It is hard to see how they would benefit, and they would lose from the competition in the labor market."
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Steven Kaplan,Chicago Booth,Agree,6,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Steven Kaplan,Chicago Booth,Uncertain,6,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Anil Kashyap,Chicago Booth,Agree,5,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Anil Kashyap,Chicago Booth,Uncertain,3,"I believe the evidence show that some low-skilled natives suffer, but whether many suffer substantially not clear given what I know on this"
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Pete Klenow,Stanford,Uncertain,5,But the gains to immigrants would be large.
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Pete Klenow,Stanford,Disagree,5,
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Jonathan Levin,Stanford,Uncertain,4,"Card's Ely lecture argues wage effects are small. Pro-immigration arguments partly about welfare of immigrants, rather than residents."
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,B,"Unless they were compensated by others, many low-skilled American workers would be substantially worse off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.",Jonathan Levin,Stanford,Uncertain,1,"Again, Card's work suggests this is not obvious, although one might expect increased labor market competition."
Low-Skilled Immigrants,"December 10, 2013",US,https://kentclarkcenter.org/surveys/low-skilled-immigrants/,A,The average US citizen would be better off if a larger number of low-skilled foreign workers were legally allowed to enter the US each year.,Eric Maskin,Harvard,Agree,7,
