year,month,group,n,n_mex,pop_m,mex_rate,mex_other_rate,mex_catx_rate,mex_noncit_rate,mex_share_hisp,hisp_rate,mex_level_m,mex_other_level_m
2025,12,all,90096,2635,338.226509,0.034528,0.016114,0.018414,0.021356,0.168283,0.205181,11.678391,5.450329
2025,12,mis1_4,44932,1261,166.975181,0.03275,0.015286,0.017464,0.01812,0.1592,0.205718,11.076987,5.170173
2025,12,mis5_8,45164,1374,171.251328,0.036262,0.016922,0.01934,0.024511,0.177184,0.204657,12.264778,5.72349
2025,12,new,44932,1261,166.975181,0.03275,0.015286,0.017464,0.01812,0.1592,0.205718,11.076987,5.170173
2025,12,old,45164,1374,171.251328,0.036262,0.016922,0.01934,0.024511,0.177184,0.204657,12.264778,5.72349
2026,1,all,90033,2571,337.551502,0.0342,0.016236,0.017964,0.021218,0.165367,0.206815,11.54436,5.480606
2026,1,mis1_4,45040,1240,167.495968,0.032432,0.015117,0.017315,0.018099,0.1576,0.205789,10.947625,5.102773
2026,1,mis5_8,44993,1331,170.055534,0.035942,0.017339,0.018603,0.02429,0.172942,0.207824,12.132114,5.852752
2026,1,new,45040,1240,167.495968,0.032432,0.015117,0.017315,0.018099,0.1576,0.205789,10.947625,5.102773
2026,1,old,44993,1331,170.055534,0.035942,0.017339,0.018603,0.02429,0.172942,0.207824,12.132114,5.852752
2026,2,all,92046,2513,337.592486,0.031899,0.014583,0.017316,0.01936,0.154123,0.206973,10.768975,4.923233
2026,2,mis1_4,46642,1226,170.069038,0.030715,0.013858,0.016857,0.017542,0.149459,0.205508,10.369205,4.67838
2026,2,mis5_8,45404,1287,167.523448,0.033102,0.01532,0.017782,0.021205,0.15879,0.208461,11.17482,5.171806
2026,2,new,46642,1226,170.069038,0.030715,0.013858,0.016857,0.017542,0.149459,0.205508,10.369205,4.67838
2026,2,old,45404,1287,167.523448,0.033102,0.01532,0.017782,0.021205,0.15879,0.208461,11.17482,5.171806
2026,3,all,89064,2443,337.634767,0.032431,0.015061,0.01737,0.019945,0.156589,0.207111,10.949926,5.085202
2026,3,mis1_4,45464,1257,171.749943,0.032622,0.014575,0.018047,0.01956,0.155876,0.209281,11.014269,4.92111
2026,3,mis5_8,43600,1186,165.884824,0.032234,0.015564,0.01667,0.020343,0.157344,0.204863,10.883308,5.255096
2026,3,new,45464,1257,171.749943,0.032622,0.014575,0.018047,0.01956,0.155876,0.209281,11.014269,4.92111
2026,3,old,43600,1186,165.884824,0.032234,0.015564,0.01667,0.020343,0.157344,0.204863,10.883308,5.255096
2026,4,all,92348,2651,337.682903,0.033371,0.01564,0.017731,0.019757,0.161012,0.207257,11.268805,5.281487
2026,4,mis1_4,47121,1349,171.694019,0.032765,0.014213,0.018553,0.018701,0.15782,0.207612,11.064316,4.799408
2026,4,mis5_8,45227,1302,165.988884,0.033997,0.017117,0.01688,0.02085,0.164326,0.20689,11.480323,5.780135
2026,4,new,58500,1683,213.832968,0.033039,0.014656,0.018382,0.019045,0.158248,0.208777,11.156567,4.949167
2026,4,old,33848,968,123.849935,0.033945,0.017339,0.016605,0.020988,0.165881,0.204633,11.46259,5.855252
