fips,wave,pop,hisp,fb,mex,pop_u19,pop_65p,medhhinc
01085,2000,13473.0,85.0,36.0,,,,
01085,2009,12632.0,25.0,30.0,22.0,3754.0,1711.0,30270.0
01085,2012,11304.0,72.0,24.0,20.0,3135.0,1665.0,28023.0
01085,2017,10362.0,71.0,34.0,7.0,2581.0,1801.0,29785.0
01085,2022,10153.0,19.0,81.0,3.0,2536.0,1967.0,33125.0
01087,2000,24105.0,173.0,350.0,,,,
01087,2009,22304.0,113.0,120.0,14.0,6442.0,3345.0,26305.0
01087,2012,21214.0,274.0,180.0,83.0,5731.0,3035.0,27957.0
01087,2017,19358.0,315.0,231.0,48.0,4814.0,3440.0,32308.0
01087,2022,19198.0,453.0,227.0,95.0,5005.0,3883.0,41206.0
01089,2000,276700.0,5226.0,10976.0,,,,
01089,2009,314047.0,8861.0,15046.0,2614.0,86094.0,38433.0,54979.0
01089,2012,334661.0,14916.0,17938.0,4413.0,89099.0,41300.0,58242.0
01089,2017,353213.0,16734.0,19423.0,4048.0,88618.0,49381.0,61318.0
01089,2022,389781.0,20611.0,21459.0,3386.0,95492.0,59906.0,78058.0
01091,2000,22539.0,219.0,166.0,,,,
01091,2009,21210.0,82.0,71.0,22.0,6118.0,3193.0,30819.0
01091,2012,20909.0,364.0,140.0,0.0,5605.0,3558.0,34515.0
01091,2017,19743.0,88.0,89.0,34.0,5136.0,3688.0,32255.0
01091,2022,19180.0,542.0,277.0,229.0,4985.0,3818.0,42975.0
01093,2000,31214.0,360.0,150.0,,,,
01093,2009,29415.0,537.0,235.0,172.0,7028.0,5293.0,32224.0
01093,2012,30641.0,645.0,339.0,89.0,7253.0,5745.0,31970.0
01093,2017,30058.0,741.0,488.0,198.0,7009.0,6141.0,35719.0
01093,2022,29203.0,790.0,305.0,196.0,6786.0,6114.0,49743.0
01095,2000,82231.0,4656.0,3312.0,,,,
01095,2009,87925.0,9346.0,5890.0,3492.0,25025.0,12473.0,37396.0
01095,2012,93070.0,11174.0,7410.0,4379.0,25895.0,13858.0,38649.0
01095,2017,94738.0,12600.0,6877.0,4057.0,25753.0,15694.0,41104.0
01095,2022,97923.0,14751.0,6999.0,2894.0,27181.0,16883.0,58272.0
01097,2000,399843.0,4887.0,9133.0,,,,
01097,2009,405331.0,7130.0,12170.0,1205.0,117301.0,50038.0,40476.0
01097,2012,412297.0,9864.0,13265.0,2061.0,115050.0,53692.0,42973.0
01097,2017,414328.0,11416.0,13109.0,1084.0,109330.0,61878.0,45802.0
01097,2022,413878.0,12565.0,13193.0,1018.0,106762.0,69056.0,55352.0
01099,2000,24324.0,190.0,82.0,,,,
01099,2009,22790.0,114.0,143.0,48.0,6571.0,3334.0,29810.0
01099,2012,22993.0,224.0,279.0,141.0,6367.0,3619.0,30996.0
01099,2017,21745.0,286.0,116.0,0.0,5604.0,4048.0,26036.0
01099,2022,19816.0,44.0,88.0,31.0,4726.0,4161.0,39965.0
01101,2000,223510.0,2665.0,4443.0,,,,
01101,2009,224369.0,4255.0,6445.0,1062.0,64204.0,26623.0,43015.0
01101,2012,229376.0,7887.0,9930.0,2387.0,64161.0,27580.0,44401.0
01101,2017,227120.0,7628.0,10422.0,1916.0,60306.0,31204.0,46545.0
01101,2022,228132.0,8597.0,11045.0,1578.0,60382.0,35635.0,56707.0
01103,2000,111064.0,3645.0,3007.0,,,,
01103,2009,115197.0,6691.0,5203.0,3143.0,31111.0,15905.0,42913.0
01103,2012,119330.0,8943.0,6364.0,3939.0,31414.0,16978.0,45852.0
01103,2017,119157.0,9485.0,5110.0,3354.0,30095.0,19376.0,47529.0
01103,2022,123102.0,10845.0,6326.0,2864.0,30787.0,22059.0,61588.0
01105,2000,11861.0,102.0,58.0,,,,
01105,2009,10689.0,69.0,18.0,0.0,3515.0,1633.0,26270.0
01105,2012,10525.0,81.0,60.0,7.0,3189.0,1766.0,31008.0
01105,2017,9680.0,67.0,60.0,0.0,2820.0,1791.0,22973.0
01105,2022,8479.0,82.0,52.0,0.0,2667.0,1737.0,32332.0
01107,2000,20949.0,147.0,80.0,,,,
01107,2009,19528.0,194.0,139.0,107.0,5202.0,3247.0,27150.0
01107,2012,19646.0,320.0,171.0,167.0,5089.0,3349.0,28762.0
01107,2017,20170.0,826.0,547.0,434.0,4703.0,3642.0,36220.0
01107,2022,18925.0,987.0,781.0,522.0,4132.0,3672.0,45339.0
01109,2000,29605.0,365.0,575.0,,,,
01109,2009,30136.0,527.0,761.0,241.0,8746.0,3782.0,28065.0
01109,2012,32750.0,743.0,1416.0,256.0,8728.0,4206.0,31702.0
01109,2017,33287.0,282.0,1128.0,142.0,8357.0,4744.0,35684.0
01109,2022,32997.0,799.0,1313.0,199.0,8727.0,5057.0,42616.0
01111,2000,22380.0,272.0,269.0,,,,
01111,2009,22504.0,396.0,223.0,136.0,5834.0,3747.0,35137.0
01111,2012,22843.0,636.0,330.0,182.0,5932.0,3993.0,35074.0
01111,2017,22530.0,665.0,349.0,204.0,5642.0,4429.0,39485.0
01111,2022,22179.0,669.0,336.0,129.0,5245.0,4633.0,49879.0
01113,2000,49756.0,744.0,1003.0,,,,
01113,2009,50029.0,1341.0,902.0,91.0,13397.0,6945.0,32064.0
01113,2012,53938.0,2092.0,857.0,225.0,15215.0,6800.0,33591.0
01113,2017,58480.0,3050.0,1809.0,460.0,15742.0,7587.0,38988.0
01113,2022,58849.0,3451.0,1728.0,116.0,15658.0,8769.0,47420.0
01115,2000,64742.0,686.0,413.0,,,,
01115,2009,77585.0,1167.0,1153.0,369.0,20242.0,9900.0,48425.0
01115,2012,83530.0,1733.0,1567.0,511.0,21742.0,11106.0,49652.0
01115,2017,86937.0,2003.0,1513.0,361.0,21606.0,13476.0,53483.0
01115,2022,91719.0,2325.0,1335.0,307.0,22350.0,15955.0,73218.0
01117,2000,143293.0,2910.0,3389.0,,,,
01117,2009,182996.0,6891.0,8237.0,3248.0,51931.0,16463.0,67534.0
01117,2012,195237.0,11191.0,11875.0,5289.0,54266.0,21070.0,69379.0
01117,2017,208721.0,12045.0,10996.0,4152.0,55459.0,28571.0,74063.0
01117,2022,223916.0,13195.0,11171.0,3355.0,57053.0,36181.0,90618.0
01119,2000,14798.0,165.0,70.0,,,,
01119,2009,13267.0,185.0,65.0,0.0,3855.0,1963.0,20994.0
01119,2012,13669.0,101.0,33.0,0.0,3840.0,2046.0,22655.0
01119,2017,13084.0,34.0,289.0,0.0,3349.0,2151.0,21663.0
01119,2022,12196.0,85.0,144.0,8.0,3183.0,2269.0,31726.0
01121,2000,80321.0,812.0,541.0,,,,
01121,2009,80190.0,1109.0,1149.0,321.0,21183.0,11042.0,35865.0
01121,2012,82194.0,1653.0,1011.0,505.0,21452.0,11688.0,35209.0
01121,2017,80888.0,1791.0,1343.0,364.0,19493.0,13381.0,39219.0
01121,2022,81105.0,1997.0,1515.0,514.0,18657.0,15066.0,52457.0
01123,2000,41475.0,242.0,183.0,,,,
01123,2009,40778.0,443.0,372.0,169.0,10152.0,7160.0,36637.0
01123,2012,41534.0,1006.0,774.0,452.0,10225.0,7289.0,38611.0
01123,2017,40756.0,968.0,552.0,345.0,9806.0,8100.0,42181.0
01123,2022,41251.0,1010.0,704.0,250.0,9493.0,9181.0,53282.0
01125,2000,164875.0,2130.0,3459.0,,,,
01125,2009,178754.0,3336.0,5367.0,1436.0,49475.0,19536.0,39579.0
01125,2012,194254.0,5860.0,6649.0,2536.0,52629.0,21150.0,43996.0
01125,2017,204424.0,7128.0,7711.0,1930.0,55350.0,24738.0,50513.0
01125,2022,231558.0,9261.0,8171.0,1993.0,62539.0,31567.0,61645.0
01127,2000,70713.0,607.0,513.0,,,,
01127,2009,68880.0,1022.0,549.0,271.0,17218.0,10918.0,36708.0
01127,2012,67016.0,1340.0,719.0,263.0,16615.0,10971.0,37408.0
01127,2017,64927.0,1531.0,924.0,324.0,15903.0,11854.0,38872.0
01127,2022,64978.0,1868.0,730.0,167.0,15725.0,12763.0,52987.0
01129,2000,18097.0,160.0,86.0,,,,
01129,2009,17212.0,34.0,90.0,15.0,4766.0,2563.0,34738.0
01129,2012,17407.0,163.0,82.0,0.0,4947.0,2575.0,42256.0
01129,2017,16746.0,81.0,262.0,63.0,4240.0,2893.0,42185.0
01129,2022,15434.0,261.0,114.0,15.0,3515.0,3051.0,51184.0
01131,2000,13183.0,97.0,41.0,,,,
01131,2009,12552.0,0.0,0.0,0.0,4125.0,1701.0,22006.0
01131,2012,11706.0,21.0,17.0,8.0,3450.0,1777.0,24212.0
01131,2017,10919.0,52.0,0.0,0.0,2981.0,1945.0,27012.0
01131,2022,10441.0,22.0,54.0,6.0,2826.0,2169.0,38208.0
01133,2000,24843.0,372.0,257.0,,,,
01133,2009,24190.0,629.0,349.0,164.0,6164.0,3863.0,29818.0
01133,2012,24432.0,648.0,272.0,102.0,5786.0,4396.0,32830.0
01133,2017,23968.0,717.0,325.0,215.0,5489.0,4938.0,35362.0
01133,2022,23655.0,768.0,448.0,80.0,5278.0,5136.0,49494.0
02013,2000,2697.0,339.0,493.0,,,,
02013,2009,2959.0,281.0,1868.0,151.0,421.0,81.0,56250.0
02013,2012,3114.0,449.0,1835.0,266.0,334.0,118.0,58125.0
02013,2017,3338.0,324.0,1209.0,163.0,514.0,274.0,66607.0
02013,2022,3407.0,405.0,1102.0,131.0,462.0,396.0,79961.0
02016,2000,5465.0,573.0,1174.0,,,,
02016,2009,5505.0,884.0,2455.0,536.0,592.0,134.0,72989.0
02016,2012,5507.0,741.0,1927.0,306.0,988.0,306.0,77292.0
02016,2017,5784.0,780.0,2163.0,147.0,1133.0,319.0,85192.0
02016,2022,5219.0,802.0,2298.0,170.0,1039.0,329.0,100662.0
02020,2000,260283.0,14799.0,21278.0,,,,
02020,2009,280389.0,22723.0,23819.0,1897.0,81404.0,18846.0,70151.0
02020,2012,291470.0,22473.0,27153.0,1759.0,82953.0,21745.0,76495.0
02020,2017,298225.0,26415.0,31367.0,2460.0,80826.0,28148.0,82271.0
02020,2022,290674.0,28162.0,31473.0,1968.0,76568.0,34768.0,95731.0
02050,2000,16006.0,140.0,217.0,,,,
02050,2009,17151.0,57.0,96.0,0.0,6863.0,885.0,53120.0
02050,2012,17184.0,201.0,155.0,0.0,6897.0,1007.0,52349.0
02050,2017,17957.0,393.0,393.0,21.0,6958.0,1267.0,53853.0
02050,2022,18538.0,399.0,417.0,3.0,7057.0,1435.0,64094.0
02060,2000,1258.0,7.0,7.0,,,,
02060,2009,682.0,14.0,7.0,0.0,224.0,76.0,62500.0
02060,2012,929.0,49.0,10.0,0.0,271.0,88.0,79931.0
02060,2017,917.0,41.0,26.0,3.0,219.0,89.0,79500.0
02060,2022,854.0,74.0,79.0,10.0,173.0,108.0,94167.0
02063,2022,7000.0,414.0,568.0,27.0,1728.0,925.0,83068.0
02066,2022,2614.0,171.0,36.0,3.0,725.0,449.0,70606.0
02068,2000,1893.0,47.0,54.0,,,,
02068,2009,1529.0,9.0,60.0,0.0,320.0,70.0,76250.0
02068,2012,1917.0,43.0,160.0,13.0,435.0,114.0,74044.0
02068,2017,2303.0,17.0,236.0,0.0,395.0,174.0,83295.0
02068,2022,2101.0,35.0,200.0,15.0,314.0,296.0,87292.0
02070,2000,4922.0,111.0,49.0,,,,
02070,2009,4946.0,157.0,82.0,10.0,1829.0,351.0,60466.0
02070,2012,4887.0,102.0,79.0,4.0,1804.0,368.0,56857.0
02070,2017,4974.0,155.0,102.0,0.0,1693.0,402.0,58708.0
02070,2022,4854.0,162.0,156.0,0.0,1601.0,568.0,69412.0
02090,2000,82840.0,3440.0,3353.0,,,,
02090,2009,96843.0,6186.0,4853.0,237.0,29201.0,5514.0,65121.0
02090,2012,97523.0,5898.0,5126.0,540.0,28003.0,6383.0,69485.0
02090,2017,100031.0,7714.0,5091.0,155.0,27109.0,8659.0,76250.0
02090,2022,96299.0,8038.0,5094.0,234.0,25710.0,11333.0,81655.0
02100,2000,2392.0,33.0,97.0,,,,
02100,2009,2424.0,78.0,2.0,0.0,538.0,392.0,44284.0
02100,2012,2500.0,32.0,103.0,0.0,617.0,348.0,50208.0
02100,2017,2537.0,71.0,168.0,18.0,565.0,570.0,70640.0
02100,2022,2079.0,170.0,93.0,13.0,631.0,449.0,68276.0
02105,2009,2042.0,84.0,64.0,5.0,465.0,276.0,43208.0
02105,2012,2153.0,61.0,54.0,0.0,457.0,323.0,48942.0
02105,2017,2146.0,117.0,125.0,20.0,379.0,408.0,57900.0
02105,2022,2329.0,230.0,58.0,19.0,353.0,559.0,62344.0
02110,2000,30711.0,1040.0,1760.0,,,,
02110,2009,30777.0,1479.0,2008.0,299.0,8248.0,2229.0,76437.0
