arm,outcome,regressor,window,unit,n,clusters,coef,se,coef10,se10,t,stars,mean_y0,mean_dx
K_placebo_fb,corrections,fb,2012-2022,share_pp,3120,50,0.00264813,0.0231485,0.0264813,0.231485,0.114397,,1.89085,1.32173
K_placebo_fb,judicial,fb,2012-2022,share_pp,3120,50,-0.0531308,0.0383171,-0.531308,0.383171,-1.38661,,1.5804,1.32173
K_placebo_fb,law_order,fb,2012-2022,share_pp,3120,50,-0.118967,0.0584061,-1.18967,0.584061,-2.03689,**,9.42279,1.32173
K_placebo_fb,welfare,fb,2012-2022,share_pp,3120,50,-0.00696736,0.0374548,-0.0696736,0.374548,-0.18602,,2.90611,1.32173
K_placebo_fb,health_hosp,fb,2012-2022,share_pp,3120,50,0.138368,0.130205,1.38368,1.30205,1.06269,,8.22142,1.32173
K_placebo_fb,highways,fb,2012-2022,share_pp,3120,50,0.00432547,0.0589168,0.0432547,0.589168,0.0734167,,4.61087,1.32173
L_log_wtd,total_direct,hisp,2012-2022,dollars_pc,3126,50,-0.000155386,0.00225375,-0.00155386,0.0225375,-0.0689456,,8.61068,2.0817
L_log_wtd,education,hisp,2012-2022,dollars_pc,3111,49,0.015451,0.00639234,0.15451,0.0639234,2.41712,**,7.77654,2.08291
L_log_wtd,police,hisp,2012-2022,dollars_pc,3115,50,-0.00409244,0.00422731,-0.0409244,0.0422731,-0.968096,,5.72948,2.08181
L_log_wtd,corrections,hisp,2012-2022,dollars_pc,2389,47,0.00831704,0.0136716,0.0831704,0.136716,0.608345,,4.54578,2.10168
L_log_wtd,judicial,hisp,2012-2022,dollars_pc,3004,50,-0.0287761,0.0212327,-0.287761,0.212327,-1.35527,,4.25728,2.08389
L_log_wtd,law_order,hisp,2012-2022,dollars_pc,3119,50,-0.00733696,0.00680911,-0.0733696,0.0680911,-1.07752,,6.19911,2.08163
L_log_wtd,welfare,hisp,2012-2022,dollars_pc,2354,50,-0.00046409,0.0219114,-0.0046409,0.219114,-0.0211803,,4.21079,2.12818
L_log_wtd,health_hosp,hisp,2012-2022,dollars_pc,2979,50,-0.0346066,0.024579,-0.346066,0.24579,-1.40798,,5.38498,2.08351
L_log_wtd,highways,hisp,2012-2022,dollars_pc,3081,50,0.0160909,0.00806026,0.160909,0.0806026,1.99633,**,5.37898,2.08234
L_log_unwtd,total_direct,hisp,2012-2022,dollars_pc,3126,50,0.0138541,0.00522146,0.138541,0.0522146,2.6533,***,8.48788,1.66819
L_log_unwtd,education,hisp,2012-2022,dollars_pc,3111,49,0.00693225,0.00170794,0.0693225,0.0170794,4.05885,***,7.72816,1.68175
L_log_unwtd,police,hisp,2012-2022,dollars_pc,3115,50,0.00709743,0.00692859,0.0709743,0.0692859,1.02437,,5.35736,1.66571
L_log_unwtd,corrections,hisp,2012-2022,dollars_pc,2389,47,-0.0136638,0.00812031,-0.136638,0.0812031,-1.68267,*,4.13464,1.70814
L_log_unwtd,judicial,hisp,2012-2022,dollars_pc,3004,50,0.0310397,0.00812211,0.310397,0.0812211,3.82164,***,3.92753,1.66716
L_log_unwtd,law_order,hisp,2012-2022,dollars_pc,3119,50,0.0140125,0.00643547,0.140125,0.0643547,2.17739,**,5.85485,1.6656
L_log_unwtd,welfare,hisp,2012-2022,dollars_pc,2354,50,-0.00890153,0.0151658,-0.0890153,0.151658,-0.586947,,3.45662,1.68734
L_log_unwtd,health_hosp,hisp,2012-2022,dollars_pc,2979,50,-0.048413,0.0176934,-0.48413,0.176934,-2.73622,***,5.06112,1.67475
L_log_unwtd,highways,hisp,2012-2022,dollars_pc,3081,50,0.031949,0.00591586,0.31949,0.0591586,5.40056,***,5.54878,1.65659
M_logratio_wtd,lo_ed,hisp,2012-2022,dollars_pc,3104,49,-0.0227469,0.0113091,-0.227469,0.113091,-2.01138,**,-1.57655,2.08284
M_logratio_unwtd,lo_ed,hisp,2012-2022,dollars_pc,3104,49,0.000382528,0.00694747,0.00382528,0.0694747,0.0550601,,-1.87758,1.67918
M_logratio_cov,lo_ed,hisp,2012-2022,dollars_pc,3104,49,-0.0172774,0.00828995,-0.172774,0.0828995,-2.08413,**,-1.57655,2.08284
M_logratio_fb,lo_ed,fb,2012-2022,dollars_pc,3104,49,-0.0188853,0.00648838,-0.188853,0.0648838,-2.91064,***,-1.57655,0.667427
M_logratio_placebo,lo_ed,hisp,2012-2022,dollars_pc,3100,49,-0.0119177,0.011523,-0.119177,0.11523,-1.03425,,-1.57653,2.37138
N_elemsec_wtd,educ_elemsec,hisp,2012-2022,share_pp,3126,50,0.657631,0.194196,6.57631,1.94196,3.38643,***,41.7998,2.0817
N_elemsec_unwtd,educ_elemsec,hisp,2012-2022,share_pp,3126,50,0.046295,0.101033,0.46295,1.01033,0.458215,,47.0714,1.66819
