fips,year,total_direct,interest,n_units,admin,corrections,educ_elemsec,education,fire,health_hosp,highways,housing,judicial,libraries,parks,police,sewer_waste,welfare
05089,2007,24769.0,,12,,0.0,15100.0,15100.0,,29.0,3537.0,,584.0,,,1816.0,,30.0
05091,2007,108844.0,,18,,3621.0,66855.0,66855.0,,133.0,4154.0,,1209.0,,,9765.0,,4.0
05093,2007,155116.0,,41,,2740.0,77664.0,77664.0,,383.0,4872.0,,1618.0,,,7827.0,,645.0
05095,2007,23611.0,,12,,387.0,15078.0,15078.0,,125.0,1663.0,,423.0,,,1250.0,,118.0
05097,2007,16112.0,,10,,276.0,11186.0,11186.0,,23.0,1398.0,,211.0,,,378.0,,0.0
05099,2007,24845.0,,12,,372.0,12096.0,12096.0,,4742.0,2007.0,,360.0,,,1050.0,,0.0
05101,2007,25208.0,,8,,82.0,20700.0,20700.0,,0.0,1878.0,,143.0,,,502.0,,11.0
05103,2007,70890.0,,15,,387.0,50359.0,50359.0,,24.0,3496.0,,853.0,,,2638.0,,0.0
05105,2007,17558.0,,14,,305.0,12723.0,12723.0,,23.0,1356.0,,175.0,,,691.0,,22.0
05107,2007,76173.0,,21,,532.0,49168.0,49168.0,,79.0,1929.0,,484.0,,,2266.0,,36.0
05109,2007,28653.0,,12,,327.0,21351.0,21351.0,,1841.0,1294.0,,208.0,,,558.0,,0.0
05111,2007,62141.0,,23,,599.0,45784.0,45784.0,,60.0,3017.0,,164.0,,,3117.0,,0.0
05113,2007,63349.0,,15,,447.0,33310.0,33310.0,,19698.0,1687.0,,294.0,,,1477.0,,0.0
05115,2007,130471.0,,25,,164.0,85595.0,85595.0,,1558.0,7846.0,,1155.0,,,9635.0,,375.0
05117,2007,18491.0,,13,,261.0,10909.0,10909.0,,407.0,1978.0,,448.0,,,1125.0,,8.0
05119,2007,1307856.0,,89,,15810.0,547832.0,547832.0,,61223.0,59811.0,,17503.0,,,87129.0,,0.0
05121,2007,36419.0,,16,,0.0,23676.0,23676.0,,27.0,3115.0,,245.0,,,2196.0,,0.0
05123,2007,66229.0,,17,,657.0,45091.0,45091.0,,226.0,2715.0,,376.0,,,4277.0,,144.0
05125,2007,189825.0,,30,,5371.0,117143.0,117143.0,,409.0,9784.0,,1457.0,,,11783.0,,0.0
05127,2007,19867.0,,7,,0.0,13040.0,13040.0,,7.0,1619.0,,272.0,,,1181.0,,0.0
05129,2007,15240.0,,9,,0.0,10524.0,10524.0,,0.0,1019.0,,99.0,,,731.0,,0.0
05131,2007,335596.0,,25,,7876.0,170140.0,170140.0,,185.0,32223.0,,4643.0,,,15618.0,,215.0
05133,2007,44702.0,,11,,706.0,33204.0,33204.0,,35.0,1941.0,,608.0,,,1829.0,,6.0
05135,2007,40667.0,,17,,0.0,26659.0,26659.0,,2.0,2695.0,,370.0,,,1724.0,,0.0
05137,2007,19227.0,,5,,87.0,13538.0,13538.0,,0.0,2086.0,,26.0,,,1038.0,,16.0
05139,2007,100821.0,,20,,1991.0,64410.0,64410.0,,132.0,6683.0,,1507.0,,,4598.0,,0.0
05141,2007,31532.0,,9,,302.0,20947.0,20947.0,,70.0,2209.0,,377.0,,,2506.0,,138.0
05143,2007,606750.0,,33,,11914.0,314649.0,314649.0,,1275.0,48133.0,,4701.0,,,33477.0,,0.0
05145,2007,167550.0,,57,,3446.0,111073.0,111073.0,,98.0,8151.0,,1158.0,,,14775.0,,315.0
05147,2007,25720.0,,13,,0.0,13253.0,13253.0,,79.0,1655.0,,232.0,,,1278.0,,5390.0
05149,2007,49421.0,,17,,412.0,35977.0,35977.0,,49.0,2835.0,,139.0,,,2786.0,,11.0
06001,2007,11854866.0,,92,,247985.0,2214310.0,2580529.0,,1250465.0,251906.0,,195255.0,,,608181.0,,576564.0
06003,2007,23693.0,,7,,398.0,4651.0,4651.0,,1669.0,2112.0,,451.0,,,2106.0,,1362.0
06005,2007,152323.0,,32,,5441.0,45324.0,45324.0,,8238.0,11093.0,,13227.0,,,12158.0,,7485.0
06007,2007,1095707.0,,69,,28148.0,349152.0,439458.0,,60135.0,30267.0,,27070.0,,,48206.0,,133961.0
06009,2007,176827.0,,50,,3461.0,74643.0,74643.0,,9881.0,10721.0,,2845.0,,,9604.0,,13182.0
06011,2007,133300.0,,49,,4268.0,52183.0,52183.0,,6915.0,8285.0,,2750.0,,,7035.0,,7252.0
06013,2007,6412486.0,,102,,126575.0,2005127.0,2228577.0,,805507.0,385166.0,,105648.0,,,341642.0,,389825.0
06015,2007,126740.0,,26,,6119.0,44772.0,44772.0,,12469.0,3727.0,,4839.0,,,4680.0,,18644.0
06017,2007,918802.0,,79,,23990.0,290349.0,306014.0,,38222.0,55917.0,,22781.0,,,41858.0,,39943.0
06019,2007,5139796.0,,166,,105893.0,2059713.0,2340688.0,,307050.0,139985.0,,86482.0,,,269077.0,,493741.0
06021,2007,169902.0,,46,,5285.0,68113.0,68113.0,,13175.0,6240.0,,2974.0,,,8923.0,,20744.0
06023,2007,658255.0,,100,,17301.0,215399.0,254762.0,,61846.0,19937.0,,16464.0,,,28463.0,,65145.0
06025,2007,1064515.0,,51,,18717.0,437814.0,485588.0,,177990.0,29615.0,,14033.0,,,41113.0,,79527.0
06027,2007,176915.0,,38,,6251.0,46037.0,46037.0,,67319.0,6332.0,,4060.0,,,7682.0,,6121.0
06029,2007,5139493.0,,159,,109732.0,1938555.0,2114575.0,,415880.0,82848.0,,84162.0,,,178978.0,,370072.0
06031,2007,607071.0,,65,,21594.0,274101.0,274101.0,,34852.0,19931.0,,13921.0,,,35494.0,,53176.0
06033,2007,277398.0,,43,,11242.0,113526.0,113526.0,,20463.0,9640.0,,7959.0,,,15175.0,,32049.0
06035,2007,145613.0,,37,,7683.0,58269.0,73468.0,,8138.0,8378.0,,3188.0,,,5556.0,,14402.0
06037,2007,59619450.0,,334,,1262890.0,18832353.0,21256230.0,,5524434.0,1604478.0,,1407236.0,,,3989567.0,,4569615.0
06039,2007,670642.0,,35,,19685.0,323802.0,323802.0,,23047.0,31261.0,,11338.0,,,23368.0,,55621.0
