ethnicity_name,race_desc,n,state,year,group
Not Specified,White,12601,CA,2022,B
Unknown,American Indian or Alaska Native,88,CA,2022,B
Unknown,Asian,417,CA,2022,B
Unknown,Black or African American,2007,CA,2022,B
Unknown,Native Hawaiian or Other Pacific Islander,52,CA,2022,B
Unknown,Unknown,1451,CA,2022,B
Unknown,White,6025,CA,2022,B
Hispanic or Latino,American Indian or Alaska Native,164,CA,2023,A
Hispanic or Latino,Asian,150,CA,2023,A
Hispanic or Latino,Black or African American,435,CA,2023,A
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,147,CA,2023,A
Hispanic or Latino,Unknown,918,CA,2023,A
Hispanic or Latino,White,106251,CA,2023,A
Not Hispanic or Latino,American Indian or Alaska Native,1530,CA,2023,A
Not Hispanic or Latino,Asian,8631,CA,2023,A
Not Hispanic or Latino,Black or African American,39509,CA,2023,A
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,1180,CA,2023,A
Not Hispanic or Latino,Unknown,3618,CA,2023,A
Not Hispanic or Latino,White,89943,CA,2023,A
Not Specified,American Indian or Alaska Native,111,CA,2023,A
Not Specified,Asian,786,CA,2023,A
Not Specified,Black or African American,1956,CA,2023,A
Not Specified,Native Hawaiian or Other Pacific Islander,94,CA,2023,A
Not Specified,Unknown,663,CA,2023,A
Not Specified,White,16521,CA,2023,A
Unknown,American Indian or Alaska Native,105,CA,2023,A
Unknown,Asian,841,CA,2023,A
Unknown,Black or African American,3940,CA,2023,A
Unknown,Native Hawaiian or Other Pacific Islander,114,CA,2023,A
Unknown,Unknown,2071,CA,2023,A
Unknown,White,10898,CA,2023,A
Hispanic or Latino,American Indian or Alaska Native,147,CA,2023,B
Hispanic or Latino,Asian,111,CA,2023,B
Hispanic or Latino,Black or African American,268,CA,2023,B
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,116,CA,2023,B
Hispanic or Latino,Unknown,569,CA,2023,B
Hispanic or Latino,White,92516,CA,2023,B
Not Hispanic or Latino,American Indian or Alaska Native,1354,CA,2023,B
Not Hispanic or Latino,Asian,5892,CA,2023,B
Not Hispanic or Latino,Black or African American,22791,CA,2023,B
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,747,CA,2023,B
Not Hispanic or Latino,Unknown,3090,CA,2023,B
Not Hispanic or Latino,White,65138,CA,2023,B
Not Specified,American Indian or Alaska Native,41,CA,2023,B
Not Specified,Asian,371,CA,2023,B
Not Specified,Black or African American,711,CA,2023,B
Not Specified,Native Hawaiian or Other Pacific Islander,44,CA,2023,B
Not Specified,Unknown,320,CA,2023,B
Not Specified,White,10044,CA,2023,B
Unknown,American Indian or Alaska Native,118,CA,2023,B
Unknown,Asian,527,CA,2023,B
Unknown,Black or African American,2334,CA,2023,B
Unknown,Native Hawaiian or Other Pacific Islander,87,CA,2023,B
Unknown,Unknown,1531,CA,2023,B
Unknown,White,7896,CA,2023,B
