state,employed,guards,police,occ_3930,occ_3870,occ_3820,occ_3801,occ_3900,pop,foreign_born,hisp,black,frac,guard_share,police_share,fb_share,hisp_share,black_share,name,police_exp_k,corrections_exp_k,NAME,log_medinc,poverty,urban,state_name,violent_crime_rate_2019,police_pc,corr_pc,polcorr_pc,crime
40,1805927,10029,12069,10029,9971,1589,314,195,3995260,246556,490411,276001,57.34,0.555338061837494,0.6682994384601371,6.171212887271416,12.274820662485045,6.908211230307915,Oklahoma,1123979,806116,Oklahoma,11.060415918027074,15.333337809064284,64.62194707064512,Oklahoma,431.8,281.32812382673467,201.7680951928035,483.0962190195381,431.8
41,2047808,9053,7457,9053,6140,995,322,0,4238714,418594,605822,78059,45.121,0.4420824608557052,0.364145466762509,9.87549525634426,14.292589686400166,1.8415727034190088,Oregon,1730481,1743322,Oregon,11.295092785974596,11.893212635745122,80.49983291073279,Oregon,284.4,408.25613617715186,411.28559275289626,819.5417289300481,284.4
42,6317764,34429,37409,34429,32292,4524,563,30,12986518,968852,1087032,1331694,43.521,0.5449554620907018,0.5921240489514961,7.460444747391103,8.370465431919472,10.254434637521774,Pennsylvania,4955196,4290801,Pennsylvania,11.239553841191775,11.776952629482935,76.45389034585125,Pennsylvania,306.4,381.5646349544967,330.40427002834787,711.9689049828446,306.4
44,556453,2830,2918,2830,2516,249,107,46,1095371,161092,187719,54924,48.588,0.5085784423841726,0.5243928957162599,14.70661538419403,17.137481273468076,5.014191538757188,Rhode Island,544554,301508,Rhode Island,11.366418828194723,10.905573622351444,91.05249872651108,Rhode Island,221.1,497.14115126290545,275.2565112642201,772.3976625271255,221.1
45,2380181,12529,16087,12529,13327,2299,385,76,5212774,295810,369720,1306712,54.386,0.5263885393589816,0.6758729693246017,5.6747136937070355,7.092576812269245,25.067497650962807,South Carolina,1576031,943379,South Carolina,11.109727784304466,14.18945601105,67.94803088840806,South Carolina,511.3,302.340174348629,180.97446772102532,483.31464206965427,511.3
46,455005,1566,2523,1566,2159,220,58,86,899194,34287,41107,20054,34.75,0.3441720420654718,0.5544994011054823,3.813081492981493,4.571538511155546,2.2302195076924445,South Dakota,270479,234095,South Dakota,11.190251591564536,12.013255720926383,57.21956495505077,South Dakota,399.0,300.8016067722872,260.3387033276468,561.1403100999339,399.0
47,3296313,17518,22843,17518,18259,3550,743,291,6986082,408959,496695,1097972,45.800999999999995,0.5314422507814033,0.6929863759903868,5.85391067554031,7.109779129417605,15.716563304009314,Tennessee,2517991,1317450,Tennessee,11.113894612571308,13.7736544859406,66.23336671084846,Tennessee,595.2,360.42963709844804,188.58209794846383,549.0117350469119,595.2
48,14131864,84664,94127,84664,76924,14888,1334,981,29640343,5097222,11697073,3530742,66.715,0.5991000196435516,0.6660621698595458,17.19690625712395,39.463352364039785,11.911947172811056,Texas,10474022,6775969,Texas,11.242323362496316,13.80372661817198,83.72027521911183,Texas,418.9,353.37047212982657,228.60629514307578,581.9767672729024,418.9
49,1672758,6809,8080,6809,6683,968,304,125,3331187,288920,513056,35340,40.148,0.4070523052348277,0.4830346051251885,8.673184663604895,15.401597088365198,1.0608831026297834,Utah,1096466,691926,Utah,11.426822765916818,8.557002553837407,89.78141077681488,Utah,235.6,329.1517408059049,207.71154546412436,536.8632862700292,235.6
50,334721,808,1589,808,1215,339,35,0,645254,28807,16097,7141,18.14,0.241395072313957,0.4747237251322743,4.464443459474873,2.4946765149847967,1.1066959677894288,Vermont,224494,167438,Vermont,11.264771750651851,10.267195809701313,35.120211110022595,Vermont,202.2,347.91570451326146,259.4916110554913,607.4073155687528,202.2
51,4250003,30421,39853,30421,28944,10036,553,320,8657499,1114665,930134,1596361,59.948,0.7157877300321905,0.9377169851409516,12.875138651474288,10.743680132102815,18.439054974190583,Virginia,3209024,3287665,Virginia,11.41832903038917,9.923166908783259,75.63452388276146,Virginia,208.0,370.66409132706804,379.74766153597017,750.4117528630381,208.0
53,3776031,20258,16510,20258,13143,2783,477,107,7740984,1177703,1088626,297722,55.266000000000005,0.5364892396275348,0.4372315799314147,15.213866867571358,14.063147527497796,3.846048512695543,Washington,2726693,2159101,Washington,11.461126779736341,9.905635137695237,83.37184588076671,Washington,293.9,352.24113626898077,278.91815820831044,631.1592944772913,293.9
54,740355,4379,5623,4379,3878,1373,316,56,1784462,30748,36113,57917,18.377,0.5914730095697335,0.7595005098905255,1.7230963730244746,2.0237472134458456,3.2456280940698092,West Virginia,488269,392624,West Virginia,10.96676623013805,16.64140508394173,44.647926427595,West Virginia,316.6,273.62252600503683,220.02373824715798,493.6462642521948,316.6
55,3020979,10060,13928,10060,12217,1439,192,80,5892023,298513,456939,351813,36.141,0.3330046319421618,0.4610425957942772,5.0663923070225625,7.755214125946215,5.971005204833721,Wisconsin,2107228,1833004,Wisconsin,11.234137059688567,10.577864685286627,67.08313835171619,Wisconsin,293.2,357.6408306620663,311.099260814155,668.7400914762213,293.2
56,283940,925,2325,925,2068,115,44,98,579761,19556,60847,4835,31.349,0.3257730506445023,0.818834965133479,3.3731140935661417,10.495186809737117,0.8339643404782316,Wyoming,243771,205797,Wyoming,11.22277367861752,10.72664237575055,62.017748083993965,Wyoming,217.4,420.46808943685414,354.96868537207575,775.4367748089298,217.4
