state,employed,guards,police,occ_3930,occ_3870,occ_3820,occ_3801,occ_3900,pop,foreign_born,hisp,black,frac,guard_share,police_share,fb_share,hisp_share,black_share
23,685372,1791,3887,1791,3140,662,13,72,1377400,53595,28642,22159,0.17718,0.2613179412056518,0.5671372626836229,3.8910265718019454,2.0794250036300275,1.6087556265427616
24,3137146,27521,28736,27521,22270,5680,486,300,6170738,1004946,744225,1800709,0.66958,0.8772623269685248,0.9159917963652312,16.28566955848717,12.06055094220497,29.181420439500105
25,3680058,18442,21447,18442,18458,1753,1111,125,6992395,1239197,904017,457047,0.51067,0.5011334060495786,0.5827897277705949,17.722068046785115,12.928574544201235,6.536344128156375
26,4710169,22937,24958,22937,20030,3408,1342,178,10051595,707134,576437,1330100,0.44419,0.48696766506679484,0.5298748303935591,7.035042697203778,5.734781395390483,13.23272575148521
27,2990520,11096,12847,11096,11440,1037,312,58,5713716,480953,353641,377198,0.39908,0.3710391503818734,0.42959084038896245,8.417516726417624,6.189334576657292,6.601623181831229
28,1243272,8053,9999,8053,8596,1154,225,24,2951438,68798,106137,1083620,0.55557,0.6477263221563745,0.8042487886801922,2.3309993298182103,3.596111454823039,36.714984356777954
29,2973163,11821,17093,11821,14181,2345,341,226,6168181,269381,311979,685720,0.39307,0.3975900413129048,0.5749096164589698,4.367268081140939,5.05787686839929,11.1170537959246
30,538066,2241,2697,2241,2047,556,44,50,1105072,24949,48557,5225,0.28614,0.41649165715730047,0.5012396248787324,2.257680947485775,4.3940123358478,0.47281987056047026
31,1020965,3807,5098,3807,3938,691,449,20,1965926,151556,242298,89898,0.40002,0.37288251800992195,0.4993315147923778,7.709140628894476,12.32487896289077,4.572806911348646
32,1470483,20377,9820,20377,7833,1760,126,101,3141000,600130,916841,284701,0.6852,1.385735163208279,0.6678077883253326,19.106335561922954,29.18946195479147,9.064024196115888
33,742155,2579,4197,2579,3411,673,113,0,1387835,87333,62622,18927,0.2302,0.34750153269869505,0.5655152899326961,6.2927509394128265,4.512207863326692,1.3637788353802864
34,4635181,30966,38724,30966,31659,6093,799,173,9267014,2179399,2033445,1139779,0.6557,0.6680645264985338,0.835436631277182,23.51781274960845,21.942828617718718,12.299312378291432
35,910839,5992,7325,5992,5411,1359,472,83,2114768,193549,1018187,39082,0.62635,0.6578550106001171,0.8042035969035142,9.152256890590364,48.14651063379056,1.8480514174604494
36,9545496,84256,82667,84256,66075,12117,4159,316,19872319,4504306,3895948,2701592,0.64866,0.8826780714171374,0.8660314770442521,22.66623236070234,19.604898653247265,13.594749560934483
37,4979887,22322,31301,22322,26297,4188,389,427,10584340,920775,1158685,2146703,0.57634,0.4482431027049409,0.6285483987889685,8.699408749152049,10.947163450909551,20.281878700041762
38,405190,1082,3010,1082,2520,354,136,0,779361,32496,35110,23297,0.31362,0.26703521804585506,0.7428613736765468,4.1695696859350155,4.504972663502536,2.9892437522534485
39,5688030,26050,32746,26050,27326,4101,1038,281,11780046,588348,537239,1427466,0.3957,0.45797930039046914,0.575700198486998,4.99444569231733,4.560584907732958,12.1176606610874
40,1805927,10029,12069,10029,9971,1589,314,195,3995260,246556,490411,276001,0.5734,0.555338061837494,0.6682994384601371,6.171212887271416,12.274820662485045,6.908211230307915
41,2047808,9053,7457,9053,6140,995,322,0,4238714,418594,605822,78059,0.45121,0.44208246085570524,0.364145466762509,9.875495256344259,14.292589686400166,1.8415727034190088
42,6317764,34429,37409,34429,32292,4524,563,30,12986518,968852,1087032,1331694,0.43521,0.5449554620907018,0.5921240489514961,7.460444747391103,8.370465431919472,10.254434637521774
44,556453,2830,2918,2830,2516,249,107,46,1095371,161092,187719,54924,0.48588,0.5085784423841726,0.5243928957162599,14.70661538419403,17.137481273468076,5.014191538757188
45,2380181,12529,16087,12529,13327,2299,385,76,5212774,295810,369720,1306712,0.54386,0.5263885393589816,0.6758729693246017,5.6747136937070355,7.092576812269245,25.067497650962807
46,455005,1566,2523,1566,2159,220,58,86,899194,34287,41107,20054,0.3475,0.3441720420654718,0.5544994011054823,3.8130814929814925,4.571538511155546,2.2302195076924445
47,3296313,17518,22843,17518,18259,3550,743,291,6986082,408959,496695,1097972,0.45801,0.5314422507814033,0.6929863759903868,5.85391067554031,7.109779129417605,15.716563304009314
48,14131864,84664,94127,84664,76924,14888,1334,981,29640343,5097222,11697073,3530742,0.66715,0.5991000196435516,0.6660621698595458,17.19690625712395,39.463352364039785,11.911947172811056
