item,family,label,group,n,mean,se
conlegis_mean,A1 institutional confidence,"conlegis: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ no HS,1039,1.649026896600428,0.02503684946800284
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,Mex G1,589,0.3133572526556411,0.023609070668156325
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,Mex G2,431,0.24997391887671797,0.025511189498175657
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,Mex G3+,490,0.2913839165352535,0.027802209751498132
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,Hisp G1,1154,0.3249467973316251,0.017100142935023623
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,Hisp G2,663,0.25812029692576816,0.02130381491743417
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,Hisp G3+,817,0.26010715334047835,0.02074858070899255
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,Hisp all,2680,0.2905566766166025,0.010997768096946218
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,NHWhite all,14742,0.27950820082212685,0.004790951307065776
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,NHWhite G3+,13014,0.27581675893726737,0.005030709777626411
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,White G3+ liberal,3435,0.23975884815680135,0.00927573583433159
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,White G3+ moderate,4435,0.27026385384960483,0.008265336327343178
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,White G3+ conservative,4853,0.30907210458297235,0.008635905865037386
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,White G3+ no BA,8553,0.25178335220232134,0.006271689675294319
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,White G3+ BA+,4450,0.33125121509062555,0.008674622846584818
conjudge_great,A1 institutional confidence,conjudge: share 'a great deal' of confidence,White G3+ no HS,1017,0.23390990923293437,0.017626699538457705
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G1,589,2.177383119059393,0.03251377022493049
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G2,431,2.0376347374102175,0.03933372553053123
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G3+,490,2.0454279031118103,0.04417468165659666
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G1,1154,2.1832663943274464,0.024218203121664363
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G2,663,2.035168802380306,0.03271442073494209
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G3+,817,2.0115671440650895,0.03269346944445129
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp all,2680,2.100653219102695,0.016404176995583653
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite all,14742,2.0742121549159753,0.0076132857149344545
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite G3+,13014,2.0685133161419165,0.008045470828736228
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ liberal,3435,1.9757327687825943,0.016372201902020166
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ moderate,4435,2.0706838775050724,0.012804269924458158
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ conservative,4853,2.133164205498706,0.012750370599122816
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ no BA,8553,2.029009262497176,0.010009829748175212
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ BA+,4450,2.1597699724864676,0.013777462158070363
conjudge_mean,A1 institutional confidence,"conjudge: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ no HS,1017,1.9757870309421668,0.02937084268125796
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,Mex G1,604,0.4313539508742279,0.025484124149240974
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,Mex G2,435,0.42366890781865124,0.030447737363644187
