nf_spec,hcbs_price,netting,bn_point,bn_p2_5,bn_p5,bn_median,bn_p95,bn_p97_5,prob_negative,per_group_member,per_other_resident
bmw_care_hours_direct_care_all_preferred,state_plan_all,need_medicaid,1.3258560928376268,-0.38632324839566135,0.12117036110068245,1.293077714589879,2.074447353718486,2.2230614066233207,0.041365,32.41973503300367,4.4311237387034
bmw_care_hours_direct_care_all_preferred,waiver_seniors_pd,need_medicaid,1.1650306969569688,-0.9581561032655533,-0.29417481805265483,1.1339962875016978,2.002024837304757,2.164917595889885,0.07526,28.487244358340842,3.8936315980986422
aaf_pooled_precision_weighted,state_plan_all,no_netting,2.78532562319917,-12.0538574774609,-4.178944606306056,2.727988407088943,17.2546183004158,29.70730220716962,0.18752,68.10657594934897,9.3087949406046
aaf_pooled_precision_weighted,waiver_seniors_pd,no_netting,2.008811475061024,-15.833986874425886,-6.4701648290223694,2.0385245208049394,16.53955950951401,29.05937623665125,0.27674,49.119309482036904,6.7136186663154
aaf_ltcfocus_nh_residents,state_plan_all,no_netting,2.4667130923023546,-12.178376988243304,-4.44331414669856,2.4211394262339843,16.16302958208306,28.071900076472534,0.210195,60.31588592976895,8.243964785407547
aaf_ltcfocus_nh_residents,waiver_seniors_pd,no_netting,1.6901989441642087,-15.95540848362132,-6.751070525684529,1.7360364237918466,15.470893869371626,27.3853839139011,0.303835,41.32861946245689,5.6487885111183465
aaf_acs_relative,state_plan_all,no_netting,8.067816161173038,-9.134983243610245,-2.3589816394121934,7.561010150302808,37.40271916351909,60.61187606615037,0.09059,197.27364353730556,26.963327245234378
aaf_acs_relative,waiver_seniors_pd,no_netting,7.291302013034891,-13.234358577778856,-4.183416489110873,6.806321166627066,36.69499867780332,60.100122834015416,0.126845,178.28637706999348,24.368150970945173
aaf_acs_absolute,state_plan_all,no_netting,14.196684414214022,-6.669453349228512,-0.24638801205458755,13.4758944033772,59.70739384699244,95.99613554009919,0.052505,347.1362763593357,47.44652580210933
aaf_acs_absolute,waiver_seniors_pd,no_netting,13.420170266075878,-10.030808557752504,-1.8467624837651864,12.689605839576732,59.00385417911276,95.80282683353116,0.06926,328.1490098920237,44.85134952782013
