spec,offence,victims,victimisations_local,p_off_hispanic_local,delta,local_exposure,national_exposure,p_off_hispanic_national,shr_logit_shift,p_off_hispanic_national_shr_calibrated,p_off_hispanic_national_shr2224_calibrated,benchmark_shr_2024,benchmark_shr_2022_2024,benchmark_ncvs_2022_2024
alloc=b,Rape/sexual assault,H,13696.0000,0.6530,0.4712,0.5744,0.4466,0.5264,1.7289,0.7925,0.7782,0.7190,0.7022,0.3307
alloc=b,Rape/sexual assault,NH,20134.0000,0.1586,-0.8114,0.2709,0.1326,0.0726,0.5173,0.1074,0.1141,0.0688,0.0734,0.1059
alloc=b,Robbery,H,23365.0000,0.3473,-1.4209,0.5776,0.4466,0.2355,1.7289,0.4986,0.4795,0.7190,0.7022,0.3307
alloc=b,Robbery,NH,24957.0000,0.1353,-1.0502,0.2740,0.1326,0.0600,0.5173,0.0899,0.0957,0.0688,0.0734,0.1059
alloc=b,Aggravated assault,H,67315.0000,0.5715,-0.0234,0.5755,0.4466,0.4427,1.7289,0.7258,0.7092,0.7190,0.7022,0.3307
alloc=b,Aggravated assault,NH,95488.0000,0.1169,-1.2389,0.2728,0.1326,0.0514,0.5173,0.0778,0.0829,0.0688,0.0734,0.1059
alloc=b,Simple assault,H,206148.0000,0.7204,0.8967,0.5749,0.4466,0.5984,1.7289,0.8412,0.8291,0.7190,0.7022,0.3307
alloc=b,Simple assault,NH,301179.0000,0.1178,-1.2215,0.2717,0.1326,0.0522,0.5173,0.0789,0.0840,0.0688,0.0734,0.1059
alloc=c,Murder,H,1405.0000,0.7911,1.3974,0.5752,0.4466,0.6794,0.2619,0.7190,0.7022,0.7190,0.7022,0.3307
alloc=c,Murder,NH,2179.0000,0.3090,0.2075,0.2736,0.1326,0.1528,-1.0862,0.0688,0.0734,0.0688,0.0734,0.1059
alloc=c,Rape/sexual assault,H,13696.0000,0.8025,1.4901,0.5744,0.4466,0.6937,0.2619,0.7325,0.7161,0.7190,0.7022,0.3307
alloc=c,Rape/sexual assault,NH,20134.0000,0.3347,0.3677,0.2709,0.1326,0.1700,-1.0862,0.0780,0.0831,0.0688,0.0734,0.1059
alloc=c,Robbery,H,23365.0000,0.6415,0.3834,0.5776,0.4466,0.5115,0.2619,0.5560,0.5368,0.7190,0.7022,0.3307
alloc=c,Robbery,NH,24957.0000,0.4279,0.8305,0.2740,0.1326,0.2269,-1.0862,0.1105,0.1172,0.0688,0.0734,0.1059
alloc=c,Aggravated assault,H,67315.0000,0.8052,1.5065,0.5755,0.4466,0.6962,0.2619,0.7348,0.7185,0.7190,0.7022,0.3307
alloc=c,Aggravated assault,NH,95488.0000,0.3077,0.2050,0.2728,0.1326,0.1526,-1.0862,0.0687,0.0733,0.0688,0.0734,0.1059
alloc=c,Simple assault,H,206148.0000,0.8010,1.4760,0.5749,0.4466,0.6915,0.2619,0.7304,0.7140,0.7190,0.7022,0.3307
alloc=c,Simple assault,NH,301179.0000,0.2003,-0.4787,0.2717,0.1326,0.0937,-1.0862,0.0392,0.0420,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 0%,Murder,H,1513.0000,0.7269,0.9422,0.5745,0.4466,0.6060,0.7171,0.7190,0.7022,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 0%,Murder,NH,2274.0000,0.1325,-1.0733,0.2732,0.1326,0.0589,0.1945,0.0688,0.0734,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 0%,Rape/sexual assault,H,15083.0000,0.7596,1.1706,0.5740,0.4466,0.6434,0.7171,0.7515,0.7357,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 0%,Rape/sexual assault,NH,21468.0000,0.1930,-0.5263,0.2704,0.1326,0.0904,0.1945,0.1045,0.1110,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 0%,Robbery,H,24723.0000,0.4828,-0.5600,0.5772,0.4466,0.3561,0.7171,0.4730,0.4540,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 0%,Robbery,NH,25881.0000,0.1941,-0.5380,0.2737,0.1326,0.0896,0.1945,0.1036,0.1100,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 0%,Aggravated assault,H,73705.0000,0.7412,1.0367,0.5749,0.4466,0.6216,0.7171,0.7327,0.7163,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 0%,Aggravated assault,NH,99850.0000,0.1462,-0.9340,0.2724,0.1326,0.0659,0.1945,0.0768,0.0818,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 0%,Simple assault,H,227220.0000,0.7819,1.3312,0.5744,0.4466,0.6691,0.7171,0.7731,0.7581,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 0%,Simple assault,NH,318399.0000,0.1302,-1.0856,0.2713,0.1326,0.0583,0.1945,0.0681,0.0727,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 80%,Murder,H,650.0000,0.7201,0.9128,0.5715,0.4466,0.6011,0.7465,0.7190,0.7022,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 80%,Murder,NH,1052.0000,0.1331,-1.0627,0.2724,0.1326,0.0594,0.1839,0.0688,0.0734,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 80%,Rape/sexual assault,H,7632.0000,0.7541,1.1365,0.5730,0.4466,0.6379,0.7465,0.7509,0.7351,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 80%,Rape/sexual assault,NH,11933.0000,0.1884,-0.5616,0.2704,0.1326,0.0880,0.1839,0.1010,0.1073,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 80%,Robbery,H,8186.0000,0.5212,-0.3175,0.5749,0.4466,0.3944,0.7465,0.5192,0.5000,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 80%,Robbery,NH,9636.0000,0.2139,-0.3853,0.2726,0.1326,0.1005,0.1839,0.1149,0.1219,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 80%,Aggravated assault,H,32554.0000,0.7470,1.0837,0.5736,0.4466,0.6293,0.7465,0.7435,0.7275,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 80%,Aggravated assault,NH,46228.0000,0.1507,-0.8897,0.2719,0.1326,0.0682,0.1839,0.0788,0.0839,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 80%,Simple assault,H,122492.0000,0.7837,1.3437,0.5747,0.4466,0.6710,0.7465,0.7786,0.7637,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 80%,Simple assault,NH,174141.0000,0.1329,-1.0609,0.2717,0.1326,0.0595,0.1839,0.0689,0.0735,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 95%,Murder,H,193.0000,0.7657,1.2217,0.5726,0.4466,0.6517,0.4376,0.7190,0.7022,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 95%,Murder,NH,312.0000,0.1296,-1.1005,0.2728,0.1326,0.0576,0.2217,0.0688,0.0734,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 95%,Rape/sexual assault,H,2549.0000,0.7567,1.1414,0.5756,0.4466,0.6387,0.4376,0.7071,0.6900,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 95%,Rape/sexual assault,NH,3994.0000,0.1814,-0.6313,0.2727,0.1326,0.0834,0.2217,0.0987,0.1049,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 95%,Robbery,H,2124.0000,0.6271,0.3105,0.5749,0.4466,0.4990,0.4376,0.5734,0.5543,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 95%,Robbery,NH,2468.0000,0.1772,-0.6751,0.2744,0.1326,0.0807,0.2217,0.0955,0.1015,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 95%,Aggravated assault,H,10567.0000,0.7899,1.3835,0.5760,0.4466,0.6772,0.4376,0.7423,0.7262,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 95%,Aggravated assault,NH,14326.0000,0.1370,-1.0320,0.2739,0.1326,0.0609,0.2217,0.0726,0.0774,0.0688,0.0734,0.1059
agencies: ethnicity recorded >= 95%,Simple assault,H,45076.0000,0.7943,1.4149,0.5766,0.4466,0.6821,0.4376,0.7467,0.7307,0.7190,0.7022,0.3307
agencies: ethnicity recorded >= 95%,Simple assault,NH,61824.0000,0.1338,-1.0648,0.2739,0.1326,0.0593,0.2217,0.0708,0.0755,0.0688,0.0734,0.1059
states=TX,Murder,H,1321.0000,0.7268,0.9090,0.5806,0.4466,0.6004,0.7503,0.7190,0.7022,0.7190,0.7022,0.3307
states=TX,Murder,NH,2041.0000,0.1252,-1.1690,0.2764,0.1326,0.0545,0.2902,0.0688,0.0734,0.0688,0.0734,0.1059
states=TX,Rape/sexual assault,H,12764.0000,0.7702,1.2124,0.5806,0.4466,0.6502,0.7503,0.7618,0.7463,0.7190,0.7022,0.3307
states=TX,Rape/sexual assault,NH,17568.0000,0.1928,-0.5636,0.2764,0.1326,0.0879,0.2902,0.1091,0.1158,0.0688,0.0734,0.1059
states=TX,Robbery,H,22581.0000,0.4712,-0.6521,0.5806,0.4466,0.3419,0.7503,0.4631,0.4442,0.7190,0.7022,0.3307
states=TX,Robbery,NH,23607.0000,0.1828,-0.6421,0.2764,0.1326,0.0828,0.2902,0.1030,0.1094,0.0688,0.0734,0.1059
states=TX,Aggravated assault,H,63510.0000,0.7449,1.0324,0.5806,0.4466,0.6209,0.7503,0.7368,0.7206,0.7190,0.7022,0.3307
states=TX,Aggravated assault,NH,87595.0000,0.1416,-1.0025,0.2764,0.1326,0.0624,0.2902,0.0784,0.0835,0.0688,0.0734,0.1059
states=TX,Simple assault,H,193202.0000,0.7861,1.3312,0.5806,0.4466,0.6690,0.7503,0.7775,0.7626,0.7190,0.7022,0.3307
states=TX,Simple assault,NH,268436.0000,0.1279,-1.1404,0.2764,0.1326,0.0558,0.2902,0.0704,0.0751,0.0688,0.0734,0.1059
states=AZ,Murder,H,84.0000,0.6571,0.9270,0.4892,0.4466,0.6034,0.7323,0.7190,0.7022,0.7190,0.7022,0.3307
states=AZ,Murder,NH,138.0000,0.1748,-0.4296,0.2333,0.1326,0.0972,-0.4492,0.0688,0.0734,0.0688,0.0734,0.1059
states=AZ,Rape/sexual assault,H,932.0000,0.6145,0.6857,0.4892,0.4466,0.5629,0.7323,0.6826,0.6649,0.7190,0.7022,0.3307
states=AZ,Rape/sexual assault,NH,2566.0000,0.1842,-0.3542,0.2333,0.1326,0.1028,-0.4492,0.0730,0.0779,0.0688,0.0734,0.1059
states=AZ,Robbery,H,784.0000,0.5200,0.1679,0.4892,0.4466,0.4749,0.7323,0.5990,0.5800,0.7190,0.7022,0.3307
states=AZ,Robbery,NH,1350.0000,0.3106,0.4720,0.2333,0.1326,0.1818,-0.4492,0.1347,0.1426,0.0688,0.0734,0.1059
states=AZ,Aggravated assault,H,3805.0000,0.6240,0.7385,0.4892,0.4466,0.5718,0.7323,0.6907,0.6733,0.7190,0.7022,0.3307
states=AZ,Aggravated assault,NH,7893.0000,0.1735,-0.4403,0.2333,0.1326,0.0964,-0.4492,0.0682,0.0728,0.0688,0.0734,0.1059
states=AZ,Simple assault,H,12946.0000,0.6906,1.1239,0.4892,0.4466,0.6358,0.7323,0.7472,0.7312,0.7190,0.7022,0.3307
states=AZ,Simple assault,NH,32743.0000,0.1387,-0.7497,0.2333,0.1326,0.0761,-0.4492,0.0532,0.0569,0.0688,0.0734,0.1059
states=CA,Murder,H,499.0000,0.7553,1.1055,0.5704,0.4466,0.6329,0.5538,0.7190,0.7022,0.7190,0.7022,0.3307
states=CA,Murder,NH,473.0000,0.2468,-0.2613,0.2883,0.1326,0.1100,-0.6175,0.0688,0.0734,0.0688,0.0734,0.1059
states=CA,Rape/sexual assault,H,6401.0000,0.7595,1.1346,0.5704,0.4466,0.6376,0.5538,0.7233,0.7066,0.7190,0.7022,0.3307
states=CA,Rape/sexual assault,NH,6817.0000,0.2852,-0.0190,0.2883,0.1326,0.1308,-0.6175,0.0831,0.0885,0.0688,0.0734,0.1059
states=CA,Robbery,H,13585.0000,0.5624,-0.0440,0.5704,0.4466,0.4393,0.5538,0.5330,0.5138,0.7190,0.7022,0.3307
states=CA,Robbery,NH,12843.0000,0.3197,0.1838,0.2883,0.1326,0.1504,-0.6175,0.0969,0.1030,0.0688,0.0734,0.1059
states=CA,Aggravated assault,H,36135.0000,0.7291,0.9306,0.5704,0.4466,0.6040,0.5538,0.6928,0.6754,0.7190,0.7022,0.3307
states=CA,Aggravated assault,NH,37715.0000,0.2385,-0.3168,0.2883,0.1326,0.1057,-0.6175,0.0658,0.0703,0.0688,0.0734,0.1059
states=CA,Simple assault,H,68122.0000,0.7424,1.0183,0.5704,0.4466,0.6186,0.5538,0.7061,0.6890,0.7190,0.7022,0.3307
states=CA,Simple assault,NH,77957.0000,0.2088,-0.5251,0.2883,0.1326,0.0905,-0.6175,0.0557,0.0595,0.0688,0.0734,0.1059
states=TX+AZ+CA,Murder,H,1904.0000,0.7312,0.9613,0.5739,0.4466,0.6091,0.6980,0.7190,0.7022,0.7190,0.7022,0.3307
states=TX+AZ+CA,Murder,NH,2652.0000,0.1495,-0.9298,0.2763,0.1326,0.0661,0.0511,0.0688,0.0734,0.0688,0.0734,0.1059
states=TX+AZ+CA,Rape/sexual assault,H,20097.0000,0.7596,1.1573,0.5731,0.4466,0.6413,0.6980,0.7470,0.7311,0.7190,0.7022,0.3307
states=TX+AZ+CA,Rape/sexual assault,NH,26951.0000,0.2154,-0.3931,0.2753,0.1326,0.0999,0.0511,0.1037,0.1102,0.0688,0.0734,0.1059
states=TX+AZ+CA,Robbery,H,36950.0000,0.5057,-0.3967,0.5749,0.4466,0.3817,0.6980,0.4975,0.4783,0.7190,0.7022,0.3307
states=TX+AZ+CA,Robbery,NH,37800.0000,0.2339,-0.2873,0.2789,0.1326,0.1080,0.0511,0.1121,0.1189,0.0688,0.0734,0.1059
states=TX+AZ+CA,Aggravated assault,H,103450.0000,0.7349,0.9832,0.5737,0.4466,0.6128,0.6980,0.7222,0.7055,0.7190,0.7022,0.3307
states=TX+AZ+CA,Aggravated assault,NH,133203.0000,0.1709,-0.7478,0.2772,0.1326,0.0763,0.0511,0.0793,0.0845,0.0688,0.0734,0.1059
states=TX+AZ+CA,Simple assault,H,274270.0000,0.7707,1.2379,0.5738,0.4466,0.6543,0.6980,0.7581,0.7425,0.7190,0.7022,0.3307
states=TX+AZ+CA,Simple assault,NH,379136.0000,0.1455,-0.9607,0.2751,0.1326,0.0645,0.0511,0.0671,0.0717,0.0688,0.0734,0.1059
year=2022,Murder,H,725.0000,0.7262,0.9347,0.5749,0.4466,0.6047,0.7246,0.7190,0.7022,0.7190,0.7022,0.3307
year=2022,Murder,NH,1095.0000,0.1235,-1.1744,0.2742,0.1326,0.0542,0.2956,0.0688,0.0734,0.0688,0.0734,0.1059
year=2022,Rape/sexual assault,H,6696.0000,0.7590,1.1642,0.5744,0.4466,0.6424,0.7246,0.7517,0.7359,0.7190,0.7022,0.3307
year=2022,Rape/sexual assault,NH,9879.0000,0.1915,-0.5410,0.2709,0.1326,0.0894,0.2956,0.1113,0.1181,0.0688,0.0734,0.1059
year=2022,Robbery,H,11399.0000,0.4741,-0.6156,0.5777,0.4466,0.3475,0.7246,0.4649,0.4460,0.7190,0.7022,0.3307
year=2022,Robbery,NH,12658.0000,0.1883,-0.5847,0.2741,0.1326,0.0865,0.2956,0.1078,0.1145,0.0688,0.0734,0.1059
year=2022,Aggravated assault,H,33570.0000,0.7384,1.0110,0.5762,0.4466,0.6174,0.7246,0.7301,0.7136,0.7190,0.7022,0.3307
year=2022,Aggravated assault,NH,48906.0000,0.1451,-0.9488,0.2731,0.1326,0.0651,0.2956,0.0821,0.0874,0.0688,0.0734,0.1059
year=2022,Simple assault,H,97941.0000,0.7748,1.2730,0.5754,0.4466,0.6598,0.7246,0.7664,0.7511,0.7190,0.7022,0.3307
year=2022,Simple assault,NH,149604.0000,0.1258,-1.1354,0.2720,0.1326,0.0560,0.2956,0.0710,0.0757,0.0688,0.0734,0.1059
year=2023,Murder,H,680.0000,0.7189,0.8843,0.5754,0.4466,0.5963,0.7750,0.7190,0.7022,0.7190,0.7022,0.3307
year=2023,Murder,NH,1084.0000,0.1333,-1.0648,0.2731,0.1326,0.0593,0.1860,0.0688,0.0734,0.0688,0.0734,0.1059
year=2023,Rape/sexual assault,H,7000.0000,0.7601,1.1719,0.5744,0.4466,0.6436,0.7750,0.7596,0.7441,0.7190,0.7022,0.3307
year=2023,Rape/sexual assault,NH,10255.0000,0.1920,-0.5363,0.2708,0.1326,0.0897,0.1860,0.1031,0.1095,0.0688,0.0734,0.1059
year=2023,Robbery,H,11966.0000,0.4715,-0.6290,0.5774,0.4466,0.3455,0.7750,0.4712,0.4522,0.7190,0.7022,0.3307
year=2023,Robbery,NH,12299.0000,0.1911,-0.5622,0.2740,0.1326,0.0880,0.1860,0.1011,0.1074,0.0688,0.0734,0.1059
year=2023,Aggravated assault,H,33745.0000,0.7377,1.0141,0.5747,0.4466,0.6179,0.7750,0.7378,0.7215,0.7190,0.7022,0.3307
year=2023,Aggravated assault,NH,46582.0000,0.1433,-0.9624,0.2725,0.1326,0.0644,0.1860,0.0746,0.0795,0.0688,0.0734,0.1059
year=2023,Simple assault,H,108207.0000,0.7849,1.3540,0.5744,0.4466,0.6726,0.7750,0.7836,0.7689,0.7190,0.7022,0.3307
year=2023,Simple assault,NH,151575.0000,0.1323,-1.0645,0.2714,0.1326,0.0593,0.1860,0.0688,0.0734,0.0688,0.0734,0.1059
attribution=first,Murder,H,1405.0000,0.7227,0.9104,0.5752,0.4466,0.6007,0.7489,0.7190,0.7022,0.7190,0.7022,0.3307
attribution=first,Murder,NH,2179.0000,0.1284,-1.1185,0.2736,0.1326,0.0568,0.2397,0.0688,0.0734,0.0688,0.0734,0.1059
attribution=first,Rape/sexual assault,H,13696.0000,0.7599,1.1707,0.5744,0.4466,0.6434,0.7489,0.7559,0.7403,0.7190,0.7022,0.3307
attribution=first,Rape/sexual assault,NH,20134.0000,0.1913,-0.5424,0.2709,0.1326,0.0893,0.2397,0.1068,0.1133,0.0688,0.0734,0.1059
attribution=first,Robbery,H,23365.0000,0.4722,-0.6258,0.5776,0.4466,0.3460,0.7489,0.4673,0.4484,0.7190,0.7022,0.3307
attribution=first,Robbery,NH,24957.0000,0.1872,-0.5931,0.2740,0.1326,0.0859,0.2397,0.1029,0.1092,0.0688,0.0734,0.1059
attribution=first,Aggravated assault,H,67315.0000,0.7395,1.0225,0.5755,0.4466,0.6193,0.7489,0.7352,0.7189,0.7190,0.7022,0.3307
attribution=first,Aggravated assault,NH,95488.0000,0.1445,-0.9526,0.2728,0.1326,0.0649,0.2397,0.0784,0.0835,0.0688,0.0734,0.1059
attribution=first,Simple assault,H,206148.0000,0.7798,1.3131,0.5749,0.4466,0.6662,0.7489,0.7749,0.7599,0.7190,0.7022,0.3307
attribution=first,Simple assault,NH,301179.0000,0.1290,-1.1005,0.2717,0.1326,0.0576,0.2397,0.0698,0.0745,0.0688,0.0734,0.1059
attribution=anyH,Murder,H,1405.0000,0.7556,1.1359,0.5752,0.4466,0.6378,0.5234,0.7190,0.7022,0.7190,0.7022,0.3307
attribution=anyH,Murder,NH,2179.0000,0.1489,-0.9166,0.2736,0.1326,0.0668,0.0378,0.0688,0.0734,0.0688,0.0734,0.1059
attribution=anyH,Rape/sexual assault,H,13696.0000,0.7643,1.2021,0.5744,0.4466,0.6485,0.5234,0.7286,0.7121,0.7190,0.7022,0.3307
attribution=anyH,Rape/sexual assault,NH,20134.0000,0.1969,-0.4995,0.2709,0.1326,0.0922,0.0378,0.0949,0.1009,0.0688,0.0734,0.1059
attribution=anyH,Robbery,H,23365.0000,0.5157,-0.3659,0.5776,0.4466,0.3867,0.5234,0.4731,0.4541,0.7190,0.7022,0.3307
attribution=anyH,Robbery,NH,24957.0000,0.2240,-0.3234,0.2740,0.1326,0.1052,0.0378,0.1081,0.1148,0.0688,0.0734,0.1059
attribution=anyH,Aggravated assault,H,67315.0000,0.7529,1.1157,0.5755,0.4466,0.6345,0.5234,0.7160,0.6992,0.7190,0.7022,0.3307
attribution=anyH,Aggravated assault,NH,95488.0000,0.1550,-0.8557,0.2728,0.1326,0.0701,0.0378,0.0722,0.0770,0.0688,0.0734,0.1059
attribution=anyH,Simple assault,H,206148.0000,0.7937,1.4188,0.5749,0.4466,0.6827,0.5234,0.7590,0.7434,0.7190,0.7022,0.3307
attribution=anyH,Simple assault,NH,301179.0000,0.1397,-0.9926,0.2717,0.1326,0.0628,0.0378,0.0648,0.0692,0.0688,0.0734,0.1059
attribution=allH,Murder,H,1405.0000,0.6899,0.6970,0.5752,0.4466,0.5648,0.9623,0.7190,0.7022,0.7190,0.7022,0.3307
attribution=allH,Murder,NH,2179.0000,0.1086,-1.3398,0.2736,0.1326,0.0473,0.4610,0.0688,0.0734,0.0688,0.0734,0.1059
attribution=allH,Rape/sexual assault,H,13696.0000,0.7550,1.1354,0.5744,0.4466,0.6377,0.9623,0.7795,0.7647,0.7190,0.7022,0.3307
attribution=allH,Rape/sexual assault,NH,20134.0000,0.1873,-0.5734,0.2709,0.1326,0.0872,0.4610,0.1225,0.1298,0.0688,0.0734,0.1059
attribution=allH,Robbery,H,23365.0000,0.4273,-0.9012,0.5776,0.4466,0.3051,0.9623,0.4569,0.4380,0.7190,0.7022,0.3307
attribution=allH,Robbery,NH,24957.0000,0.1599,-0.8197,0.2740,0.1326,0.0721,0.4610,0.1025,0.1088,0.0688,0.0734,0.1059
attribution=allH,Aggravated assault,H,67315.0000,0.7219,0.9038,0.5755,0.4466,0.5996,0.9623,0.7486,0.7326,0.7190,0.7022,0.3307
attribution=allH,Aggravated assault,NH,95488.0000,0.1345,-1.0506,0.2728,0.1326,0.0600,0.4610,0.0862,0.0917,0.0688,0.0734,0.1059
attribution=allH,Simple assault,H,206148.0000,0.7657,1.2098,0.5749,0.4466,0.6497,0.9623,0.7890,0.7746,0.7190,0.7022,0.3307
attribution=allH,Simple assault,NH,301179.0000,0.1193,-1.2042,0.2717,0.1326,0.0529,0.4610,0.0765,0.0816,0.0688,0.0734,0.1059
victims: all ages,Murder,H,1471.0000,0.7287,0.9504,0.5752,0.4466,0.6073,0.7089,0.7190,0.7022,0.7190,0.7022,0.3307
victims: all ages,Murder,NH,2255.0000,0.1270,-1.1330,0.2736,0.1326,0.0561,0.2543,0.0688,0.0734,0.0688,0.0734,0.1059
victims: all ages,Rape/sexual assault,H,18417.0000,0.7823,1.3342,0.5744,0.4466,0.6695,0.7089,0.7724,0.7574,0.7190,0.7022,0.3307
victims: all ages,Rape/sexual assault,NH,25385.0000,0.1761,-0.6635,0.2710,0.1326,0.0814,0.2543,0.0987,0.1049,0.0688,0.0734,0.1059
victims: all ages,Robbery,H,23695.0000,0.4725,-0.6244,0.5775,0.4466,0.3462,0.7089,0.4608,0.4419,0.7190,0.7022,0.3307
victims: all ages,Robbery,NH,25180.0000,0.1895,-0.5754,0.2740,0.1326,0.0871,0.2543,0.1053,0.1118,0.0688,0.0734,0.1059
victims: all ages,Aggravated assault,H,71477.0000,0.7385,1.0160,0.5754,0.4466,0.6182,0.7089,0.7286,0.7120,0.7190,0.7022,0.3307
victims: all ages,Aggravated assault,NH,99864.0000,0.1430,-0.9670,0.2728,0.1326,0.0641,0.2543,0.0784,0.0835,0.0688,0.0734,0.1059
victims: all ages,Simple assault,H,214256.0000,0.7784,1.3030,0.5748,0.4466,0.6646,0.7089,0.7683,0.7531,0.7190,0.7022,0.3307
victims: all ages,Simple assault,NH,312006.0000,0.1291,-1.0992,0.2717,0.1326,0.0577,0.2543,0.0707,0.0754,0.0688,0.0734,0.1059
incidents with an arrest only,Murder,H,639.0000,0.6902,0.7111,0.5729,0.4466,0.5672,0.9482,0.7190,0.7022,0.7190,0.7022,0.3307
incidents with an arrest only,Murder,NH,1105.0000,0.1365,-1.0301,0.2727,0.1326,0.0610,0.1513,0.0688,0.0734,0.0688,0.0734,0.1059
incidents with an arrest only,Rape/sexual assault,H,1527.0000,0.7967,1.4420,0.5749,0.4466,0.6863,0.9482,0.8153,0.8020,0.7190,0.7022,0.3307
