spec,offence,victimisations,V_H,V_NHW,V_NHB,V_NHO,pop_H,pop_NHW,pop_NHB,pop_NHO,pop_total,rate_H,rate_NHW,rate_NHB,rate_NHO,rate_all,RR_H_NHW,RR_NHB_NHW,RR_NHO_NHW,RR_H_all,local_share_H,local_pop_share_H,national_share_H,national_share_H_vector,national_share_H_vs_all,share_noinfo,share_eth_unknown,share_nh_race_unknown
alloc=k,Simple assault,533367.000000,190215.182406,132508.597975,149358.574773,11216.981525,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,10.133274,5.714203,24.655058,2.438901,9.185759,1.773349,4.314698,0.426814,1.103150,0.393576,0.356775,0.221637,0.221637,0.206242,0.034385,0.059486,0.002173
agencies: ethnicity recorded >= 0%,Murder,4058.000000,1478.296197,809.593147,1688.663985,81.446671,20781145.003437,25374970.107021,6309057.275375,4992349.613579,57453691.057316,0.071136,0.031905,0.267657,0.016314,0.070631,2.229619,8.389141,0.511337,1.007159,0.364292,0.361703,0.199706,0.199706,0.188296,0.097092,0.161232,0.005380
agencies: ethnicity recorded >= 0%,Rape/sexual assault,39928.000000,16971.859061,12045.152651,9865.407413,1045.580875,20781145.003437,25374970.107021,6309057.275375,4992349.613579,57453691.057316,0.816695,0.474686,1.563690,0.209437,0.694960,1.720494,3.294153,0.441211,1.175169,0.425062,0.361703,0.236068,0.236068,0.219707,0.058931,0.176344,0.004355
agencies: ethnicity recorded >= 0%,Robbery,52526.000000,17630.544463,5239.434361,29186.081060,469.940116,20781145.003437,25374970.107021,6309057.275375,4992349.613579,57453691.057316,0.848391,0.206480,4.626061,0.094132,0.914232,4.108823,22.404355,0.455889,0.927983,0.335654,0.361703,0.185240,0.185240,0.173493,0.137265,0.190602,0.005033
agencies: ethnicity recorded >= 0%,Aggravated assault,182486.000000,72492.251991,40075.783085,66692.851643,3225.113281,20781145.003437,25374970.107021,6309057.275375,4992349.613579,57453691.057316,3.488367,1.579343,10.570969,0.646011,3.176228,2.208745,6.693270,0.409038,1.098273,0.397248,0.361703,0.221249,0.221249,0.205331,0.113647,0.145254,0.003681
agencies: ethnicity recorded >= 0%,Simple assault,578285.000000,230438.218367,162274.580233,171536.257160,14035.944241,20781145.003437,25374970.107021,6309057.275375,4992349.613579,57453691.057316,11.088812,6.395065,27.188889,2.811491,10.065237,1.733964,4.251542,0.439634,1.101694,0.398486,0.361703,0.218744,0.218744,0.205970,0.036119,0.114925,0.002040
agencies: ethnicity recorded >= 80%,Murder,1787.000000,637.543022,464.904904,653.105838,31.446236,11042274.087143,14764923.445671,3078682.127865,2411170.081802,31294365.351046,0.057737,0.031487,0.212138,0.013042,0.057103,1.833657,6.737298,0.414198,1.011096,0.356767,0.352852,0.190226,0.190226,0.189032,0.110800,0.047976,0.004477
agencies: ethnicity recorded >= 80%,Rape/sexual assault,20699.000000,8369.523463,7177.212856,4658.510670,493.753011,11042274.087143,14764923.445671,3078682.127865,2411170.081802,31294365.351046,0.757953,0.486099,1.513151,0.204777,0.661429,1.559257,3.112846,0.421267,1.145932,0.404344,0.352852,0.222805,0.222805,0.214241,0.074351,0.091589,0.004134
agencies: ethnicity recorded >= 80%,Robbery,18358.000000,6511.087906,2800.373032,8863.452322,183.086740,11042274.087143,14764923.445671,3078682.127865,2411170.081802,31294365.351046,0.589651,0.189664,2.878976,0.075933,0.586623,3.108926,15.179357,0.400354,1.005161,0.354673,0.352852,0.189241,0.189241,0.187923,0.269855,0.091679,0.002012
agencies: ethnicity recorded >= 80%,Aggravated assault,81657.000000,32273.015588,22722.936772,25192.523625,1468.524016,11042274.087143,14764923.445671,3078682.127865,2411170.081802,31294365.351046,2.922678,1.538981,8.182892,0.609050,2.609320,1.899100,5.317085,0.395749,1.120092,0.395227,0.352852,0.216625,0.216625,0.209410,0.150789,0.050145,0.001935
agencies: ethnicity recorded >= 80%,Simple assault,308417.000000,123543.520092,96844.552372,81087.595844,6941.331692,11042274.087143,14764923.445671,3078682.127865,2411170.081802,31294365.351046,11.188232,6.559096,26.338411,2.878823,9.855352,1.705758,4.015555,0.438905,1.135244,0.400573,0.352852,0.220268,0.220268,0.212243,0.046401,0.039013,0.001815
agencies: ethnicity recorded >= 95%,Murder,518.000000,189.232861,135.702787,185.190582,7.873771,4065974.667691,5205403.200211,1018451.239798,677716.463405,10966731.260230,0.046541,0.026070,0.181835,0.011618,0.047234,1.785244,6.975001,0.445657,0.985325,0.365314,0.370755,0.182872,0.182872,0.184214,0.129344,0.017696,0.001931
agencies: ethnicity recorded >= 95%,Rape/sexual assault,6691.000000,2689.173345,2389.107535,1474.477570,138.241549,4065974.667691,5205403.200211,1018451.239798,677716.463405,10966731.260230,0.661385,0.458967,1.447765,0.203981,0.610118,1.441029,3.154399,0.444436,1.084028,0.401909,0.370755,0.208274,0.208274,0.202667,0.089523,0.043167,0.003363
agencies: ethnicity recorded >= 95%,Robbery,4641.000000,1778.847258,888.627074,1940.517183,33.008484,4065974.667691,5205403.200211,1018451.239798,677716.463405,10966731.260230,0.437496,0.170712,1.905361,0.048705,0.423189,2.562765,11.161231,0.285307,1.033807,0.383290,0.370755,0.194199,0.194199,0.193278,0.431803,0.015237,0.001329
agencies: ethnicity recorded >= 95%,Aggravated assault,25314.000000,10454.823616,7353.976536,7218.963707,286.236141,4065974.667691,5205403.200211,1018451.239798,677716.463405,10966731.260230,2.571296,1.412758,7.088178,0.422354,2.308254,1.820054,5.017262,0.298957,1.113957,0.413006,0.370755,0.215572,0.215572,0.208263,0.197401,0.011120,0.001017
agencies: ethnicity recorded >= 95%,Simple assault,108716.000000,44663.132807,34407.041101,28025.897744,1619.928347,4065974.667691,5205403.200211,1018451.239798,677716.463405,10966731.260230,10.984607,6.609871,27.518154,2.390274,9.913255,1.661849,4.163191,0.361622,1.108073,0.410824,0.370755,0.214219,0.214219,0.207163,0.054491,0.010831,0.000992
agencies: offender-ethnicity start date by Jan 1,Murder,3616.000000,1283.710759,679.235792,1582.332054,70.721395,17272177.101506,21701145.308592,5794386.173136,4400596.818630,49165995.441990,0.074322,0.031300,0.273080,0.016071,0.073547,2.374555,8.724736,0.513454,1.010547,0.355009,0.351303,0.205947,0.205947,0.188930,0.095962,0.131231,0.005623
agencies: offender-ethnicity start date by Jan 1,Rape/sexual assault,34100.000000,14360.602482,10135.084889,8707.234452,897.078177,17272177.101506,21701145.308592,5794386.173136,4400596.818630,49165995.441990,0.831430,0.467030,1.502702,0.203854,0.693569,1.780249,3.217570,0.436490,1.198770,0.421132,0.351303,0.244022,0.244022,0.224119,0.055630,0.128308,0.004645
agencies: offender-ethnicity start date by Jan 1,Robbery,48436.000000,15665.127782,4565.837240,27815.208688,389.826291,17272177.101506,21701145.308592,5794386.173136,4400596.818630,49165995.441990,0.906957,0.210396,4.800372,0.088585,0.985152,4.310713,22.815874,0.421038,0.920626,0.323419,0.351303,0.190448,0.190448,0.172118,0.127137,0.168201,0.005331
agencies: offender-ethnicity start date by Jan 1,Aggravated assault,160729.000000,61963.787297,33950.780158,62021.193624,2793.238921,17272177.101506,21701145.308592,5794386.173136,4400596.818630,49165995.441990,3.587491,1.564470,10.703669,0.634741,3.269109,2.293104,6.841724,0.405723,1.097391,0.385517,0.351303,0.225636,0.225636,0.205166,0.111274,0.103147,0.003946
agencies: offender-ethnicity start date by Jan 1,Simple assault,494575.000000,190660.012293,138325.151105,153401.065771,12188.770831,17272177.101506,21701145.308592,5794386.173136,4400596.818630,49165995.441990,11.038563,6.374095,26.474084,2.769799,10.059290,1.731785,4.153387,0.434540,1.097350,0.385503,0.351303,0.220386,0.220386,0.205158,0.032515,0.059289,0.002128
agencies: 12 months reported,Murder,3760.000000,1350.518993,713.495243,1626.295573,69.690191,18490696.518780,22637790.933819,5996671.814980,4525484.746778,51646813.072261,0.073038,0.031518,0.271200,0.015399,0.072802,2.317343,8.604629,0.488596,1.003236,0.359181,0.358022,0.203603,0.203603,0.187563,0.096277,0.129241,0.005674
agencies: 12 months reported,Rape/sexual assault,35887.000000,15220.950105,10654.824329,9084.112562,927.113004,18490696.518780,22637790.933819,5996671.814980,4525484.746778,51646813.072261,0.823168,0.470665,1.514859,0.204865,0.694854,1.748945,3.218548,0.435267,1.184663,0.424135,0.358022,0.240764,0.240764,0.221482,0.055786,0.129761,0.004567
agencies: 12 months reported,Robbery,49651.000000,16241.922775,4728.830619,28296.516749,383.729857,18490696.518780,22637790.933819,5996671.814980,4525484.746778,51646813.072261,0.878384,0.208891,4.718704,0.084793,0.961357,4.204985,22.589311,0.405920,0.913692,0.327122,0.358022,0.187949,0.187949,0.170822,0.131035,0.167476,0.005281
agencies: 12 months reported,Aggravated assault,167774.000000,65217.842839,35775.531077,63950.358439,2830.267645,18490696.518780,22637790.933819,5996671.814980,4525484.746778,51646813.072261,3.527063,1.580346,10.664309,0.625407,3.248487,2.231830,6.748087,0.395740,1.085755,0.388724,0.358022,0.222398,0.222398,0.202990,0.113206,0.104329,0.003938
agencies: 12 months reported,Simple assault,521752.000000,204186.142516,144276.270452,161130.822308,12158.764724,18490696.518780,22637790.933819,5996671.814980,4525484.746778,51646813.072261,11.042642,6.373249,26.870042,2.686732,10.102308,1.732655,4.216067,0.421564,1.093081,0.391347,0.358022,0.219510,0.219510,0.204360,0.034455,0.059733,0.002122
states=TX,Murder,3548.000000,1275.324422,622.509680,1591.780467,58.385431,17383474.619822,19649995.535570,5849072.746941,3940270.154131,46818982.114368,0.073364,0.031680,0.272142,0.014818,0.075781,2.315797,8.590382,0.467730,0.968105,0.359449,0.371291,0.203850,0.203850,0.180995,0.098365,0.131139,0.005590
states=TX,Rape/sexual assault,32579.000000,14230.021585,8982.138560,8684.245257,682.594598,17383474.619822,19649995.535570,5849072.746941,3940270.154131,46818982.114368,0.818595,0.457106,1.484722,0.173235,0.695850,1.790819,3.248088,0.378983,1.176395,0.436785,0.371291,0.245419,0.245419,0.219936,0.040333,0.119953,0.004616
states=TX,Robbery,47671.000000,15465.246935,4213.399181,27737.121624,255.232259,17383474.619822,19649995.535570,5849072.746941,3940270.154131,46818982.114368,0.889652,0.214422,4.742140,0.064775,1.018198,4.149064,22.115880,0.302092,0.873752,0.324416,0.371291,0.188978,0.188978,0.163355,0.126156,0.168649,0.005420
states=TX,Aggravated assault,157213.000000,62001.446101,31074.175158,62256.098533,1881.280208,17383474.619822,19649995.535570,5849072.746941,3940270.154131,46818982.114368,3.566689,1.581383,10.643755,0.477450,3.357890,2.255423,6.730661,0.301919,1.062182,0.394379,0.371291,0.225537,0.225537,0.198583,0.111403,0.102833,0.003858
states=TX,Simple assault,482740.000000,193987.542712,125069.915719,155603.489645,8079.051924,17383474.619822,19649995.535570,5849072.746941,3940270.154131,46818982.114368,11.159308,6.364883,26.603104,2.050380,10.310775,1.753262,4.179669,0.322140,1.082296,0.401847,0.371291,0.223630,0.223630,0.202343,0.030097,0.054420,0.001960
states=AZ,Murder,262.000000,86.062906,107.634106,53.974841,14.328147,1387869.897772,3539345.110679,208855.589471,658924.994991,5794995.592913,0.062011,0.030411,0.258431,0.021745,0.045211,2.039108,8.498030,0.715035,1.371573,0.328484,0.239495,0.182916,0.182916,0.256426,0.053435,0.086514,0.007634
states=AZ,Rape/sexual assault,4151.000000,1245.032357,1969.552922,649.301887,287.112834,1387869.897772,3539345.110679,208855.589471,658924.994991,5794995.592913,0.897081,0.556474,3.108856,0.435729,0.716308,1.612082,5.586706,0.783018,1.252369,0.299936,0.239495,0.182133,0.182133,0.234140,0.179716,0.212563,0.005179
states=AZ,Robbery,2295.000000,884.956493,573.760981,685.461205,150.821321,1387869.897772,3539345.110679,208855.589471,658924.994991,5794995.592913,0.637636,0.162109,3.281986,0.228890,0.396031,3.933372,20.245508,1.411948,1.610066,0.385602,0.239495,0.186633,0.186633,0.301014,0.244009,0.138982,0.002179
states=AZ,Aggravated assault,12972.000000,4113.023624,5473.978597,2300.375650,1084.622128,1387869.897772,3539345.110679,208855.589471,658924.994991,5794995.592913,2.963551,1.546608,11.014192,1.646048,2.238483,1.916162,7.121516,1.064296,1.323910,0.317069,0.239495,0.186025,0.186025,0.247515,0.123959,0.120681,0.004605
states=AZ,Simple assault,50627.000000,14715.962180,22921.439687,8176.690539,4812.907594,1387869.897772,3539345.110679,208855.589471,658924.994991,5794995.592913,10.603272,6.476181,39.149972,7.304181,8.736331,1.637272,6.045225,1.127853,1.213699,0.290674,0.239495,0.175113,0.175113,0.226910,0.075276,0.107784,0.004212
states=CA,Murder,1135.000000,571.128793,212.039368,291.459948,60.371892,8993300.823917,9379899.611023,1096139.092150,4874663.222550,24344002.749639,0.063506,0.022606,0.265897,0.012385,0.046623,2.809290,11.762372,0.547863,1.362106,0.503197,0.369426,0.201116,0.201116,0.254656,0.155066,0.181206,0.008341
states=CA,Rape/sexual assault,15781.000000,8171.151541,3914.020074,2635.531010,1060.297375,8993300.823917,9379899.611023,1096139.092150,4874663.222550,24344002.749639,0.908582,0.417277,2.404376,0.217512,0.648250,2.177405,5.762058,0.521265,1.401592,0.517784,0.369426,0.231657,0.231657,0.262038,0.110956,0.168391,0.015562
states=CA,Robbery,30125.000000,13448.918656,5034.492857,10840.231257,801.357230,8993300.823917,9379899.611023,1096139.092150,4874663.222550,24344002.749639,1.495437,0.536732,9.889467,0.164392,1.237471,2.786190,18.425333,0.306284,1.208463,0.446437,0.369426,0.153247,0.153247,0.225931,0.169361,0.167727,0.006151
states=CA,Aggravated assault,83583.000000,39893.555544,21403.337916,18380.851035,3905.255505,8993300.823917,9379899.611023,1096139.092150,4874663.222550,24344002.749639,4.435919,2.281830,16.768721,0.801133,3.433412,1.944018,7.348803,0.351092,1.291986,0.477293,0.369426,0.192138,0.192138,0.241547,0.119139,0.124605,0.009383
states=CA,Simple assault,165689.000000,76493.929237,47377.365567,33271.662985,8546.042211,8993300.823917,9379899.611023,1096139.092150,4874663.222550,24344002.749639,8.505657,5.050946,30.353505,1.753155,6.806153,1.683973,6.009469,0.347094,1.249701,0.461672,0.369426,0.187527,0.187527,0.233641,0.050770,0.105732,0.011228
states=TX+AZ+CA,Murder,4945.000000,1932.516121,942.183153,1937.215256,133.085470,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,0.069603,0.028929,0.270785,0.014048,0.064256,2.406042,9.360459,0.485597,1.083224,0.390802,0.360777,0.201121,0.201121,0.202517,0.108999,0.140266,0.006330
states=TX+AZ+CA,Rape/sexual assault,52511.000000,23646.205483,14865.711555,11969.078154,2030.004807,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,0.851666,0.456434,1.673045,0.214274,0.682333,1.865912,3.665469,0.469453,1.248167,0.450310,0.360777,0.242622,0.242622,0.233354,0.072575,0.141831,0.007950
states=TX+AZ+CA,Robbery,80091.000000,29799.122084,9821.653020,39262.814086,1207.410810,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,1.073276,0.301562,5.488181,0.127447,1.040711,3.559052,18.199164,0.422621,1.031291,0.372066,0.360777,0.188663,0.188663,0.192808,0.145784,0.167452,0.005602
states=TX+AZ+CA,Aggravated assault,253768.000000,106008.025270,57951.491671,82937.325218,6871.157841,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,3.818094,1.779332,11.593031,0.725276,3.297488,2.145802,6.515384,0.407611,1.157880,0.417736,0.360777,0.218891,0.218891,0.216474,0.114593,0.110916,0.005716
states=TX+AZ+CA,Simple assault,699056.000000,285197.434129,195368.720972,197051.843170,21438.001729,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,10.271964,5.998566,27.544029,2.262859,9.083606,1.712403,4.591769,0.377233,1.130824,0.407975,0.360777,0.211502,0.211502,0.211416,0.038269,0.070447,0.004320
year=2022,Murder,1951.000000,691.687329,395.548562,822.983912,40.780198,8959513.045246,11313272.523998,2965271.539231,2172837.712665,25408911.768968,0.077201,0.034963,0.277541,0.018768,0.076784,2.208075,7.938077,0.536797,1.005435,0.354530,0.352613,0.203307,0.203307,0.187974,0.077909,0.149077,0.005296
year=2022,Rape/sexual assault,18021.000000,7554.232360,5598.058352,4394.655138,474.054150,8959513.045246,11313272.523998,2965271.539231,2172837.712665,25408911.768968,0.843152,0.494822,1.482041,0.218173,0.709239,1.703950,2.995099,0.440912,1.188812,0.419191,0.352613,0.240811,0.240811,0.222257,0.043616,0.135231,0.004746
year=2022,Robbery,24836.000000,8040.367058,2487.243874,14116.793178,191.595891,8959513.045246,11313272.523998,2965271.539231,2172837.712665,25408911.768968,0.897411,0.219852,4.760708,0.088178,0.977452,4.081890,21.654166,0.401078,0.918112,0.323738,0.352613,0.188662,0.188662,0.171648,0.117008,0.179509,0.005219
year=2022,Aggravated assault,86246.000000,33284.679412,18334.169575,33218.369839,1408.781175,8959513.045246,11313272.523998,2965271.539231,2172837.712665,25408911.768968,3.715010,1.620589,11.202471,0.648360,3.394321,2.292382,6.912591,0.400077,1.094478,0.385927,0.352613,0.224620,0.224620,0.204621,0.107112,0.118560,0.004234
year=2022,Simple assault,259929.000000,98892.986012,73814.027812,81140.939780,6081.046396,8959513.045246,11313272.523998,2965271.539231,2172837.712665,25408911.768968,11.037763,6.524551,27.363747,2.798666,10.229836,1.691728,4.193966,0.428944,1.078978,0.380462,0.352613,0.215737,0.215737,0.201723,0.032824,0.061411,0.002336
year=2023,Murder,1859.000000,669.700000,334.595223,822.771397,31.933381,9811831.472348,11876068.122250,3092656.797180,2426357.436458,27205065.938313,0.068254,0.028174,0.266040,0.013161,0.068333,2.422608,9.442792,0.467136,0.998851,0.360247,0.360662,0.201477,0.201477,0.186743,0.113502,0.106023,0.006186
year=2023,Rape/sexual assault,18709.000000,7920.821582,5353.633130,4938.892006,495.653282,9811831.472348,11876068.122250,3092656.797180,2426357.436458,27205065.938313,0.807272,0.450792,1.596974,0.204279,0.687703,1.790788,3.542598,0.453156,1.173868,0.423370,0.360662,0.237918,0.237918,0.219464,0.068096,0.125785,0.004616
year=2023,Robbery,25130.000000,8309.836370,2299.916289,14305.789651,214.457689,9811831.472348,11876068.122250,3092656.797180,2426357.436458,27205065.938313,0.846920,0.193660,4.625728,0.088387,0.923725,4.373237,23.885853,0.456402,0.916853,0.330674,0.360662,0.186774,0.186774,0.171413,0.145961,0.155208,0.005322
year=2023,Aggravated assault,83939.000000,32829.790314,18213.984180,31338.104345,1557.121161,9811831.472348,11876068.122250,3092656.797180,2426357.436458,27205065.938313,3.345939,1.533671,10.133069,0.641753,3.085418,2.181653,6.607067,0.418442,1.084436,0.391115,0.360662,0.220273,0.220273,0.202744,0.117752,0.089431,0.003587
year=2023,Simple assault,273438.000000,109810.518880,74177.327593,82639.240405,6810.913122,9811831.472348,11876068.122250,3092656.797180,2426357.436458,27205065.938313,11.191643,6.245950,26.721116,2.807053,10.050996,1.791824,4.278151,0.449420,1.113486,0.401592,0.360662,0.223780,0.223780,0.208175,0.035869,0.057655,0.002018
attribution=first,Murder,3810.000000,1361.156395,735.920598,1639.020386,73.902620,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.072512,0.031735,0.270558,0.016069,0.072414,2.284915,8.525457,0.506332,1.001357,0.357259,0.356775,0.202090,0.202090,0.187211,0.095276,0.132546,0.006037
attribution=first,Rape/sexual assault,36730.000000,15468.997835,10948.990073,9340.239774,971.772318,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.824075,0.472156,1.541821,0.211292,0.698103,1.745344,3.265489,0.447504,1.180448,0.421154,0.356775,0.239173,0.239173,0.220694,0.056085,0.129730,0.004547
