spec,arm,tangible_bn,full_bn,murder_full_bn,outside_nonfatal_victims,group_nonfatal_victimisations,share_Rape/sexual assault,share_Robbery,share_Aggravated assault,share_Simple assault
agencies: 12 months reported,offender,5.4910,40.1068,9.1552,597649.5738,872391.9374,0.2408,0.1879,0.2224,0.2195
agencies: 12 months reported,offender+victims,4.4463,29.4531,9.1552,384383.6681,872391.9374,0.2408,0.1879,0.2224,0.2195
states=TX,offender,5.5404,40.6341,9.1552,607730.8909,887022.7445,0.2454,0.1890,0.2255,0.2236
states=TX,offender+victims,4.4781,29.7977,9.1552,390759.9799,887022.7445,0.2454,0.1890,0.2255,0.2236
states=AZ,offender,4.9480,33.9330,9.1552,487864.3699,713599.7072,0.1821,0.1866,0.1860,0.1751
states=AZ,offender+victims,4.0991,25.4168,9.1552,315309.3133,713599.7072,0.1821,0.1866,0.1860,0.1751
states=CA,offender,5.1002,36.9647,9.1552,516261.5526,752898.7387,0.2317,0.1532,0.1921,0.1875
states=CA,offender+victims,4.1874,27.4199,9.1552,331945.9108,752898.7387,0.2317,0.1532,0.1921,0.1875
states=TX+AZ+CA,offender,5.4359,39.7640,9.1552,582756.6000,850730.7781,0.2426,0.1887,0.2189,0.2115
states=TX+AZ+CA,offender+victims,4.4127,29.2459,9.1552,375231.0411,850730.7781,0.2426,0.1887,0.2189,0.2115
year=2022,offender,5.4781,40.0828,9.1552,592692.4758,865159.6739,0.2408,0.1887,0.2246,0.2157
year=2022,offender+victims,4.4388,29.4411,9.1552,381386.5697,865159.6739,0.2408,0.1887,0.2246,0.2157
year=2023,offender,5.4997,40.0093,9.1552,602722.7731,879812.1242,0.2379,0.1868,0.2203,0.2238
year=2023,offender+victims,4.4506,29.3802,9.1552,387384.5516,879812.1242,0.2379,0.1868,0.2203,0.2238
attribution=first,offender,5.4872,40.0460,9.1552,597449.6883,872060.8286,0.2392,0.1866,0.2229,0.2197
attribution=first,offender+victims,4.4432,29.4090,9.1552,384168.7146,872060.8286,0.2392,0.1866,0.2229,0.2197
attribution=anyH,offender,5.6368,41.1044,9.1552,625208.4897,913503.5833,0.2430,0.2153,0.2316,0.2286
attribution=anyH,offender+victims,4.5486,30.1151,9.1552,402924.0135,913503.5833,0.2430,0.2153,0.2316,0.2286
attribution=allH,offender,5.3470,39.0170,9.1552,571331.0784,833177.7056,0.2359,0.1619,0.2132,0.2113
attribution=allH,offender+victims,4.3453,28.7269,9.1552,366635.0524,833177.7056,0.2359,0.1619,0.2132,0.2113
victims: all ages,offender,5.5011,40.2945,9.1552,598931.7276,874192.6239,0.2437,0.1875,0.2233,0.2196
victims: all ages,offender+victims,4.4529,29.5788,9.1552,385208.4716,874192.6239,0.2437,0.1875,0.2233,0.2196
victims: individuals + officers,offender,5.4860,40.0331,9.1552,596848.7409,871227.0886,0.2393,0.1876,0.2227,0.2192
victims: individuals + officers,offender+victims,4.4429,29.4025,9.1552,383851.8955,871227.0886,0.2393,0.1876,0.2227,0.2192
denominator: all ages,offender,5.5312,40.4680,9.1552,606091.1311,884720.3652,0.2426,0.1902,0.2253,0.2230
denominator: all ages,offender+victims,4.4725,29.6871,9.1552,389763.8278,884720.3652,0.2426,0.1902,0.2253,0.2230
simple assault incl. intimidation 13C,offender,5.4547,39.8403,9.1552,588203.1720,858627.2010,0.2393,0.1876,0.2223,0.2142
simple assault incl. intimidation 13C,offender+victims,4.4236,29.2833,9.1552,378516.1067,858627.2010,0.2393,0.1876,0.2223,0.2142
translation: rate vs all residents,offender,5.2558,37.6478,9.1552,553986.7479,808617.7240,0.2208,0.1715,0.2036,0.2050
translation: rate vs all residents,offender+victims,4.2900,27.8348,9.1552,356095.2537,808617.7240,0.2208,0.1715,0.2036,0.2050
incidents with an arrest only,offender,5.5347,40.8796,9.1552,599045.5752,874953.2534,0.2639,0.2057,0.2132,0.2176
incidents with an arrest only,offender+victims,4.4837,30.0207,9.1552,386444.5018,874953.2534,0.2639,0.2057,0.2132,0.2176
"states=TX+AZ+CA, alloc=b",offender,4.7500,32.3165,9.1552,467227.8997,681401.2112,0.1792,0.1219,0.1558,0.1823
"states=TX+AZ+CA, alloc=b",offender+victims,3.9476,24.3107,9.1552,298881.6694,681401.2112,0.1792,0.1219,0.1558,0.1823
"states=TX+AZ+CA, alloc=c",offender,6.6360,51.9835,9.1552,781244.7826,1143593.3369,0.3439,0.3466,0.3201,0.2590
"states=TX+AZ+CA, alloc=c",offender+victims,5.2414,37.3879,9.1552,508452.8969,1143593.3369,0.3439,0.3466,0.3201,0.2590
central,victim-conditional,4.0427,25.3913,9.1552,304683.6420,647569.4039,0.1771,0.1484,0.1557,0.1648
central,"victim-conditional, SHR-calibrated",4.3690,28.5907,9.1552,365485.4104,770836.7069,0.2097,0.1901,0.1861,0.1940
central,"victim-conditional, SHR 2022-2024-calibrated",4.4466,29.3896,9.1552,379831.3932,776402.7772,0.2128,0.1906,0.1877,0.1953
alloc=a0,victim-conditional,4.2933,28.0514,9.1552,346383.9081,665774.1276,0.1866,0.1608,0.1613,0.1672
alloc=a0,"victim-conditional, SHR-calibrated",4.2226,27.1534,9.1552,334717.1200,757217.9484,0.2027,0.1960,0.1829,0.1896
alloc=b,victim-conditional,3.7468,22.3858,9.1552,257104.4012,545856.7126,0.1444,0.1014,0.1158,0.1483
alloc=b,"victim-conditional, SHR-calibrated",4.4278,29.0788,9.1552,386247.1388,817004.2213,0.2158,0.1863,0.1845,0.2130
alloc=c,victim-conditional,5.3007,37.8202,9.1552,508661.1543,882081.1340,0.2528,0.2940,0.2421,0.1989
alloc=c,"victim-conditional, SHR-calibrated",4.0351,24.9940,9.1552,287636.8766,683114.2383,0.1815,0.2156,0.1783,0.1608
agencies: ethnicity recorded >= 0%,victim-conditional,4.0634,25.5647,9.1552,308180.3851,653067.6808,0.1779,0.1524,0.1574,0.1658
agencies: ethnicity recorded >= 0%,"victim-conditional, SHR-calibrated",4.3401,28.2648,9.1552,359748.4788,764461.2079,0.2068,0.1907,0.1848,0.1922
agencies: ethnicity recorded >= 80%,victim-conditional,4.1085,25.6944,9.1552,315750.4677,664580.1631,0.1750,0.1698,0.1606,0.1671
agencies: ethnicity recorded >= 80%,"victim-conditional, SHR-calibrated",4.3824,28.3278,9.1552,366741.6860,777712.7148,0.2038,0.2102,0.1882,0.1938
agencies: ethnicity recorded >= 95%,victim-conditional,4.0440,25.0627,9.1552,307765.1556,672825.5935,0.1712,0.1793,0.1623,0.1689
agencies: ethnicity recorded >= 95%,"victim-conditional, SHR-calibrated",4.3092,27.6599,9.1552,357670.4998,759665.3988,0.1949,0.2082,0.1828,0.1897
states=TX,victim-conditional,4.0052,25.0836,9.1552,297830.3652,641884.1842,0.1769,0.1439,0.1543,0.1637
states=TX,"victim-conditional, SHR-calibrated",4.3771,28.7563,9.1552,367064.5313,773428.6261,0.2124,0.1879,0.1868,0.1948
states=AZ,victim-conditional,4.5675,29.0001,9.1552,392201.9884,725658.8992,0.1756,0.2509,0.1746,0.1746
states=AZ,"victim-conditional, SHR-calibrated",4.1747,25.2454,9.1552,322013.4856,719625.0994,0.1694,0.2442,0.1707,0.1753
states=CA,victim-conditional,4.7206,31.7747,9.1552,425854.0978,757365.7109,0.2110,0.2185,0.1877,0.1834
states=CA,"victim-conditional, SHR-calibrated",4.1028,25.5663,9.1552,312682.0098,693492.7767,0.1844,0.1997,0.1690,0.1702
states=TX+AZ+CA,victim-conditional,4.2214,27.0357,9.1552,334669.8651,675329.1500,0.1855,0.1725,0.1646,0.1683
states=TX+AZ+CA,"victim-conditional, SHR-calibrated",4.3581,28.3146,9.1552,360392.9279,760454.7519,0.2055,0.2030,0.1851,0.1887
year=2022,victim-conditional,4.0279,25.3111,9.1552,300621.0497,641246.6903,0.1769,0.1481,0.1560,0.1623
year=2022,"victim-conditional, SHR-calibrated",4.4096,29.0859,9.1552,371491.6682,773081.2480,0.2126,0.1920,0.1888,0.1934
year=2023,victim-conditional,4.0570,25.4666,9.1552,308558.2990,653509.8861,0.1773,0.1487,0.1555,0.1672
year=2023,"victim-conditional, SHR-calibrated",4.3306,28.1247,9.1552,359744.1521,768777.3539,0.2070,0.1884,0.1838,0.1946
attribution=first,victim-conditional,4.0392,25.3759,9.1552,304163.6174,647104.5318,0.1770,0.1472,0.1561,0.1647
attribution=first,"victim-conditional, SHR-calibrated",4.3649,28.5729,9.1552,364895.2092,770259.2495,0.2095,0.1888,0.1865,0.1939
attribution=anyH,victim-conditional,4.1683,26.2734,9.1552,327494.7956,680749.1683,0.1802,0.1716,0.1630,0.1719
attribution=anyH,"victim-conditional, SHR-calibrated",4.2692,27.2139,9.1552,346535.8931,743758.7434,0.1951,0.1942,0.1782,0.1870
attribution=allH,victim-conditional,3.9292,24.5873,9.1552,283750.0316,615871.3497,0.1743,0.1270,0.1488,0.1579
attribution=allH,"victim-conditional, SHR-calibrated",4.4991,30.3202,9.1552,389798.3426,801606.3195,0.2264,0.1861,0.1952,0.2019
victims: all ages,victim-conditional,4.0191,24.9318,9.1552,302074.2233,645457.3034,0.1744,0.1482,0.1553,0.1645
victims: all ages,"victim-conditional, SHR-calibrated",4.3517,28.1542,9.1552,364405.0607,767058.2527,0.2053,0.1891,0.1854,0.1935
incidents with an arrest only,victim-conditional,4.1017,25.6682,9.1552,312477.7987,666595.1985,0.1858,0.1719,0.1557,0.1677
incidents with an arrest only,"victim-conditional, SHR-calibrated",4.3582,28.0875,9.1552,360216.0307,789939.1282,0.2154,0.2187,0.1854,0.1968
"states=TX+AZ+CA, alloc=b",victim-conditional,3.8711,23.4614,9.1552,278841.5057,563842.9131,0.1469,0.1181,0.1237,0.1501
"states=TX+AZ+CA, alloc=b","victim-conditional, SHR-calibrated",4.4481,29.0345,9.1552,387967.3710,823666.0260,0.2125,0.2041,0.1894,0.2118
"states=TX+AZ+CA, alloc=c",victim-conditional,5.5072,39.9195,9.1552,544054.7472,915344.1831,0.2671,0.3147,0.2503,0.2045
"states=TX+AZ+CA, alloc=c","victim-conditional, SHR-calibrated",4.0165,24.8165,9.1552,283298.3598,669096.5268,0.1800,0.2180,0.1737,0.1565
"central; prices: McCollister 2010, risk of homicide removed",offender,3.1952,40.3155,12.5624,597695.3020,872467.4743,0.2393,0.1876,0.2223,0.2198
"central; prices: McCollister 2010, risk of homicide removed",offender+victims,2.4487,30.9560,12.5624,384369.8164,872467.4743,0.2393,0.1876,0.2223,0.2198
"central; prices: McCollister 2010, risk of homicide removed","victim-conditional, SHR-calibrated",2.3875,30.4321,12.5624,365485.4104,770836.7069,0.2097,0.1901,0.1861,0.1940
central; prices: Miller + DOT 2024 VSL for murder,offender,5.4883,44.8738,13.9926,597695.3020,872467.4743,0.2393,0.1876,0.2223,0.2198
central; prices: Miller + DOT 2024 VSL for murder,offender+victims,4.4443,34.2415,13.9926,384369.8164,872467.4743,0.2393,0.1876,0.2223,0.2198
central; prices: Miller + DOT 2024 VSL for murder,"victim-conditional, SHR-calibrated",4.3690,33.4281,13.9926,365485.4104,770836.7069,0.2097,0.1901,0.1861,0.1940
central; Hispanic victims all in-group (non-Hispanic victims only),offender,4.2788,33.2824,6.0339,522962.3739,872467.4743,0.2393,0.1876,0.2223,0.2198
central; Hispanic victims all in-group (non-Hispanic victims only),offender+victims,2.9508,19.7585,6.0339,251616.3178,872467.4743,0.2393,0.1876,0.2223,0.2198
central; Hispanic victims all in-group (non-Hispanic victims only),"victim-conditional, SHR-calibrated",2.9934,20.2878,6.0339,255237.3855,770836.7069,0.2097,0.1901,0.1861,0.1940
central; scaling: ACS institutional ratio 1.118,offender,6.1364,44.7639,10.2363,668271.3250,975488.6698,0.2393,0.1876,0.2223,0.2198
central; scaling: ACS institutional ratio 1.118,offender+victims,4.9691,32.8762,10.2363,429756.3083,975488.6698,0.2393,0.1876,0.2223,0.2198
central; scaling: ACS institutional ratio 1.118,"victim-conditional, SHR-calibrated",4.8849,31.9667,10.2363,408642.0266,861857.3139,0.2097,0.1901,0.1861,0.1940
central; scaling: ACS institutional ratio 0.901,offender,4.9453,36.0751,8.2494,538558.5165,786144.3566,0.2393,0.1876,0.2223,0.2198
central; scaling: ACS institutional ratio 0.901,offender+victims,4.0046,26.4949,8.2494,346339.7443,786144.3566,0.2393,0.1876,0.2223,0.2198
central; scaling: ACS institutional ratio 0.901,"victim-conditional, SHR-calibrated",3.9367,25.7619,8.2494,329323.7872,694569.0755,0.2097,0.1901,0.1861,0.1940
