acs_year,state,geo,geoid,name,total,hisp,nhw,nhb,total_12,hisp_12,nhw_12,nhb_12,total_18,hisp_18,nhw_18,nhb_18,mexican,hisp_b03001,nho,nho_12,nho_18
2022,CA,place,04938,"Bell Canyon CDP, California",1768,99,1112,16.0,1600.8,89.0,1014.4,10.9,1427,74,891,10.9,63,99,541.0,486.5,451.1
2022,CA,place,04982,"Bellflower city, California",78352,47055,10062,9350.0,66350.0,38583.0,9414.4,7985.8,59887,33894,9187,7187.8,39417,47055,11885.0,10366.8,9618.2
2022,CA,place,04996,"Bell Gardens city, California",39263,37731,754,438.0,32248.8,30936.2,648.2,364.5,28243,27026,621,342.8,31900,37731,340.0,299.9,253.2
2022,CA,place,05108,"Belmont city, California",27820,3849,13103,404.0,24038.2,3332.8,11824.0,286.2,21431,2646,10892,256.0,1662,3849,10464.0,8595.2,7637.0
2022,CA,place,05164,"Belvedere city, California",2327,130,2039,12.0,2043.2,109.0,1785.2,12.0,1765,86,1530,12.0,100,130,146.0,137.0,137.0
2022,CA,place,05262,"Benbow CDP, California",153,0,133,0.0,153.0,0.0,133.0,0.0,153,0,133,0.0,0,0,20.0,20.0,20.0
2022,CA,place,05276,"Bend CDP, California",414,4,310,0.0,414.0,4.0,310.0,0.0,395,4,301,0.0,4,4,100.0,100.0,90.0
2022,CA,place,05290,"Benicia city, California",27040,4063,16263,960.0,23539.0,3536.4,14636.2,858.2,21546,3091,13702,767.0,2367,4063,5754.0,4508.2,3986.0
2022,CA,place,05332,"Ben Lomond CDP, California",7247,805,6087,31.0,6314.6,559.2,5414.6,31.0,5609,511,4792,10.0,665,805,324.0,309.8,296.0
2022,CA,place,05346,"Benton CDP, California",393,60,215,0.0,341.2,37.0,215.0,0.0,333,37,215,0.0,60,60,118.0,89.2,81.0
2022,CA,place,05356,"Benton Park CDP, California",5836,4180,958,551.0,4547.6,3115.8,850.4,402.5,4071,2830,821,268.7,3555,4180,147.0,178.9,151.3
2022,CA,place,06000,"Berkeley city, California",121385,14654,63018,9153.0,112070.8,12992.4,58444.2,8612.6,106625,12203,55558,8004.5,8611,14654,34560.0,32021.6,30859.5
2022,CA,place,06028,"Bermuda Dunes CDP, California",7306,2691,4110,44.0,6346.8,2224.8,3699.6,44.0,5893,2028,3514,44.0,2578,2691,461.0,378.4,307.0
2022,CA,place,06070,"Berry Creek CDP, California",1006,99,798,0.0,946.4,58.8,786.0,0.0,878,51,732,0.0,74,99,109.0,101.6,95.0
2022,CA,place,06150,"Bertsch-Oceanview CDP, California",2222,613,1181,0.0,1898.0,501.8,1121.4,0.0,1662,436,1046,0.0,558,613,428.0,274.8,180.0
2022,CA,place,06210,"Bethel Island CDP, California",1993,435,1416,0.0,1853.6,370.6,1341.0,0.0,1694,283,1269,0.0,435,435,142.0,142.0,142.0
2022,CA,place,06308,"Beverly Hills city, California",32406,2297,23735,539.0,29770.6,2136.0,22125.8,506.6,26737,1840,20098,506.6,961,2297,5835.0,5002.2,4292.4
2022,CA,place,06336,"Bieber CDP, California",151,4,147,0.0,106.0,4.0,102.0,0.0,106,4,102,0.0,4,4,0.0,0.0,0.0
2022,CA,place,06406,"Big Bear City CDP, California",12753,2942,8959,112.0,10802.6,2308.4,7789.2,112.0,9942,2058,7263,112.0,2480,2942,740.0,593.0,509.0
2022,CA,place,06434,"Big Bear Lake city, California",5059,1499,3303,1.0,4324.8,1099.6,2968.2,0.6,3925,911,2757,0.1,1201,1499,256.0,256.4,256.9
2022,CA,place,06475,"Big Bend CDP, California",176,10,148,5.0,128.8,10.0,103.6,5.0,115,10,91,5.0,7,10,13.0,10.2,9.0
2022,CA,place,06518,"Big Creek CDP, California",97,0,86,0.0,75.2,0.0,64.2,0.0,61,0,50,0.0,0,0,11.0,11.0,11.0
2022,CA,place,06560,"Biggs city, California",2665,940,1578,0.0,2150.0,721.4,1333.4,0.0,1877,581,1219,0.0,885,940,147.0,95.2,77.0
2022,CA,place,06567,"Big Lagoon CDP, California",104,14,81,0.0,104.0,14.0,81.0,0.0,104,14,81,0.0,0,14,9.0,9.0,9.0
2022,CA,place,06616,"Big Pine CDP, California",1563,199,976,0.0,1384.2,127.6,895.2,0.0,1264,102,831,0.0,153,199,388.0,361.4,331.0
2022,CA,place,06635,"Big River CDP, California",1028,122,860,0.0,947.6,119.0,782.6,0.0,887,108,733,0.0,98,122,46.0,46.0,46.0
2022,CA,place,06728,"Biola CDP, California",1335,1146,14,58.0,985.4,835.4,14.0,19.0,823,673,14,19.0,1120,1146,117.0,117.0,117.0
2022,CA,place,06798,"Bishop city, California",3802,660,2850,0.0,3469.0,524.6,2680.0,0.0,3359,464,2680,0.0,455,660,292.0,264.4,215.0
2022,CA,place,06928,"Blackhawk CDP, California",10622,618,6783,694.0,9700.6,514.6,6320.8,572.0,8846,435,5781,572.0,279,618,2527.0,2293.2,2058.0
2022,CA,place,06935,"Blacklake CDP, California",824,24,773,0.0,763.4,24.0,712.4,0.0,737,24,686,0.0,24,24,27.0,27.0,27.0
2022,CA,place,06982,"Black Point-Green Point CDP, California",1684,81,1100,0.0,1585.8,81.0,1035.2,0.0,1426,81,954,0.0,6,81,503.0,469.6,391.0
2022,CA,place,06994,"Blairsden CDP, California",0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2022,CA,place,07036,"Bloomfield CDP, California",197,0,171,0.0,175.6,0.0,149.6,0.0,169,0,143,0.0,0,0,26.0,26.0,26.0
2022,CA,place,07064,"Bloomington CDP, California",23051,20204,2175,299.0,19669.8,17057.6,2023.2,236.1,17255,14744,1942,218.8,18883,20204,373.0,352.9,350.2
2022,CA,place,07162,"Blue Lake city, California",841,35,695,0.0,745.2,35.0,627.2,0.0,738,35,620,0.0,24,35,111.0,83.0,83.0
2022,CA,place,07172,"Bluewater CDP, California",167,26,116,0.0,132.0,9.0,116.0,0.0,132,9,116,0.0,26,26,25.0,7.0,7.0
2022,CA,place,07218,"Blythe city, California",17949,10554,4277,1994.0,15503.0,8825.8,3895.0,1808.0,14202,8050,3678,1556.6,9745,10554,1124.0,974.2,917.4
2022,CA,place,07246,"Bodega CDP, California",547,0,279,0.0,493.8,0.0,242.6,0.0,383,0,157,0.0,0,0,268.0,251.2,226.0
2022,CA,place,07260,"Bodega Bay CDP, California",1186,321,850,15.0,1179.6,321.0,843.6,15.0,1057,247,795,15.0,309,321,0.0,-0.0,0.0
2022,CA,place,07274,"Bodfish CDP, California",2320,313,1758,0.0,2048.8,313.0,1529.0,0.0,1785,313,1312,0.0,219,313,249.0,206.8,160.0
2022,CA,place,07316,"Bolinas CDP, California",1280,156,1067,0.0,1200.6,116.0,1027.6,0.0,1179,116,1006,0.0,46,156,57.0,57.0,57.0
2022,CA,place,07372,"Bombay Beach CDP, California",242,0,91,73.0,194.4,0.0,91.0,73.0,174,0,91,73.0,0,0,78.0,30.4,10.0
2022,CA,place,07378,"Bonadelle Ranchos CDP, California",5635,2241,2787,39.0,4755.2,1876.4,2421.8,16.5,4153,1566,2225,16.5,1996,2241,568.0,440.5,345.5
2022,CA,place,07414,"Bonita CDP, California",13473,6638,4854,230.0,11707.0,5248.6,4652.4,210.8,10965,4845,4458,182.0,6046,6638,1751.0,1595.2,1480.0
2022,CA,place,07470,"Bonny Doon CDP, California",2858,276,2272,15.0,2644.6,256.8,2122.4,15.0,2364,220,1906,15.0,209,276,295.0,250.4,223.0
2022,CA,place,07498,"Bonsall CDP, California",4131,1002,2901,0.0,3638.0,770.0,2692.8,0.0,3304,656,2483,0.0,904,1002,228.0,175.2,165.0
2022,CA,place,07512,"Boonville CDP, California",995,364,437,98.0,830.8,283.4,426.2,81.2,736,230,410,56.0,354,364,96.0,40.0,40.0
