design,endpoint,outcome,y,x,controls,estimator,n,coef,se,lo,hi,F,hansen_J,hansen_p,ar_lo,ar_hi,ar_kind
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,d_mexemp,none,level placebo: Z2_exmex on 2000 level,340,6.078801060507973,0.9315334648911526,4.252995469321315,7.904606651694632,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,d_mexemp,none,level placebo: Z on 2000 level,340,3.060869703722254,0.7031678200295192,1.6826607764643966,4.439078630980111,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,d_mexemp,none,level placebo: Z2 on 2000 level given lnpop0,340,2.3845742192914487,0.47006425255640927,1.4632482842808865,3.305900154302011,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,first stage on Z2,340,1.2492825907551073,0.1847098028418626,0.8872513771850565,1.611313804325158,45.74477400905306,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,first stage on Z2_exmex,340,2.1437152101896593,0.24727290432967652,1.6590603177034933,2.6283701026758255,75.15902179842867,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,first stage on Z2_mex,340,1.858643379884394,0.4841265394879666,0.9097553624879795,2.8075313972808082,14.739215080161314,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,first stage on Z,340,1.0791109923961968,0.177149241452556,0.731898479149187,1.4263235056432064,37.10681157621578,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,"first stage on Z+Z2, coefficient on Z",340,0.7589203905341326,0.24443034975786054,0.279836905008726,1.2380038760595393,14.652820052551178,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,"first stage on Z+Z2, coefficient on Z2",340,0.6210080875809,0.27567643705843187,0.08068227094637348,1.1613339042154265,14.652820052551178,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,OLS,340,0.2679298725063248,0.12013253762037858,0.03247009877038276,0.5033896462422668,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,reduced form on Z2,340,0.6038996076183084,0.22703566052676752,0.15890971298584405,1.0488895022507727,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,reduced form on Z2_exmex,340,0.8564977981949284,0.29539278849566586,0.27752793274342336,1.4354676636464334,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,IV with Z2,340,0.4833971209454645,0.17329665272257921,0.14373568160920924,0.8230585602817198,,,,0.1375619583791119,0.8475640346855655,bounded
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,IV with Z2 + baseline level,340,0.8758455718049508,0.25848723651972166,0.3692105882262964,1.3824805553836053,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,IV with Z2_exmex,340,0.3995389845273106,0.13404768934197908,0.13680551341703162,0.6622724556375896,,,,0.13536895202977303,0.6749085387961127,bounded
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,IV with Z2_exmex + baseline level,340,0.6129942318271722,0.17733036147972858,0.26542672332690415,0.9605617403274402,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,IV with Z2_mex,340,0.8423889570489199,0.3981679833271107,0.061979709727782994,1.6227982043700568,,,,0.07635334561647325,1.917658041915334,bounded
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,IV with Z2_mex + baseline level,340,6.813819517347145,12.653047692577639,-17.986153960105025,31.613792994799315,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,IV with Z,340,0.21269486676406463,0.17471241154358902,-0.12974145986136987,0.5551311933894991,,,,-0.15878910393167833,0.564794137387903,bounded
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,IV with Z + baseline level,340,0.3249111639421077,0.29118494725721994,-0.24581133268204342,0.8956336605662587,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,IV with Z+Z2,340,0.3131443788990278,0.14862574981541374,0.021837909260816857,0.6044508485372387,,1.5600751820425849,0.21165421251317007,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,IV with Z+Z2 + baseline level,340,0.56154321441685,0.21255795404435673,0.14492962448991076,0.9781568043437892,,2.26698143980368,0.13215708692017758,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,level placebo: Z2 on 2000 level,340,4.545432809708826,0.5436878612081423,3.4798046017408675,5.611061017676785,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,level placebo: Z2_exmex on 2000 level,340,6.078801060507973,0.9315334648911526,4.252995469321315,7.904606651694632,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,level placebo: Z on 2000 level,340,3.060869703722254,0.7031678200295192,1.6826607764643966,4.439078630980111,,,,,,
FG_noLA,2009-11 ACS,adj_hour_ba,d_adj_hour_ba,inflow,none,level placebo: Z2 on 2000 level given lnpop0,340,2.3845742192914487,0.47006425255640927,1.4632482842808865,3.305900154302011,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,first stage on Z2,340,0.7201955417170176,0.06215903912614248,0.5983638250297784,0.8420272584042569,134.24319270271727,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,first stage on Z2_exmex,340,1.1183430555626501,0.07004706897056347,0.9810508003803458,1.2556353107449545,254.90018789290252,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,first stage on Z2_mex,340,1.5075359412491613,0.1977520597303083,1.119941904177757,1.8951299783205657,58.11567930681187,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,first stage on Z,340,0.4790266829445828,0.060938399954007,0.35958741903472907,0.5984659468544365,61.792720638867735,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,"first stage on Z+Z2, coefficient on Z",340,0.18789711507266627,0.11164812441230487,-0.030933208775451276,0.4067274389207838,41.040511384630236,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,"first stage on Z+Z2, coefficient on Z2",340,0.5646443559898019,0.1092586303455122,0.350497440512598,0.7787912714670058,41.040511384630236,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,OLS,340,0.3504780890703146,0.1680091596927754,0.021180136072474764,0.6797760420681545,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,reduced form on Z2,340,0.015929272792286585,0.13711188037885885,-0.25281001275027676,0.2846685583348499,,,,,,
