cbsa,workers_0,commuters_0,agg_min_0,commute_0,commute_nontransit_0,commute_transit_0,sh_transit_0,sh_alone_0,sh_carpool_0,sh_home_0,pop_sf1_0,pop_sf1_1,commute_1f,commute_nontransit_1f,commute_transit_1f,commute_alone_1f,sh_transit_1f,sh_alone_1f,sh_carpool_1f,sh_home_1f,fb_share_1f,mex_share_1f,ssi_rate_1f,pa_rate_1f,pop_acs5_1,cbsa_title_2010,commute_1p,commute_nontransit_1p,commute_alone_1p,sh_transit_1p,sh_alone_1p,sh_carpool_1p,sh_home_1p,pop_acs1_1,fb_share_1p,cbsa_title,dlnpop_sf1
42220,224947.0,212701.0,5708195.0,26.83670974748591,25.71705744374837,68.96222988923189,2.44813222670229,74.74382854627979,12.573183905542194,5.443949019102277,458614.0,483878.0,25.355917626487248,24.75952544804257,55.268595041322314,24.553580339687553,1.8220873840157672,75.44035254777775,10.484753194410612,6.789202117058263,16.463545803547788,9.538613648398199,4.085050568557523,2.3940119890299294,483456.0,"Santa Rosa-Petaluma, CA Metro Area",25.788075399874103,,,1.861516334497637,76.45047142889756,10.328972901399448,7.882565121110426,485120.0,16.29122691292876,"Santa Rosa, CA",0.05362391117610521
42340,133060.0,129912.0,3142000.0,24.185602561734097,23.85676124239311,36.48846836191603,2.541710506538404,77.81677438749436,13.44957162182474,2.3658499924845935,293000.0,347611.0,22.83032393184416,,,,1.810369521627041,80.98857379292785,10.002227951239696,3.651293803112766,5.483685270203315,1.3369114138668758,3.4441059866215618,1.0630807145371888,349163.0,"Savannah, GA Metro Area",22.863379644936874,22.687320082248114,23.090133748405368,1.4840300549975471,80.45456892767693,9.824033669859794,4.3358981641663865,348689.0,5.514656326984792,"Savannah, GA",0.17091142944308046
42540,248164.0,242901.0,5083600.0,20.92869111284021,20.748610527978585,39.42570452604611,0.9437307586918329,81.36071307683629,11.533502038974227,2.120774971389887,560625.0,563631.0,21.509803128098255,,,,1.1618485742379547,79.92566371681416,11.662143559488692,2.8062930186823993,4.527736983888238,0.5357564607754174,5.164510587575375,3.202566259991586,563129.0,"Scranton--Wilkes-Barre, PA Metro Area",21.296270368433408,,,1.1754686206924256,81.46768867356039,10.889354898321562,2.443737395650043,564446.0,4.828451260173693,"Scranton--Wilkes-Barre--Hazleton, PA",0.005347549247440853
42660,1535823.0,1471851.0,40512590.0,27.52492609645949,26.388184540499726,41.922269882829184,7.012917504165519,71.5965967432445,12.700356746838665,4.165323738477676,3043878.0,3439809.0,27.68030427884438,26.11322130580765,44.01635543565316,25.8365063947035,8.291223260953522,69.7441241522405,10.971608248467582,5.27694787360396,16.622231847836034,2.619704738156924,3.49778479737034,3.5201383722932937,3453748.0,"Seattle-Tacoma-Bellevue, WA Metro Area",26.891412586238047,25.28075950724353,25.132772363412926,8.154575109733218,70.4855089594157,10.240483722429849,5.451561890015946,3449059.0,16.769849399502878,"Seattle-Tacoma-Bellevue, WA",0.12228358623538504
42680,44876.0,43190.0,875770.0,20.27714748784441,20.293440870211974,16.05421686746988,0.3699081914609145,80.44166146715393,12.244852482395935,3.7570193421873608,112947.0,138028.0,21.807148546395858,21.631691605985438,59.61206896551724,21.152864302777648,0.44443593034616197,81.7953679048294,10.798643704143599,3.794946456964426,10.547527911839829,3.7633047039499865,3.0551364696200793,2.7996845425867507,138203.0,"Sebastian-Vero Beach, FL Metro Area",19.191629466540086,,,,,,,138268.0,11.717823357537537,"Sebastian-Vero Beach, FL",0.20053788099049186
42700,29342.0,28580.0,656885.0,22.98407977606718,22.58101646892155,55.971014492753625,1.1757889714402563,74.0610728648354,19.26249062776907,2.596959989094131,87366.0,98786.0,22.257106632857333,21.834356874786764,40.97432024169184,21.13036752101016,2.1315645426151915,77.01001384550987,12.802266799755289,3.49357632739801,10.184941357587052,4.0441995665120425,5.750558245728479,1.8064580876633967,98734.0,"Sebring, FL Micro Area",24.065465366176227,,,,,,,98700.0,9.663627152988855,"Sebring, FL",0.12284970335169021
43100,58546.0,56798.0,958600.0,16.877354836437902,16.82018322562318,23.670886075949365,0.8096197861510607,80.97393502545007,10.181737437228845,2.985686468759608,112646.0,115507.0,18.579129011598948,,,,0.549914668413522,83.45773931631298,8.522815425192643,3.0977951697150443,5.070334642086378,1.526300735848566,3.7696652312220036,1.9367683019194564,115377.0,"Sheboygan, WI Metro Area",18.9186562011701,,,,,,,115472.0,5.131114036303173,"Sheboygan, WI",0.025080976149432388
43300,50013.0,48583.0,1208080.0,24.86631126114073,24.860819002845478,28.0,0.16995581148901287,80.7749985003899,13.356527302901245,2.8592565932857457,110595.0,120877.0,24.01300496954152,,,,0.30919915498367584,80.5166122527367,11.759170347608988,4.159784904935663,5.529629230526935,3.0984491176299933,5.015021459227468,2.0493562231759657,120641.0,"Sherman-Denison, TX Metro Area",23.362875030490283,,,,,,,121145.0,5.438936811259235,"Sherman-Denison, TX",0.08889861954546596
43340,175378.0,172417.0,3854855.0,22.357743145977484,22.054969883960332,40.01892635925671,1.6569923251491065,80.68914002896601,13.288439827116285,1.6883531571804902,417796.0,439811.0,21.261220306916123,20.972935125234283,43.163430420711975,20.717298683038283,1.2725868725868725,84.94259974259974,8.315057915057915,2.043758043758044,2.5310795504842667,0.7331528067495454,5.724741016605579,1.1714652744222225,440563.0,"Shreveport-Bossier City, LA Metro Area",21.071680036936574,20.724457749992663,20.521253931216396,1.6491660820566205,83.64921134218923,8.69899748806264,1.9722102785761162,399799.0,3.008761902856185,"Shreveport-Bossier City, LA",0.051351814058882894
43420,46866.0,45055.0,891680.0,19.79092220619243,19.750679257048684,31.601307189542485,0.32646268083472024,73.40289335552426,14.878590022617676,3.8642085947168523,117755.0,131346.0,19.14565855486396,19.102137717536813,28.231441048034934,19.196190866270737,0.4535910945608684,77.37590619181556,11.001069603454424,4.850849740522125,11.893866593450175,7.948565414359584,4.802925639983746,2.5965054855749696,131118.0,"Sierra Vista-Douglas, AZ Micro Area",19.788078807880787,,,,,,,131789.0,12.30679343496043,"Sierra Vista-Douglas, AZ",0.10922886783963115
43580,83373.0,79951.0,1438340.0,17.99026903978687,17.897568350762253,30.65404475043029,0.6968682906936299,78.4906384560949,13.061782591486452,4.104446283569021,167902.0,168563.0,17.50906623905267,,,,0.6764813524904667,79.87084282729064,10.504940793124211,4.289104282020707,8.138047558704718,4.5767965398870825,3.0755766706257424,2.6098643495655436,168087.0,"Sioux City, IA-NE-SD Metro Area",17.803129457786145,,,,,,,143882.0,10.31331229757718,"Sioux City, IA-NE-SD",0.003929091289512243
43620,102308.0,98238.0,1746490.0,17.778151020989842,17.69658487587889,29.620535714285715,0.6568401298041209,82.75990147398053,9.440121984595535,3.9781835242600776,187093.0,228261.0,17.922524107483692,,,,0.5274984461903776,83.34634814897449,8.432006884571866,3.9809399352977737,4.827477946915621,0.562936864733815,2.3513882363469585,1.7450835626552117,229333.0,"Sioux Falls, SD Metro Area",18.555833368648557,18.311415900412666,17.839970095223105,0.9669772764427007,83.09301945398072,8.31943763282655,3.5597515121791727,229360.0,5.970090687129404,"Sioux Falls, SD",0.19888389165282128
43780,149687.0,145520.0,3034690.0,20.854109400769655,20.700271741018994,34.40906307409676,1.0909431012713195,81.43058515435543,10.375650524093608,2.7838088811987682,316663.0,319224.0,20.674523386706195,,,,1.0676940793448821,82.93893102639379,8.25152654662809,3.129864867746682,4.924231744032682,1.5382350084743903,4.472653344572817,2.771855010660981,319197.0,"South Bend-Mishawaka, IN-MI Metro Area",20.976706339385487,,,1.2422269368644379,84.49630550881557,7.819152827566025,2.450069500329212,319157.0,4.898529563819688,"South Bend-Mishawaka, IN-MI",0.008054933807033038
43900,129661.0,127280.0,2917720.0,22.92363293526084,22.892346217345626,28.67198838896952,0.5313856903772144,81.96527868827172,13.645583483082808,1.836327037428371,283672.0,313268.0,22.32666009852217,,,,0.31916036273802767,84.92504334750119,9.858679473999171,2.6599254269537065,5.535130718954249,2.182266135620915,4.65647439571183,2.0598051444560563,313344.0,"Spartanburg, SC Metro Area",22.32696601339618,,,,,,,284713.0,6.852163406658635,"Spartanburg, SC",0.0992404130776503
44060,210433.0,201317.0,4388615.0,21.79952512703845,21.357106404695074,37.9523010993106,2.5504554893956746,76.48847851810315,12.432460688200045,4.332020167939439,469737.0,527753.0,21.85676307023162,,,,2.619674449065982,76.2715613519949,10.566309425189644,5.865641928670255,5.233947487800109,0.46199195594942766,5.276411754923622,4.959494452759366,526849.0,"Spokane, WA Metro Area",20.769577161487682,20.372676762965035,20.148957421359608,2.7599770081089168,77.04848723807534,9.204832097440015,5.5850343690768565,472147.0,5.552084414387892,"Spokane-Spokane Valley, WA",0.11645540760618722
44100,102922.0,100100.0,1954860.0,19.52907092907093,19.311782630777046,32.49393939393939,1.603155787878199,81.80661083150346,11.090923223411904,2.7418822020559257,201437.0,210170.0,19.434546052434904,,,19.001459785270296,1.5131788328559441,81.9219010695445,10.324142387331346,3.2173133119231547,3.142691315972255,0.1874387493934406,3.5488886856306596,2.1094393121741515,210202.0,"Springfield, IL Metro Area",20.415386170642943,,,1.9286629436560485,83.20733126644302,8.440345438007961,3.2538851995657576,210390.0,3.6009316032130805,"Springfield, IL",0.04244004962622405
44140,283551.0,275932.0,6025460.0,21.83675688213038,21.573429434254177,31.882803632236094,2.4856198708521573,79.32929173235149,9.609911444502048,2.686994579458369,608479.0,621570.0,22.61103381750051,22.352396665310792,33.107065720456646,22.779342347031843,2.2966758080174605,79.63923552796615,8.410042730500223,4.499457896638959,8.664648222409868,0.1828479328069967,8.768505374163455,4.386787669843845,622922.0,"Springfield, MA Metro Area",23.231422541443987,23.126245708501603,23.498537718841394,2.0220647395420985,80.33225841749217,8.109177979029486,5.455680640572602,693141.0,8.713811475587217,"Springfield, MA",0.021286134601291806
44180,178278.0,171524.0,3715335.0,21.660729693803784,21.586295309731398,33.34254143646409,0.6091609733113452,81.29550477344372,11.060815131423956,3.788465206026543,368374.0,436712.0,21.46532722737103,,,,0.39625252635875785,81.9839507770731,10.090998695751734,4.014794755129877,2.4142931644967383,0.42247271196830655,4.724674184963786,2.4515195204093843,437188.0,"Springfield, MO Metro Area",21.967495096935988,,,0.4769892561643272,82.5433252377228,9.126085703700655,3.9754250195529575,435175.0,2.247371746998334,"Springfield, MO",0.17017521250325807
