design,outcome,y,x,controls,estimator,n,coef,se,lo,hi,F,hansen_J,hansen_p,ar_lo,ar_hi,ar_kind
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,first stage on Z2_exmex,334,0.382334070145033,0.06298114882087082,0.2588910184561262,0.5057771218339399,36.85232086672211,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,first stage on Z2_mex,334,0.6936704408107937,0.16358623077990828,0.3730414284821734,1.0142994531394138,17.980960422338043,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,first stage on Z,334,0.09898183949453992,0.02830951206054172,0.04349519585587815,0.1544684831332017,12.224926962917559,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z",334,-0.0691439176479531,0.09791347534645756,-0.2610543293270099,0.12276649403110372,19.638593894589135,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z2",334,0.325812626543166,0.09767369872944487,0.13437217703345405,0.517253076052878,19.638593894589135,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,OLS,334,-0.08139186873562729,0.028105771020356628,-0.13647917993552627,-0.0263045575357283,,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,reduced form on Z2,334,-0.07312207227552708,0.021130654988152305,-0.1145381560523056,-0.03170598849874857,,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,reduced form on Z2_exmex,334,-0.11218717257110489,0.029861764510169017,-0.17071623101103617,-0.05365811413117361,,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,IV with Z2,334,-0.2721194192663037,0.11664158998997236,-0.5007369356466496,-0.043501902885957844,,,,-0.6105258509233639,-0.09465789280810372,bounded
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,IV with Z2 + baseline level,334,-0.31097411139264264,0.10176582880081933,-0.5104351358422485,-0.11151308694303674,,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,IV with Z2_exmex,334,-0.2934270872814113,0.10972421864258255,-0.5084865558208731,-0.0783676187419495,,,,-0.5890351498101348,-0.11876731927413899,bounded
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,IV with Z2_exmex + baseline level,334,-0.3300147829871718,0.09633820859055003,-0.5188376718246499,-0.14119189414969374,,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,IV with Z2_mex,334,-0.2282587904061979,0.13997299010175024,-0.5026058510056284,0.04608827019323258,,,,-0.696277568811405,-0.023755562570256992,bounded
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,IV with Z2_mex + baseline level,334,-0.27092199777725634,0.12606698863427762,-0.5180132955004405,-0.0238307000540722,,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,IV with Z,334,-0.7785072892476474,0.29924098917875985,-1.365019628038017,-0.1919949504572781,,,,-2.0564021670690575,-0.3859836914359583,bounded
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,IV with Z + baseline level,334,-0.5438591132499149,0.1443356960696386,-0.8267570775464066,-0.2609611489534232,,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,IV with Z+Z2,334,-0.19971082006159935,0.09490754812803763,-0.3857296143925531,-0.013692025730645596,,12.15790981443574,0.0004888012449175694,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,IV with Z+Z2 + baseline level,334,-0.286253658203632,0.09943889790758047,-0.48115389810248976,-0.09135341830477431,,14.399401037735236,0.00014784932978628706,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,level placebo: Z2 on 2000 level,334,-0.0850512673074525,0.08281124296117556,-0.2473613035113566,0.07725876889645161,,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,level placebo: Z2_exmex on 2000 level,334,-0.1100557596337041,0.10482666596365656,-0.31551602492247094,0.09540450565506274,,,,,,
"PC metros, fixed 2008-12 endpoint",ssi_rate,dy,dX,none,level placebo: Z on 2000 level,334,0.13201828296206486,0.03467589113072818,0.06405353634583763,0.1999830295782921,,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,first stage on Z2,341,0.1889880129690119,0.08025021706986718,0.031697587512072245,0.3462784384259516,5.545951739807398,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,first stage on Z2_exmex,341,0.25542818532703354,0.12403496014021644,0.012319663452209334,0.4985367072018577,4.24081583742478,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,first stage on Z2_mex,341,0.5410666346257663,0.18734146170111668,0.17387736969157763,0.908255899559955,8.341299177815191,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,first stage on Z,341,-0.03795386564039246,0.0932708040049372,-0.22076464149006939,0.14485691020928446,0.16558484686482589,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z",341,-0.21200979211545823,0.1347359583022966,-0.47609227038795954,0.05207268615704308,9.422878386980976,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z2",341,0.3957531172571666,0.13020085282009206,0.14055944572978618,0.650946788784547,9.422878386980976,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,OLS,341,-0.0630790641048942,0.024695592967647114,-0.11148242632148253,-0.014675701888305852,,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,reduced form on Z2,341,-0.06857381215016695,0.02037701723961152,-0.10851276593980552,-0.02863485836052837,,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,reduced form on Z2_exmex,341,-0.10399440149090727,0.028460464455909176,-0.15977691182448925,-0.04821189115732529,,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,IV with Z2,341,-0.3628474159438517,0.18848084984621732,-0.7322698816424377,0.006575049754734219,,,,-2.240372174620552,-0.12635029579950846,bounded
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,IV with Z2 + baseline level,341,-0.4167387318564342,0.1721851261114829,-0.7542215790349407,-0.07925588467792771,,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,IV with Z2_exmex,341,-0.4071375340108183,0.21510447855905807,-0.8287423119865721,0.014467243964935483,,,,-7.965241508126872,-0.1574077629711199,bounded
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,IV with Z2_exmex + baseline level,341,-0.4544873946754149,0.20019774121106373,-0.8468749674490998,-0.06209982190172997,,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,IV with Z2_mex,341,-0.2819372121973611,0.17398534091120627,-0.6229484803833254,0.05907405598860316,,,,-1.141175657391521,-0.031069718884426223,bounded
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,IV with Z2_mex + baseline level,341,-0.34397123743814184,0.1538796657685989,-0.6455753823445958,-0.042367092531687967,,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,IV with Z,341,1.360388642851035,3.82091119321874,-6.128597295857695,8.849374581559765,,,,-0.5793980557315446,0.05801358569476105,unbounded-gap
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,IV with Z + baseline level,341,-7.2244702725367915,89.41887207524577,-182.4854595400185,168.0365189949449,,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,IV with Z+Z2,341,-0.030925834692686838,0.061088872039469014,-0.1506600238900461,0.08880835450467242,,15.01298309082727,0.00010677406857440008,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,IV with Z+Z2 + baseline level,341,-0.11369603525236638,0.08702537119512928,-0.28426576279481974,0.05687369229008701,,16.74087582591203,4.2847820746150234e-05,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,level placebo: Z2 on 2000 level,341,-0.055077017918225994,0.0756597823869855,-0.20337019139671755,0.09321615556026555,,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,level placebo: Z2_exmex on 2000 level,341,-0.06127004979235928,0.09943749420445328,-0.2561675384330877,0.13362743884836914,,,,,,
"FG all metros, fixed endpoint",ssi_rate,dy,dX,none,level placebo: Z on 2000 level,341,0.13380718442790224,0.022108673782955834,0.0904741838133088,0.17714018504249568,,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,first stage on Z2,340,0.2661440207715246,0.04855732983521852,0.1709716542944963,0.3613163872485529,30.041653565104955,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,first stage on Z2_exmex,340,0.3805730804749259,0.0622518275919686,0.2585594983946674,0.5025866625551844,37.3742011931406,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,first stage on Z2_mex,340,0.6784872350749978,0.1594588710965739,0.3659478477257129,0.9910266224242825,18.10447737162835,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,first stage on Z,340,0.09636398353861969,0.02779500461005061,0.0418857745029205,0.15084219257431888,12.019765329642286,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z",340,-0.0712878302994705,0.0979091258752169,-0.26318971701489563,0.12061405641595463,20.097694484409924,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z2",340,0.32515986317397383,0.09805272956661655,0.1329765132234054,0.5173432131245422,20.097694484409924,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,OLS,340,-0.07911490489723357,0.027848833219659332,-0.13369861800776586,-0.024531191786701274,,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,reduced form on Z2,340,-0.07323422750281915,0.020898430159117617,-0.11419515061468968,-0.032273304390948616,,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,reduced form on Z2_exmex,340,-0.11248123232764717,0.029610304455564028,-0.17051742906055267,-0.05444503559474168,,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,IV with Z2,340,-0.2751676603161022,0.11645350436328136,-0.5034165288681336,-0.04691879176407071,,,,-0.6114994559097929,-0.0975636800892709,bounded
FG without Los Angeles,ssi_rate,dy,dX,none,IV with Z2 + baseline level,340,-0.3149691687508619,0.10169028755464503,-0.5142821323579662,-0.11565620514375763,,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,IV with Z2_exmex,340,-0.2955575107605575,0.10928585901831069,-0.5097577944364464,-0.08135722708466853,,,,-0.5890004822250409,-0.12129528461683922,bounded
FG without Los Angeles,ssi_rate,dy,dX,none,IV with Z2_exmex + baseline level,340,-0.3325358463910204,0.09599828588208978,-0.5206924867199163,-0.14437920606212445,,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,IV with Z2_mex,340,-0.23271755521678417,0.14067181181868152,-0.5084343063813999,0.04299919594783158,,,,-0.7003625904211205,-0.026384617498701947,bounded
FG without Los Angeles,ssi_rate,dy,dX,none,IV with Z2_mex + baseline level,340,-0.27748737200846074,0.12703483437693622,-0.5264756473872557,-0.028499096629665766,,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,IV with Z,340,-0.8015251568065738,0.30609434981925066,-1.4014700824523052,-0.20158023116084245,,,,-2.12263383466031,-0.4011188878093858,bounded
FG without Los Angeles,ssi_rate,dy,dX,none,IV with Z + baseline level,340,-0.5610280597664143,0.14880105860313617,-0.8526781346285612,-0.26937798490426745,,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,IV with Z+Z2,340,-0.19828089609388466,0.09385624577275638,-0.3822391378084872,-0.01432265437928218,,12.613676395213508,0.0003829345991995803,,,
FG without Los Angeles,ssi_rate,dy,dX,none,IV with Z+Z2 + baseline level,340,-0.2852583809286774,0.09893129433555667,-0.47916371782636846,-0.09135304403098632,,15.260185997139729,9.367022567041694e-05,,,
FG without Los Angeles,ssi_rate,dy,dX,none,level placebo: Z2 on 2000 level,340,-0.08658459007391767,0.08242458148963316,-0.24813676979359867,0.07496758964576333,,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,level placebo: Z2_exmex on 2000 level,340,-0.11141813567731881,0.10438090984538749,-0.3160047189742783,0.09316844761964066,,,,,,
FG without Los Angeles,ssi_rate,dy,dX,none,level placebo: Z on 2000 level,340,0.13027954274238537,0.034682596101355344,0.06230165438372891,0.19825743110104183,,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,first stage on Z2,334,0.31472532904053985,0.039362983931631616,0.23757388053454187,0.3918767775465378,63.92744785879426,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,first stage on Z2_exmex,334,0.4422399133948014,0.05777448082013452,0.32900193098733777,0.555477895802265,58.592734886270314,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,first stage on Z2_mex,334,0.8332199656107778,0.134230043692962,0.5701290799725723,1.0963108512489832,38.53185105186032,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,first stage on Z,334,0.15296841468112732,0.028361494765078696,0.09737988494157307,0.20855694442068157,29.090105698792776,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z",334,-0.016442945950592654,0.10240864091876471,-0.21716388215137147,0.18427799025018618,37.02589592148554,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z2",334,0.328304010710811,0.10442984275050261,0.1236215189198259,0.5329865025017961,37.02589592148554,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,OLS,334,0.022129191729711718,0.09124528298558032,-0.1567115629220257,0.20096994638144916,,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,reduced form on Z2,334,-0.03223999777923117,0.05987316298463149,-0.14959139722910889,0.08511140167064654,,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,reduced form on Z2_exmex,334,-0.08130200681277125,0.07908570044526385,-0.2363099796854884,0.0737059660599459,,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,IV with Z2,334,-0.10243852275098364,0.19294130183880237,-0.48060347435503625,0.27572642885306897,,,,-0.517158605025474,0.2644259676830337,bounded
PC lane panel (published 2010),pa_rate,dy,dX,none,IV with Z2 + baseline level,334,-0.07936771077205751,0.1029577217391042,-0.28116484538070174,0.12242942383658673,,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,IV with Z2_exmex,334,-0.18384140451879372,0.1821077032889144,-0.540772502965066,0.17308969392747853,,,,-0.5732762248397637,0.16623880500622745,bounded
PC lane panel (published 2010),pa_rate,dy,dX,none,IV with Z2_exmex + baseline level,334,-0.1410121103805666,0.10213818578364683,-0.3412029545165144,0.059178733755381185,,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,IV with Z2_mex,334,0.05891823879251623,0.2531388188171185,-0.4372338460890361,0.5550703236740686,,,,-0.49130272950774895,0.5558390737932027,bounded
PC lane panel (published 2010),pa_rate,dy,dX,none,IV with Z2_mex + baseline level,334,0.04529511419810994,0.14345001878514216,-0.2358669226207687,0.3264571510169886,,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,IV with Z,334,-0.986353776281053,0.27625752468029,-1.5278185246544216,-0.4448890279076846,,,,-1.7250870943185352,-0.5291140897885291,bounded
PC lane panel (published 2010),pa_rate,dy,dX,none,IV with Z + baseline level,334,-0.3480269993992273,0.12613689929904293,-0.5952553220253515,-0.1007986767731032,,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,IV with Z+Z2,334,-0.06660801683527762,0.19114989921816644,-0.44126181930288383,0.3080457856323286,,13.732026415992694,0.00021082858972765184,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,IV with Z+Z2 + baseline level,334,-0.12488527528189863,0.09588162525794486,-0.3128132607874705,0.06304271022367328,,2.8489768909963464,0.09143210551949732,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,level placebo: Z2 on 2000 level,334,0.016381704898329047,0.0829919506021652,-0.14628251828191474,0.17904592807857284,,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,level placebo: Z2_exmex on 2000 level,334,0.04180962787394063,0.1106903721937256,-0.17514350162576153,0.2587627573736428,,,,,,
PC lane panel (published 2010),pa_rate,dy,dX,none,level placebo: Z on 2000 level,334,0.2009551202370617,0.05074218744362391,0.10150043284755883,0.30040980762656455,,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,first stage on Z2,334,0.26871317185918675,0.04937876716186604,0.1719307882219293,0.3654955554964442,29.614024082463747,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,first stage on Z2_exmex,334,0.382334070145033,0.06298114882087082,0.2588910184561262,0.5057771218339399,36.85232086672211,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,first stage on Z2_mex,334,0.6936704408107937,0.16358623077990828,0.3730414284821734,1.0142994531394138,17.980960422338043,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,first stage on Z,334,0.09898183949453992,0.02830951206054172,0.04349519585587815,0.1544684831332017,12.224926962917559,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z",334,-0.0691439176479531,0.09791347534645756,-0.2610543293270099,0.12276649403110372,19.638593894589135,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z2",334,0.325812626543166,0.09767369872944487,0.13437217703345405,0.517253076052878,19.638593894589135,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,OLS,334,0.10665939515220235,0.07451432352403821,-0.03938867895491255,0.25270746925931725,,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,reduced form on Z2,334,-0.045596153509384174,0.05727054260767002,-0.1578464170204174,0.06665411000164906,,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,reduced form on Z2_exmex,334,-0.10093184745132286,0.07538957408658581,-0.24869541266103104,0.04683171775838532,,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,IV with Z2,334,-0.16968335863073358,0.23519497774415835,-0.6306655150092839,0.29129879774781675,,,,-0.8249471771018041,0.202944961349528,bounded
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,IV with Z2 + baseline level,334,-0.14184183782233184,0.11381114117889249,-0.36491167453296114,0.08122799888829743,,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,IV with Z2_exmex,334,-0.2639886301867742,0.2243987737617168,-0.7038102267597391,0.17583296638619073,,,,-0.8497563954002086,0.10466596374841858,bounded
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,IV with Z2_exmex + baseline level,334,-0.21248696547179402,0.11188771877421219,-0.4317868942692499,0.006812963325661864,,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,IV with Z2_mex,334,0.02443870636185519,0.2929881431658067,-0.5498180542431259,0.5986954669668363,,,,-0.8804519799177376,0.48786315117920315,bounded
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,IV with Z2_mex + baseline level,334,0.007959563490221644,0.15614869074094137,-0.29809187036202345,0.31401099734246674,,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,IV with Z,334,-1.5986180774229446,0.6590440106324135,-2.8903443382624747,-0.30689181658341425,,,,-4.381608249122315,-0.7243675573794046,bounded
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,IV with Z + baseline level,334,-0.5173908074543063,0.18047666622260547,-0.8711250732506131,-0.1636565416579996,,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,IV with Z+Z2,334,0.034640574615364184,0.2027265738356378,-0.3627035101024859,0.4319846593332143,,17.179305864795598,3.401213771747624e-05,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,IV with Z+Z2 + baseline level,334,-0.14641314132333272,0.11332128118113279,-0.368522852438353,0.07569656979168754,,3.27462075692532,0.070359186490207,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,level placebo: Z2 on 2000 level,334,0.016381704898329047,0.0829919506021652,-0.14628251828191474,0.17904592807857284,,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,level placebo: Z2_exmex on 2000 level,334,0.04180962787394063,0.1106903721937256,-0.17514350162576153,0.2587627573736428,,,,,,
"PC metros, fixed 2008-12 endpoint",pa_rate,dy,dX,none,level placebo: Z on 2000 level,334,0.2009551202370617,0.05074218744362391,0.10150043284755883,0.30040980762656455,,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,first stage on Z2,341,0.1889880129690119,0.08025021706986718,0.031697587512072245,0.3462784384259516,5.545951739807398,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,first stage on Z2_exmex,341,0.25542818532703354,0.12403496014021644,0.012319663452209334,0.4985367072018577,4.24081583742478,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,first stage on Z2_mex,341,0.5410666346257663,0.18734146170111668,0.17387736969157763,0.908255899559955,8.341299177815191,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,first stage on Z,341,-0.03795386564039246,0.0932708040049372,-0.22076464149006939,0.14485691020928446,0.16558484686482589,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z",341,-0.21200979211545823,0.1347359583022966,-0.47609227038795954,0.05207268615704308,9.422878386980976,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,"first stage on Z+Z2, coefficient on Z2",341,0.3957531172571666,0.13020085282009206,0.14055944572978618,0.650946788784547,9.422878386980976,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,OLS,341,0.2055801914264939,0.08410197073704184,0.04074032878189188,0.3704200540710959,,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,reduced form on Z2,341,-0.07678818810826782,0.05374867910004007,-0.18213559914434635,0.028559222927810712,,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,reduced form on Z2_exmex,341,-0.1449895931893497,0.07372300915616847,-0.2894866911354399,-0.0004924952432595053,,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,IV with Z2,341,-0.406312479304491,0.4114482455267822,-1.2127510405369841,0.40012608192800214,,,,-4.551958603388954,0.10409293030357472,bounded
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,IV with Z2 + baseline level,341,-0.2022646377755919,0.12882099267368682,-0.4547537834160181,0.05022450786483429,,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,IV with Z2_exmex,341,-0.5676334935540215,0.5037858366138972,-1.5550537333172598,0.41978674620921697,,,,-18.84679597417695,-0.0012378690132929283,bounded
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,IV with Z2_exmex + baseline level,341,-0.28914754226598127,0.14398814374373073,-0.5713643040036935,-0.006930780528269065,,,,,,
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,IV with Z2_mex,341,-0.11160754960033614,0.35953830464436426,-0.8163026267032901,0.5930875275026178,,,,-1.7144041980379365,0.462700205592496,bounded
"FG all metros, fixed endpoint",pa_rate,dy,dX,none,IV with Z2_mex + baseline level,341,-0.027169740788302477,0.16267214036091826,-0.34600713589570226,0.2916676543190973,,,,,,
