pop_basis,basis,group,offence,n2009,n2021,n2022,count_change_09_21_pct,count_change_21_22_pct,count_change_09_22_pct,per100k_2009,per100k_2021,per100k_2022,per100k_change_09_21_pct,per100k_change_21_22_pct,per100k_change_09_22_pct,share2009_pct,share2021_pct,share2022_pct
orig,2009,hispanic,fraud,2400,1200,1300,-50.0,8.3,-45.8,5.0,1.9,2.1,-61.3,8.3,-58.1,1.1,0.5,0.6
orig,2009,hispanic,drug,41400,22600,22200,-45.4,-1.8,-46.4,85.5,36.1,35.5,-57.8,-1.8,-58.5,19.5,10.1,9.9
orig,2009,hispanic,public_order,16000,21900,23200,36.9,5.9,45.0,33.1,35.0,37.1,5.8,5.9,12.1,7.5,9.8,10.4
orig,2009r,white,total,467290,321700,333200,-31.2,3.6,-28.7,233.8,167.8,173.8,-28.2,3.6,-25.6,100.0,100.0,100.0
orig,2009r,white,violent,231500,176400,180100,-23.8,2.1,-22.2,115.8,92.0,93.9,-20.5,2.1,-18.9,49.5,54.8,54.1
orig,2009r,white,murder,46900,36900,37200,-21.3,0.8,-20.7,23.5,19.2,19.4,-18.0,0.8,-17.3,10.0,11.5,11.2
orig,2009r,white,sexual,78100,63600,65300,-18.6,2.7,-16.4,39.1,33.2,34.1,-15.1,2.7,-12.8,16.7,19.8,19.6
orig,2009r,white,robbery,40700,20400,19400,-49.9,-4.9,-52.3,20.4,10.6,10.1,-47.7,-4.9,-50.3,8.7,6.3,5.8
orig,2009r,white,assault,43300,38000,40000,-12.2,5.3,-7.6,21.7,19.8,20.9,-8.5,5.3,-3.7,9.3,11.8,12.0
orig,2009r,white,property,111000,57600,57100,-48.1,-0.9,-48.6,55.5,30.0,29.8,-45.9,-0.9,-46.4,23.8,17.9,17.1
orig,2009r,white,burglary,54300,29200,28400,-46.2,-2.7,-47.7,27.2,15.2,14.8,-43.9,-2.7,-45.5,11.6,9.1,8.5
orig,2009r,white,mvt,6500,2700,3100,-58.5,14.8,-52.3,3.3,1.4,1.6,-56.7,14.8,-50.3,1.4,0.8,0.9
orig,2009r,white,fraud,16000,5800,5700,-63.7,-1.7,-64.4,8.0,3.0,3.0,-62.2,-1.7,-62.9,3.4,1.8,1.7
orig,2009r,white,drug,69200,48200,53400,-30.3,10.8,-22.8,34.6,25.1,27.9,-27.4,10.8,-19.5,14.8,15.0,16.0
orig,2009r,white,public_order,52000,36800,39800,-29.2,8.2,-23.5,26.0,19.2,20.8,-26.2,8.2,-20.2,11.1,11.4,11.9
orig,2009r,hispanic,total,287568,224300,224100,-22.0,-0.1,-22.1,594.1,358.3,358.0,-39.7,-0.1,-39.7,100.0,100.0,100.0
orig,2009r,hispanic,violent,159800,160100,158900,0.2,-0.7,-0.6,330.2,255.8,253.8,-22.5,-0.7,-23.1,55.6,71.4,70.9
orig,2009r,hispanic,murder,38300,31900,31700,-16.7,-0.6,-17.2,79.1,51.0,50.6,-35.6,-0.6,-36.0,13.3,14.2,14.1
orig,2009r,hispanic,sexual,33500,42800,43700,27.8,2.1,30.4,69.2,68.4,69.8,-1.2,2.1,0.9,11.6,19.1,19.5
orig,2009r,hispanic,robbery,37600,26600,24900,-29.3,-6.4,-33.8,77.7,42.5,39.8,-45.3,-6.4,-48.8,13.1,11.9,11.1
orig,2009r,hispanic,assault,37500,47100,46600,25.6,-1.1,24.3,77.5,75.2,74.4,-2.9,-1.1,-3.9,13.0,21.0,20.8
orig,2009r,hispanic,property,43100,19000,19000,-55.9,0.0,-55.9,89.0,30.4,30.4,-65.9,0.0,-65.9,15.0,8.5,8.5
orig,2009r,hispanic,burglary,22600,11700,11400,-48.2,-2.6,-49.6,46.7,18.7,18.2,-60.0,-2.6,-61.0,7.9,5.2,5.1
orig,2009r,hispanic,mvt,6600,1700,1700,-74.2,0.0,-74.2,13.6,2.7,2.7,-80.1,0.0,-80.1,2.3,0.8,0.8
orig,2009r,hispanic,fraud,2900,1200,1300,-58.6,8.3,-55.2,6.0,1.9,2.1,-68.0,8.3,-65.3,1.0,0.5,0.6
orig,2009r,hispanic,drug,49400,22600,22200,-54.3,-1.8,-55.1,102.1,36.1,35.5,-64.6,-1.8,-65.3,17.2,10.1,9.9
orig,2009r,hispanic,public_order,34000,21900,23200,-35.6,5.9,-31.8,70.2,35.0,37.1,-50.2,5.9,-47.2,11.8,9.8,10.4
