lane,allocation,key,share_rebuilt,share_published,se_rebuilt,se_published,rel_diff
receipts,personal,medicare,0.05128038430571159,0.0512803843057115,0.0014685737962626226,0.0014685737962626,1.7763568394002505e-15
receipts,personal,medicare_income,0.023649895524952,0.023649895524952,0.001828194957442774,0.0018281949574427,0.0
spending,personal,social_security,0.041797014662154255,0.0417970146621542,0.0014693584393560707,,1.3322676295501878e-15
spending,personal,ssi,0.0822426056638995,0.0822426056638997,0.008501684684494113,,2.3314683517128287e-15
spending,personal,cash_assistance,0.16663978632565296,0.1666397863256528,0.021700420154916408,,1.1102230246251565e-15
spending,personal,unemployment,0.11327777276946416,0.1132777727694642,0.01274478081036726,,3.3306690738754696e-16
spending,personal,veterans,0.050576740098793566,0.0505767400987935,0.005740085867047115,,1.3322676295501878e-15
spending,personal,workers_comp,0.19316283508378343,0.1931628350837834,0.0429946315067131,,2.220446049250313e-16
spending,personal,wages,0.08323440807808574,0.0832344080780849,0.001400974441244087,,1.021405182655144e-14
spending,personal,refundable_credits,0.23017283399756386,0.2301728339975643,0.006892133058911957,,1.887379141862766e-15
spending,personal,all_cash,0.04610462760521193,0.0461046276052118,0.0015075591643169894,,2.886579864025407e-15
spending,personal,snap,0.14814983969377093,0.1481498396937705,0.007374615978410069,,2.886579864025407e-15
spending,personal,energy,0.10707730444856593,0.1070773044485651,0.01290757284765946,,7.771561172376096e-15
spending,personal,wic,0.22875920171485437,0.2287592017148547,0.012980872494807968,,1.4432899320127035e-15
spending,personal,housing_support,0.1264099071207032,0.1264099071207035,0.011487967673897152,,2.220446049250313e-15
spending,personal,resources,0.08104060733729859,0.0810406073372979,0.0011554357109943238,,8.659739592076221e-15
spending,personal,population,0.1214529177216494,0.1214529177216476,0.001123446585347649,,1.4876988529977098e-14
spending,personal,age65plus,0.05143129089620318,0.0514312908962027,0.0013615274215601908,,9.325873406851315e-15
spending,personal,working_age,0.12662127637832093,0.1266212763783211,0.001229316441618557,,1.3322676295501878e-15
spending,personal,adults,0.10909217626069341,0.1090921762606927,0.001080830055552598,,6.439293542825908e-15
spending,personal,age5_24,0.16439646500840768,0.1643964650084089,0.0019912547217072825,,7.438494264988549e-15
spending,personal,age18_24,0.16471550851171798,0.1647155085117169,0.0030474502249067587,,6.661338147750939e-15
spending,personal,medicaid_covered,0.19647486897309094,0.1964748689730911,0.004558985262663874,,8.881784197001252e-16
spending,shared,social_security,0.04375254416175898,0.043752544161759,0.0014901688520916273,,4.440892098500626e-16
spending,shared,ssi,0.08234046985606125,0.0823404698560612,0.008232446570885786,,6.661338147750939e-16
spending,shared,cash_assistance,0.17661579482061548,0.1766157948206153,0.021607706738800456,,1.1102230246251565e-15
spending,shared,unemployment,0.1159586061315304,0.1159586061315306,0.011727427778555783,,1.6653345369377348e-15
spending,shared,veterans,0.0649808550687399,0.0649808550687399,0.006340724605560209,,0.0
spending,shared,workers_comp,0.21897760090582383,0.2189776009058238,0.04482078108954995,,2.220446049250313e-16
spending,shared,wages,0.08782377602322235,0.0878237760232233,0.001399602473203515,,1.0880185641326534e-14
spending,shared,refundable_credits,0.2445746723418169,0.2445746723418171,0.006770115992172736,,7.771561172376096e-16
spending,shared,all_cash,0.04912838709001712,0.0491283870900171,0.0015415034098947367,,4.440892098500626e-16
spending,shared,snap,0.14814983969377093,0.1481498396937705,0.007374615978410069,,2.886579864025407e-15
spending,shared,energy,0.10707730444856593,0.1070773044485651,0.01290757284765946,,7.771561172376096e-15
spending,shared,wic,0.22875920171485437,0.2287592017148547,0.012980872494807968,,1.4432899320127035e-15
spending,shared,housing_support,0.1264099071207032,0.1264099071207035,0.011487967673897152,,2.220446049250313e-15
spending,shared,resources,0.08104060733729859,0.0810406073372979,0.0011554357109943238,,8.659739592076221e-15
spending,shared,population,0.1214529177216494,0.1214529177216476,0.001123446585347649,,1.4876988529977098e-14
spending,shared,age65plus,0.05143129089620318,0.0514312908962027,0.0013615274215601908,,9.325873406851315e-15
spending,shared,working_age,0.12662127637832093,0.1266212763783211,0.001229316441618557,,1.3322676295501878e-15
spending,shared,adults,0.10909217626069341,0.1090921762606927,0.001080830055552598,,6.439293542825908e-15
spending,shared,age5_24,0.16439646500840768,0.1643964650084089,0.0019912547217072825,,7.438494264988549e-15
spending,shared,age18_24,0.16471550851171798,0.1647155085117169,0.0030474502249067587,,6.661338147750939e-15
spending,shared,medicaid_covered,0.19647486897309094,0.1964748689730911,0.004558985262663874,,8.881784197001252e-16
