block,recipients,donors,level_mean,level_max,spec,seed,variant
SPM_CAPHOUSESUB,4775,46627,0.16397905759162304,4,main,20260924,pooled
SPM_ENGVAL,14292,43816,0.10684298908480269,4,main,20260924,pooled
SPM_SCHLUNCH,2989,46995,0.23084643693542992,4,main,20260924,pooled
SPM_WICVAL,11932,46215,0.10794502179014415,4,main,20260924,pooled
whole_supplement,21583,64536,0.8469165546958254,5,main,20260925,matched
earnings_range,12563,41730,1.690440181485314,6,main,20260925,matched
earnings_recipient,3424,41730,1.071553738317757,5,main,20260925,matched
earnings_any,642,75928,1.1230529595015577,4,main,20260925,matched
social_security_recipient,6092,13260,1.1101444517399868,6,main,20260925,matched
social_security_any,2670,83709,1.1872659176029963,4,main,20260925,matched
ssi_recipient,438,1374,2.6392694063926943,6,main,20260925,matched
ssi_any,1856,90172,1.144396551724138,4,main,20260925,matched
public_assistance_recipient,197,368,4.081218274111675,6,main,20260925,matched
public_assistance_any,3189,89087,1.0978363123236123,4,main,20260925,matched
unemployment_recipient,277,836,3.783393501805054,6,main,20260925,matched
unemployment_any,2154,90039,1.1884865366759516,4,main,20260925,matched
veterans_recipient,555,1338,2.533333333333333,7,main,20260925,matched
veterans_any,2637,89289,1.0830489192263937,4,main,20260925,matched
workers_comp_recipient,97,208,4.556701030927835,6,main,20260925,matched
workers_comp_any,2031,90342,1.155096011816839,4,main,20260925,matched
MCARE,33500,105672,0.6285970149253731,5,main,20260925,matched
MCAID,33735,105040,0.6332592263228102,5,main,20260925,matched
SPM_SNAPSUB,13011,45122,0.2668511259703328,4,main,20260925,matched
SPM_CAPHOUSESUB,4775,46627,0.36858638743455496,4,main,20260925,matched
SPM_ENGVAL,14292,43816,0.26350405821438566,4,main,20260925,matched
SPM_SCHLUNCH,2989,46995,0.5132151221144196,4,main,20260925,matched
SPM_WICVAL,11932,46215,0.27313107609788806,4,main,20260925,matched
whole_supplement,21583,64536,0.6246119631191215,4,main,20260925,pooled
earnings_range,12563,41730,1.3296187216429196,6,main,20260925,pooled
earnings_recipient,3424,41730,0.8268107476635514,4,main,20260925,pooled
earnings_any,642,75928,0.8909657320872274,3,main,20260925,pooled
social_security_recipient,6092,13260,0.8980630334865397,4,main,20260925,pooled
social_security_any,2670,83709,0.8352059925093633,4,main,20260925,pooled
ssi_recipient,438,1374,2.2557077625570776,5,main,20260925,pooled
ssi_any,1856,90172,0.822198275862069,4,main,20260925,pooled
public_assistance_recipient,197,368,3.6294416243654823,5,main,20260925,pooled
public_assistance_any,3189,89087,0.7870805895264973,4,main,20260925,pooled
unemployment_recipient,277,836,3.299638989169675,4,main,20260925,pooled
unemployment_any,2154,90039,0.840297121634169,4,main,20260925,pooled
veterans_recipient,555,1338,2.2900900900900902,5,main,20260925,pooled
veterans_any,2637,89289,0.7717102768297307,4,main,20260925,pooled
workers_comp_recipient,97,208,4.0,5,main,20260925,pooled
workers_comp_any,2031,90342,0.8133924175283112,4,main,20260925,pooled
MCARE,33500,105672,0.45546268656716415,4,main,20260925,pooled
MCAID,33735,105040,0.4588409663554172,4,main,20260925,pooled
SPM_SNAPSUB,13011,45122,0.109215279378987,4,main,20260925,pooled
SPM_CAPHOUSESUB,4775,46627,0.16397905759162304,4,main,20260925,pooled
SPM_ENGVAL,14292,43816,0.10684298908480269,4,main,20260925,pooled
SPM_SCHLUNCH,2989,46995,0.23084643693542992,4,main,20260925,pooled
SPM_WICVAL,11932,46215,0.10794502179014415,4,main,20260925,pooled
whole_supplement,21583,64536,0.8469165546958254,5,main,20260926,matched
earnings_range,12563,41730,1.690440181485314,6,main,20260926,matched
earnings_recipient,3424,41730,1.071553738317757,5,main,20260926,matched
earnings_any,642,75928,1.1230529595015577,4,main,20260926,matched
social_security_recipient,6092,13260,1.1101444517399868,6,main,20260926,matched
social_security_any,2670,83709,1.1872659176029963,4,main,20260926,matched
ssi_recipient,438,1374,2.6392694063926943,6,main,20260926,matched
ssi_any,1856,90172,1.144396551724138,4,main,20260926,matched
public_assistance_recipient,197,368,4.081218274111675,6,main,20260926,matched
public_assistance_any,3189,89087,1.0978363123236123,4,main,20260926,matched
unemployment_recipient,277,836,3.783393501805054,6,main,20260926,matched
unemployment_any,2154,90039,1.1884865366759516,4,main,20260926,matched
veterans_recipient,555,1338,2.533333333333333,7,main,20260926,matched
veterans_any,2637,89289,1.0830489192263937,4,main,20260926,matched
workers_comp_recipient,97,208,4.556701030927835,6,main,20260926,matched
workers_comp_any,2031,90342,1.155096011816839,4,main,20260926,matched
MCARE,33500,105672,0.6285970149253731,5,main,20260926,matched
MCAID,33735,105040,0.6332592263228102,5,main,20260926,matched
SPM_SNAPSUB,13011,45122,0.2668511259703328,4,main,20260926,matched
SPM_CAPHOUSESUB,4775,46627,0.36858638743455496,4,main,20260926,matched
SPM_ENGVAL,14292,43816,0.26350405821438566,4,main,20260926,matched
SPM_SCHLUNCH,2989,46995,0.5132151221144196,4,main,20260926,matched
SPM_WICVAL,11932,46215,0.27313107609788806,4,main,20260926,matched
whole_supplement,21583,64536,0.6246119631191215,4,main,20260926,pooled
earnings_range,12563,41730,1.3296187216429196,6,main,20260926,pooled
earnings_recipient,3424,41730,0.8268107476635514,4,main,20260926,pooled
earnings_any,642,75928,0.8909657320872274,3,main,20260926,pooled
social_security_recipient,6092,13260,0.8980630334865397,4,main,20260926,pooled
social_security_any,2670,83709,0.8352059925093633,4,main,20260926,pooled
ssi_recipient,438,1374,2.2557077625570776,5,main,20260926,pooled
ssi_any,1856,90172,0.822198275862069,4,main,20260926,pooled
public_assistance_recipient,197,368,3.6294416243654823,5,main,20260926,pooled
public_assistance_any,3189,89087,0.7870805895264973,4,main,20260926,pooled
unemployment_recipient,277,836,3.299638989169675,4,main,20260926,pooled
unemployment_any,2154,90039,0.840297121634169,4,main,20260926,pooled
veterans_recipient,555,1338,2.2900900900900902,5,main,20260926,pooled
veterans_any,2637,89289,0.7717102768297307,4,main,20260926,pooled
workers_comp_recipient,97,208,4.0,5,main,20260926,pooled
workers_comp_any,2031,90342,0.8133924175283112,4,main,20260926,pooled
MCARE,33500,105672,0.45546268656716415,4,main,20260926,pooled
MCAID,33735,105040,0.4588409663554172,4,main,20260926,pooled
SPM_SNAPSUB,13011,45122,0.109215279378987,4,main,20260926,pooled
SPM_CAPHOUSESUB,4775,46627,0.16397905759162304,4,main,20260926,pooled
SPM_ENGVAL,14292,43816,0.10684298908480269,4,main,20260926,pooled
SPM_SCHLUNCH,2989,46995,0.23084643693542992,4,main,20260926,pooled
SPM_WICVAL,11932,46215,0.10794502179014415,4,main,20260926,pooled
whole_supplement,21583,64536,0.8469165546958254,5,main,20260927,matched
earnings_range,12563,41730,1.690440181485314,6,main,20260927,matched
earnings_recipient,3424,41730,1.071553738317757,5,main,20260927,matched
earnings_any,642,75928,1.1230529595015577,4,main,20260927,matched
social_security_recipient,6092,13260,1.1101444517399868,6,main,20260927,matched
social_security_any,2670,83709,1.1872659176029963,4,main,20260927,matched
ssi_recipient,438,1374,2.6392694063926943,6,main,20260927,matched
ssi_any,1856,90172,1.144396551724138,4,main,20260927,matched
public_assistance_recipient,197,368,4.081218274111675,6,main,20260927,matched
public_assistance_any,3189,89087,1.0978363123236123,4,main,20260927,matched
unemployment_recipient,277,836,3.783393501805054,6,main,20260927,matched
unemployment_any,2154,90039,1.1884865366759516,4,main,20260927,matched
veterans_recipient,555,1338,2.533333333333333,7,main,20260927,matched
veterans_any,2637,89289,1.0830489192263937,4,main,20260927,matched
workers_comp_recipient,97,208,4.556701030927835,6,main,20260927,matched
workers_comp_any,2031,90342,1.155096011816839,4,main,20260927,matched
MCARE,33500,105672,0.6285970149253731,5,main,20260927,matched
MCAID,33735,105040,0.6332592263228102,5,main,20260927,matched
SPM_SNAPSUB,13011,45122,0.2668511259703328,4,main,20260927,matched
SPM_CAPHOUSESUB,4775,46627,0.36858638743455496,4,main,20260927,matched
SPM_ENGVAL,14292,43816,0.26350405821438566,4,main,20260927,matched
SPM_SCHLUNCH,2989,46995,0.5132151221144196,4,main,20260927,matched
SPM_WICVAL,11932,46215,0.27313107609788806,4,main,20260927,matched
whole_supplement,21583,64536,0.6246119631191215,4,main,20260927,pooled
earnings_range,12563,41730,1.3296187216429196,6,main,20260927,pooled
earnings_recipient,3424,41730,0.8268107476635514,4,main,20260927,pooled
earnings_any,642,75928,0.8909657320872274,3,main,20260927,pooled
social_security_recipient,6092,13260,0.8980630334865397,4,main,20260927,pooled
social_security_any,2670,83709,0.8352059925093633,4,main,20260927,pooled
ssi_recipient,438,1374,2.2557077625570776,5,main,20260927,pooled
ssi_any,1856,90172,0.822198275862069,4,main,20260927,pooled
public_assistance_recipient,197,368,3.6294416243654823,5,main,20260927,pooled
public_assistance_any,3189,89087,0.7870805895264973,4,main,20260927,pooled
unemployment_recipient,277,836,3.299638989169675,4,main,20260927,pooled
unemployment_any,2154,90039,0.840297121634169,4,main,20260927,pooled
veterans_recipient,555,1338,2.2900900900900902,5,main,20260927,pooled
veterans_any,2637,89289,0.7717102768297307,4,main,20260927,pooled
workers_comp_recipient,97,208,4.0,5,main,20260927,pooled
workers_comp_any,2031,90342,0.8133924175283112,4,main,20260927,pooled
MCARE,33500,105672,0.45546268656716415,4,main,20260927,pooled
MCAID,33735,105040,0.4588409663554172,4,main,20260927,pooled
SPM_SNAPSUB,13011,45122,0.109215279378987,4,main,20260927,pooled
SPM_CAPHOUSESUB,4775,46627,0.16397905759162304,4,main,20260927,pooled
SPM_ENGVAL,14292,43816,0.10684298908480269,4,main,20260927,pooled
SPM_SCHLUNCH,2989,46995,0.23084643693542992,4,main,20260927,pooled
SPM_WICVAL,11932,46215,0.10794502179014415,4,main,20260927,pooled
whole_supplement,21583,64536,0.8469165546958254,5,all_items,20260923,matched
earnings_range,12563,41730,1.690440181485314,6,all_items,20260923,matched
earnings_recipient,3424,41730,1.071553738317757,5,all_items,20260923,matched
earnings_any,642,75928,1.1230529595015577,4,all_items,20260923,matched
interest_recipient,30064,17186,1.5984898882384246,5,all_items,20260923,matched
interest_any,8276,54345,1.3095698405026583,4,all_items,20260923,matched
dividends_recipient,7944,4308,1.983257804632427,6,all_items,20260923,matched
dividends_any,6424,78165,1.095890410958904,4,all_items,20260923,matched
rent_recipient,1415,2658,2.415547703180212,6,all_items,20260923,matched
rent_any,4887,86183,1.0507468794761612,4,all_items,20260923,matched
social_security_recipient,6092,13260,1.1101444517399868,6,all_items,20260923,matched
social_security_any,2670,83709,1.1872659176029963,4,all_items,20260923,matched
ssi_recipient,438,1374,2.6392694063926943,6,all_items,20260923,matched
ssi_any,1856,90172,1.144396551724138,4,all_items,20260923,matched
public_assistance_recipient,197,368,4.081218274111675,6,all_items,20260923,matched
public_assistance_any,3189,89087,1.0978363123236123,4,all_items,20260923,matched
unemployment_recipient,277,836,3.783393501805054,6,all_items,20260923,matched
unemployment_any,2154,90039,1.1884865366759516,4,all_items,20260923,matched
veterans_recipient,555,1338,2.533333333333333,7,all_items,20260923,matched
veterans_any,2637,89289,1.0830489192263937,4,all_items,20260923,matched
workers_comp_recipient,97,208,4.556701030927835,6,all_items,20260923,matched
workers_comp_any,2031,90342,1.155096011816839,4,all_items,20260923,matched
pensions_retirement_any,8715,83777,1.0036718301778542,4,all_items,20260923,matched
survivor_disability_any,3600,88872,1.0980555555555556,4,all_items,20260923,matched
other_income_any,8739,83765,1.0175077239958805,4,all_items,20260923,matched
MCARE,33500,105672,0.6285970149253731,5,all_items,20260923,matched
MCAID,33735,105040,0.6332592263228102,5,all_items,20260923,matched
SPM_SNAPSUB,13011,45122,0.2668511259703328,4,all_items,20260923,matched
SPM_CAPHOUSESUB,4775,46627,0.36858638743455496,4,all_items,20260923,matched
SPM_ENGVAL,14292,43816,0.26350405821438566,4,all_items,20260923,matched
SPM_SCHLUNCH,2989,46995,0.5132151221144196,4,all_items,20260923,matched
SPM_WICVAL,11932,46215,0.27313107609788806,4,all_items,20260923,matched
whole_supplement,21583,64536,0.6246119631191215,4,all_items,20260923,pooled
earnings_range,12563,41730,1.3296187216429196,6,all_items,20260923,pooled
earnings_recipient,3424,41730,0.8268107476635514,4,all_items,20260923,pooled
earnings_any,642,75928,0.8909657320872274,3,all_items,20260923,pooled
interest_recipient,30064,17186,1.30055880787653,4,all_items,20260923,pooled
interest_any,8276,54345,0.9748670855485742,4,all_items,20260923,pooled
dividends_recipient,7944,4308,1.7598187311178248,4,all_items,20260923,pooled
dividends_any,6424,78165,0.8047945205479452,4,all_items,20260923,pooled
rent_recipient,1415,2658,2.1201413427561837,5,all_items,20260923,pooled
rent_any,4887,86183,0.7616124411704522,4,all_items,20260923,pooled
social_security_recipient,6092,13260,0.8980630334865397,4,all_items,20260923,pooled
social_security_any,2670,83709,0.8352059925093633,4,all_items,20260923,pooled
ssi_recipient,438,1374,2.2557077625570776,5,all_items,20260923,pooled
ssi_any,1856,90172,0.822198275862069,4,all_items,20260923,pooled
public_assistance_recipient,197,368,3.6294416243654823,5,all_items,20260923,pooled
public_assistance_any,3189,89087,0.7870805895264973,4,all_items,20260923,pooled
unemployment_recipient,277,836,3.299638989169675,4,all_items,20260923,pooled
unemployment_any,2154,90039,0.840297121634169,4,all_items,20260923,pooled
veterans_recipient,555,1338,2.2900900900900902,5,all_items,20260923,pooled
veterans_any,2637,89289,0.7717102768297307,4,all_items,20260923,pooled
workers_comp_recipient,97,208,4.0,5,all_items,20260923,pooled
workers_comp_any,2031,90342,0.8133924175283112,4,all_items,20260923,pooled
pensions_retirement_any,8715,83777,0.770281124497992,4,all_items,20260923,pooled
survivor_disability_any,3600,88872,0.8025,4,all_items,20260923,pooled
other_income_any,8739,83765,0.7626730747225083,4,all_items,20260923,pooled
MCARE,33500,105672,0.45546268656716415,4,all_items,20260923,pooled
MCAID,33735,105040,0.4588409663554172,4,all_items,20260923,pooled
SPM_SNAPSUB,13011,45122,0.109215279378987,4,all_items,20260923,pooled
SPM_CAPHOUSESUB,4775,46627,0.16397905759162304,4,all_items,20260923,pooled
SPM_ENGVAL,14292,43816,0.10684298908480269,4,all_items,20260923,pooled
SPM_SCHLUNCH,2989,46995,0.23084643693542992,4,all_items,20260923,pooled
SPM_WICVAL,11932,46215,0.10794502179014415,4,all_items,20260923,pooled
whole_supplement,21583,64536,0.8469165546958254,5,all_items,20260924,matched
earnings_range,12563,41730,1.690440181485314,6,all_items,20260924,matched
earnings_recipient,3424,41730,1.071553738317757,5,all_items,20260924,matched
earnings_any,642,75928,1.1230529595015577,4,all_items,20260924,matched
interest_recipient,30064,17186,1.5984898882384246,5,all_items,20260924,matched
interest_any,8276,54345,1.3095698405026583,4,all_items,20260924,matched
dividends_recipient,7944,4308,1.983257804632427,6,all_items,20260924,matched
dividends_any,6424,78165,1.095890410958904,4,all_items,20260924,matched
rent_recipient,1415,2658,2.415547703180212,6,all_items,20260924,matched
rent_any,4887,86183,1.0507468794761612,4,all_items,20260924,matched
social_security_recipient,6092,13260,1.1101444517399868,6,all_items,20260924,matched
social_security_any,2670,83709,1.1872659176029963,4,all_items,20260924,matched
ssi_recipient,438,1374,2.6392694063926943,6,all_items,20260924,matched
ssi_any,1856,90172,1.144396551724138,4,all_items,20260924,matched
public_assistance_recipient,197,368,4.081218274111675,6,all_items,20260924,matched
public_assistance_any,3189,89087,1.0978363123236123,4,all_items,20260924,matched
unemployment_recipient,277,836,3.783393501805054,6,all_items,20260924,matched
unemployment_any,2154,90039,1.1884865366759516,4,all_items,20260924,matched
veterans_recipient,555,1338,2.533333333333333,7,all_items,20260924,matched
veterans_any,2637,89289,1.0830489192263937,4,all_items,20260924,matched
workers_comp_recipient,97,208,4.556701030927835,6,all_items,20260924,matched
workers_comp_any,2031,90342,1.155096011816839,4,all_items,20260924,matched
pensions_retirement_any,8715,83777,1.0036718301778542,4,all_items,20260924,matched
survivor_disability_any,3600,88872,1.0980555555555556,4,all_items,20260924,matched
other_income_any,8739,83765,1.0175077239958805,4,all_items,20260924,matched
MCARE,33500,105672,0.6285970149253731,5,all_items,20260924,matched
MCAID,33735,105040,0.6332592263228102,5,all_items,20260924,matched
SPM_SNAPSUB,13011,45122,0.2668511259703328,4,all_items,20260924,matched
SPM_CAPHOUSESUB,4775,46627,0.36858638743455496,4,all_items,20260924,matched
SPM_ENGVAL,14292,43816,0.26350405821438566,4,all_items,20260924,matched
SPM_SCHLUNCH,2989,46995,0.5132151221144196,4,all_items,20260924,matched
SPM_WICVAL,11932,46215,0.27313107609788806,4,all_items,20260924,matched
whole_supplement,21583,64536,0.6246119631191215,4,all_items,20260924,pooled
earnings_range,12563,41730,1.3296187216429196,6,all_items,20260924,pooled
earnings_recipient,3424,41730,0.8268107476635514,4,all_items,20260924,pooled
earnings_any,642,75928,0.8909657320872274,3,all_items,20260924,pooled
interest_recipient,30064,17186,1.30055880787653,4,all_items,20260924,pooled
interest_any,8276,54345,0.9748670855485742,4,all_items,20260924,pooled
dividends_recipient,7944,4308,1.7598187311178248,4,all_items,20260924,pooled
dividends_any,6424,78165,0.8047945205479452,4,all_items,20260924,pooled
rent_recipient,1415,2658,2.1201413427561837,5,all_items,20260924,pooled
rent_any,4887,86183,0.7616124411704522,4,all_items,20260924,pooled
social_security_recipient,6092,13260,0.8980630334865397,4,all_items,20260924,pooled
social_security_any,2670,83709,0.8352059925093633,4,all_items,20260924,pooled
ssi_recipient,438,1374,2.2557077625570776,5,all_items,20260924,pooled
ssi_any,1856,90172,0.822198275862069,4,all_items,20260924,pooled
public_assistance_recipient,197,368,3.6294416243654823,5,all_items,20260924,pooled
public_assistance_any,3189,89087,0.7870805895264973,4,all_items,20260924,pooled
unemployment_recipient,277,836,3.299638989169675,4,all_items,20260924,pooled
unemployment_any,2154,90039,0.840297121634169,4,all_items,20260924,pooled
veterans_recipient,555,1338,2.2900900900900902,5,all_items,20260924,pooled
veterans_any,2637,89289,0.7717102768297307,4,all_items,20260924,pooled
workers_comp_recipient,97,208,4.0,5,all_items,20260924,pooled
workers_comp_any,2031,90342,0.8133924175283112,4,all_items,20260924,pooled
pensions_retirement_any,8715,83777,0.770281124497992,4,all_items,20260924,pooled
survivor_disability_any,3600,88872,0.8025,4,all_items,20260924,pooled
other_income_any,8739,83765,0.7626730747225083,4,all_items,20260924,pooled
MCARE,33500,105672,0.45546268656716415,4,all_items,20260924,pooled
MCAID,33735,105040,0.4588409663554172,4,all_items,20260924,pooled
SPM_SNAPSUB,13011,45122,0.109215279378987,4,all_items,20260924,pooled
SPM_CAPHOUSESUB,4775,46627,0.16397905759162304,4,all_items,20260924,pooled
SPM_ENGVAL,14292,43816,0.10684298908480269,4,all_items,20260924,pooled
SPM_SCHLUNCH,2989,46995,0.23084643693542992,4,all_items,20260924,pooled
SPM_WICVAL,11932,46215,0.10794502179014415,4,all_items,20260924,pooled
whole_supplement,21583,64536,0.8469165546958254,5,all_items,20260925,matched
earnings_range,12563,41730,1.690440181485314,6,all_items,20260925,matched
earnings_recipient,3424,41730,1.071553738317757,5,all_items,20260925,matched
earnings_any,642,75928,1.1230529595015577,4,all_items,20260925,matched
interest_recipient,30064,17186,1.5984898882384246,5,all_items,20260925,matched
interest_any,8276,54345,1.3095698405026583,4,all_items,20260925,matched
dividends_recipient,7944,4308,1.983257804632427,6,all_items,20260925,matched
dividends_any,6424,78165,1.095890410958904,4,all_items,20260925,matched
rent_recipient,1415,2658,2.415547703180212,6,all_items,20260925,matched
rent_any,4887,86183,1.0507468794761612,4,all_items,20260925,matched
social_security_recipient,6092,13260,1.1101444517399868,6,all_items,20260925,matched
social_security_any,2670,83709,1.1872659176029963,4,all_items,20260925,matched
ssi_recipient,438,1374,2.6392694063926943,6,all_items,20260925,matched
ssi_any,1856,90172,1.144396551724138,4,all_items,20260925,matched
public_assistance_recipient,197,368,4.081218274111675,6,all_items,20260925,matched
public_assistance_any,3189,89087,1.0978363123236123,4,all_items,20260925,matched
unemployment_recipient,277,836,3.783393501805054,6,all_items,20260925,matched
unemployment_any,2154,90039,1.1884865366759516,4,all_items,20260925,matched
veterans_recipient,555,1338,2.533333333333333,7,all_items,20260925,matched
veterans_any,2637,89289,1.0830489192263937,4,all_items,20260925,matched
workers_comp_recipient,97,208,4.556701030927835,6,all_items,20260925,matched
workers_comp_any,2031,90342,1.155096011816839,4,all_items,20260925,matched
pensions_retirement_any,8715,83777,1.0036718301778542,4,all_items,20260925,matched
survivor_disability_any,3600,88872,1.0980555555555556,4,all_items,20260925,matched
other_income_any,8739,83765,1.0175077239958805,4,all_items,20260925,matched
MCARE,33500,105672,0.6285970149253731,5,all_items,20260925,matched
MCAID,33735,105040,0.6332592263228102,5,all_items,20260925,matched
SPM_SNAPSUB,13011,45122,0.2668511259703328,4,all_items,20260925,matched
SPM_CAPHOUSESUB,4775,46627,0.36858638743455496,4,all_items,20260925,matched
SPM_ENGVAL,14292,43816,0.26350405821438566,4,all_items,20260925,matched
SPM_SCHLUNCH,2989,46995,0.5132151221144196,4,all_items,20260925,matched
SPM_WICVAL,11932,46215,0.27313107609788806,4,all_items,20260925,matched
whole_supplement,21583,64536,0.6246119631191215,4,all_items,20260925,pooled
earnings_range,12563,41730,1.3296187216429196,6,all_items,20260925,pooled
earnings_recipient,3424,41730,0.8268107476635514,4,all_items,20260925,pooled
earnings_any,642,75928,0.8909657320872274,3,all_items,20260925,pooled
interest_recipient,30064,17186,1.30055880787653,4,all_items,20260925,pooled
interest_any,8276,54345,0.9748670855485742,4,all_items,20260925,pooled
dividends_recipient,7944,4308,1.7598187311178248,4,all_items,20260925,pooled
dividends_any,6424,78165,0.8047945205479452,4,all_items,20260925,pooled
rent_recipient,1415,2658,2.1201413427561837,5,all_items,20260925,pooled
rent_any,4887,86183,0.7616124411704522,4,all_items,20260925,pooled
social_security_recipient,6092,13260,0.8980630334865397,4,all_items,20260925,pooled
