on_books,lane_method,allocation,key,audit_alone_bn,lane_alone_bn,combined_bn,interaction_bn
0.44,b_matched_over_pooled,shared,population,0.0,0.0,0.0,0.0
0.44,b_matched_over_pooled,shared,positive_fica_worker,0.778554282935452,0.004682116922791087,0.7810246120814478,-0.0022117877767953223
0.44,b_matched_over_pooled,shared,refundable_credits,-6.712655349429724,0.30770084396549285,-6.3707694285178995,0.034185076946331716
0.44,b_matched_over_pooled,shared,self_payroll,0.7384652853147969,0.6702976938750169,1.4308920784640577,0.02212909927424389
0.44,b_matched_over_pooled,shared,snap,0.0,-0.3698316982951641,-0.3698316982951641,0.0
0.44,b_matched_over_pooled,shared,social_security,0.0,-4.1241021580899115,-4.1241021580899115,0.0
0.44,b_matched_over_pooled,shared,ssi,0.0,0.011717213219938299,0.011717213219938299,0.0
0.44,b_matched_over_pooled,shared,state_liability,1.6734985749071636,0.9995759808931043,2.4693348400173214,-0.20373971578294647
0.44,b_matched_over_pooled,shared,unemployment,0.0,-0.4681461293227993,-0.4681461293227993,0.0
0.44,b_matched_over_pooled,shared,veterans,0.0,-0.20517877428086811,-0.20517877428086811,0.0
0.44,b_matched_over_pooled,shared,wage,1.9365125875484708,0.5959083976951013,2.3544166784322926,-0.17800430681127943
0.44,b_matched_over_pooled,shared,wage_oasdi,6.903303743667097,1.4412825670994172,7.904173320234055,-0.44041299053245875
0.44,b_matched_over_pooled,shared,wic,0.0,-0.0146707494947402,-0.0146707494947402,0.0
0.44,b_matched_over_pooled,shared,workers_comp,0.0,0.4313553012800522,0.4313553012800522,0.0
0.44,b_matched_over_pooled,shared,working_age,0.0,0.0,0.0,0.0
0.6,a_ipw_brief_cells,personal,adults,0.0,0.0,0.0,0.0
0.6,a_ipw_brief_cells,personal,age65plus,0.0,0.0,0.0,0.0
0.6,a_ipw_brief_cells,personal,all_cash,0.0,-0.3930792005732909,-0.3930792005732909,0.0
0.6,a_ipw_brief_cells,personal,cash_assistance,0.0,3.569804486953657,3.569804486953657,0.0
0.6,a_ipw_brief_cells,personal,consumption,0.0,-1.262639743343283,-1.262639743343283,0.0
0.6,a_ipw_brief_cells,personal,energy,0.0,-0.02460117670142465,-0.02460117670142465,0.0
0.6,a_ipw_brief_cells,personal,federal_liability,5.014532599272947,13.43294999214848,16.243492886055396,-2.2039897053660304
0.6,a_ipw_brief_cells,personal,medicare,0.0,0.08637007891538377,0.08637007891538377,0.0
0.6,a_ipw_brief_cells,personal,population,0.0,0.0,0.0,0.0
0.6,a_ipw_brief_cells,personal,positive_fica_worker,0.5605414385352732,0.06632322714937865,0.5757834759813697,-0.05108118970328211
0.6,a_ipw_brief_cells,personal,refundable_credits,-6.6902219522691375,0.46819416961761545,-6.376604789350034,-0.15457700669851165
0.6,a_ipw_brief_cells,personal,self_payroll,0.5186632205907679,0.07424179081391423,0.49785567623159666,-0.09504933517308543
0.6,a_ipw_brief_cells,personal,snap,0.0,0.7268639199127055,0.7268639199127055,0.0
0.6,a_ipw_brief_cells,personal,social_security,0.0,-6.041699493707993,-6.041699493707993,0.0
0.6,a_ipw_brief_cells,personal,ssi,0.0,-0.09047657422369887,-0.09047657422369887,0.0
0.6,a_ipw_brief_cells,personal,state_liability,1.2452200994096343,2.223467805088003,2.969389912677544,-0.49929799182009327
0.6,a_ipw_brief_cells,personal,unemployment,0.0,-0.38493088852779445,-0.38493088852779445,0.0
0.6,a_ipw_brief_cells,personal,veterans,0.0,0.211830905132986,0.211830905132986,0.0
0.6,a_ipw_brief_cells,personal,wage,1.4220869936278502,0.8805390095741015,1.9422111724458233,-0.36041483075612835
0.6,a_ipw_brief_cells,personal,wage_oasdi,5.054822067786657,2.570123014470978,6.547291080340907,-1.077654001916728
0.6,a_ipw_brief_cells,personal,wic,0.0,0.31643886588546183,0.31643886588546183,0.0
0.6,a_ipw_brief_cells,personal,workers_comp,0.0,0.15737307172599901,0.15737307172599901,0.0
0.6,a_ipw_brief_cells,personal,working_age,0.0,0.0,0.0,0.0
0.6,a_ipw_brief_cells,shared,adults,0.0,0.0,0.0,0.0
0.6,a_ipw_brief_cells,shared,age65plus,0.0,0.0,0.0,0.0
0.6,a_ipw_brief_cells,shared,all_cash,0.0,-0.4339817773468112,-0.4339817773468112,0.0
0.6,a_ipw_brief_cells,shared,cash_assistance,0.0,3.188943782807149,3.188943782807149,0.0
0.6,a_ipw_brief_cells,shared,consumption,0.0,-1.262639743343283,-1.262639743343283,0.0
0.6,a_ipw_brief_cells,shared,energy,0.0,-0.02460117670142465,-0.02460117670142465,0.0
0.6,a_ipw_brief_cells,shared,federal_liability,4.7580515809653825,11.45017915053961,14.08334268303227,-2.1248880484727213
0.6,a_ipw_brief_cells,shared,medicare,0.0,0.22057778010359771,0.22057778010359771,0.0
0.6,a_ipw_brief_cells,shared,population,0.0,0.0,0.0,0.0
0.6,a_ipw_brief_cells,shared,positive_fica_worker,0.552598292016976,-0.016677725080602116,0.488681458480384,-0.04723910845598983
0.6,a_ipw_brief_cells,shared,refundable_credits,-6.32886002824701,0.6279266128150961,-5.726759418500969,-0.025826003069055692
0.6,a_ipw_brief_cells,shared,self_payroll,0.523921703988925,-0.1291047702722432,0.2826171789855539,-0.11219975473112792
0.6,a_ipw_brief_cells,shared,snap,0.0,0.7268639199127055,0.7268639199127055,0.0
0.6,a_ipw_brief_cells,shared,social_security,0.0,-6.651910607472145,-6.651910607472145,0.0
0.6,a_ipw_brief_cells,shared,ssi,0.0,-0.1153565905491128,-0.1153565905491128,0.0
0.6,a_ipw_brief_cells,shared,state_liability,1.192836452933783,2.0438726879305267,2.711361337764188,-0.5253478031001217
0.6,a_ipw_brief_cells,shared,unemployment,0.0,-0.1525789156904433,-0.1525789156904433,0.0
0.6,a_ipw_brief_cells,shared,veterans,0.0,0.42809808873547217,0.42809808873547217,0.0
0.6,a_ipw_brief_cells,shared,wage,1.3781128936148925,0.9189074860265722,1.9448445811089425,-0.35217579853252223
0.6,a_ipw_brief_cells,shared,wage_oasdi,4.911303391711739,1.6504444100636058,5.492392129155462,-1.0693556726198825
0.6,a_ipw_brief_cells,shared,wic,0.0,0.31643886588546183,0.31643886588546183,0.0
0.6,a_ipw_brief_cells,shared,workers_comp,0.0,0.467436576228454,0.467436576228454,0.0
0.6,a_ipw_brief_cells,shared,working_age,0.0,0.0,0.0,0.0
0.6,b_hotdeck_union_matched,personal,adults,0.0,0.0,0.0,0.0
0.6,b_hotdeck_union_matched,personal,age65plus,0.0,-5.296670283185275e-18,-5.296670283185275e-18,0.0
0.6,b_hotdeck_union_matched,personal,all_cash,0.0,-0.1950667751933869,-0.1950667751933869,0.0
0.6,b_hotdeck_union_matched,personal,cash_assistance,0.0,-0.9594828336697673,-0.9594828336697673,0.0
0.6,b_hotdeck_union_matched,personal,consumption,0.0,2.638079336030608,2.638079336030608,0.0
0.6,b_hotdeck_union_matched,personal,energy,0.0,-0.006603532837387376,-0.006603532837387376,0.0
0.6,b_hotdeck_union_matched,personal,federal_liability,5.014532599272947,8.140692838253269,11.510473173323735,-1.6447522642024808
0.6,b_hotdeck_union_matched,personal,medicare,0.0,-0.20848744464835048,-0.20848744464835048,0.0
0.6,b_hotdeck_union_matched,personal,population,0.0,3.950175632725724e-17,3.950175632725724e-17,0.0
0.6,b_hotdeck_union_matched,personal,positive_fica_worker,0.5605414385352732,0.0434522524755828,0.6019795369654114,-0.002014154045444562
0.6,b_hotdeck_union_matched,personal,refundable_credits,-6.6902219522691375,0.5381370447492176,-6.354340362067938,-0.20225545454801808
0.6,b_hotdeck_union_matched,personal,self_payroll,0.5186632205907679,1.4940797725450452,1.9395131584296532,-0.07322983470615996
0.6,b_hotdeck_union_matched,personal,snap,0.0,0.419601547548559,0.419601547548559,0.0
0.6,b_hotdeck_union_matched,personal,social_security,0.0,-3.6070300577646606,-3.6070300577646606,0.0
0.6,b_hotdeck_union_matched,personal,ssi,0.0,-0.15424427616891323,-0.15424427616891323,0.0
