item,measure,group,estimate,se,n_unweighted,n_flagged,note
survivor_disability,dollars,union_minus_other,0.016842841573232903,0.0796629732649162,,,
survivor_disability,dollars_whole_supplement_only,union,0.2081027909780793,0.05221968450074,14152.0,2585.0,
survivor_disability,dollars_whole_supplement_only,other,0.15823185444470933,0.014800326055221226,99818.0,18923.0,
survivor_disability,dollars_whole_supplement_only,union_minus_other,0.049870936533369964,0.05288675602443592,,,
survivor_disability,dollars_item_level_only,union,0.2500032422842293,0.07256037238336738,14152.0,332.0,
survivor_disability,dollars_item_level_only,other,0.2830313372443668,0.016329944956360577,99818.0,3258.0,
survivor_disability,dollars_item_level_only,union_minus_other,-0.03302809496013748,0.0759806608110496,,,
other_income,persons_15plus,union,0.23057482866211854,0.007675270184783067,14152.0,3242.0,
other_income,persons_15plus,other,0.26768045009023483,0.0027643282222023138,99818.0,26963.0,
other_income,persons_15plus,union_minus_other,-0.0371056214281163,0.008164274803056175,,,
other_income,dollars,union,0.58525016412102,0.03633495376875881,14152.0,3242.0,
other_income,dollars,other,0.6006827119510091,0.020470104147282297,99818.0,26963.0,
other_income,dollars,union_minus_other,-0.01543254782998904,0.04376767680859346,,,
other_income,dollars_whole_supplement_only,union,0.2435597728087678,0.03668322166710772,14152.0,2585.0,
other_income,dollars_whole_supplement_only,other,0.17095535691373437,0.01247325137531869,99818.0,18923.0,
other_income,dollars_whole_supplement_only,union_minus_other,0.07260441589503344,0.03945226292868752,,,
other_income,dollars_item_level_only,union,0.3416903913122522,0.03576492827636017,14152.0,657.0,
other_income,dollars_item_level_only,other,0.42972735503727516,0.022777677586605188,99818.0,8040.0,
other_income,dollars_item_level_only,union_minus_other,-0.08803696372502295,0.03969727454946291,,,
earnings_longest_job,dollars_level_range_levels_1_3,union,0.18283330966417805,0.007363973121580196,14152.0,1885.0,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
earnings_longest_job,dollars_level_range_levels_1_3,other,0.15556088969490378,0.003140121830303083,99818.0,10614.0,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
earnings_longest_job,dollars_level_range_levels_1_3,union_minus_other,0.027272419969274264,0.008309634885089737,,,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
earnings_longest_job,dollars_level_no_range_levels_101_103,union,0.04247647222411237,0.003570182773209801,14152.0,392.0,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
earnings_longest_job,dollars_level_no_range_levels_101_103,other,0.05027344381309999,0.002107934475115042,99818.0,3082.0,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
earnings_longest_job,dollars_level_no_range_levels_101_103,union_minus_other,-0.007796971588987622,0.004113440423256385,,,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
earnings_longest_job,dollars_level_age_sex_or_pooled_104_105,union,0.0,0.0,14152.0,0.0,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
earnings_longest_job,dollars_level_age_sex_or_pooled_104_105,other,0.0,0.0,99818.0,0.0,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
earnings_longest_job,dollars_level_age_sex_or_pooled_104_105,union_minus_other,0.0,0.0,,,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
earnings_longest_job,dollars_level_whole_supplement_9,union,0.2014766913141999,0.01022415301031344,14152.0,1715.0,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
earnings_longest_job,dollars_level_whole_supplement_9,other,0.17842390156469976,0.003477221229525409,99818.0,11969.0,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
earnings_longest_job,dollars_level_whole_supplement_9,union_minus_other,0.023052789749500147,0.01078925472995368,,,I_ERNVAL level; ERN_VAL includes wage and self-employment sources
medicare,persons,union,0.2303801890098128,0.0080506073364831,18331.0,4149.0,
medicare,persons,other,0.23384280006522787,0.00297863567580372,123318.0,29250.0,
medicare,persons,union_minus_other,-0.0034626110554150658,0.008388731756739674,,,
medicare_logical,persons,union,0.015067152612597222,0.0013037680298457126,18331.0,276.0,
medicare_logical,persons,other,0.017519948114881667,0.0005716124222426018,123318.0,2088.0,
medicare_logical,persons,union_minus_other,-0.0024527955022844456,0.0013735052061528378,,,
medicaid,persons,union,0.23270734148471883,0.007989132791671122,18331.0,4190.0,
medicaid,persons,other,0.23536665667593953,0.0029947343467408116,123318.0,29444.0,
medicaid,persons,union_minus_other,-0.0026593151912207014,0.008341974729328747,,,
medicaid_logical,persons,union,0.022483805535401247,0.0015121307983933813,18331.0,420.0,
medicaid_logical,persons,other,0.01961206984912621,0.0006396343529295587,123318.0,2341.0,
medicaid_logical,persons,union_minus_other,0.002871735686275037,0.0015557683923957209,,,
snap,persons,union,0.22480128017979353,0.00827692913711536,18331.0,4100.0,
snap,persons,other,0.22668919036820032,0.0030169232926816093,123318.0,28497.0,
snap,persons,union_minus_other,-0.0018879101884067828,0.00857454277920052,,,
housing,persons,union,0.10176386362885675,0.005110929489635782,18331.0,1723.0,
housing,persons,other,0.07544680048191767,0.0015678689797238214,123318.0,8635.0,
housing,persons,union_minus_other,0.026317063146939088,0.005139777534219677,,,
school_lunch,persons,union,0.10164013850156497,0.005664061518087457,18331.0,1842.0,
school_lunch,persons,other,0.07124424837446877,0.0016944493244145052,123318.0,10210.0,
school_lunch,persons,union_minus_other,0.030395890127096203,0.006028147653768858,,,
energy,persons,union,0.24435611342733052,0.008285996481793272,18331.0,4416.0,
energy,persons,other,0.24944935432707963,0.0030140207779132027,123318.0,31228.0,
energy,persons,union_minus_other,-0.005093240899749107,0.008646311125885093,,,
wic_person,persons,union,0.19458359384806198,0.007445861515338856,18331.0,3540.0,
wic_person,persons,other,0.19354150748327079,0.0026958806608590766,123318.0,24599.0,
wic_person,persons,union_minus_other,0.0010420863647911949,0.00779820702077895,,,
property_value,persons,union,0.3702254558834779,0.010930356071845785,10920.0,4062.0,
property_value,persons,other,0.3495469764811612,0.004100655642089007,88788.0,31473.0,
property_value,persons,union_minus_other,0.020678479402316707,0.01104074222348967,,,
moop,persons,union,0.4167123075098446,0.008459053940611605,18331.0,7544.0,
moop,persons,other,0.4353909498958108,0.003552144685227453,123318.0,53337.0,
moop,persons,union_minus_other,-0.01867864238596617,0.008668480410804147,,,
snap,dollars,union,0.26661565354988875,0.03482500455031406,18331.0,4100.0,
snap,dollars,other,0.30786553423287805,0.015010001989033015,123318.0,28497.0,
snap,dollars,union_minus_other,-0.04124988068298929,0.03810043398356996,,,
housing,dollars,union,0.30514315118870566,0.07551326860504681,18331.0,1723.0,
housing,dollars,other,0.17586589077245807,0.014628743236360632,123318.0,8635.0,
housing,dollars,union_minus_other,0.1292772604162476,0.07563191543864185,,,
energy,dollars,union,0.4041401655098053,0.06869466920031879,18331.0,4416.0,
energy,dollars,other,0.37437471974919917,0.0237136320745361,123318.0,31228.0,
energy,dollars,union_minus_other,0.029765445760606135,0.0730113962367239,,,
school_lunch,dollars,union,0.20945934065705654,0.01455250309731466,18331.0,1842.0,
school_lunch,dollars,other,0.2739699068709244,0.00865631526655005,123318.0,10210.0,
school_lunch,dollars,union_minus_other,-0.06451056621386783,0.016241249170208232,,,
wic_unit,dollars,union,0.1537391378291088,0.03486127092369478,18331.0,3932.0,
wic_unit,dollars,other,0.21676675711334625,0.018975523180165252,123318.0,27491.0,
