group,reference,item,arm,common_age_gap_per_person,age_matched_gap_bn,external
mexican_second_gen,third_plus_nh_white,F,zero,0.0,0.0,False
mexican_second_gen,third_plus_nh_white,S,half_inside_meps,0.0,0.0,False
mexican_second_gen,all_native,G,deflated2024,-189.76947778597415,-2.7794681896448328,False
mexican_second_gen,all_native,K,central,-88.05968559897431,-1.7529387729704513,False
mexican_second_gen,all_native,U,central,-57.821552026057745,-0.5885504116314606,False
mexican_second_gen,all_native,I,central,-40.84814221598671,-0.9848189305370063,False
mexican_second_gen,all_native,M,central,0.37112595086661937,0.048988951512248635,False
mexican_second_gen,all_native,N,midpoint,112.43470766637725,0.03771645542397147,True
mexican_second_gen,all_native,E,stock,0.0,0.0,False
mexican_second_gen,all_native,C,wage25_capital75,-1055.779966441089,-11.894707674130316,False
mexican_second_gen,all_native,X,per_capita,-1.9968099831676938e-13,-2.709031105041504e-14,False
mexican_second_gen,all_native,R,central,487.8492914125073,2.2281113591010713,False
mexican_second_gen,all_native,F,zero,0.0,0.0,False
mexican_second_gen,all_native,S,half_inside_meps,0.0,0.0,False
mexican_third_plus_selfid,third_plus_nh_white,G,deflated2024,-53.19607820975602,-0.9880059164694455,False
mexican_third_plus_selfid,third_plus_nh_white,K,central,-83.56109266439672,-1.524917778302459,False
mexican_third_plus_selfid,third_plus_nh_white,U,central,-87.28205867094394,-1.3922831527558608,False
mexican_third_plus_selfid,third_plus_nh_white,I,central,-23.84773334788828,-0.5533266920732339,False
mexican_third_plus_selfid,third_plus_nh_white,M,central,1.5419436776049926,0.023176595799081445,False
mexican_third_plus_selfid,third_plus_nh_white,N,midpoint,-74.3347805181979,-1.8194817673520045,True
mexican_third_plus_selfid,third_plus_nh_white,E,stock,0.0,0.0,False
mexican_third_plus_selfid,third_plus_nh_white,C,wage25_capital75,-1377.429877655725,-14.966135370200172,False
mexican_third_plus_selfid,third_plus_nh_white,X,per_capita,7.727998688736696e-13,-5.960464477539063e-16,False
mexican_third_plus_selfid,third_plus_nh_white,R,central,171.75817170155864,0.7730580523157492,False
mexican_third_plus_selfid,third_plus_nh_white,F,zero,0.0,0.0,False
mexican_third_plus_selfid,third_plus_nh_white,S,half_inside_meps,0.0,0.0,False
mexican_third_plus_selfid,all_native,G,deflated2024,20.802978967301588,0.40377098403529144,False
mexican_third_plus_selfid,all_native,K,central,-72.15276268197272,-1.2877143690889177,False
mexican_third_plus_selfid,all_native,U,central,-44.89568561489976,-0.5362650822746194,False
mexican_third_plus_selfid,all_native,I,central,-10.409059085171682,-0.20530412128974532,False
mexican_third_plus_selfid,all_native,M,central,-1.2643915970233368,-0.030179745258100868,False
mexican_third_plus_selfid,all_native,N,midpoint,112.43470766637725,0.23883516993061174,True
mexican_third_plus_selfid,all_native,E,stock,0.0,0.0,False
mexican_third_plus_selfid,all_native,C,wage25_capital75,-1017.0633730229428,-10.077029187914267,False
mexican_third_plus_selfid,all_native,X,per_capita,-3.055958264342013e-13,-3.4689903259277344e-14,False
mexican_third_plus_selfid,all_native,R,central,146.57801275713047,0.6648843722657165,False
mexican_third_plus_selfid,all_native,F,zero,0.0,0.0,False
mexican_third_plus_selfid,all_native,S,half_inside_meps,0.0,0.0,False
mexican_observed_total,third_plus_nh_white,G,deflated2024,-198.1768498681943,-7.9093755972936615,False
mexican_observed_total,third_plus_nh_white,K,central,-115.92470782708261,-5.20744791132773,False
mexican_observed_total,third_plus_nh_white,U,central,-81.62849302692548,-3.1169162009021787,False
mexican_observed_total,third_plus_nh_white,I,central,-58.55514564102021,-2.9501725356953887,False
mexican_observed_total,third_plus_nh_white,M,central,64.00742533017153,3.534207916323008,False
mexican_observed_total,third_plus_nh_white,N,midpoint,98.86744933854888,-2.494229889042218,True
mexican_observed_total,third_plus_nh_white,E,stock,-76.34961490974851,-2.716778160145586,False
mexican_observed_total,third_plus_nh_white,C,wage25_capital75,-1732.1310709232225,-57.88997022349084,False
mexican_observed_total,third_plus_nh_white,X,per_capita,4.586584167840297e-13,2.1100044250488282e-14,False
mexican_observed_total,third_plus_nh_white,R,central,840.2450636307974,16.545905011876833,False
mexican_observed_total,third_plus_nh_white,F,zero,0.0,0.0,False
mexican_observed_total,third_plus_nh_white,S,half_inside_meps,-39.88450099029339,-1.485180505004549,False
mexican_observed_total,all_native,G,deflated2024,-124.17779269113674,-4.280414286552666,False
mexican_observed_total,all_native,K,central,-104.51637784465859,-4.598064910862644,False
mexican_observed_total,all_native,U,central,-39.24211997088132,-1.0313186169769022,False
mexican_observed_total,all_native,I,central,-45.116471378303615,-2.148321829325568,False
mexican_observed_total,all_native,M,central,61.2010900555432,3.374163519957076,False
mexican_observed_total,all_native,N,midpoint,285.63693752312406,4.671491483759047,True
mexican_observed_total,all_native,E,stock,-76.34961490974851,-2.716778160145586,False
mexican_observed_total,all_native,C,wage25_capital75,-1371.76456629044,-44.04722851486491,False
mexican_observed_total,all_native,X,per_capita,-6.197372785238413e-13,-6.67572021484375e-14,False
mexican_observed_total,all_native,R,central,815.0649046863692,16.235188955947418,False
mexican_observed_total,all_native,F,zero,0.0,0.0,False
mexican_observed_total,all_native,S,half_inside_meps,-39.88450099029339,-1.485180505004549,False
