F_arm,E_arm,C_arm,R_arm,union_absolute_bn,union_per_person,se_bn
per_capita,stock,wage25_capital75,central,-478.30816006126753,-11695.555678561923,9.847732622411657
per_capita,stock,wage25_capital75,central_housing_by_reported_subsidy,-478.7341453495707,-11705.971839258325,9.864527998047166
per_capita,stock,wage25_capital75,all_per_capita,-546.3523452422914,-13359.3670513077,10.472522519229498
per_capita,stock,wage25_capital75,all_zero,-363.1689078058332,-8880.179216306025,9.500830128686369
per_capita,stock,per_capita,central,-429.2685603232245,-10496.443020485576,9.126890533114572
per_capita,stock,per_capita,central_housing_by_reported_subsidy,-429.6945456115277,-10506.859181181979,9.141291240109044
per_capita,stock,per_capita,all_per_capita,-497.31274550424854,-12160.254393231355,9.716235360938501
per_capita,stock,per_capita,all_zero,-314.12930806779013,-7681.06655822968,8.769039238854912
per_capita,stock,all_capital,central,-487.0785796566088,-11910.009328461028,9.809506630821884
per_capita,stock,all_capital,central_housing_by_reported_subsidy,-487.504564944912,-11920.42548915743,9.827543166572761
per_capita,stock,all_capital,all_per_capita,-555.1227648376328,-13573.820701206807,10.445235044522223
per_capita,stock,all_capital,all_zero,-371.93932740117447,-9094.632866205131,9.461417413206343
per_capita,stock_plus_flow,wage25_capital75,central,-480.85232901266755,-11757.765509192779,9.861752024680715
per_capita,stock_plus_flow,wage25_capital75,central_housing_by_reported_subsidy,-481.27831430097075,-11768.18166988918,9.877937071524032
per_capita,stock_plus_flow,wage25_capital75,all_per_capita,-548.8965141936915,-13421.576881938556,10.488266469238054
per_capita,stock_plus_flow,wage25_capital75,all_zero,-365.71307675723324,-8942.389046936882,9.514484059370258
per_capita,stock_plus_flow,per_capita,central,-431.81272927462453,-10558.652851116432,9.139510214636958
per_capita,stock_plus_flow,per_capita,central_housing_by_reported_subsidy,-432.2387145629277,-10569.069011812835,9.15325814491431
per_capita,stock_plus_flow,per_capita,all_per_capita,-499.85691445564856,-12222.464223862211,9.730849714662114
per_capita,stock_plus_flow,per_capita,all_zero,-316.67347701919016,-7743.276388860535,8.7812233726655
per_capita,stock_plus_flow,all_capital,central,-489.6227486080088,-11972.219159091883,9.823717278474678
per_capita,stock_plus_flow,all_capital,central_housing_by_reported_subsidy,-490.048733896312,-11982.635319788285,9.84113908493643
per_capita,stock_plus_flow,all_capital,all_per_capita,-557.6669337890328,-13636.030531837661,10.46114842561608
per_capita,stock_plus_flow,all_capital,all_zero,-374.4834963525745,-9156.842696835987,9.475269858017786
per_capita,stock_pew_secondary,wage25_capital75,central,-477.4979275725505,-11675.743933800648,9.843362101886857
per_capita,stock_pew_secondary,wage25_capital75,central_housing_by_reported_subsidy,-477.92391286085376,-11686.160094497049,9.86035204091484
per_capita,stock_pew_secondary,wage25_capital75,all_per_capita,-545.5421127535745,-13339.555306546425,10.46759614161121
per_capita,stock_pew_secondary,wage25_capital75,all_zero,-362.3586753171162,-8860.36747154475,9.496579661687168
per_capita,stock_pew_secondary,per_capita,central,-428.45832783450754,-10476.631275724303,9.122974072424721
per_capita,stock_pew_secondary,per_capita,central_housing_by_reported_subsidy,-428.8843131228108,-10487.047436420704,9.137582871817743
per_capita,stock_pew_secondary,per_capita,all_per_capita,-496.50251301553163,-12140.442648470082,9.71167627722333
per_capita,stock_pew_secondary,per_capita,all_zero,-313.3190755790732,-7661.254813468406,8.76526592668577
per_capita,stock_pew_secondary,all_capital,central,-486.2683471678917,-11890.19758369975,9.805075457246273
per_capita,stock_pew_secondary,all_capital,central_housing_by_reported_subsidy,-486.69433245619496,-11900.613744396152,9.823307953697226
per_capita,stock_pew_secondary,all_capital,all_per_capita,-554.3125323489157,-13554.008956445528,10.440254830186053
per_capita,stock_pew_secondary,all_capital,all_zero,-371.1290949124574,-9074.821121443854,9.457104013351183
per_capita,zero,wage25_capital75,central,-475.59138190112196,-11629.125220352274,9.833257921040632
