group,step,item,label,item_bn,cumulative_bn,cumulative_per_person,se_bn,flag
mexican_second_gen,3,D,district cost-to-serve differential,0.0,-57.70602484770207,-4026.034223604264,3.877015537517451,dropped_no_verified_parameter
mexican_second_gen,4,U,transfer under-reporting,-3.629662205597831,-61.3356870532999,-4279.268514103858,3.9814155107213574,cps_records
mexican_second_gen,5,I,refundable-credit improper payments,-2.0594483661804035,-63.3951354194803,-4422.9521177807865,4.03141115855852,cps_records
mexican_second_gen,6,M,MEPS-to-NHEA coverage scaling,-11.243658847542699,-74.638794267023,-5207.399763207889,4.1798774454736245,cps_records
mexican_second_gen,7,N,institutional care (external add),-6.498023236449247,-81.13681750347224,-5660.753880126622,4.1798774454736245,external_add_no_se
mexican_second_gen,8,E,immigration enforcement,0.0,-81.13681750347224,-5660.753880126622,4.1798774454736245,cps_records
mexican_second_gen,9,C,"corporate income tax, federal and state",11.376453351418316,-69.76036415205392,-4867.041427104111,4.395607253725271,cps_records
mexican_second_gen,10,X,excise and selective sales taxes,13.220555599037048,-56.539808553016876,-3944.669639456956,4.277284940403194,cps_records
mexican_second_gen,11,R,rest of the federal budget by function,-39.52828444539228,-96.06809299840914,-6702.479181831813,4.602062730787873,cps_records
mexican_second_gen,12,F,"federal defense, net interest, general government",0.0,-96.06809299840914,-6702.479181831813,4.602062730787873,central_arm_is_zero
mexican_second_gen,13,S,state-funded coverage for undocumented residents,0.0,-96.06809299840914,-6702.479181831813,4.602062730787873,cps_records
mexican_third_plus_selfid,0,base,all_age_shared absolute,0.0,32.91538687702236,2294.9426989642566,4.943384971679043,cps_records
mexican_third_plus_selfid,1,G,state-local general services,-56.344971483564244,-23.42958460654189,-1633.5689546485082,5.14096853649736,cps_records
mexican_third_plus_selfid,2,K,K-12 capital outlay and interest on school debt,-8.845248566307792,-32.274833172849675,-2250.281700380892,5.264968162916637,cps_records
mexican_third_plus_selfid,3,D,district cost-to-serve differential,0.0,-32.274833172849675,-2250.281700380892,5.264968162916637,dropped_no_verified_parameter
mexican_third_plus_selfid,4,U,transfer under-reporting,-3.614457707895681,-35.889290880745364,-2502.2906881057434,5.3301299451206585,cps_records
mexican_third_plus_selfid,5,I,refundable-credit improper payments,-1.2855615765254016,-37.17485245727076,-2591.9232409643423,5.361608084073254,cps_records
mexican_third_plus_selfid,6,M,MEPS-to-NHEA coverage scaling,-13.080114399752597,-50.25496685702336,-3503.9013731212694,5.492221338170972,cps_records
mexican_third_plus_selfid,7,N,institutional care (external add),-6.800368831050752,-57.05533568807411,-3978.040014036914,5.492221338170972,external_add_no_se
mexican_third_plus_selfid,8,E,immigration enforcement,0.0,-57.05533568807411,-3978.040014036914,5.492221338170972,cps_records
mexican_third_plus_selfid,9,C,"corporate income tax, federal and state",15.005683372227615,-42.049652315846494,-2931.806420407088,5.705427280565309,cps_records
mexican_third_plus_selfid,10,X,excise and selective sales taxes,13.229186179053118,-28.82046613679338,-2009.4346327599335,5.618277892167349,cps_records
mexican_third_plus_selfid,11,R,rest of the federal budget by function,-43.38049659921208,-72.20096273600547,-5034.030829054488,6.045309888232385,cps_records
mexican_third_plus_selfid,12,F,"federal defense, net interest, general government",0.0,-72.20096273600547,-5034.030829054488,6.045309888232385,central_arm_is_zero
mexican_third_plus_selfid,13,S,state-funded coverage for undocumented residents,0.0,-72.20096273600547,-5034.030829054488,6.045309888232385,cps_records
mexican_observed_total,0,base,all_age_shared absolute,0.0,50.23821424861819,1228.4210912499898,7.473981330782249,cps_records
mexican_observed_total,1,G,state-local general services,-165.96995850509214,-115.73174425647393,-2829.8640327509806,7.789012226547317,cps_records
mexican_observed_total,2,K,K-12 capital outlay and interest on school debt,-22.730761866120773,-138.46250612259473,-3385.674937142189,7.963316784910744,cps_records
mexican_observed_total,3,D,district cost-to-serve differential,0.0,-138.46250612259473,-3385.674937142189,7.963316784910744,dropped_no_verified_parameter
mexican_observed_total,4,U,transfer under-reporting,-9.442781218768495,-147.90528734136322,-3616.569123623221,8.076535693225914,cps_records
mexican_observed_total,5,I,refundable-credit improper payments,-4.738352952309922,-152.64364029367314,-3732.4309788157407,8.149480232797382,cps_records
