nationality,proceeded_2018_2024,pop_APS_nationality_2021,rate_per10k_CMC,pop_census2021_country_of_birth,rate_per10k_census
Slovenia,2.0,,,1532,13.1
Somaliland,1.0,,,,
South Sudan,1.0,,,412,24.3
South West Africa,1.0,,,,
Syria,28.0,,,12448,22.5
Tanzania,4.0,,,14796,2.7
Tunisia,12.0,,,2856,42.0
Uganda,12.0,,,31183,3.8
United Arab Emirates,1.0,,,6397,1.6
United Kingdom,2973.0,,,5223867,5.7
Virgin Islander (British),1.0,,,,
Western Sahara,1.0,,,,
Yemen (Arab Republic),2.0,,,,
Unknown,8.0,,,,
