arm,sales_arm,group,ext_base,ext_remit,delta,gap_base,gap_remit,d_gap
r2_central,0.35,mexican_second_gen,7698.194188185556,7660.397717417539,-37.79647076801757,-8286.230632973562,-8323.550251394954,-37.31961842139208
r2_central,0.35,mexican_third_plus_selfid,9705.404507912976,9696.451398547866,-8.953109365109412,-6279.020313246143,-6287.496570264628,-8.47625701848483
r2_central,0.35,mexico_born,4461.995996762274,4363.848476612903,-98.1475201493713,-11522.428824396844,-11620.099492199592,-97.67066780274763
r2_central,ITEP,third_plus_nh_white,16747.175889027796,16746.469877283573,-0.7060117442233604,0.0,0.0,0.0
r2_central,ITEP,all_native,15001.54867100708,14997.687173539585,-3.8614974674947007,-1745.627218020716,-1748.7827037439874,-3.1554857232713402
r2_central,ITEP,all_second_gen,16318.335271111415,16297.09367450035,-21.241596611065688,-428.84061791638123,-449.37620278322356,-20.535584866842328
r2_central,ITEP,mexican_second_gen,8200.83217734343,8140.190938459865,-60.641238883566075,-8546.343711684365,-8606.278938823707,-59.935227139341805
r2_central,ITEP,mexican_third_plus_selfid,10290.74882165836,10276.347718831275,-14.401102827085197,-6456.4270673694355,-6470.122158452297,-13.695091082861836
r2_central,ITEP,mexico_born,4953.422679985621,4769.976441204069,-183.44623878155198,-11793.753209042176,-11976.493436079505,-182.74022703732953
r2_high,0.35,third_plus_nh_white,15984.424821159118,15983.794244437348,-0.6305767217709217,0.0,0.0,0.0
r2_high,0.35,all_native,14265.65477926144,14261.902782206678,-3.751997054761887,-1718.7700418976783,-1721.8914622306693,-3.121420332990965
r2_high,0.35,all_second_gen,15657.872183584454,15637.693115086566,-20.179068497887783,-326.5526375746649,-346.1011293507818,-19.54849177611686
r2_high,0.35,mexican_second_gen,7698.194188185556,7640.572364117326,-57.621824068230126,-8286.230632973562,-8343.221880320021,-56.991247346459204
r2_high,0.35,mexican_third_plus_selfid,9705.404507912976,9688.775661993579,-16.628845919396554,-6279.020313246143,-6295.0185824437685,-15.998269197625632
r2_high,0.35,mexico_born,4461.995996762274,4360.893503719143,-101.10249304313129,-11522.428824396844,-11622.900740718203,-100.47191632135946
r2_high,ITEP,third_plus_nh_white,16747.175889027796,16746.23538268891,-0.9405063388876442,0.0,0.0,0.0
r2_high,ITEP,all_native,15001.54867100708,14995.576481305947,-5.972189701133175,-1745.627218020716,-1750.6589013829616,-5.031683362245531
r2_high,ITEP,all_second_gen,16318.335271111415,16285.79404825828,-32.54122285313497,-428.84061791638123,-460.44133443062856,-31.600716514247324
r2_high,ITEP,mexican_second_gen,8200.83217734343,8107.39487664219,-93.43730070124093,-8546.343711684365,-8638.84050604672,-92.4967943623542
r2_high,ITEP,mexican_third_plus_selfid,10290.74882165836,10263.929309742494,-26.819511915866315,-6456.4270673694355,-6482.306072946414,-25.87900557697867
r2_high,ITEP,mexico_born,4953.422679985621,4765.269518898865,-188.15316108675597,-11793.753209042176,-11980.965863790043,-187.21265474786742
