allocation,arm,group,metric,n_unweighted,weighted_persons,estimate,se_sdr,diff_vs_white,se_sdr_diff
equal_adults_18plus,raw,asian_indian_native_selfid,cash_noncash_tax_balance,258,642302.176503,30721.362726,3304.985766,16312.372723,3345.772975
equal_adults_18plus,raw,asian_indian_native_selfid,k12_charged,258,642302.176503,3280.841590,522.918319,-219.839959,530.503648
equal_adults_18plus,raw,asian_indian_native_selfid,extended_balance_base,258,642302.176503,38688.531238,3793.681440,20589.271861,3849.745206
equal_adults_18plus,raw,asian_indian_native_selfid,health_age_birth,258,642302.176503,2559.076726,122.206107,-586.569582,121.993934
equal_adults_18plus,raw,asian_indian_native_selfid,extended_balance_after_health,258,642302.176503,36129.454512,3807.362662,21175.841443,3863.602737
equal_adults_18plus,raw,asian_indian_native_selfid,children_5_17,258,642302.176503,0.202542,0.031400,-0.050125,0.031846
equal_adults_18plus,raw,india_g3plus_race,modeled_tax_total,49,131001.070245,26606.802595,9700.327344,9270.136129,9701.274670
equal_adults_18plus,raw,india_g3plus_race,selected_cash_total,49,131001.070245,836.542557,859.033591,-1848.073223,859.715901
equal_adults_18plus,raw,india_g3plus_race,selected_noncash_total,49,131001.070245,151.083368,58.269267,-91.977315,58.150515
equal_adults_18plus,raw,india_g3plus_race,cash_noncash_tax_balance,49,131001.070245,25619.176669,9890.127305,11210.186666,9892.537720
equal_adults_18plus,raw,india_g3plus_race,k12_charged,49,131001.070245,2810.111988,829.074870,-690.569562,830.910458
equal_adults_18plus,raw,india_g3plus_race,extended_balance_base,49,131001.070245,31650.236730,11356.481794,13550.977353,11365.024586
equal_adults_18plus,raw,india_g3plus_race,health_age_birth,49,131001.070245,2621.062941,180.015743,-524.583366,181.573000
equal_adults_18plus,raw,india_g3plus_race,extended_balance_after_health,49,131001.070245,29029.173789,11335.606112,14075.560720,11346.035195
equal_adults_18plus,raw,india_g3plus_race,children_5_17,49,131001.070245,0.206609,0.062866,-0.046058,0.062890
