check,spec,outcome,published,published_se,ex_admin,ex_admin_se,n
lsc_share_arm,B_share_unwtd,police,0.0443,0.1509,0.3374,0.2893,3126
lsc_share_arm,B_share_unwtd,judicial,0.4035,0.1526,0.7187,0.31,3126
lsc_share_arm,B_share_unwtd,law_order,0.4884,0.2758,1.1125,0.403,3126
lsc_share_arm,B_unwtd_2012_2017,education,2.2795,0.9214,2.145,1.0041,3126
lsc_share_arm,B_unwtd_2012_2017,police,0.0116,0.2412,0.3666,0.4292,3126
lsc_share_arm,B_unwtd_2012_2017,judicial,0.5304,0.349,0.9109,0.5778,3126
lsc_share_arm,B_unwtd_2012_2017,law_order,0.5653,0.3686,1.3001,0.7613,3126
lsc_share_arm,B_unwtd_2017_2022,education,0.1687,1.6595,0.1706,1.7709,3126
lsc_share_arm,B_unwtd_2017_2022,police,-0.1441,0.3379,-0.145,0.3805,3126
lsc_share_arm,B_unwtd_2017_2022,judicial,0.0261,0.0662,0.0418,0.0707,3126
lsc_share_arm,B_unwtd_2017_2022,law_order,-0.2742,0.4111,-0.2522,0.449,3126
lsc_share_arm,B_unwtd_trim,education,2.5787,1.6087,3.03,1.6733,2386
lsc_share_arm,B_unwtd_trim,police,-0.5049,0.2901,-0.5206,0.3208,2375
lsc_share_arm,B_unwtd_trim,judicial,-0.1087,0.129,-0.1424,0.1393,2378
lsc_share_arm,B_unwtd_trim,law_order,-0.7501,0.4651,-0.8249,0.5259,2380
lsc_share_arm,B_unwtd_no_FL_NY_IL_PA,education,0.2892,1.0134,0.3872,0.9972,2832
lsc_share_arm,B_unwtd_no_FL_NY_IL_PA,police,0.0842,0.1508,0.3864,0.2829,2832
lsc_share_arm,B_unwtd_no_FL_NY_IL_PA,judicial,0.4448,0.1339,0.7785,0.2918,2832
lsc_share_arm,B_unwtd_no_FL_NY_IL_PA,law_order,0.6369,0.3024,1.2905,0.3483,2832
