window,outcome,weighted,industry,alpha,beta_k,national_growth,national_emp0,mean_share,rank
1222,admin,True,521///,0.00374531,-15.7131,-0.580085,17489.2,1.74896e-05,50
1222,admin,True,522///,0.00109236,47.2422,0.0577074,2.7782e+06,0.0266703,57
1222,admin,True,523///,-0.0125017,-30.0667,0.100659,901209,0.00232873,29
1222,admin,True,524///,0.0415391,-4.44732,0.257849,2.27793e+06,0.0106747,14
1222,admin,True,525///,0.000253674,-12.8174,0.706813,4550.59,1.12744e-05,65
1222,admin,True,531///,0.0105176,22.5017,0.25685,1.43141e+06,0.0075595,34
1222,admin,True,532///,-0.00014428,11.4031,0.0126157,481396,0.00351447,69
1222,admin,True,533///,-0.00019791,-0.632034,0.0597977,32309.9,9.69311e-05,68
1222,admin,True,541///,0.00409782,-16.9145,0.267767,8.00744e+06,0.0340957,48
1222,admin,True,551///,0.0227999,-11.818,0.198073,3.03479e+06,0.00866097,22
1222,admin,True,561///,0.0338636,-32.8771,0.379047,9.49625e+06,0.0345421,17
1222,admin,True,562///,0.0057673,-3.62375,0.266748,368271,0.00445301,45
1222,admin,True,611///,-0.0223048,-6.08373,0.0714449,3.47434e+06,0.0178735,23
1222,admin,True,621///,-0.0413231,4.20814,0.308576,6.41898e+06,0.0472794,15
1222,admin,True,622///,0.0847558,-0.814163,-0.102709,5.79551e+06,0.0531963,4
1222,admin,True,623///,0.0155515,0.642567,-0.0491101,3.31813e+06,0.0490597,24
1222,admin,True,624///,-0.0489168,-4.34396,0.196272,2.84375e+06,0.0283456,9
1222,admin,True,711///,-0.00414304,-21.116,0.137695,440189,0.00155103,47
1222,admin,True,712///,0.000650391,-9.86541,-0.0294492,137362,0.00102774,61
1222,admin,True,713///,0.0410167,-0.365046,0.120774,1.48031e+06,0.0125717,16
1222,admin,True,721///,-0.00403176,9.86645,-0.0769682,1.93575e+06,0.0212065,49
1222,admin,True,722///,0.165559,0.821432,0.193249,1.00488e+07,0.08636,3
1222,admin,True,811///,0.0124734,-5.91918,0.143736,1.1803e+06,0.0122167,30
1222,admin,True,812///,0.00590176,-1.84402,0.121953,1.32702e+06,0.00806717,44
1222,admin,True,813///,-0.00100605,63.3271,-0.0450705,2.74945e+06,0.0272644,58
1222,admin,False,113///,0.00583922,10.6111,-0.144958,53979.8,0.00397377,39
1222,admin,False,114///,0.000304496,-26.3234,-0.388617,8173.27,0.000196794,65
1222,admin,False,115///,-0.000346945,5.45107,0.00468212,101662,0.00365417,64
1222,admin,False,211///,0.009656,-36.667,-0.357804,125620,0.00305625,33
1222,admin,False,212///,0.161573,2.6641,-0.375648,203358,0.00939846,3
1222,admin,False,213///,0.117544,7.02051,-0.379087,399473,0.0100873,5
1222,admin,False,221///,-0.000958464,-0.126132,-0.0310614,639530,0.0114911,59
1222,admin,False,236///,0.136831,1.30275,0.510496,1.04108e+06,0.0111858,4
1222,admin,False,237///,0.0129628,10.3649,0.173537,849885,0.0110412,29
1222,admin,False,238///,0.251501,0.168915,0.415848,3.36991e+06,0.0322976,1
1222,admin,False,311///,-0.059785,0.315883,0.106344,1.41391e+06,0.0251758,11
1222,admin,False,312///,0.013331,5.39802,0.73474,151957,0.00135992,28
1222,admin,False,313///,0.0277055,-7.43949,-0.495977,106946,0.0023303,20
1222,admin,False,314///,0.0136695,-2.05341,-0.265447,112033,0.00194764,27
1222,admin,False,315///,0.00253312,-12.4005,-0.513311,112743,0.00128953,52
1222,admin,False,316///,0.0050388,-0.14317,-0.510899,28074,0.000477079,41
1222,admin,False,321///,-0.0126377,10.9708,0.198352,342423,0.012945,30
1222,admin,False,322///,0.0428331,0.726376,-0.289021,356511,0.00552025,13
1222,admin,False,323///,-0.0079664,3.57322,-0.203479,471316,0.00343549,36
1222,admin,False,324///,0.00354508,10.6004,-0.27029,98644.7,0.0009783,46
1222,admin,False,325///,-0.0108183,-5.66206,0.133653,735069,0.00804208,31
1222,admin,False,326///,0.00158232,6.09708,0.0303074,699737,0.00966229,57
1222,admin,False,327///,0.0042055,2.8939,0.0903,346408,0.00582394,44
1222,admin,False,331///,0.0212094,-5.34814,-0.353281,395155,0.0057453,23
1222,admin,False,332///,0.00328901,-0.396912,0.0145068,1.37853e+06,0.0160326,47
1222,admin,False,333///,0.00393703,6.71182,-0.0354327,1.04486e+06,0.0143909,45
1222,admin,False,334///,-0.00559975,0.391086,-0.114776,850146,0.00370146,40
1222,admin,False,335///,0.0064423,-4.27821,-0.202084,336439,0.00377713,37
1222,admin,False,336///,0.036465,2.28891,0.174959,1.3064e+06,0.0149871,15
1222,admin,False,337///,-0.00159393,0.203873,-0.00801649,343579,0.00508295,56
1222,admin,False,339///,-0.0029575,-2.98035,-0.052714,562921,0.00478547,50
1222,admin,False,423///,-0.00459339,-5.82512,0.0851684,3.27369e+06,0.0207076,43
1222,admin,False,424///,-0.0105675,-1.16934,0.0548604,2.20817e+06,0.0216847,32
1222,admin,False,425///,-0.00324415,3.23966,-0.192714,295645,0.00230881,49
1222,admin,False,44_pooled,0.0338504,-0.431298,0.0707825,1.48099e+07,0.157906,17
1222,admin,False,481///,-0.00191016,-0.402208,0.130992,426899,0.000642975,55
1222,admin,False,483///,0.00221732,8.26156,-0.23085,69256.9,0.000367214,54
1222,admin,False,484///,-0.00129913,-97.1337,0.284932,1.3462e+06,0.0218512,58
1222,admin,False,485///,0.000242709,13.077,-0.120254,464018,0.0030189,66
1222,admin,False,486///,0.00325614,31.4738,-0.303932,50362.9,0.00143393,48
1222,admin,False,487///,-0.000380631,-1.10924,-0.101006,23409.5,0.000148258,62
1222,admin,False,488///,-0.0269029,1.35812,0.284264,641065,0.00369472,21
1222,admin,False,492///,-0.0304971,-4.33119,1.20683,525703,0.0018563,19
1222,admin,False,493///,0.106922,0.138354,0.799228,688180,0.00627048,6
1222,admin,False,51_pooled,-0.0142732,0.405254,0.135838,3.13802e+06,0.015268,26
1222,admin,False,521///,-0.000226744,10.9267,-0.580085,17489.2,1.74896e-05,67
1222,admin,False,522///,0.000847594,23.2391,0.0577074,2.7782e+06,0.0266703,60
1222,admin,False,523///,-0.00584359,24.8466,0.100659,901209,0.00232873,38
1222,admin,False,524///,-0.00258557,14.5582,0.257849,2.27793e+06,0.0106747,51
1222,admin,False,525///,1.45655e-05,-48.8433,0.706813,4550.59,1.12744e-05,70
1222,admin,False,531///,0.031487,2.70071,0.25685,1.43141e+06,0.0075595,18
1222,admin,False,532///,-0.000349095,0.148492,0.0126157,481396,0.00351447,63
1222,admin,False,533///,1.71627e-05,11.61,0.0597977,32309.9,9.69311e-05,69
1222,admin,False,541///,0.0751663,-0.80021,0.267767,8.00744e+06,0.0340957,9
1222,admin,False,551///,0.000184871,79.5504,0.198073,3.03479e+06,0.00866097,68
1222,admin,False,561///,-0.0618333,7.95691,0.379047,9.49625e+06,0.0345421,10
1222,admin,False,562///,0.00831343,13.9667,0.266748,368271,0.00445301,35
1222,admin,False,611///,-0.0164669,-0.263793,0.0714449,3.47434e+06,0.0178735,24
1222,admin,False,621///,-0.0948032,0.0966133,0.308576,6.41898e+06,0.0472794,7
1222,admin,False,622///,0.0829664,0.448103,-0.102709,5.79551e+06,0.0531963,8
1222,admin,False,623///,0.0233451,0.308755,-0.0491101,3.31813e+06,0.0490597,22
1222,admin,False,624///,-0.0487799,2.91111,0.196272,2.84375e+06,0.0283456,12
1222,admin,False,711///,0.00485468,3.37338,0.137695,440189,0.00155103,42
1222,admin,False,712///,-0.000628343,4.18033,-0.0294492,137362,0.00102774,61
1222,admin,False,713///,0.0348305,2.11219,0.120774,1.48031e+06,0.0125717,16
1222,admin,False,721///,-0.0364835,2.54951,-0.0769682,1.93575e+06,0.0212065,14
1222,admin,False,722///,0.165578,2.36637,0.193249,1.00488e+07,0.08636,2
1222,admin,False,811///,0.0146124,0.50297,0.143736,1.1803e+06,0.0122167,25
1222,admin,False,812///,0.00237675,-3.1912,0.121953,1.32702e+06,0.00806717,53
1222,admin,False,813///,-0.00874939,1.08073,-0.0450705,2.74945e+06,0.0272644,34
0717,admin,True,113///,0.0405566,-0.910715,-0.235475,65006.8,0.00424916,23
0717,admin,True,114///,0.0020368,3.25478,-0.352244,7840.91,0.000247711,73
0717,admin,True,115///,0.00121312,7.85941,-0.0961101,102563,0.00305424,79
0717,admin,True,211///,0.00158649,-2.54452,-0.263924,141528,0.00260642,77
0717,admin,True,212///,0.117955,-1.27279,-0.372756,217225,0.00911144,8
0717,admin,True,213///,0.0174261,-2.37721,-0.154082,341832,0.00777315,42
0717,admin,True,221///,-0.000974935,-0.658266,0.00614301,623709,0.0106745,80
0717,admin,True,236///,-0.0866272,0.10022,-0.208912,1.67312e+06,0.0159003,13
0717,admin,True,237///,-0.0157843,2.32596,-0.0718998,1.01629e+06,0.0120677,45
0717,admin,True,238///,-0.102699,-0.447145,-0.0720281,4.57976e+06,0.0368336,10
0717,admin,True,311///,-0.0167216,1.87052,0.0393576,1.44089e+06,0.0242989,43
0717,admin,True,312///,0.00373982,7.02259,0.334577,156235,0.00129559,66
0717,admin,True,313///,0.177575,0.0356823,-0.594203,164976,0.00335643,4
0717,admin,True,314///,0.064817,-0.842568,-0.426217,152897,0.00223312,18
0717,admin,True,315///,0.182861,-0.223322,-0.610823,199138,0.00242573,3
0717,admin,True,316///,0.014289,-2.6894,-0.597789,37597.5,0.000483827,47
0717,admin,True,321///,0.148749,0.645479,-0.269966,530759,0.0172513,6
0717,admin,True,322///,0.107019,0.786116,-0.395333,425180,0.00574999,9
0717,admin,True,323///,-0.0203776,-2.87065,-0.302781,631768,0.00405391,39
0717,admin,True,324///,0.00844954,11.8116,-0.228643,104298,0.00106284,58
0717,admin,True,325///,0.0159786,5.45081,-0.0839756,791378,0.007669,44
0717,admin,True,326///,0.0288556,2.7102,-0.183786,857229,0.0113054,30
0717,admin,True,327///,-0.00577053,-3.46837,-0.205087,473652,0.00686056,62
0717,admin,True,331///,0.0790773,-0.462692,-0.34341,437685,0.00612692,16
0717,admin,True,332///,0.0408757,2.05795,-0.109872,1.56685e+06,0.0172782,22
0717,admin,True,333///,0.0220551,2.49151,-0.122811,1.13519e+06,0.0144158,35
0717,admin,True,334///,-0.080661,-0.728819,-0.263543,1.04375e+06,0.00424956,15
0717,admin,True,335///,0.0382448,-0.716766,-0.346969,408636,0.00488176,25
0717,admin,True,336///,0.0212581,2.52878,-0.0800701,1.56927e+06,0.0169189,37
0717,admin,True,337///,0.0364342,0.725633,-0.323478,517326,0.00729329,26
0717,admin,True,339///,0.0216509,0.563845,-0.209601,682155,0.00560709,36
0717,admin,True,423///,0.00371059,-6.54051,0.0177727,3.39549e+06,0.0193874,67
0717,admin,True,424///,-0.0139962,3.43992,0.0589538,2.2278e+06,0.0204682,49
0717,admin,True,425///,-0.0140514,-1.5183,-0.179997,342458,0.00237195,48
0717,admin,True,441///,0.00148064,-3.21353,0.0391276,1.93818e+06,0.0190517,78
0717,admin,True,442///,-0.0311951,-0.544351,-0.238913,597561,0.00369591,27
0717,admin,True,443///,-0.0311098,-0.752224,-0.373887,502951,0.00275512,28
0717,admin,True,444///,-0.0114374,-0.17383,-0.0527582,1.37425e+06,0.0168463,52
0717,admin,True,445///,-0.0109581,0.731073,0.0829856,2.8841e+06,0.0341246,53
0717,admin,True,446///,0.00184397,1.42062,-0.0606485,1.07102e+06,0.0094563,75
0717,admin,True,447///,-0.0191169,-0.629813,0.0606439,888737,0.0236403,41
0717,admin,True,448///,0.0206949,0.347964,0.0638228,1.64913e+06,0.00717474,38
0717,admin,True,451///,-0.0300848,0.794783,-0.172921,641812,0.00333811,29
0717,admin,True,452///,-0.0156643,0.326036,-0.0641185,2.88543e+06,0.0274008,46
0717,admin,True,453///,-0.00708035,0.614358,-0.0743219,815769,0.00692251,60
0717,admin,True,454///,0.00687679,-7.82335,0.476685,512833,0.00510183,61
0717,admin,True,481///,0.00160365,-6.2941,-0.0401062,478766,0.00074301,76
0717,admin,True,483///,0.00869226,4.92278,-0.207531,68782.8,0.000480785,57
0717,admin,True,484///,0.00298409,-1.76905,-0.013448,1.4775e+06,0.0210883,69
0717,admin,True,485///,0.000607462,-29.5513,0.110802,441716,0.00276001,82
0717,admin,True,486///,-0.000451397,1.27275,0.00762306,42976.3,0.00111346,85
0717,admin,True,487///,-0.000823247,6.20294,-0.070162,28560.2,0.000155132,81
0717,admin,True,488///,-0.0282378,1.89207,0.16211,612203,0.00319592,32
0717,admin,True,492///,-0.00284407,-1.48829,0.0857803,569213,0.00192912,70
0717,admin,True,493///,0.0523208,-0.793987,0.284287,676225,0.00584894,19
0717,admin,True,511///,-0.00924374,-2.36648,-0.0407578,1.03282e+06,0.00532787,56
0717,admin,True,512///,-0.0228691,-0.555831,0.000176871,321620,0.0010767,34
0717,admin,True,515///,0.012609,-1.08997,-0.162158,294603,0.00143718,51
0717,admin,True,517///,-0.013323,0.738333,-0.111123,1.20095e+06,0.00679234,50
0717,admin,True,518///,0.026829,-0.116915,0.146544,447284,0.00151395,33
0717,admin,True,519///,-0.00939337,-20.95,4.43708,54855.2,0.00032012,55
0717,admin,True,51_pooled,-0.000582069,77.1009,-1,47240.7,6.96071e-05,83
0717,admin,True,521///,0.00412646,-2.92243,-0.733618,20053.9,2.66502e-05,64
0717,admin,True,522///,-0.0197978,6.56655,-0.106227,3.2242e+06,0.0275237,40
0717,admin,True,523///,-0.00475022,10.4873,-0.0436868,943553,0.00188923,63
0717,admin,True,524///,0.0388626,2.07335,0.114994,2.32738e+06,0.0108626,24
0717,admin,True,525///,-0.00950364,-0.721487,-0.903344,33541.7,6.40014e-05,54
0717,admin,True,531///,0.00837162,-0.112383,0.0309586,1.55725e+06,0.00802626,59
0717,admin,True,532///,0.00223562,12.5075,-0.219958,638871,0.00438296,72
0717,admin,True,533///,0.00047326,3.74932,0.0773451,31855.2,8.82264e-05,84
0717,admin,True,541///,0.0744772,-1.99181,0.0884628,8.18185e+06,0.0342015,17
0717,admin,True,551///,0.0444414,0.118292,0.102023,3.11998e+06,0.00877903,21
0717,admin,True,561///,0.0836884,-0.609831,0.193147,9.62816e+06,0.0338683,14
0717,admin,True,562///,0.00394827,1.81488,0.11276,355436,0.00371229,65
0717,admin,True,611///,-0.0468752,-8.43119,0.20864,3.03693e+06,0.0156933,20
0717,admin,True,621///,-0.183038,1.85478,0.274546,5.81069e+06,0.0419495,2
0717,admin,True,622///,0.131142,-0.872154,-0.0946543,5.47439e+06,0.0491465,7
0717,admin,True,623///,-0.149506,0.232233,0.139765,3.04651e+06,0.0447718,5
0717,admin,True,624///,-0.1006,-2.56428,0.345529,2.46082e+06,0.0247051,11
0717,admin,True,711///,0.000251683,247.085,0.153949,437161,0.00160601,87
0717,admin,True,712///,-0.00191228,-7.05037,0.118597,128739,0.000953843,74
0717,admin,True,713///,0.0877022,1.60959,0.178116,1.44446e+06,0.013381,12
0717,admin,True,721///,0.0285061,-0.319588,0.101742,1.90732e+06,0.0197738,31
0717,admin,True,722///,0.276061,1.52333,0.239435,9.65747e+06,0.083662,1
0717,admin,True,811///,-0.00232224,1.67015,-0.0301267,1.32264e+06,0.0123137,71
0717,admin,True,812///,0.00354544,-0.364956,0.0576763,1.38044e+06,0.00853695,68
0717,admin,True,813///,-0.000407066,10.3917,-0.0109871,2.81696e+06,0.0268342,86
0717,admin,False,113///,0.0682384,-2.5452,-0.235475,65006.8,0.00424916,23
0717,admin,False,114///,-0.000994053,45.5109,-0.352244,7840.91,0.000247711,80
0717,admin,False,115///,0.0143834,0.365181,-0.0961101,102563,0.00305424,54
0717,admin,False,211///,-0.097917,-0.136218,-0.263924,141528,0.00260642,19
0717,admin,False,212///,0.493306,1.76367,-0.372756,217225,0.00911144,1
0717,admin,False,213///,-0.109049,3.72378,-0.154082,341832,0.00777315,17
0717,admin,False,221///,-0.0012676,8.94917,0.00614301,623709,0.0106745,79
0717,admin,False,236///,-0.198787,0.338135,-0.208912,1.67312e+06,0.0159003,10
0717,admin,False,237///,-0.0280048,0.92309,-0.0718998,1.01629e+06,0.0120677,34
0717,admin,False,238///,-0.212756,0.17734,-0.0720281,4.57976e+06,0.0368336,9
0717,admin,False,311///,-0.0206682,6.72055,0.0393576,1.44089e+06,0.0242989,41
0717,admin,False,312///,0.0184752,-11.6516,0.334577,156235,0.00129559,47
0717,admin,False,313///,0.281865,0.213097,-0.594203,164976,0.00335643,7
0717,admin,False,314///,0.0837898,-2.22649,-0.426217,152897,0.00223312,20
0717,admin,False,315///,0.151732,-2.67232,-0.610823,199138,0.00242573,13
0717,admin,False,316///,0.0148543,-7.25896,-0.597789,37597.5,0.000483827,53
0717,admin,False,321///,0.32159,2.24653,-0.269966,530759,0.0172513,5
0717,admin,False,322///,0.242056,0.546957,-0.395333,425180,0.00574999,8
0717,admin,False,323///,-0.0278143,0.19544,-0.302781,631768,0.00405391,35
0717,admin,False,324///,-0.0161113,-16.2244,-0.228643,104298,0.00106284,50
0717,admin,False,325///,0.0258548,9.2338,-0.0839756,791378,0.007669,38
0717,admin,False,326///,0.0483987,5.54667,-0.183786,857229,0.0113054,28
0717,admin,False,327///,0.0353317,10.6614,-0.205087,473652,0.00686056,31
0717,admin,False,331///,0.082166,-0.305481,-0.34341,437685,0.00612692,21
0717,admin,False,332///,-0.00935885,-6.45159,-0.109872,1.56685e+06,0.0172782,58
0717,admin,False,333///,0.0809915,4.91649,-0.122811,1.13519e+06,0.0144158,22
0717,admin,False,334///,-0.11342,3.0087,-0.263543,1.04375e+06,0.00424956,16
0717,admin,False,335///,0.0626527,0.387154,-0.346969,408636,0.00488176,26
0717,admin,False,336///,-0.00885022,-3.44384,-0.0800701,1.56927e+06,0.0169189,59
0717,admin,False,337///,-0.126789,-0.0980185,-0.323478,517326,0.00729329,15
0717,admin,False,339///,0.0224891,-20.0545,-0.209601,682155,0.00560709,39
0717,admin,False,423///,0.0050814,-0.062927,0.0177727,3.39549e+06,0.0193874,68
0717,admin,False,424///,-0.0193895,1.7254,0.0589538,2.2278e+06,0.0204682,45
0717,admin,False,425///,-0.0184999,1.04104,-0.179997,342458,0.00237195,46
0717,admin,False,441///,0.00279521,20.9115,0.0391276,1.93818e+06,0.0190517,72
0717,admin,False,442///,-0.0394898,-0.167587,-0.238913,597561,0.00369591,29
0717,admin,False,443///,-0.0169761,4.89047,-0.373887,502951,0.00275512,49
0717,admin,False,444///,-0.0176256,2.63682,-0.0527582,1.37425e+06,0.0168463,48
0717,admin,False,445///,-0.0194959,-21.8598,0.0829856,2.8841e+06,0.0341246,44
0717,admin,False,446///,0.00785059,-2.47596,-0.0606485,1.07102e+06,0.0094563,61
0717,admin,False,447///,-0.0308521,-0.813082,0.0606439,888737,0.0236403,33
0717,admin,False,448///,0.0196819,2.6871,0.0638228,1.64913e+06,0.00717474,43
0717,admin,False,451///,-0.0377238,3.24882,-0.172921,641812,0.00333811,30
0717,admin,False,452///,0.0126325,-4.23555,-0.0641185,2.88543e+06,0.0274008,56
0717,admin,False,453///,-0.0128833,0.355321,-0.0743219,815769,0.00692251,55
0717,admin,False,454///,0.0317392,10.489,0.476685,512833,0.00510183,32
0717,admin,False,481///,-0.00291394,-1.39431,-0.0401062,478766,0.00074301,71
0717,admin,False,483///,0.00270865,-0.587641,-0.207531,68782.8,0.000480785,73
0717,admin,False,484///,0.00265042,-11.6647,-0.013448,1.4775e+06,0.0210883,75
0717,admin,False,485///,0.00666229,4.74205,0.110802,441716,0.00276001,63
0717,admin,False,486///,-0.000407963,30.7827,0.00762306,42976.3,0.00111346,86
0717,admin,False,487///,-0.000678704,4.32156,-0.070162,28560.2,0.000155132,83
0717,admin,False,488///,-0.0268625,3.95088,0.16211,612203,0.00319592,36
0717,admin,False,492///,-0.00266744,7.94173,0.0857803,569213,0.00192912,74
0717,admin,False,493///,0.0198095,0.755888,0.284287,676225,0.00584894,42
0717,admin,False,511///,-0.00219255,-3.39429,-0.0407578,1.03282e+06,0.00532787,77
0717,admin,False,512///,-0.000730005,-0.187565,0.000176871,321620,0.0010767,82
0717,admin,False,515///,0.00611215,2.31262,-0.162158,294603,0.00143718,64
0717,admin,False,517///,0.0265854,-0.177909,-0.111123,1.20095e+06,0.00679234,37
0717,admin,False,518///,0.00559114,-7.31544,0.146544,447284,0.00151395,66
0717,admin,False,519///,-0.0647225,-2.42217,4.43708,54855.2,0.00032012,25
0717,admin,False,51_pooled,0.000295833,36.9948,-1,47240.7,6.96071e-05,87
0717,admin,False,521///,0.000517388,28.1611,-0.733618,20053.9,2.66502e-05,85
0717,admin,False,522///,-0.00381937,82.4147,-0.106227,3.2242e+06,0.0275237,70
0717,admin,False,523///,-0.00231409,0.288724,-0.0436868,943553,0.00188923,76
0717,admin,False,524///,-0.00562107,-6.49836,0.114994,2.32738e+06,0.0108626,65
0717,admin,False,525///,-0.00433265,-2.14598,-0.903344,33541.7,6.40014e-05,69
0717,admin,False,531///,0.0149832,1.33279,0.0309586,1.55725e+06,0.00802626,52
0717,admin,False,532///,-0.00868455,4.84041,-0.219958,638871,0.00438296,60
0717,admin,False,533///,0.000602899,0.231799,0.0773451,31855.2,8.82264e-05,84
0717,admin,False,541///,0.105604,-0.139483,0.0884628,8.18185e+06,0.0342015,18
0717,admin,False,551///,0.0103774,-1.94147,0.102023,3.11998e+06,0.00877903,57
0717,admin,False,561///,0.0673913,0.356053,0.193147,9.62816e+06,0.0338683,24
0717,admin,False,562///,0.021018,2.29686,0.11276,355436,0.00371229,40
0717,admin,False,611///,-0.0571378,-2.62475,0.20864,3.03693e+06,0.0156933,27
0717,admin,False,621///,-0.372168,-0.160488,0.274546,5.81069e+06,0.0419495,3
0717,admin,False,622///,0.196247,-0.0367385,-0.0946543,5.47439e+06,0.0491465,11
0717,admin,False,623///,-0.296248,-0.599983,0.139765,3.04651e+06,0.0447718,6
0717,admin,False,624///,-0.332271,0.174254,0.345529,2.46082e+06,0.0247051,4
0717,admin,False,711///,0.0156676,2.18577,0.153949,437161,0.00160601,51
0717,admin,False,712///,0.00747996,-1.39593,0.118597,128739,0.000953843,62
0717,admin,False,713///,0.133069,-0.419757,0.178116,1.44446e+06,0.013381,14
0717,admin,False,721///,0.180458,-0.665588,0.101742,1.90732e+06,0.0197738,12
0717,admin,False,722///,0.420831,-2.55244,0.239435,9.65747e+06,0.083662,2
0717,admin,False,811///,-0.00527408,6.77607,-0.0301267,1.32264e+06,0.0123137,67
0717,admin,False,812///,0.00199195,19.1321,0.0576763,1.38044e+06,0.00853695,78
0717,admin,False,813///,-0.000839975,15.656,-0.0109871,2.81696e+06,0.0268342,81
0712,admin,True,113///,-0.619435,-2.27172,-0.169628,65006.8,0.00425001,21
0712,admin,True,114///,0.00994013,0.299527,0.0423874,7840.91,0.000248505,81
0712,admin,True,115///,0.00552958,3.98722,-0.00878072,102563,0.00305429,83
0712,admin,True,211///,0.0585278,-0.577396,-0.112399,141528,0.0026039,70
0712,admin,True,212///,-0.33103,-5.27454,-0.0638386,217225,0.00910262,34
0712,admin,True,213///,0.283897,-15.8645,0.168625,341832,0.00776562,36
0712,admin,True,221///,0.100592,-3.05027,0.0253649,623709,0.0106862,56
0712,admin,True,236///,2.40833,1.03359,-0.37776,1.67312e+06,0.0159184,4
0712,admin,True,237///,0.531962,7.00484,-0.163737,1.01629e+06,0.0120733,23
0712,admin,True,238///,6.30692,0.0892352,-0.264173,4.57976e+06,0.0368208,1
0712,admin,True,311///,-0.0767361,6.40083,-0.0187276,1.44089e+06,0.0244926,65
0712,admin,True,312///,0.000756916,142.324,-0.0273863,156235,0.00129433,86
0712,admin,True,313///,-2.39658,0.0619401,-0.351752,164976,0.00336919,5
0712,admin,True,314///,-0.926274,-0.861953,-0.267269,152897,0.00223141,15
0712,admin,True,315///,-2.96921,0.166689,-0.433844,199138,0.002426,3
0712,admin,True,316///,-0.110239,-6.2196,-0.253303,37597.5,0.00048551,52
0712,admin,True,321///,-5.02884,0.0985311,-0.354843,530759,0.017239,2
0712,admin,True,322///,-0.947648,0.747505,-0.161505,425180,0.00574442,14
