window,outcome,sample,weighted,method,instruments,controls,n,clusters,note,beta,se,ci_lo,ci_hi,fs_coef,fs_se,F_eff,F_robust,rf_coef,rf_se,ar_type,ar_lo,ar_hi,ar_pieces,J,J_p,beta_gmm
1222,admin,drop areas without a county government,True,2SLS,bartik,lnpop0,3011,47,,-0.235578,0.670608,-1.54997,1.07881,0.788638,0.118293,44.4462,44.4462,-0.185785,0.531316,interval,-1.58484,1.16593,,,,
1222,admin,drop areas without a county government,True,2SLS,imm,lnpop0,3011,47,,2.09429,0.713862,0.695125,3.49346,-0.835667,0.162215,26.5391,26.5391,-1.75013,0.801236,interval,0.296731,3.36764,,,,
1222,admin,drop areas without a county government,True,2SLS,imm_nomex,lnpop0,3011,47,,1.95554,0.696232,0.590929,3.32016,-0.930711,0.141755,43.1076,43.1076,-1.82005,0.769963,interval,0.401129,3.27069,,,,
1222,admin,drop areas without a county government,True,2SLS,imm_mex,lnpop0,3011,47,,0.450475,1.29368,-2.08513,2.98608,8.35537,2.70736,9.52446,9.52446,3.76388,11.6063,interval,-4.91205,2.45976,,,,
1222,admin,drop areas without a county government,True,2SLS,bartik+imm,lnpop0,3011,47,,0.708703,0.719271,-0.701069,2.11848,0.746734;-0.770513,0.10865;0.135719,41.6499,30.6809,-0.282304;-1.77476,0.52699;0.832514,interval,-0.2,1.551,"[[-0.19999999999806306, 1.5510000000025217]]",1.91808,0.166069,0.216188
1222,admin,drop areas without a county government,True,2SLS,bartik+imm_nomex,lnpop0,3011,47,,0.765225,0.716153,-0.638435,2.16889,0.74031;-0.862877,0.107477;0.111212,55.6705,47.0742,-0.289205;-1.84655,0.527478;0.799727,interval,-0.083,1.557,"[[-0.08299999999802399, 1.5570000000025237]]",2.11223,0.146127,0.255154
1222,admin,drop areas without a county government,False,OLS,,lnpop0,3011,47,,0.728134,0.110709,0.511144,0.945123,,,,,,,,,,,,,
1222,admin,drop areas without a county government,False,2SLS,bartik,lnpop0,3011,47,,1.09398,0.554174,0.00779404,2.18016,0.295044,0.0406929,52.5696,52.5696,0.322771,0.160269,interval,0.0298086,2.28998,,,,
1222,admin,drop areas without a county government,False,2SLS,imm,lnpop0,3011,47,,-0.510018,1.24643,-2.95302,1.93298,-0.72717,0.213849,11.5626,11.5626,0.37087,0.891137,interval,-3.94754,2.08989,,,,
1222,admin,drop areas without a county government,False,2SLS,imm_nomex,lnpop0,3011,47,,0.259917,0.963867,-1.62926,2.1491,-1.09379,0.277827,15.4996,15.4996,-0.284295,1.08221,interval,-2.41132,2.03619,,,,
1222,admin,drop areas without a county government,False,2SLS,imm_mex,lnpop0,3011,47,,1.94997,1.3228,-0.642719,4.54266,4.28219,0.580312,54.4514,54.4514,8.35015,5.6145,interval,-0.634788,4.74791,,,,
1222,admin,drop areas without a county government,False,2SLS,bartik+imm,lnpop0,3011,47,,0.865167,0.503187,-0.12108,1.85141,0.296069;-0.742357,0.0416105;0.205728,35.5359,28.4287,0.322281;0.354339,0.160385;0.884686,interval,-0.239,2.007,"[[-0.23899999999807608, 2.007000000002674]]",1.22381,0.268614,0.812015
1222,admin,drop areas without a county government,False,2SLS,bartik+imm_nomex,lnpop0,3011,47,,0.871233,0.468327,-0.0466886,1.78915,0.298047;-1.12435,0.0413853;0.265589,33.5999,51.5505,0.323619;-0.317473,0.159852;1.08266,interval,-0.178,1.896,"[[-0.1779999999980557, 1.896000000002637]]",0.531561,0.465951,0.86935
1222,admin,trim 1% tails of outcome change,True,OLS,,lnpop0,3031,48,,0.539488,0.197105,0.153161,0.925814,,,,,,,,,,,,,
1222,admin,trim 1% tails of outcome change,True,2SLS,bartik,lnpop0,3031,48,,-0.575317,0.665707,-1.8801,0.729469,0.794479,0.112244,50.0997,50.0997,-0.457077,0.540296,interval,-1.88798,0.829287,,,,
1222,admin,trim 1% tails of outcome change,True,2SLS,imm,lnpop0,3031,48,,1.69131,0.722816,0.27459,3.10803,-0.735,0.176016,17.437,17.437,-1.24311,0.704818,interval,-0.288047,2.99179,,,,
1222,admin,trim 1% tails of outcome change,True,2SLS,imm_nomex,lnpop0,3031,48,,1.57974,0.677538,0.251769,2.90772,-0.821583,0.151497,29.4101,29.4101,-1.29789,0.680155,interval,-0.055948,2.81983,,,,
1222,admin,trim 1% tails of outcome change,True,2SLS,imm_mex,lnpop0,3031,48,,0.44515,1.31353,-2.12937,3.01967,8.10857,2.72717,8.84021,8.84021,3.60953,11.4316,interval,-5.26686,2.4972,,,,
1222,admin,trim 1% tails of outcome change,True,2SLS,bartik+imm,lnpop0,3031,48,,0.200958,0.630741,-1.03529,1.43721,0.764071;-0.680991,0.107112;0.142926,37.3415,30.1151,-0.514208;-1.27946,0.547307;0.741353,interval,-0.655,1.214,"[[-0.654999999998215, 1.2140000000024092]]",1.58662,0.207809,-0.111167
1222,admin,trim 1% tails of outcome change,True,2SLS,bartik+imm_nomex,lnpop0,3031,48,,0.2711,0.635799,-0.975065,1.51727,0.758915;-0.764722,0.106526;0.111937,51.6395,44.5881,-0.519246;-1.3368,0.54741;0.715927,interval,-0.531,1.228,"[[-0.5309999999981736, 1.2280000000024138]]",1.81532,0.177872,-0.0718751
1222,admin,trim 1% tails of outcome change,False,OLS,,lnpop0,3031,48,,0.576022,0.101999,0.376105,0.775939,,,,,,,,,,,,,
1222,admin,trim 1% tails of outcome change,False,2SLS,bartik,lnpop0,3031,48,,0.0732422,0.584783,-1.07293,1.21942,0.301657,0.0436151,47.8357,47.8357,0.022094,0.176537,interval,-1.13349,1.25691,,,,
1222,admin,trim 1% tails of outcome change,False,2SLS,imm,lnpop0,3031,48,,-0.98252,1.58682,-4.09268,2.12764,-0.533931,0.218921,5.94832,5.94832,0.524598,0.924908,interval,-4.73087,6.30314,,,,
1222,admin,trim 1% tails of outcome change,False,2SLS,imm_nomex,lnpop0,3031,48,,-0.431772,1.05652,-2.50254,1.639,-0.837452,0.29193,8.22931,8.22931,0.361588,0.937507,interval,-2.46978,3.5142,,,,
1222,admin,trim 1% tails of outcome change,False,2SLS,imm_mex,lnpop0,3031,48,,0.607711,0.616855,-0.601325,1.81675,4.87304,1.28026,14.4879,14.4879,2.9614,3.10662,interval,-0.804459,2.01627,,,,
1222,admin,trim 1% tails of outcome change,False,2SLS,bartik+imm,lnpop0,3031,48,,-0.0322534,0.541388,-1.09337,1.02887,0.304267;-0.57555,0.044714;0.19909,30.6984,29.6301,0.0197269;0.521899,0.17661;0.92516,interval,-1.467,1.249,"[[-1.4669999999984862, 1.2490000000024208]]",0.34146,0.558988,-0.065459
1222,admin,trim 1% tails of outcome change,False,2SLS,bartik+imm_nomex,lnpop0,3031,48,,-0.030727,0.504412,-1.01937,0.95792,0.305947;-0.883392,0.044718;0.268035,26.4278,73.0107,0.0203529;0.358532,0.176573;0.938075,interval,-1.337,1.175,"[[-1.3369999999984428, 1.1750000000023961]]",0.160536,0.688664,-0.0484325
1222,admin,all,True,2SLS,bartik,lnpop0+bartik_pay,3093,48,controls for industry-mix pay-per-worker shock,-2.81276,2.12242,-6.97269,1.34718,0.771264,0.126236,37.3282,37.3282,-2.16938,1.58925,interval,-7.57756,1.23558,,,,
1222,admin,all,True,2SLS,bartik,lnpop0+dlninc,3091,48,controls for actual median household income growth (bad control),-0.684741,0.756724,-2.16792,0.798439,0.7825,0.111108,49.5997,49.5997,-0.53581,0.593519,interval,-2.24964,0.838945,,,,
1222,admin,all,True,2SLS,bartik+imm,lnpop0+bartik_pay,3093,48,controls for industry-mix pay-per-worker shock,-3.6391,3.87408,-11.2323,3.9541,0.701061;-0.670687,0.125807;0.123892,33.5542,28.3727,-1.8161;3.37504,1.15182;4.82543,unbounded on grid,-inf,1.16,"[[-6.0, 1.1600000000023911]]",0.146617,0.70179,-2.34924
1222,admin,all,True,2SLS,imm,lnpop0+dlninc,3091,48,controls for actual median household income growth (bad control),1.71852,1.38411,-0.994344,4.43138,-0.856307,0.176724,23.4784,23.4784,-1.47158,1.22632,interval,-1.26035,4.67233,,,,
1222,foreign-born share change,all,True,first stage on foreign-born share (OLS of dfbshare on imm),,lnpop0,3093,48,,0.100006,0.0613689,-0.0202774,0.220289,,,,,,,,,,,,,
1222,foreign-born share change,all,True,first stage on foreign-born share (OLS of dfbshare on imm_nomex),,lnpop0,3093,48,,0.0841307,0.0576435,-0.0288506,0.197112,,,,,,,,,,,,,
1222,admin,all,True,2SLS,bartik_drop5,lnpop0,3093,48,"Bartik without top-5 Rotemberg industries ['238///', '493///', '722///', '622///', '212///']",-5.79262,4.99264,-15.5782,3.99294,0.315695,0.1121,7.93096,7.93096,-1.8287,1.52356,interval,-23.7048,4.57461,,,,
1222,admin,all,True,2SLS,bartik_drop5,lnpop0+share_kept,3093,48,"Bartik without top-5 industries, controls for sum of kept shares",-4.99834,4.40487,-13.6319,3.63521,0.369766,0.123086,9.02484,9.02484,-1.84822,1.5435,interval,-20.0003,3.65213,,,,
1222,admin,all,False,2SLS,bartik,lnpop0+bartik_pay,3093,48,controls for industry-mix pay-per-worker shock,1.08382,0.550288,0.00525293,2.16238,0.274334,0.0408427,45.1162,45.1162,0.297329,0.160813,interval,-0.0727705,2.18319,,,,
1222,admin,all,False,2SLS,bartik,lnpop0+dlninc,3091,48,controls for actual median household income growth (bad control),0.806481,0.57991,-0.330143,1.9431,0.27355,0.0445772,37.6572,37.6572,0.220613,0.166862,interval,-0.443064,1.9578,,,,
1222,admin,all,False,2SLS,bartik+imm,lnpop0+bartik_pay,3093,48,controls for industry-mix pay-per-worker shock,0.418534,0.642225,-0.840227,1.6773,0.274087;-0.717559,0.0409921;0.203179,28.9918,47.4509,0.297843;1.48756,0.1613;1.50513,interval,-0.264,1.961,"[[-0.26399999999808443, 1.9610000000026586]]",2.30699,0.128793,0.869207
1222,admin,all,False,2SLS,imm,lnpop0+dlninc,3091,48,controls for actual median household income growth (bad control),-1.63716,1.60113,-4.77537,1.50105,-0.679842,0.244705,7.71845,7.71845,1.11301,1.23634,interval,-5.23499,3.81216,,,,
1222,foreign-born share change,all,False,first stage on foreign-born share (OLS of dfbshare on imm),,lnpop0,3093,48,,0.22007,0.0609157,0.100675,0.339465,,,,,,,,,,,,,
1222,foreign-born share change,all,False,first stage on foreign-born share (OLS of dfbshare on imm_nomex),,lnpop0,3093,48,,0.195006,0.0537454,0.0896653,0.300347,,,,,,,,,,,,,
1222,admin,all,False,2SLS,bartik_drop5,lnpop0,3093,48,"Bartik without top-5 Rotemberg industries ['238///', '722///', '212///', '236///', '213///']",-4.02818,4.32681,-12.5087,4.45237,0.0777962,0.0493181,2.4883,2.4883,-0.313377,0.229349,two rays,1.63194,19.3366,,,,
1222,admin,all,False,2SLS,bartik_drop5,lnpop0+share_kept,3093,48,"Bartik without top-5 industries, controls for sum of kept shares",-3.14777,3.05232,-9.13032,2.83477,0.112692,0.0502978,5.0198,5.0198,-0.354728,0.263068,interval,-37.9018,1.23921,,,,
1222,admin_judicial,all,True,OLS,,lnpop0,3093,48,,0.240906,0.329725,-0.405356,0.887168,,,,,,,,,,,,,
1222,admin_judicial,all,True,2SLS,bartik,lnpop0,3093,48,,-1.75112,1.34343,-4.38425,0.882009,0.803722,0.104625,59.0121,59.0121,-1.40741,1.0782,interval,-4.5422,0.905869,,,,
1222,admin_judicial,all,True,2SLS,imm,lnpop0,3093,48,,-4.15968,6.24264,-16.3953,8.0759,-0.735507,0.139383,27.8456,27.8456,3.05947,4.24174,interval,-21.1593,6.05594,,,,
1222,admin_judicial,all,True,2SLS,imm_nomex,lnpop0,3093,48,,-3.77614,5.6609,-14.8715,7.31922,-0.806499,0.122531,43.3226,43.3226,3.04545,4.30699,interval,-17.748,5.89189,,,,
1222,admin_judicial,all,True,2SLS,bartik+imm,lnpop0,3093,48,,-2.66155,2.95235,-8.44815,3.12505,0.746714;-0.649661,0.10425;0.127593,40.9413,34.8286,-1.15055;2.9272,0.76439;4.16717,interval,-3.366,0.783,"[[-3.3659999999991204, 0.7830000000022652]]",0.270716,0.602852,-1.23283
1222,admin_judicial,all,False,OLS,,lnpop0,3093,48,,0.63384,0.117411,0.403715,0.863966,,,,,,,,,,,,,
1222,admin_judicial,all,False,2SLS,bartik,lnpop0,3093,48,,0.893863,0.479002,-0.0449805,1.83271,0.291459,0.0423293,47.4103,47.4103,0.260525,0.138209,interval,-0.0366455,1.9246,,,,
1222,admin_judicial,all,False,2SLS,imm,lnpop0,3093,48,,-1.56716,1.83919,-5.17197,2.03765,-0.67845,0.219081,9.59019,9.59019,1.06324,1.33831,interval,-5.73536,3.63345,,,,
1222,admin_judicial,all,False,2SLS,imm_nomex,lnpop0,3093,48,,-0.458724,1.47351,-3.3468,2.42936,-0.945844,0.294438,10.3193,10.3193,0.433881,1.41565,interval,-3.79462,3.52427,,,,
1222,admin_judicial,all,False,2SLS,bartik+imm,lnpop0,3093,48,,0.494831,0.485997,-0.457724,1.44739,0.293515;-0.703185,0.0434795;0.203203,30.5294,45.9583,0.257479;1.04154,0.138516;1.34632,interval,-0.258,1.667,"[[-0.25799999999808243, 1.6670000000025604]]",1.49927,0.220784,0.690801
1222,admin_direct,all,True,OLS,,lnpop0,3094,48,,0.377958,0.296637,-0.20345,0.959366,,,,,,,,,,,,,
1222,admin_direct,all,True,2SLS,bartik,lnpop0,3094,48,,-1.31406,1.38243,-4.02362,1.3955,0.803218,0.104494,59.0863,59.0863,-1.05548,1.10095,interval,-4.2141,1.39346,,,,
1222,admin_direct,all,True,2SLS,imm,lnpop0,3094,48,,-3.30301,5.799,-14.6691,8.06304,-0.735471,0.139395,27.8381,27.8381,2.42927,3.99215,interval,-18.999,6.24479,,,,
1222,admin_direct,all,True,2SLS,imm_nomex,lnpop0,3094,48,,-2.98473,5.27598,-13.3257,7.3562,-0.806464,0.122536,43.3152,43.3152,2.40708,4.05127,interval,-15.9782,6.0457,,,,
1222,admin_direct,all,True,2SLS,bartik+imm,lnpop0,3094,48,,-2.06604,2.78305,-7.52081,3.38873,0.746309;-0.649755,0.104093;0.127589,40.9787,34.8782,-0.851274;2.33149,0.836059;3.92667,interval,-3.812,1.526,"[[-3.8119999999992693, 1.5260000000025133]]",0.204683,0.650967,-0.941494
1222,admin_direct,all,False,OLS,,lnpop0,3094,48,,0.615583,0.141032,0.339161,0.892005,,,,,,,,,,,,,
1222,admin_direct,all,False,2SLS,bartik,lnpop0,3094,48,,1.2829,0.546551,0.211661,2.35414,0.291259,0.0421667,47.7113,47.7113,0.373657,0.182963,interval,0.0613337,2.30453,,,,
1222,admin_direct,all,False,2SLS,imm,lnpop0,3094,48,,-1.89534,1.49307,-4.82176,1.03107,-0.67839,0.219092,9.58748,9.58748,1.28578,1.0696,interval,-5.88022,1.69038,,,,
1222,admin_direct,all,False,2SLS,imm_nomex,lnpop0,3094,48,,-0.779677,1.19968,-3.13106,1.5717,-0.945747,0.294454,10.3161,10.3161,0.737377,1.12987,interval,-4.03893,1.9231,,,,
1222,admin_direct,all,False,2SLS,bartik+imm,lnpop0,3094,48,,0.767132,0.534744,-0.280965,1.81523,0.293348;-0.703504,0.0433311;0.20301,30.6456,46.0487,0.369933;1.25411,0.181075;1.0779,interval,-0.13,1.871,"[[-0.12999999999803968, 1.8710000000026286]]",3.12841,0.0769388,0.892913
1222,admin_judicial_direct,all,True,OLS,,lnpop0,3094,48,,0.295406,0.279764,-0.252932,0.843743,,,,,,,,,,,,,
1222,admin_judicial_direct,all,True,2SLS,bartik,lnpop0,3094,48,,-1.27713,1.12393,-3.48004,0.925786,0.803218,0.104494,59.0863,59.0863,-1.02581,0.912651,interval,-3.55495,1.0014,,,,
1222,admin_judicial_direct,all,True,2SLS,imm,lnpop0,3094,48,,-2.86613,5.01456,-12.6947,6.96241,-0.735471,0.139395,27.8381,27.8381,2.10795,3.45323,interval,-16.4158,5.4042,,,,
1222,admin_judicial_direct,all,True,2SLS,imm_nomex,lnpop0,3094,48,,-2.61168,4.57091,-11.5707,6.34731,-0.806464,0.122536,43.3152,43.3152,2.10623,3.51143,interval,-13.8357,5.23499,,,,
1222,admin_judicial_direct,all,True,2SLS,bartik+imm,lnpop0,3094,48,,-1.87789,2.41557,-6.61241,2.85662,0.746309;-0.649755,0.104093;0.127589,40.9787,34.8782,-0.849732;2.01036,0.665097;3.39186,interval,-2.753,0.926,"[[-2.7529999999989156, 0.926000000002313]]",0.178822,0.672387,-0.928262
1222,admin_judicial_direct,all,False,OLS,,lnpop0,3094,48,,0.606216,0.13879,0.334188,0.878244,,,,,,,,,,,,,
1222,admin_judicial_direct,all,False,2SLS,bartik,lnpop0,3094,48,,0.752334,0.575156,-0.374972,1.87964,0.291259,0.0421667,47.7113,47.7113,0.219124,0.175981,interval,-0.487102,1.86739,,,,
1222,admin_judicial_direct,all,False,2SLS,imm,lnpop0,3094,48,,-1.03671,1.44291,-3.86481,1.79139,-0.67839,0.219092,9.58748,9.58748,0.703292,1.03215,interval,-4.33545,3.00871,,,,
1222,admin_judicial_direct,all,False,2SLS,imm_nomex,lnpop0,3094,48,,-0.029833,1.19374,-2.36957,2.3099,-0.945747,0.294454,10.3161,10.3161,0.0282144,1.12976,interval,-2.79625,3.12298,,,,
1222,admin_judicial_direct,all,False,2SLS,bartik+imm,lnpop0,3094,48,,0.462007,0.516252,-0.549848,1.47386,0.293348;-0.703504,0.0433311;0.20301,30.6456,46.0487,0.217091;0.684706,0.175243;1.03776,interval,-0.857,1.603,"[[-0.8569999999982825, 1.603000000002539]]",1.15567,0.282365,0.48484
1222,central_buildings,all,True,OLS,,lnpop0,3090,48,,0.861911,0.239589,0.392316,1.33151,,,,,,,,,,,,,
1222,central_buildings,all,True,2SLS,bartik,lnpop0,3090,48,,-0.116009,0.597111,-1.28635,1.05433,0.803956,0.104601,59.073,59.073,-0.0932665,0.487215,interval,-1.15471,1.29431,,,,
1222,central_buildings,all,True,2SLS,imm,lnpop0,3090,48,,-2.02464,0.775957,-3.54552,-0.503765,-0.735331,0.139393,27.8281,27.8281,1.48878,0.543463,interval,-3.90157,-0.594965,,,,
1222,central_buildings,all,True,2SLS,imm_nomex,lnpop0,3090,48,,-1.74548,0.672026,-3.06265,-0.428304,-0.806325,0.122539,43.2986,43.2986,1.40742,0.556585,interval,-3.18129,-0.419555,,,,
1222,central_buildings,all,True,2SLS,bartik+imm,lnpop0,3090,48,,-0.836981,0.525002,-1.86599,0.192023,0.746959;-0.649453,0.104232;0.127602,40.9498,34.8325,0.0377735;1.49312,0.48009;0.542998,interval,-1.32,-0.287,"[[-1.319999999998437, -0.2869999999980921]]",2.897,0.0887448,-0.596995
1222,central_buildings,all,False,OLS,,lnpop0,3090,48,,0.799198,0.138033,0.528654,1.06974,,,,,,,,,,,,,
1222,central_buildings,all,False,2SLS,bartik,lnpop0,3090,48,,1.50352,0.693152,0.144945,2.8621,0.291814,0.0423001,47.5915,47.5915,0.438749,0.183854,interval,0.256991,3.11417,,,,
1222,central_buildings,all,False,2SLS,imm,lnpop0,3090,48,,-1.39136,1.47147,-4.27544,1.49272,-0.678338,0.219085,9.58667,9.58667,0.94381,1.01316,interval,-5.44408,2.03327,,,,
1222,central_buildings,all,False,2SLS,imm_nomex,lnpop0,3090,48,,-0.565297,1.25542,-3.02593,1.89533,-0.945382,0.294346,10.3157,10.3157,0.534422,1.15019,interval,-4.43302,1.9289,,,,
1222,central_buildings,all,False,2SLS,bartik+imm,lnpop0,3090,48,,1.03523,0.680568,-0.298682,2.36915,0.293856;-0.702933,0.043456;0.20319,30.6088,45.9974,0.436114;0.907309,0.184636;1.01309,interval,0.133,2.446,"[[0.13300000000204815, 2.4460000000028206]]",2.25018,0.133598,1.14807
1222,financial_admin,all,True,OLS,,lnpop0,3065,48,,-0.246533,0.487458,-1.20195,0.708884,,,,,,,,,,,,,
1222,financial_admin,all,True,2SLS,bartik,lnpop0,3065,48,,-3.38123,2.36577,-8.01814,1.25568,0.806914,0.104896,59.1748,59.1748,-2.72836,1.80633,interval,-8.67277,0.963973,,,,
1222,financial_admin,all,True,2SLS,imm,lnpop0,3065,48,,-5.1328,9.48935,-23.7319,13.4663,-0.734171,0.139707,27.6156,27.6156,3.76835,6.53911,interval,-30.8829,10.4714,,,,
1222,financial_admin,all,True,2SLS,imm_nomex,lnpop0,3065,48,,-4.71448,8.64881,-21.6662,12.2372,-0.80517,0.12275,43.026,43.026,3.79596,6.64128,interval,-26.0324,10.0862,,,,
1222,financial_admin,all,True,2SLS,bartik+imm,lnpop0,3065,48,,-4.03972,4.59545,-13.0468,4.96737,0.749896;-0.648055,0.104502;0.127861,40.867,34.751,-2.42127;3.4903,1.43739;6.43483,unbounded on grid,-inf,1.255,"[[-6.0, 1.2550000000024228]]",0.0535147,0.817056,-3.11229
1222,financial_admin,all,False,OLS,,lnpop0,3065,48,,0.4924,0.158089,0.182546,0.802253,,,,,,,,,,,,,
