fips,state,no_county_govt,pop_2002,pop_2007,pop_2012,pop_2017,pop_2022,e23_1997,e29_1997,e31_1997,e25_1997,d23_1997,d29_1997,d31_1997,d25_1997,e23_2002,e29_2002,e31_2002,e25_2002,d23_2002,d29_2002,d31_2002,d25_2002,e23_2007,e29_2007,e31_2007,e25_2007,d23_2007,d29_2007,d31_2007,d25_2007,e23_2012,e29_2012,e31_2012,e25_2012,d23_2012,d29_2012,d31_2012,d25_2012,e23_2017,e29_2017,e31_2017,e25_2017,d23_2017,d29_2017,d31_2017,d25_2017,e23_2022,e29_2022,e31_2022,e25_2022,d23_2022,d29_2022,d31_2022,d25_2022,present_1997,present_2002,present_2007,present_2012,present_2017,present_2022,bartik_1222,bartik_pay_1222,cbp_emp0_1222,imm_1222,imm_nomex_1222,imm_mex_1222,dfbshare_1222,bartik_0717,bartik_pay_0717,cbp_emp0_0717,imm_0717,imm_nomex_0717,imm_mex_0717,dfbshare_0717,bartik_1217,bartik_pay_1217,cbp_emp0_1217,imm_1217,imm_nomex_1217,imm_mex_1217,dfbshare_1217,bartik_1722,bartik_pay_1722,cbp_emp0_1722,imm_1722,imm_nomex_1722,imm_mex_1722,dfbshare_1722,bartik_0712,bartik_pay_0712,cbp_emp0_0712,imm_0712,imm_nomex_0712,imm_mex_0712,dfbshare_0712,bartik_1722_s12,bartik_1217_s07,medhhinc_2009,medhhinc_2012,medhhinc_2017,medhhinc_2022
01021,01,0,40683,42881,43706,44514,45848,3260.231,548.842,672.833,421.204,3940.358,548.842,676.480,421.204,3570.749,611.664,927.256,444.107,4005.095,901.228,1117.587,444.107,2108.722,2770.697,1081.179,601.282,2108.722,2770.697,1099.528,601.282,4996.679,3333.244,738.030,832.355,4996.679,3583.078,738.030,832.355,713.967,8564.027,822.615,1048.267,713.967,8567.609,822.615,1051.848,873.000,8058.000,39.000,215.000,873.000,8066.000,39.000,215.000,1,1,1,1,1,1,0.12356830,0.42321962,6797.9,-0.00043498,0.00049997,-0.00093495,-0.00340523,-0.00598024,0.25762752,7520.0,0.00047310,0.00054062,-0.00006752,0.01519025,0.08285280,0.12378051,6797.9,-0.00027888,0.00023061,-0.00050949,-0.00865854,0.03701342,0.27152783,6734.0,-0.00015327,0.00026447,-0.00041773,0.00525332,-0.08450990,0.11847159,7520.0,0.00075734,0.00030557,0.00045177,0.02384879,0.03475196,0.08770715,38966.0,40834.0,43501.0,62471.0
01023,01,0,15367,14216,13609,13064,12431,1345.666,552.489,167.752,384.736,1358.430,552.489,167.752,384.736,1337.201,580.755,174.064,403.438,1337.201,580.755,174.064,403.438,533.532,3637.333,0.000,49.401,533.532,3637.333,0.000,49.401,429.561,3757.707,0.000,58.635,429.561,3757.707,0.000,58.635,1900.729,599.351,15.521,146.853,1900.729,599.351,15.521,146.853,2308.000,345.000,15.000,91.000,2944.000,347.000,15.000,91.000,1,1,1,1,1,1,-0.04795453,0.38231018,2858.0,0.00327233,0.00327233,0.00000000,0.00262222,-0.10841010,0.25314382,3323.0,0.00195281,0.00195281,0.00000000,0.00268928,-0.06080368,0.12224328,2858.0,0.00136093,0.00136093,0.00000000,0.00407237,0.04170903,0.25295957,1497.0,0.00199114,0.00199114,0.00000000,-0.00145015,-0.08239228,0.11494190,3323.0,0.00064999,0.00064999,0.00000000,-0.00138308,0.00971145,-0.04099891,30749.0,35123.0,32122.0,43299.0
01025,01,0,27267,26436,25091,23857,22574,2425.116,2797.089,0.000,89.346,2448.820,2797.089,0.000,89.346,3900.982,1623.511,0.000,333.487,4096.194,1623.511,0.000,333.487,1418.518,1618.945,28.229,448.844,1418.518,1846.190,28.229,448.844,340.335,4078.922,605.465,460.153,340.335,4085.295,605.465,460.153,1033.939,4736.302,668.598,555.175,1033.939,4736.302,668.598,555.175,709.000,5316.000,570.000,363.000,709.000,5316.000,570.000,363.000,1,1,1,1,1,1,0.07213784,0.42995767,6411.9,0.00012998,0.00016380,-0.00003383,0.00558360,-0.07142158,0.24477935,7428.5,0.00026261,0.00026486,-0.00000225,-0.00559230,0.03154740,0.12854246,6411.9,0.00007905,0.00009749,-0.00001844,-0.00319045,0.03479491,0.28809695,5632.0,0.00005356,0.00006975,-0.00001618,0.00877405,-0.10179499,0.10255125,7428.5,0.00018758,0.00017233,0.00001525,-0.00240185,0.02825891,0.02473026,27080.0,30954.0,33827.0,47549.0
01027,01,0,14257,14085,13678,14142,14183,853.349,266.216,111.227,350.092,1177.914,266.216,111.227,350.092,593.769,138.275,307.459,276.550,611.664,138.275,307.459,276.550,824.293,1561.075,159.495,53.635,824.293,1596.362,242.771,53.635,1472.236,1456.940,136.389,141.488,1557.638,1456.940,136.389,141.488,1441.068,676.956,188.640,531.297,1441.068,676.956,314.002,531.297,1634.000,237.000,224.000,578.000,1634.000,237.000,224.000,578.000,1,1,1,1,1,1,0.05529409,0.38259262,2859.2,0.00171217,0.00189831,-0.00018614,-0.01055018,-0.13955405,0.26250620,4499.6,0.00145979,0.00147248,-0.00001269,-0.00121236,0.03362014,0.12856115,2859.2,0.00064801,0.00074949,-0.00010148,-0.00217578,0.00074559,0.20789800,2375.0,0.00102925,0.00111112,-0.00008187,-0.00837440,-0.16624249,0.11549575,4499.6,0.00083050,0.00074465,0.00008586,0.00096341,0.01908748,0.03024830,37652.0,34556.0,37287.0,48074.0
01029,01,0,14416,14799,14907,14984,15372,931.755,226.101,91.170,311.801,933.579,278.980,91.170,311.801,1081.799,276.550,110.620,380.663,1081.799,372.529,110.620,380.663,896.277,907.569,127.031,12.703,1055.772,1060.007,129.854,12.703,1509.201,910.109,124.917,537.908,1589.505,910.109,1729.718,537.908,1081.696,663.823,126.556,568.309,1101.993,663.823,126.556,568.309,1452.000,644.000,126.000,519.000,1452.000,644.000,126.000,519.000,1,1,1,1,1,1,0.03742027,0.41445721,1632.9,-0.00023877,0.00018045,-0.00041923,-0.00303054,-0.04870850,0.25943230,1904.0,-0.00002982,-0.00000018,-0.00002964,0.00750216,0.03267076,0.11183017,1632.9,-0.00016953,0.00005906,-0.00022858,0.00622268,0.04432071,0.24884297,1399.0,-0.00006889,0.00012077,-0.00018966,-0.00925322,-0.10612740,0.12436417,1904.0,0.00014095,-0.00005967,0.00020061,0.00127948,-0.00518820,0.04856229,33742.0,37244.0,37396.0,51553.0
01031,01,0,43930,47458,51227,52161,54840,1513.418,2319.359,209.690,415.734,1528.006,2319.359,209.690,415.734,2235.175,1782.934,531.952,582.382,2243.309,1800.829,1285.144,582.382,1404.403,3994.433,1338.064,465.782,1410.049,4025.485,1441.101,505.303,1265.740,7064.183,1086.013,609.289,1437.820,7631.408,1086.013,637.332,1233.325,9235.013,951.559,633.974,1278.694,9755.565,951.559,633.974,3026.000,8242.000,62.000,459.000,3026.000,9745.000,62.000,459.000,1,1,1,1,1,1,0.11546928,0.41169652,12731.7,0.00116636,0.00141030,-0.00024393,0.00143145,0.02694008,0.24481361,12983.5,0.00148751,0.00150603,-0.00001852,-0.00422786,0.07352400,0.11985753,12731.7,0.00031844,0.00045143,-0.00013299,-0.00550235,0.03611942,0.26503191,12762.0,0.00083274,0.00094169,-0.00010896,0.00693380,-0.04474976,0.11101257,12983.5,0.00114378,0.00101874,0.00012504,0.00127448,0.03623397,0.07378902,41973.0,44626.0,49821.0,62199.0
01033,01,0,54536,54486,54990,56012,57993,2344.887,2871.848,1095.861,1456.893,2397.765,2977.605,1130.505,1549.886,1953.745,2737.845,1345.335,1426.673,1953.745,2762.247,1389.257,1436.433,3381.859,1840.544,2889.259,1657.054,3436.906,1840.544,2889.259,1657.054,1892.875,4282.868,2723.955,1501.553,2117.215,4282.868,2723.955,1501.553,2223.089,4136.952,2213.538,2519.183,2236.222,4140.533,2213.538,2529.928,2027.000,3807.000,1693.000,1803.000,2027.000,3807.000,1693.000,1803.000,1,1,1,1,1,1,0.11604775,0.41731724,18678.4,0.00130467,0.00143520,-0.00013052,-0.00159409,0.01091800,0.26228255,19694.6,0.00142218,0.00143146,-0.00000929,0.00480930,0.06286721,0.11692430,18678.4,0.00059124,0.00066236,-0.00007112,0.00084751,0.04955210,0.27421145,22297.0,0.00070042,0.00075874,-0.00005832,-0.00244160,-0.05576628,0.12932071,19694.6,0.00082547,0.00076298,0.00006249,0.00396179,0.04548629,0.06939480,39366.0,40158.0,45477.0,56149.0
01035,01,0,13793,13441,12969,12193,11224,745.769,404.794,379.266,271.686,760.356,404.794,379.266,271.686,1088.306,448.987,421.332,312.339,1231.461,448.987,421.332,312.339,1020.486,1767.148,601.282,715.610,1020.486,1901.237,601.282,715.610,0.000,2200.069,0.000,94.325,0.000,2683.166,0.000,94.325,1116.320,2650.514,44.175,371.311,1116.320,2650.514,44.175,371.311,954.000,2376.000,36.000,102.000,954.000,2376.000,36.000,102.000,1,1,1,1,1,1,0.10686477,0.38665891,2244.7,0.00094216,0.00103139,-0.00008923,-0.00072371,-0.03167688,0.24226227,3075.8,0.00099752,0.00100356,-0.00000604,0.00899286,0.04873916,0.11630651,2244.7,0.00045870,0.00050734,-0.00004864,0.00041504,0.04927819,0.26774906,1880.0,0.00051423,0.00055740,-0.00004318,-0.00113874,-0.09229311,0.11194137,3075.8,0.00055493,0.00051404,0.00004089,0.00857783,0.05251718,0.06530412,27216.0,27064.0,30434.0,39888.0
01037,01,0,11740,11439,11278,10513,10307,559.782,224.278,74.759,382.913,559.782,224.278,74.759,382.913,405.064,263.536,87.845,448.987,405.064,263.536,87.845,448.987,1620.356,307.698,0.000,0.000,1620.356,307.698,0.000,2.823,1412.327,760.974,105.797,0.000,1412.327,866.771,105.797,2.549,974.243,610.096,204.161,59.696,974.243,709.192,226.846,59.696,1050.000,111.000,95.000,65.000,1050.000,111.000,95.000,65.000,1,1,1,1,1,1,0.04919996,0.39054744,961.6,0.00093157,0.00095209,-0.00002052,-0.01202095,-0.22429560,0.27782429,1270.0,0.00117873,0.00118015,-0.00000142,-0.00116546,0.05287927,0.11992712,961.6,0.00055166,0.00056285,-0.00001118,-0.01153958,0.03823894,0.26155973,191.8,0.00040755,0.00041757,-0.00001002,-0.00048137,-0.19526873,0.13056996,1270.0,0.00063483,0.00062523,0.00000961,0.01037412,-0.00412703,-0.04600506,33595.0,37425.0,34792.0,52279.0
01039,01,0,36901,37631,37937,37491,37603,2000.265,2040.380,607.191,700.184,2038.556,3043.247,607.191,714.771,1747.145,2794.782,623.051,808.502,1852.885,2796.409,666.974,808.502,2104.487,3816.589,958.382,1511.674,2104.487,3840.583,958.382,1511.674,2811.907,6697.080,986.589,1803.648,2811.907,6697.080,989.139,1803.648,7327.120,3784.744,212.519,669.792,7327.120,3784.744,218.488,669.792,6189.000,5879.000,213.000,539.000,6197.000,5879.000,213.000,539.000,1,1,1,1,1,1,0.11477356,0.41125939,10752.0,0.00145304,0.00147541,-0.00002237,0.00079305,-0.00766123,0.25400260,11565.6,0.00121261,0.00121418,-0.00000158,-0.00127136,0.05853481,0.11782869,10752.0,0.00063549,0.00064769,-0.00001219,-0.00317137,0.05730701,0.25880375,9866.0,0.00082727,0.00083757,-0.00001030,0.00396442,-0.05551119,0.11798091,11565.6,0.00057194,0.00056123,0.00001071,0.00190001,0.04964161,0.04499419,33278.0,35321.0,39467.0,48772.0
01041,01,0,13635,13956,13798,13496,13048,1241.732,34.645,116.697,156.812,1405.838,34.645,116.697,156.812,1342.081,56.937,195.212,260.282,1342.081,56.937,195.212,260.282,746.662,567.407,225.834,357.099,746.662,695.850,225.834,365.568,100.698,1915.819,30.592,66.282,100.698,1915.819,30.592,207.770,109.841,2125.187,27.460,131.332,109.841,2125.187,27.460,263.858,0.000,231.000,15.000,80.000,0.000,231.000,15.000,80.000,1,1,1,1,1,1,0.10474921,0.37365504,3109.5,0.00163034,0.00164153,-0.00001118,-0.00458072,-0.00713318,0.24418810,3205.7,0.00124208,0.00124286,-0.00000077,-0.02231698,0.06491846,0.10332136,3109.5,0.00076587,0.00077196,-0.00000609,-0.00874791,0.03373745,0.24988926,1688.0,0.00088382,0.00088902,-0.00000520,0.00416719,-0.08889554,0.12405150,3205.7,0.00048488,0.00047963,0.00000525,-0.01356908,0.03623460,0.09190410,31058.0,37309.0,38937.0,48557.0
01043,01,0,77443,79576,81083,85381,90663,2386.825,634.542,370.149,335.505,3302.170,634.542,408.441,335.505,3806.630,696.255,1265.623,457.121,4088.060,696.255,1312.799,457.121,5092.549,3675.443,64.927,3388.916,5182.882,3700.849,119.974,3388.916,7862.122,6069.946,1173.965,410.442,7862.122,6085.242,2416.761,410.442,9823.618,7962.289,1542.552,648.302,10097.027,8056.609,1694.180,712.773,5108.000,3720.000,2875.000,2073.000,5145.000,3720.000,2943.000,2087.000,1,1,1,1,1,1,0.14353749,0.40663067,21415.3,-0.00010866,0.00071792,-0.00082658,-0.00569764,0.00776618,0.25422620,25156.4,0.00086666,0.00092562,-0.00005896,0.00118099,0.07845312,0.11904599,21415.3,-0.00004757,0.00040268,-0.00045025,-0.00326053,0.05207080,0.25685829,23754.0,-0.00005801,0.00029938,-0.00035739,-0.00243711,-0.06413232,0.12015333,25156.4,0.00091513,0.00051532,0.00039981,0.00444152,0.05347191,0.07687030,38394.0,39244.0,40997.0,58119.0
01045,01,0,49373,49488,50368,49645,49495,3449.865,1642.879,771.296,1280.024,3449.865,1657.467,771.296,1301.904,2140.823,1867.526,645.826,1138.735,2152.210,1875.660,645.826,1138.735,1421.341,3513.125,739.605,664.798,1421.341,3513.125,743.840,664.798,1497.729,4360.622,852.750,1398.305,1534.694,4383.566,871.870,1398.305,2562.164,3549.540,906.189,1097.217,2562.164,3549.540,906.189,1418.383,2208.000,2876.000,1050.000,1280.000,2208.000,2876.000,1050.000,1280.000,1,1,1,1,1,1,0.18827711,0.41872348,12113.0,0.00234967,0.00256105,-0.00021139,0.00474208,0.08540916,0.24060639,13160.3,0.00238504,0.00240025,-0.00001520,0.00285999,0.09515455,0.11587349,12113.0,0.00101776,0.00113302,-0.00011527,0.00421231,0.07128017,0.27286731,10043.0,0.00135131,0.00144883,-0.00009752,0.00052977,-0.00740549,0.10937235,13160.3,0.00134919,0.00124707,0.00010211,-0.00135232,0.08208306,0.09438740,42225.0,45247.0,44711.0,52813.0
01047,01,0,45377,44194,43252,40739,36729,1803.338,1429.542,1602.765,627.248,1803.338,1429.542,1602.765,627.248,3048.557,2619.091,1560.068,1159.883,3048.557,2781.768,1560.068,1159.883,3530.062,4258.376,1973.221,1923.820,3530.062,4258.376,1973.221,1923.820,3804.869,6115.834,1060.520,2323.711,3804.869,6115.834,1060.520,2323.711,1655.975,4553.632,596.963,1616.575,1867.299,4553.632,596.963,1616.575,676.000,1565.000,4986.000,822.000,1433.000,1565.000,4986.000,822.000,1,1,1,1,1,1,0.04067002,0.41424105,10531.0,0.00241005,0.00247070,-0.00006065,0.01304160,-0.02928074,0.23763472,13008.5,0.00229929,0.00230346,-0.00000417,0.00370702,0.02090374,0.11970311,10531.0,0.00124138,0.00127445,-0.00003307,0.00656966,0.03571383,0.27659045,8143.0,0.00124076,0.00127004,-0.00002928,0.00647194,-0.06439289,0.11138821,13008.5,0.00108437,0.00105617,0.00002820,-0.00286264,0.01007564,0.03112989,26442.0,26178.0,30065.0,37180.0
01049,01,0,65861,69450,70900,71399,72082,5499.361,1484.244,461.319,1389.427,5626.999,1540.769,461.319,1393.074,5651.381,1239.595,679.988,1416.912,5947.452,1239.595,720.657,1428.300,4200.506,3771.422,1363.471,1983.102,4734.038,3784.125,1384.643,1983.102,2331.359,1822.768,235.813,1347.319,2361.951,2271.450,465.252,1349.868,4226.496,1929.383,468.019,963.498,4226.496,1941.323,1087.666,965.886,3272.000,3214.000,995.000,877.000,4017.000,3214.000,1057.000,918.000,1,1,1,1,1,1,0.06833943,0.41010476,16213.4,0.00618962,0.00783421,-0.00164459,0.00248571,-0.13307538,0.21085529,20739.6,0.00657364,0.00669083,-0.00011719,0.01367693,0.03903170,0.11035785,16213.4,0.00200512,0.00290099,-0.00089587,-0.00306617,0.01149588,0.26970529,16244.0,0.00415526,0.00489874,-0.00074348,0.00555187,-0.14154102,0.08960242,20739.6,0.00452666,0.00372928,0.00079738,0.01674310,0.01565544,-0.01912579,33634.0,36853.0,38842.0,47920.0
