cohort,survey,coding,ref_census,n,noncit_share,k,ridit,mig_c1,mex_c1,q1,q5,breakeven_k_ridit_0.5,breakeven_k_c1_equal_mexico
1980-1984,1990,secundaria_as_diploma_0.5,2000,16409,0.80698,1.10000,0.50232,0.35462,0.39117,0.19113,0.16486,1.13210,1.29983
1980-1984,1990,secundaria_as_diploma_0.5,2000,16409,0.80698,1.25000,0.49181,0.37545,0.39296,0.20431,0.15869,1.13210,1.29983
1980-1984,1990,secundaria_as_diploma_0.5,2000,16409,0.80698,1.50000,0.47600,0.40682,0.39565,0.22416,0.14940,1.13210,1.29983
1980-1984,1990,secundaria_as_diploma_0.5,2000,16409,0.80698,1.75000,0.46198,0.43463,0.39804,0.24175,0.14117,1.13210,1.29983
1985-1989,1990,as coded,2000,27800,0.90669,1.00000,0.51686,0.28727,0.31511,0.19476,0.19525,1.20430,1.15545
1985-1989,1990,as coded,2000,27800,0.90669,1.10000,0.50839,0.30303,0.31659,0.20629,0.19035,1.20430,1.15545
1985-1989,1990,as coded,2000,27800,0.90669,1.25000,0.49646,0.32522,0.31867,0.22251,0.18345,1.20430,1.15545
1985-1989,1990,as coded,2000,27800,0.90669,1.50000,0.47842,0.35877,0.32182,0.24705,0.17301,1.20430,1.15545
1985-1989,1990,as coded,2000,27800,0.90669,1.75000,0.46235,0.38866,0.32463,0.26891,0.16371,1.20430,1.15545
1985-1989,1990,secundaria_as_diploma_0.5,2000,27800,0.90669,1.00000,0.50428,0.28727,0.31511,0.19476,0.16478,1.05182,1.15545
1985-1989,1990,secundaria_as_diploma_0.5,2000,27800,0.90669,1.10000,0.49612,0.30303,0.31659,0.20629,0.16065,1.05182,1.15545
1985-1989,1990,secundaria_as_diploma_0.5,2000,27800,0.90669,1.25000,0.48465,0.32522,0.31867,0.22251,0.15485,1.05182,1.15545
1985-1989,1990,secundaria_as_diploma_0.5,2000,27800,0.90669,1.50000,0.46729,0.35877,0.32182,0.24705,0.14606,1.05182,1.15545
1985-1989,1990,secundaria_as_diploma_0.5,2000,27800,0.90669,1.75000,0.45183,0.38866,0.32463,0.26891,0.13824,1.05182,1.15545
1990-1994,2000,as coded,2000,36636,0.89523,1.00000,0.53033,0.21712,0.25796,0.16700,0.19777,1.47665,1.27763
1990-1994,2000,as coded,2000,36636,0.89523,1.10000,0.52350,0.23012,0.25921,0.17665,0.19395,1.47665,1.27763
1990-1994,2000,as coded,2000,36636,0.89523,1.25000,0.51374,0.24870,0.26100,0.19044,0.18850,1.47665,1.27763
1990-1994,2000,as coded,2000,36636,0.89523,1.50000,0.49865,0.27744,0.26377,0.21176,0.18007,1.47665,1.27763
1990-1994,2000,as coded,2000,36636,0.89523,1.75000,0.48486,0.30370,0.26630,0.23124,0.17237,1.47665,1.27763
1990-1994,2000,secundaria_as_diploma_0.5,2000,36636,0.89523,1.00000,0.51323,0.21712,0.25796,0.16700,0.16903,1.20782,1.27763
1990-1994,2000,secundaria_as_diploma_0.5,2000,36636,0.89523,1.10000,0.50673,0.23012,0.25921,0.17665,0.16577,1.20782,1.27763
1990-1994,2000,secundaria_as_diploma_0.5,2000,36636,0.89523,1.25000,0.49744,0.24870,0.26100,0.19044,0.16112,1.20782,1.27763
1990-1994,2000,secundaria_as_diploma_0.5,2000,36636,0.89523,1.50000,0.48308,0.27744,0.26377,0.21176,0.15392,1.20782,1.27763
1990-1994,2000,secundaria_as_diploma_0.5,2000,36636,0.89523,1.75000,0.46996,0.30370,0.26630,0.23124,0.14735,1.20782,1.27763
1995-1999,2000,as coded,2000,56793,0.94337,1.00000,0.52809,0.18366,0.21799,0.17115,0.19386,1.47810,1.25131
1995-1999,2000,as coded,2000,56793,0.94337,1.10000,0.52183,0.19545,0.21923,0.18023,0.19055,1.47810,1.25131
1995-1999,2000,as coded,2000,56793,0.94337,1.25000,0.51284,0.21240,0.22101,0.19328,0.18581,1.47810,1.25131
1995-1999,2000,as coded,2000,56793,0.94337,1.50000,0.49882,0.23882,0.22378,0.21364,0.17840,1.47810,1.25131
1995-1999,2000,as coded,2000,56793,0.94337,1.75000,0.48588,0.26321,0.22635,0.23243,0.17157,1.47810,1.25131
1995-1999,2000,secundaria_as_diploma_0.5,2000,56793,0.94337,1.00000,0.50720,0.18366,0.21799,0.17115,0.16396,1.12259,1.25131
1995-1999,2000,secundaria_as_diploma_0.5,2000,56793,0.94337,1.10000,0.50130,0.19545,0.21923,0.18023,0.16117,1.12259,1.25131
1995-1999,2000,secundaria_as_diploma_0.5,2000,56793,0.94337,1.25000,0.49283,0.21240,0.22101,0.19328,0.15716,1.12259,1.25131
1995-1999,2000,secundaria_as_diploma_0.5,2000,56793,0.94337,1.50000,0.47961,0.23882,0.22378,0.21364,0.15090,1.12259,1.25131
1995-1999,2000,secundaria_as_diploma_0.5,2000,56793,0.94337,1.75000,0.46741,0.26321,0.22635,0.23243,0.14513,1.12259,1.25131
2000-2004,2005,as coded,2000,9557,0.95829,1.00000,0.54868,0.13715,0.18863,0.15463,0.21810,2.06470,1.48407
2000-2004,2005,as coded,2000,9557,0.95829,1.10000,0.54354,0.14603,0.18942,0.16200,0.21530,2.06470,1.48407
2000-2004,2005,as coded,2000,9557,0.95829,1.25000,0.53607,0.15892,0.19056,0.17270,0.21122,2.06470,1.48407
2000-2004,2005,as coded,2000,9557,0.95829,1.50000,0.52423,0.17935,0.19237,0.18966,0.20476,2.06470,1.48407
2000-2004,2005,as coded,2000,9557,0.95829,1.75000,0.51310,0.19856,0.19408,0.20560,0.19869,2.06470,1.48407
2000-2004,2005,secundaria_as_diploma_0.5,2000,9557,0.95829,1.00000,0.51580,0.13715,0.18863,0.15463,0.17453,1.34552,1.48407
2000-2004,2005,secundaria_as_diploma_0.5,2000,9557,0.95829,1.10000,0.51108,0.14603,0.18942,0.16200,0.17229,1.34552,1.48407
2000-2004,2005,secundaria_as_diploma_0.5,2000,9557,0.95829,1.25000,0.50423,0.15892,0.19056,0.17270,0.16903,1.34552,1.48407
2000-2004,2005,secundaria_as_diploma_0.5,2000,9557,0.95829,1.50000,0.49337,0.17935,0.19237,0.18966,0.16387,1.34552,1.48407
2000-2004,2005,secundaria_as_diploma_0.5,2000,9557,0.95829,1.75000,0.48316,0.19856,0.19408,0.20560,0.15901,1.34552,1.48407
2005-2009,2010,as coded,2010,6402,0.95349,1.00000,0.51037,0.14236,0.15185,0.20163,0.15228,1.19129,1.08104
2005-2009,2010,as coded,2010,6402,0.95349,1.10000,0.50488,0.15404,0.15286,0.21044,0.15020,1.19129,1.08104
2005-2009,2010,as coded,2010,6402,0.95349,1.25000,0.49692,0.17098,0.15433,0.22321,0.14720,1.19129,1.08104
2005-2009,2010,as coded,2010,6402,0.95349,1.50000,0.48435,0.19775,0.15665,0.24340,0.14244,1.19129,1.08104
2005-2009,2010,as coded,2010,6402,0.95349,1.75000,0.47256,0.22285,0.15882,0.26232,0.13799,1.19129,1.08104
2005-2009,2010,secundaria_as_diploma_0.5,2010,6402,0.95349,1.00000,0.47872,0.14236,0.15185,0.20163,0.14737,,1.08104
2005-2009,2010,secundaria_as_diploma_0.5,2010,6402,0.95349,1.10000,0.47367,0.15404,0.15286,0.21044,0.14536,,1.08104
2005-2009,2010,secundaria_as_diploma_0.5,2010,6402,0.95349,1.25000,0.46634,0.17098,0.15433,0.22321,0.14245,,1.08104
2005-2009,2010,secundaria_as_diploma_0.5,2010,6402,0.95349,1.50000,0.45475,0.19775,0.15665,0.24340,0.13785,,1.08104
2005-2009,2010,secundaria_as_diploma_0.5,2010,6402,0.95349,1.75000,0.44389,0.22285,0.15882,0.26232,0.13354,,1.08104
2010-2014,2015,as coded,2010,3682,0.92665,1.00000,0.56320,0.12599,0.14932,0.16670,0.23529,2.35711,1.23356
2010-2014,2015,as coded,2010,3682,0.92665,1.10000,0.55786,0.13613,0.15052,0.17452,0.23256,2.35711,1.23356
2010-2014,2015,as coded,2010,3682,0.92665,1.25000,0.55009,0.15092,0.15228,0.18591,0.22858,2.35711,1.23356
2010-2014,2015,as coded,2010,3682,0.92665,1.50000,0.53770,0.17446,0.15507,0.20406,0.22224,2.35711,1.23356
2010-2014,2015,as coded,2010,3682,0.92665,1.75000,0.52598,0.19674,0.15771,0.22123,0.21624,2.35711,1.23356
2010-2014,2015,secundaria_as_diploma_0.5,2010,3682,0.92665,1.00000,0.53281,0.12599,0.14932,0.16670,0.23035,1.70464,1.23356
2010-2014,2015,secundaria_as_diploma_0.5,2010,3682,0.92665,1.10000,0.52783,0.13613,0.15052,0.17452,0.22767,1.70464,1.23356
2010-2014,2015,secundaria_as_diploma_0.5,2010,3682,0.92665,1.25000,0.52057,0.15092,0.15228,0.18591,0.22378,1.70464,1.23356
2010-2014,2015,secundaria_as_diploma_0.5,2010,3682,0.92665,1.50000,0.50900,0.17446,0.15507,0.20406,0.21757,1.70464,1.23356
2010-2014,2015,secundaria_as_diploma_0.5,2010,3682,0.92665,1.75000,0.49806,0.19674,0.15771,0.22123,0.21170,1.70464,1.23356
2015-2019,2019,as coded,2020,3649,0.93811,1.00000,0.53139,0.11345,0.09546,0.20601,0.20807,1.67533,0.81604
2015-2019,2019,as coded,2020,3649,0.93811,1.10000,0.52646,0.12294,0.09620,0.21345,0.20585,1.67533,0.81604
2015-2019,2019,as coded,2020,3649,0.93811,1.25000,0.51925,0.13679,0.09727,0.22432,0.20260,1.67533,0.81604
2015-2019,2019,as coded,2020,3649,0.93811,1.50000,0.50773,0.15893,0.09899,0.24168,0.19740,1.67533,0.81604
2015-2019,2019,as coded,2020,3649,0.93811,1.75000,0.49679,0.17996,0.10062,0.25818,0.19247,1.67533,0.81604
2015-2019,2019,secundaria_as_diploma_0.5,2020,3649,0.93811,1.00000,0.49979,0.11345,0.09546,0.21982,0.20629,,0.81604
2015-2019,2019,secundaria_as_diploma_0.5,2020,3649,0.93811,1.10000,0.49519,0.12294,0.09620,0.22711,0.20408,,0.81604
2015-2019,2019,secundaria_as_diploma_0.5,2020,3649,0.93811,1.25000,0.48848,0.13679,0.09727,0.23776,0.20086,,0.81604
2015-2019,2019,secundaria_as_diploma_0.5,2020,3649,0.93811,1.50000,0.47775,0.15893,0.09899,0.25478,0.19571,,0.81604
2015-2019,2019,secundaria_as_diploma_0.5,2020,3649,0.93811,1.75000,0.46755,0.17996,0.10062,0.27095,0.19081,,0.81604
2020-2023,2024,as coded,2020,4862,0.95214,1.00000,0.53954,0.11749,0.06982,0.21294,0.24455,1.77261,0.54090
2020-2023,2024,as coded,2020,4862,0.95214,1.10000,0.53405,0.12724,0.07030,0.22123,0.24185,1.77261,0.54090
2020-2023,2024,as coded,2020,4862,0.95214,1.25000,0.52602,0.14145,0.07099,0.23332,0.23791,1.77261,0.54090
2020-2023,2024,as coded,2020,4862,0.95214,1.50000,0.51321,0.16415,0.07210,0.25262,0.23163,1.77261,0.54090
2020-2023,2024,as coded,2020,4862,0.95214,1.75000,0.50107,0.18567,0.07315,0.27093,0.22566,1.77261,0.54090
2020-2023,2024,secundaria_as_diploma_0.5,2020,4862,0.95214,1.00000,0.49936,0.11749,0.06982,0.24060,0.24388,,0.54090
2020-2023,2024,secundaria_as_diploma_0.5,2020,4862,0.95214,1.10000,0.49430,0.12724,0.07030,0.24858,0.24118,,0.54090
2020-2023,2024,secundaria_as_diploma_0.5,2020,4862,0.95214,1.25000,0.48693,0.14145,0.07099,0.26023,0.23725,,0.54090
2020-2023,2024,secundaria_as_diploma_0.5,2020,4862,0.95214,1.50000,0.47515,0.16415,0.07210,0.27882,0.23098,,0.54090
2020-2023,2024,secundaria_as_diploma_0.5,2020,4862,0.95214,1.75000,0.46399,0.18567,0.07315,0.29645,0.22503,,0.54090
