anchor,census,sex,age_lo,age_hi,mean_years_scale,inegi_mean_years,ms_scale,inegi_media_superior,c5_tertiary,inegi_superior,c123,isced02_share,c5_credential,isced58_share
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,45,49,8.1322,8.1630,0.1477,0.1477,0.1718,0.1718,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,50,54,7.2557,7.2809,0.1167,0.1167,0.1457,0.1457,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,55,59,6.2284,6.2451,0.0945,0.0945,0.1086,0.1086,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,60,64,5.3433,5.3489,0.0757,0.0757,0.0833,0.0833,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,65,69,4.4453,4.4409,0.0575,0.0575,0.0606,0.0606,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,70,74,3.7291,3.7186,0.0441,0.0441,0.0433,0.0433,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,75,79,3.3636,3.3488,0.0378,0.0378,0.0349,0.0349,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,80,84,3.0823,3.0659,0.0339,0.0339,0.0306,0.0306,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,85,99,2.6666,2.6471,0.0258,0.0258,0.0248,0.0248,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,15,19,9.0982,9.0663,0.3585,0.3585,0.0395,0.0395,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,20,24,10.3909,10.3949,0.2755,0.2755,0.2466,0.2466,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,25,29,10.1606,10.1936,0.2087,0.2087,0.2464,0.2464,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,30,34,9.5626,9.6011,0.1835,0.1835,0.2093,0.2093,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,35,39,9.2987,9.3389,0.1818,0.1818,0.1889,0.1889,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,40,44,9.0071,9.0472,0.1823,0.1823,0.1855,0.1855,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,45,49,8.4844,8.5224,0.1538,0.1538,0.1902,0.1902,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,50,54,7.7413,7.7786,0.1184,0.1184,0.1762,0.1762,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,55,59,6.7706,6.8007,0.0916,0.0916,0.1428,0.1428,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,60,64,5.8281,5.8454,0.0724,0.0724,0.1132,0.1132,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,65,69,4.8632,4.8688,0.0541,0.0541,0.0852,0.0852,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,70,74,4.0218,4.0179,0.0407,0.0407,0.0609,0.0609,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,75,79,3.5700,3.5606,0.0345,0.0345,0.0482,0.0482,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,80,84,3.2286,3.2165,0.0311,0.0311,0.0415,0.0415,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,T,85,99,2.7490,2.7345,0.0237,0.0237,0.0323,0.0323,,,,
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,15,19,9.6175,9.6218,,,0.0451,,0.8088,0.8089,0.0044,0.0016
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,20,24,11.2207,11.2561,,,0.2986,,0.4223,0.4225,0.1163,0.1139
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,25,29,11.2784,11.3725,,,0.3090,,0.4605,0.4608,0.2345,0.2334
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,30,34,10.9425,11.0601,,,0.2875,,0.5020,0.5024,0.2340,0.2331
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,35,39,10.4576,10.5836,,,0.2594,,0.5524,0.5528,0.2166,0.2157
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,40,44,9.9214,10.0461,,,0.2270,,0.6033,0.6037,0.1926,0.1918
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,45,49,9.6765,9.8000,,,0.2095,,0.6285,0.6289,0.1791,0.1783
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,50,54,9.4035,9.5189,,,0.2067,,0.6346,0.6350,0.1757,0.1750
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,55,59,9.0410,9.1548,,,0.2223,,0.6438,0.6443,0.1890,0.1883
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,60,64,8.4034,8.5155,,,0.2187,,0.6815,0.6819,0.1879,0.1872
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,65,69,7.4451,7.5227,,,0.1864,,0.7405,0.7408,0.1609,0.1603
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,70,74,6.5245,6.5602,,,0.1555,,0.7871,0.7874,0.1339,0.1334
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,75,79,5.4613,5.4470,,,0.1199,,0.8375,0.8378,0.1022,0.1019
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,80,84,4.7063,4.6589,,,0.0943,,0.8719,0.8722,0.0798,0.0795
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,H,85,99,3.7517,3.6670,,,0.0635,,0.9117,0.9119,0.0541,0.0539
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,15,19,9.8397,9.8333,,,0.0562,,0.7811,0.7812,0.0048,0.0018
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,20,24,11.4895,11.5286,,,0.3319,,0.3945,0.3947,0.1395,0.1371
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,25,29,11.5088,11.5996,,,0.3236,,0.4401,0.4403,0.2525,0.2513
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,30,34,11.1096,11.2239,,,0.2984,,0.4870,0.4872,0.2468,0.2458
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,35,39,10.4942,10.6140,,,0.2648,,0.5545,0.5547,0.2249,0.2241
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,40,44,9.8908,10.0046,,,0.2256,,0.6128,0.6130,0.1945,0.1937
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,45,49,9.5521,9.6648,,,0.2046,,0.6382,0.6384,0.1769,0.1761
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,50,54,9.0538,9.1552,,,0.1927,,0.6576,0.6580,0.1665,0.1657
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,55,59,8.3645,8.4511,,,0.1863,,0.6896,0.6902,0.1607,0.1599
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,60,64,7.4685,7.5351,,,0.1564,,0.7432,0.7438,0.1347,0.1340
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,65,69,6.4079,6.4323,,,0.1178,,0.8004,0.8009,0.0996,0.0991
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,70,74,5.6391,5.6321,,,0.0953,,0.8357,0.8362,0.0779,0.0775
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,75,79,4.7525,4.7112,,,0.0711,,0.8749,0.8754,0.0576,0.0573
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,80,84,4.2384,4.1820,,,0.0554,,0.8983,0.8987,0.0448,0.0446
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,M,85,99,3.4560,3.3848,,,0.0394,,0.9255,0.9259,0.0324,0.0323
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,15,19,9.7274,9.7264,,,0.0506,,0.7951,0.7952,0.0046,0.0017
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,20,24,11.3563,11.3935,,,0.3154,,0.4082,0.4085,0.1280,0.1256
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,25,29,11.3967,11.4892,,,0.3165,,0.4500,0.4503,0.2437,0.2426
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,30,34,11.0293,11.1452,,,0.2932,,0.4942,0.4945,0.2407,0.2397
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,35,39,10.4766,10.5994,,,0.2622,,0.5535,0.5538,0.2209,0.2200
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,40,44,9.9054,10.0244,,,0.2263,,0.6083,0.6085,0.1936,0.1928
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,45,49,9.6118,9.7297,,,0.2069,,0.6335,0.6338,0.1780,0.1771
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,50,54,9.2194,9.3274,,,0.1993,,0.6467,0.6471,0.1709,0.1701
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,55,59,8.6843,8.7837,,,0.2033,,0.6680,0.6685,0.1741,0.1733
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,60,64,7.9063,7.9941,,,0.1856,,0.7143,0.7148,0.1596,0.1589
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,65,69,6.8935,6.9428,,,0.1500,,0.7723,0.7728,0.1283,0.1278
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,70,74,6.0516,6.0645,,,0.1233,,0.8131,0.8135,0.1040,0.1036
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,75,79,5.0837,5.0549,,,0.0939,,0.8574,0.8579,0.0785,0.0781
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,80,84,4.4469,4.3945,,,0.0727,,0.8865,0.8869,0.0604,0.0602
2020 sheet 13: ISCED 0-2 vs C1-C3; grado promedio vs scale mean,2020,T,85,99,3.5794,3.5026,,,0.0495,,0.9197,0.9200,0.0415,0.0413
