cut,group,n_group,outcome_id,outcome,variable,estimate,jrr_se,n_base,small_cell_flag,replicates_used
origin,Foreign born: South Asia,245,edu_some_college,Some college or associate degree,educrec,18.68,4.84,244,,100
origin,Foreign born: South Asia,245,edu_ba_plus,Four-year college degree or more,educrec,43.35,5.88,244,,100
origin,Foreign born: South Asia,245,edu_postgrad,Postgraduate or professional schooling,educrec,15.97,3.23,244,,100
origin,Foreign born: South Asia,245,citizen_yes_of_foreign_born,U.S. citizen (item asked of the foreign born only),citizen,70.89,6.7,244,,100
origin,Foreign born: South Asia,245,citizen_or_us_born,"U.S. citizen, counting the U.S. born as citizens",citizen+respondent_birthregion2,70.89,6.7,244,,100
origin,Foreign born: South Asia,245,party_republican,Identifies as Republican,party,6.91,2.88,236,,100
origin,Foreign born: South Asia,245,party_democrat,Identifies as Democrat,party,34.01,4.57,236,,100
origin,Foreign born: South Asia,245,party_independent,Identifies as independent,party,55.23,4.92,236,,100
origin,Foreign born: South Asia,245,party_rep_or_lean,Republican or leans Republican,party+partyln,17.22,5.16,236,,100
origin,Foreign born: South Asia,245,party_dem_or_lean,Democrat or leans Democratic,party+partyln,64.41,7.17,236,,100
origin,Foreign born: South Asia,245,fert_none,No children ever born,fertREC,31.05,5.15,238,,100
origin,Foreign born: South Asia,245,fert_3plus,Three or more children ever born,fertREC,32.56,7.69,238,,100
origin,Foreign born: South Asia,245,fert_mean_floor,Mean children ever born (top code 4+ counted as 4: a floor),fertREC,1.73,0.17,238,,100
origin,Foreign born: South Asia,245,satisfied_country,Satisfied with the way things are going in the country,qa2,46.72,5.56,221,,100
origin,Foreign born: South Asia,245,homeowner,Owns their home,qa6,49.42,6.22,245,,100
origin,Foreign born: South Asia,245,civilians_often_sometimes,Killing civilians often or sometimes justified,qf3,20.48,5.58,245,,100
origin,Foreign born: South Asia,245,civilians_rarely_never,Killing civilians rarely or never justified,qf3,67.27,7.22,245,,100
origin,Foreign born: South Asia,245,civilians_no_answer,Killing civilians: no answer given (volunteered DK/refused),qf3,12.25,5.65,245,,100
origin,Foreign born: South Asia,245,homosexuality_accepted,Homosexuality should be accepted by society,qb2c,47.62,5.92,245,,100
origin,Foreign born: South Asia,245,discrim_a_lot,A lot of discrimination against Muslims in the U.S.,qb7a,68.15,5.3,234,,100
origin,Foreign born: South Asia,245,harder_to_be_muslim,Has become more difficult to be a Muslim in the U.S.,qc3,40.44,4.74,235,,100
origin,Foreign born: South Asia,245,exp_suspicion,Past year: people acted suspicious of them,qd1a,18.39,4.2,244,,100
origin,Foreign born: South Asia,245,exp_offensive_names,Past year: called offensive names,qd1c,11.84,2.62,244,,100
origin,Foreign born: South Asia,245,exp_threatened,Past year: physically threatened or attacked,qd1f,1.67,0.97,245,,100
origin,Foreign born: South Asia,245,proud_american,Completely or mostly agree: proud to be an American,qc17b,95.62,2.96,239,,100
origin,Foreign born: South Asia,245,belong_muslim_community,Completely or mostly agree: strong belonging to U.S. Muslim community,qc17d,87.7,5.01,238,,100
origin,Foreign born: South Asia,245,lot_in_common,A lot in common with most Americans,qc13,49.87,5.93,243,,100
origin,Foreign born: South Asia,245,employed_full_time,Employed full time,employ,45.11,5.83,240,,100
origin,Foreign born: South Asia,245,employed_part_time,Employed part time,employ,12.73,6.37,240,,100
origin,Foreign born: South Asia,245,not_employed,Not employed,employ,42.15,7.97,240,,100
origin,Foreign born: South Asia,245,looking_for_work_of_not_employed,Looking for work (base: not employed),employ1,47.82,11.7,79,,100
