allocation,weighting,group,metric,source,n_adults_unweighted,weighted_adults,estimate,se_sdr,difference_from_third_plus_nh_white,se_sdr_difference
equal_all_members,person,all_second_gen,after_higher_ed_subsidy_nces,cps_asec_2025,6871,16869387.509126462,15391.11019306324,439.8055327307601,-399.0572954864365,488.91231121351274
equal_all_members,person,all_second_gen,after_aptc_measured,cps_asec_2025,6871,16869387.509126462,15156.266860126641,441.5463910339712,-425.89965985498566,489.7761534662266
equal_all_members,person,all_second_gen,after_uncompensated_care,cps_asec_2025,6871,16869387.509126462,15002.952808452108,442.10185630818603,-464.8076485397687,490.2636418227092
equal_all_members,person,all_second_gen,after_other_public_transfers,cps_asec_2025,6871,16869387.509126462,14982.646851606421,442.97904602349223,-472.0048899650319,490.4049567279259
equal_all_members,person,all_second_gen,institutional_care_base,acs_pums_2023,6871,16869387.509126462,1333.858727128502,,228.71859322133741,
equal_all_members,person,all_second_gen,institutional_care_generic_hispanic_adjusted,acs_pums_2023,6871,16869387.509126462,1333.858727128502,,228.71859322133741,
equal_all_members,person,all_second_gen,institutional_care_prison_45k,acs_pums_2023,6871,16869387.509126462,1150.6658526887513,,157.25793397700568,
equal_all_members,person,all_second_gen,institutional_care_prison_70k,acs_pums_2023,6871,16869387.509126462,1505.3753609558612,,295.624534635029,
equal_all_members,person,all_second_gen,institutional_care_nursing_medicaid_share_062,acs_pums_2023,6871,16869387.509126462,1139.2270067614797,,263.60333316016306,
equal_all_members,person,all_second_gen,institutional_care_nursing_062_and_hispanic_adj,acs_pums_2023,6871,16869387.509126462,1139.2270067614797,,263.60333316016306,
equal_all_members,person,all_second_gen,full_residual_balance_cps_plus_acs,combined,6871,16869387.509126462,13648.78812447792,,-700.723483186368,
equal_all_members,person,mexican_second_gen,edu_assistance_government,cps_asec_2025,2452,5614636.31290289,81.2203928814242,21.111084378613015,25.3879889170842,22.836869865587662
equal_all_members,person,mexican_second_gen,higher_ed_subsidy_nces,cps_asec_2025,2452,5614636.31290289,188.32614370163333,17.457894514304698,49.90121505674,18.267193551627265
equal_all_members,person,mexican_second_gen,aptc_measured,cps_asec_2025,2452,5614636.31290289,196.75551153843048,26.693763174734357,-11.24545702961899,28.13640000015342
equal_all_members,person,mexican_second_gen,uncompensated_care,cps_asec_2025,2452,5614636.31290289,234.15956265674717,12.554412142500045,119.75349966699771,12.878412085022003
equal_all_members,person,mexican_second_gen,other_public_transfers,cps_asec_2025,2452,5614636.31290289,12.789715776891054,5.2306837654459954,-0.31899964353314125,5.972768438044899
equal_all_members,person,mexican_second_gen,edu_assistance_government_proportional,cps_asec_2025,2452,5614636.31290289,68.368716627833,16.490617985967365,19.496615661929134,17.878796642036814
equal_all_members,person,mexican_second_gen,higher_ed_subsidy_brief074,cps_asec_2025,2452,5614636.31290289,180.37164329472355,16.720509750361153,47.79349263609194,17.495625697672104
equal_all_members,person,mexican_second_gen,aptc_fallback_share,cps_asec_2025,2452,5614636.31290289,238.82095950788377,26.35128067065449,-64.8690827778585,27.124436465104417
equal_all_members,person,mexican_second_gen,uncompensated_care_2024_prices,cps_asec_2025,2452,5614636.31290289,280.99147518809633,15.06529457100014,143.704199600397,15.454094502026502
equal_all_members,person,mexican_second_gen,uncompensated_care_ever_uninsured,cps_asec_2025,2452,5614636.31290289,206.2766572813945,12.759712536512627,118.20025240017154,13.162905958130946
equal_all_members,person,mexican_second_gen,housing_subsidy_capped_resource,cps_asec_2025,2452,5614636.31290289,70.00687772834647,13.075508260161673,29.150307918561722,13.059396591703818
