group,stratum_kind,stratum,generation,n_wave1,n_wave3,arrest5_n,arrest5_pct,incarc5_n,incarc5_pct,BAplus_n,BAplus_pct,noHS_n,noHS_pct,flag_small_cell
Mexican,wave-I family income (P56),$35k+,both,50,37,36,25.0,36,13.9,36,16.7,36,5.6,YES(<40)
Mexican,wave-I family income (P56),ALL (no stratum),both,755,424,408,14.5,409,9.3,402,10.0,402,9.0,
All other origins,"parental education (child report, V36/V41)",<HS,both,722,426,412,9.0,412,4.9,417,17.0,417,7.2,
All other origins,"parental education (child report, V36/V41)",HS grad,both,847,514,479,8.1,477,4.2,499,19.8,499,5.8,
All other origins,"parental education (child report, V36/V41)",Some college+,both,2531,1750,1691,7.5,1686,3.5,1722,36.6,1722,2.3,
All other origins,"parental education (child report, V36/V41)",ALL (no stratum),both,4503,2916,2790,8.0,2785,4.2,2858,29.1,2858,3.8,
All other origins,wave-I family income (P56),<$15k,both,415,276,265,7.2,265,4.5,270,21.5,270,3.3,
All other origins,wave-I family income (P56),$15-35k,both,745,524,500,8.6,498,4.4,507,25.4,507,3.4,
All other origins,wave-I family income (P56),$35k+,both,831,640,623,5.6,623,3.0,632,39.4,632,2.2,
All other origins,wave-I family income (P56),ALL (no stratum),both,4503,2916,2790,8.0,2785,4.2,2858,29.1,2858,3.8,
Cuban,"parental education (child report, V36/V41)",<HS,both,217,144,140,12.9,138,5.8,142,14.8,142,6.3,
Cuban,"parental education (child report, V36/V41)",HS grad,both,311,193,180,10.0,177,4.0,189,18.0,189,6.3,
Cuban,"parental education (child report, V36/V41)",Some college+,both,665,451,436,7.1,435,2.8,450,39.1,450,2.7,
Cuban,"parental education (child report, V36/V41)",ALL (no stratum),both,1225,810,777,9.1,771,4.0,803,29.0,803,4.1,
Cuban,wave-I family income (P56),<$15k,both,46,32,31,9.7,31,3.2,32,25.0,32,3.1,YES(<40)
Cuban,wave-I family income (P56),$15-35k,both,135,95,92,7.6,90,3.3,94,19.1,94,2.1,
Cuban,wave-I family income (P56),$35k+,both,200,156,150,7.3,150,2.7,156,40.4,156,3.2,
Cuban,wave-I family income (P56),ALL (no stratum),both,1225,810,777,9.1,771,4.0,803,29.0,803,4.1,
Filipino,"parental education (child report, V36/V41)",<HS,both,27,13,13,15.4,13,7.7,11,9.1,11,9.1,YES(<40)
Filipino,"parental education (child report, V36/V41)",HS grad,both,124,83,81,7.4,82,7.3,81,17.3,81,2.5,
