origin,generation,sex,n_wave1,n_wave3,retention_pct,arrest5_n,arrest5_pct,incarc5_n,incarc5_pct,noHS_n,noHS_pct,BAplus_n,BAplus_pct,employed_n,employed_pct,welfare_n,welfare_pct,enrolled_n,enrolled_pct,faminc_w1_n,faminc_w1_median,paredu_w1_n,paredu_w1_mean_1to6,paredu_w1_ltHS_pct,paredu_w1_coll_pct,ses_w1_mean
Colombian,both,women,118,85,72.0,80,2.5,80,1.2,85,1.2,85,30.6,85,84.7,85,1.2,83,50.6,48,30000.0,115,4.7,18.3,62.6,0.118
Colombian,both,pooled,227,155,68.3,147,10.9,149,5.4,154,2.6,154,27.9,154,87.7,153,1.3,152,50.7,87,30000.0,222,4.65,18.9,61.3,0.04
Dominican,1.5,men,13,4,30.8,4,0.0,4,0.0,4,25.0,4,25.0,4,25.0,4,0.0,4,75.0,7,17500.0,11,4.82,27.3,63.6,0.13
Dominican,1.5,women,22,11,50.0,11,9.1,11,9.1,11,0.0,11,9.1,11,81.8,11,0.0,11,27.3,8,12500.0,21,3.86,38.1,38.1,-0.272
Dominican,1.5,pooled,35,15,42.9,15,6.7,15,6.7,15,6.7,15,13.3,15,66.7,15,0.0,15,40.0,15,17500.0,32,4.19,34.4,46.9,-0.123
Dominican,2nd,men,29,12,41.4,12,41.7,12,16.7,12,25.0,12,16.7,12,83.3,12,0.0,12,41.7,8,26250.0,28,4.46,35.7,60.7,0.02
Dominican,2nd,women,41,28,68.3,27,7.4,27,3.7,28,3.6,28,21.4,28,82.1,28,14.3,28,39.3,15,17500.0,38,4.34,34.2,52.6,-0.141
Dominican,2nd,pooled,70,40,57.1,39,17.9,39,7.7,40,10.0,40,20.0,40,82.5,40,10.0,40,40.0,23,22500.0,66,4.39,34.8,56.1,-0.074
Dominican,both,men,42,16,38.1,16,31.2,16,12.5,16,25.0,16,18.8,16,68.8,16,0.0,16,50.0,15,22500.0,39,4.56,33.3,61.5,0.054
Dominican,both,women,63,39,61.9,38,7.9,38,5.3,39,2.6,39,17.9,39,82.1,39,10.3,39,35.9,23,17500.0,59,4.17,35.6,47.5,-0.187
Dominican,both,pooled,105,55,52.4,54,14.8,54,7.4,55,9.1,55,18.2,55,78.2,55,7.3,55,40.0,38,17500.0,98,4.33,34.7,53.1,-0.09
Central American,1.5,men,38,20,52.6,19,21.1,19,10.5,19,5.3,19,15.8,19,100.0,19,10.5,18,55.6,14,22500.0,38,4.63,21.1,55.3,-0.08
Central American,1.5,women,49,30,61.2,27,3.7,27,0.0,30,6.7,30,23.3,29,82.8,30,0.0,29,51.7,15,30000.0,48,4.1,37.5,58.3,-0.114
Central American,1.5,pooled,87,50,57.5,46,10.9,46,4.3,49,6.1,49,20.4,48,89.6,49,4.1,47,53.2,29,22500.0,86,4.34,30.2,57.0,-0.1
Central American,2nd,men,34,20,58.8,19,21.1,19,10.5,19,0.0,19,26.3,20,100.0,20,0.0,20,55.0,12,30000.0,33,4.64,15.2,57.6,0.046
Central American,2nd,women,33,19,57.6,17,5.9,17,0.0,18,0.0,18,33.3,19,84.2,19,0.0,19,42.1,10,23750.0,33,4.27,27.3,51.5,-0.207
Central American,2nd,pooled,67,39,58.2,36,13.9,36,5.6,37,0.0,37,29.7,39,92.3,39,0.0,39,48.7,22,30000.0,66,4.45,21.2,54.5,-0.078
Central American,both,men,72,40,55.6,38,21.1,38,10.5,38,2.6,38,21.1,39,100.0,39,5.1,38,55.3,26,22500.0,71,4.63,18.3,56.3,-0.02
Central American,both,women,82,49,59.8,44,4.5,44,0.0,48,4.2,48,27.1,48,83.3,49,0.0,48,47.9,25,30000.0,81,4.17,33.3,55.6,-0.152
Central American,both,pooled,154,89,57.8,82,12.2,82,4.9,86,3.5,86,24.4,87,90.8,88,2.3,86,51.2,51,22500.0,152,4.39,26.3,55.9,-0.09
South American,1.5,men,50,27,54.0,27,14.8,27,7.4,27,3.7,27,25.9,27,88.9,27,3.7,27,48.1,18,30000.0,49,5.1,8.2,73.5,0.254
South American,1.5,women,62,46,74.2,45,6.7,45,2.2,45,2.2,45,24.4,46,71.7,46,6.5,46,45.7,21,42500.0,59,5.03,8.5,62.7,0.298
South American,1.5,pooled,112,73,65.2,72,9.7,72,4.2,72,2.8,72,25.0,73,78.1,73,5.5,73,46.6,39,30000.0,108,5.06,8.3,67.6,0.278
South American,2nd,men,47,29,61.7,27,11.1,27,7.4,29,10.3,29,41.4,29,89.7,29,0.0,28,46.4,23,30000.0,46,5.07,6.5,73.9,0.406
South American,2nd,women,52,39,75.0,37,8.1,36,0.0,39,0.0,39,28.2,38,86.8,39,5.1,39,53.8,23,42500.0,51,4.82,13.7,64.7,0.193
South American,2nd,pooled,99,68,68.7,64,9.4,63,3.2,68,4.4,68,33.8,67,88.1,68,2.9,67,50.7,46,36250.0,97,4.94,10.3,69.1,0.294
South American,both,men,97,56,57.7,54,13.0,54,7.4,56,7.1,56,33.9,56,89.3,56,1.8,55,47.3,41,30000.0,95,5.08,7.4,73.7,0.328
South American,both,women,114,85,74.6,82,7.3,81,1.2,84,1.2,84,26.2,84,78.6,85,5.9,85,49.4,44,42500.0,110,4.94,10.9,63.6,0.25
South American,both,pooled,211,141,66.8,136,9.6,135,3.7,140,3.6,140,29.3,140,82.9,141,4.3,140,48.6,85,30000.0,205,5.0,9.3,68.3,0.286
Haitian,1.5,men,38,15,39.5,15,13.3,15,6.7,15,0.0,15,6.7,15,40.0,15,6.7,15,60.0,15,12500.0,29,3.79,44.8,37.9,-0.329
Haitian,1.5,women,63,35,55.6,31,0.0,31,0.0,35,5.7,35,22.9,35,85.7,33,6.1,34,55.9,22,12500.0,47,4.04,36.2,44.7,-0.237
Haitian,1.5,pooled,101,50,49.5,46,4.3,46,2.2,50,4.0,50,18.0,50,72.0,48,6.2,49,57.1,37,12500.0,76,3.95,39.5,42.1,-0.272
Haitian,2nd,men,29,17,58.6,16,12.5,16,6.2,17,0.0,17,11.8,17,82.4,17,0.0,17,41.2,13,12500.0,26,3.85,34.6,26.9,-0.198
Haitian,2nd,women,48,30,62.5,25,12.0,26,7.7,30,3.3,30,33.3,29,65.5,29,6.9,30,70.0,21,8750.0,40,4.3,20.0,55.0,-0.129
Haitian,2nd,pooled,77,47,61.0,41,12.2,42,7.1,47,2.1,47,25.5,46,71.7,46,4.3,47,59.6,34,12500.0,66,4.12,25.8,43.9,-0.155
Haitian,both,men,67,32,47.8,31,12.9,31,6.5,32,0.0,32,9.4,32,62.5,32,3.1,32,50.0,28,12500.0,55,3.82,40.0,32.7,-0.272
Haitian,both,women,111,65,58.6,56,5.4,57,3.5,65,4.6,65,27.7,64,76.6,62,6.5,64,62.5,43,12500.0,87,4.16,28.7,49.4,-0.19
Haitian,both,pooled,178,97,54.5,87,8.0,88,4.5,97,3.1,97,21.6,96,71.9,94,5.3,96,58.3,71,12500.0,142,4.03,33.1,43.0,-0.221
Jamaican,1.5,men,38,19,50.0,18,22.2,18,11.1,19,10.5,19,21.1,19,73.7,19,5.3,19,52.6,18,26250.0,33,4.79,15.2,63.6,0.116
Jamaican,1.5,women,56,36,64.3,33,3.0,33,0.0,36,0.0,36,44.4,35,85.7,36,2.8,36,58.3,21,30000.0,46,5.09,2.2,71.7,0.105
Jamaican,1.5,pooled,94,55,58.5,51,9.8,51,3.9,55,3.6,55,36.4,54,81.5,55,3.6,55,56.4,39,30000.0,79,4.96,7.6,68.4,0.109
Jamaican,2nd,men,19,12,63.2,12,41.7,11,27.3,12,0.0,12,50.0,12,75.0,12,8.3,12,50.0,12,62500.0,18,5.11,11.1,66.7,0.469
Jamaican,2nd,women,43,25,58.1,23,4.3,23,0.0,25,8.0,25,32.0,25,80.0,24,8.3,23,56.5,20,42500.0,42,5.21,7.1,78.6,0.309
Jamaican,2nd,pooled,62,37,59.7,35,17.1,34,8.8,37,5.4,37,37.8,37,78.4,36,8.3,35,54.3,32,52500.0,60,5.18,8.3,75.0,0.358
Jamaican,both,men,57,31,54.4,30,30.0,29,17.2,31,6.5,31,32.3,31,74.2,31,6.5,31,51.6,30,42500.0,51,4.9,13.7,64.7,0.234
Jamaican,both,women,99,61,61.6,56,3.6,56,0.0,61,3.3,61,39.3,60,83.3,60,5.0,59,57.6,41,30000.0,88,5.15,4.5,75.0,0.193
Jamaican,both,pooled,156,92,59.0,86,12.8,85,5.9,92,4.3,92,37.0,91,80.2,91,5.5,90,55.6,71,30000.0,139,5.06,7.9,71.2,0.208
West Indian,1.5,men,10,1,10.0,1,0.0,1,0.0,0,,0,,1,100.0,1,0.0,1,0.0,5,22500.0,10,4.5,10.0,40.0,-0.128
West Indian,1.5,women,28,16,57.1,15,0.0,15,0.0,16,0.0,16,25.0,16,87.5,16,18.8,16,62.5,12,12500.0,27,4.44,18.5,40.7,-0.088
West Indian,1.5,pooled,38,17,44.7,16,0.0,16,0.0,16,0.0,16,25.0,17,88.2,17,17.6,17,58.8,17,17500.0,37,4.46,16.2,40.5,-0.099
West Indian,2nd,men,28,13,46.4,13,23.1,13,15.4,13,7.7,13,30.8,13,69.2,13,0.0,13,38.5,15,22500.0,27,5.19,0.0,70.4,0.263
West Indian,2nd,women,50,37,74.0,34,5.9,34,2.9,36,8.3,36,30.6,37,75.7,36,5.6,36,58.3,24,36250.0,49,4.84,4.1,59.2,0.168
West Indian,2nd,pooled,78,50,64.1,47,10.6,47,6.4,49,8.2,49,30.6,50,74.0,49,4.1,49,53.1,39,30000.0,76,4.96,2.6,63.2,0.202
West Indian,both,men,38,14,36.8,14,21.4,14,14.3,13,7.7,13,30.8,14,71.4,14,0.0,14,35.7,20,22500.0,37,5.0,2.7,62.2,0.16
West Indian,both,women,78,53,67.9,49,4.1,49,2.0,52,5.8,52,28.8,53,79.2,52,9.6,52,59.6,36,30000.0,76,4.7,9.2,52.6,0.076
West Indian,both,pooled,116,67,57.8,63,7.9,63,4.8,65,6.2,65,29.2,67,77.6,66,7.6,66,54.5,56,22500.0,113,4.8,7.1,55.8,0.104
Filipino,1.5,men,185,118,63.8,111,8.1,112,5.4,114,1.8,114,14.0,115,79.1,112,0.0,113,57.5,66,42500.0,178,5.25,1.7,77.0,0.203
Filipino,1.5,women,185,127,68.6,126,3.2,127,2.4,123,3.3,123,33.3,127,79.5,126,4.0,122,51.6,79,42500.0,172,5.23,6.4,77.3,0.186
Filipino,1.5,pooled,370,245,66.2,237,5.5,239,3.8,237,2.5,237,24.1,242,79.3,238,2.1,235,54.5,145,42500.0,350,5.24,4.0,77.1,0.194
Filipino,2nd,men,222,168,75.7,165,8.5,165,6.1,162,1.9,162,21.0,165,89.7,164,2.4,161,61.5,108,62500.0,206,5.35,2.9,84.0,0.391
Filipino,2nd,women,227,180,79.3,177,2.8,177,1.7,174,1.1,174,36.8,180,76.1,180,8.3,172,56.4,92,42500.0,217,5.28,3.2,82.5,0.336
Filipino,2nd,pooled,449,348,77.5,342,5.6,342,3.8,336,1.5,336,29.2,345,82.6,344,5.5,333,58.9,200,52500.0,423,5.31,3.1,83.2,0.363
Filipino,both,men,407,286,70.3,276,8.3,277,5.8,276,1.8,276,18.1,280,85.4,276,1.4,274,59.9,174,42500.0,384,5.3,2.3,80.7,0.306
Filipino,both,women,412,307,74.5,303,3.0,304,2.0,297,2.0,297,35.4,307,77.5,306,6.5,294,54.4,171,42500.0,389,5.26,4.6,80.2,0.268
Filipino,both,pooled,819,593,72.4,579,5.5,581,3.8,573,1.9,573,27.1,587,81.3,582,4.1,568,57.0,345,42500.0,773,5.28,3.5,80.5,0.287
Vietnamese,1.5,men,166,84,50.6,79,13.9,80,11.2,80,11.2,80,27.5,79,75.9,80,2.5,77,42.9,111,17500.0,112,3.71,39.3,37.5,-0.474
Vietnamese,1.5,women,146,74,50.7,71,0.0,71,0.0,74,0.0,74,55.4,74,73.0,73,1.4,73,60.3,99,17500.0,100,3.67,48.0,39.0,-0.502
Vietnamese,1.5,pooled,312,158,50.6,150,7.3,151,6.0,154,5.8,154,40.9,153,74.5,153,2.0,150,51.3,210,17500.0,212,3.69,43.4,38.2,-0.487
Vietnamese,2nd,men,26,17,65.4,16,18.8,16,18.8,15,0.0,15,33.3,15,73.3,15,6.7,12,66.7,18,42500.0,18,5.17,5.6,72.2,0.278
Vietnamese,2nd,women,32,25,78.1,25,4.0,25,4.0,25,0.0,25,56.0,25,64.0,24,0.0,24,62.5,19,42500.0,29,4.79,20.7,65.5,0.222
Vietnamese,2nd,pooled,58,42,72.4,41,9.8,41,9.8,40,0.0,40,47.5,40,67.5,39,2.6,36,63.9,37,42500.0,47,4.94,14.9,68.1,0.247
Vietnamese,both,men,192,101,52.6,95,14.7,96,12.5,95,9.5,95,28.4,94,75.5,95,3.2,89,46.1,129,17500.0,130,3.92,34.6,42.3,-0.372
Vietnamese,both,women,178,99,55.6,96,1.0,96,1.0,99,0.0,99,55.6,99,70.7,97,1.0,97,60.8,118,22500.0,129,3.92,41.9,45.0,-0.372
Vietnamese,both,pooled,370,200,54.1,191,7.9,192,6.8,194,4.6,194,42.3,193,73.1,192,2.1,186,53.8,247,17500.0,259,3.92,38.2,43.6,-0.372
Laotian,1.5,men,72,38,52.8,38,10.5,38,10.5,38,5.3,38,10.5,37,78.4,36,2.8,35,37.1,63,30000.0,44,3.64,45.5,38.6,-0.745
Laotian,1.5,women,80,50,62.5,48,2.1,48,0.0,49,4.1,49,32.7,50,70.0,50,6.0,49,28.6,75,17500.0,49,3.59,42.9,40.8,-0.861
Laotian,1.5,pooled,152,88,57.9,86,5.8,86,4.7,87,4.6,87,23.0,87,73.6,86,4.7,84,32.1,138,22500.0,93,3.61,44.1,39.8,-0.806
Laotian,2nd,men,2,2,100.0,2,50.0,2,50.0,2,0.0,2,0.0,2,100.0,2,0.0,2,50.0,2,40000.0,2,6.0,0.0,100.0,0.505
Laotian,2nd,pooled,2,2,100.0,2,50.0,2,50.0,2,0.0,2,0.0,2,100.0,2,0.0,2,50.0,2,40000.0,2,6.0,0.0,100.0,0.505
Laotian,both,men,75,41,54.7,41,12.2,41,12.2,41,4.9,41,12.2,40,77.5,39,2.6,38,39.5,66,30000.0,47,3.72,44.7,40.4,-0.7
Laotian,both,women,80,50,62.5,48,2.1,48,0.0,49,4.1,49,32.7,50,70.0,50,6.0,49,28.6,75,17500.0,49,3.59,42.9,40.8,-0.861
Laotian,both,pooled,155,91,58.7,89,6.7,89,5.6,90,4.4,90,23.3,90,73.3,89,4.5,87,33.3,141,22500.0,96,3.66,43.8,40.6,-0.783
Cambodian,1.5,men,38,26,68.4,25,8.0,25,8.0,22,13.6,22,4.5,25,84.0,22,0.0,23,47.8,30,12500.0,25,2.88,64.0,28.0,-1.041
Cambodian,1.5,women,53,38,71.7,36,0.0,36,0.0,36,8.3,36,2.8,38,86.8,37,2.7,37,62.2,45,12500.0,38,2.89,63.2,21.1,-1.06
Cambodian,1.5,pooled,91,64,70.3,61,3.3,61,3.3,58,10.3,58,3.4,63,85.7,59,1.7,60,56.7,75,12500.0,63,2.89,63.5,23.8,-1.052
Cambodian,2nd,men,2,1,50.0,1,0.0,1,0.0,1,0.0,1,0.0,1,100.0,1,0.0,1,100.0,1,8750.0,1,6.0,0.0,100.0,0.43
Cambodian,2nd,women,1,1,100.0,1,0.0,1,0.0,1,100.0,1,0.0,1,100.0,1,0.0,1,0.0,1,42500.0,1,6.0,0.0,100.0,0.24
Cambodian,2nd,pooled,3,2,66.7,2,0.0,2,0.0,2,50.0,2,0.0,2,100.0,2,0.0,2,50.0,2,25625.0,2,6.0,0.0,100.0,0.367
Cambodian,both,men,40,27,67.5,26,7.7,26,7.7,23,13.0,23,4.3,26,84.6,23,0.0,24,50.0,31,12500.0,26,3.0,61.5,30.8,-0.967
Cambodian,both,women,55,40,72.7,38,0.0,38,0.0,38,10.5,38,2.6,39,87.2,39,2.6,39,59.0,47,12500.0,39,2.97,61.5,23.1,-1.047
Cambodian,both,pooled,95,67,70.5,64,3.1,64,3.1,61,11.5,61,3.3,65,86.2,62,1.6,63,55.6,78,12500.0,65,2.98,61.5,26.2,-1.013
Chinese,1.5,men,20,12,60.0,12,8.3,12,8.3,12,0.0,12,58.3,12,75.0,12,0.0,12,58.3,9,22500.0,20,4.5,20.0,45.0,0.149
Chinese,1.5,women,16,12,75.0,11,0.0,11,0.0,12,0.0,12,50.0,12,58.3,12,0.0,12,66.7,5,12500.0,14,4.14,42.9,50.0,-0.131
Chinese,1.5,pooled,36,24,66.7,23,4.3,23,4.3,24,0.0,24,54.2,24,66.7,24,0.0,24,62.5,14,20000.0,34,4.35,29.4,47.1,0.025
Chinese,2nd,men,19,15,78.9,14,7.1,14,0.0,13,0.0,13,53.8,14,71.4,15,0.0,14,57.1,6,30000.0,17,5.24,5.9,76.5,0.512
Chinese,2nd,women,17,12,70.6,11,0.0,11,0.0,11,9.1,11,54.5,12,58.3,12,0.0,12,91.7,7,62500.0,15,4.67,20.0,60.0,0.349
Chinese,2nd,pooled,36,27,75.0,25,4.0,25,0.0,24,4.2,24,54.2,26,65.4,27,0.0,26,73.1,13,30000.0,32,4.97,12.5,68.8,0.435
Chinese,both,men,39,27,69.2,26,7.7,26,3.8,25,0.0,25,56.0,26,73.1,27,0.0,26,57.7,15,30000.0,37,4.84,13.5,59.5,0.326
Chinese,both,women,33,24,72.7,22,0.0,22,0.0,23,4.3,23,52.2,24,58.3,24,0.0,24,79.2,12,26250.0,29,4.41,31.0,55.2,0.117
Chinese,both,pooled,72,51,70.8,48,4.2,48,2.1,48,2.1,48,54.2,50,66.0,51,0.0,50,68.0,27,30000.0,66,4.65,21.2,57.6,0.23
Other Asian,1.5,men,20,8,40.0,8,12.5,8,0.0,8,0.0,8,50.0,8,75.0,7,0.0,8,62.5,5,87500.0,17,5.35,0.0,82.4,0.264
Other Asian,1.5,women,21,11,52.4,11,0.0,11,0.0,10,0.0,10,50.0,11,81.8,11,0.0,11,63.6,8,52500.0,20,5.6,0.0,95.0,0.401
Other Asian,1.5,pooled,41,19,46.3,19,5.3,19,0.0,18,0.0,18,50.0,19,78.9,18,0.0,19,63.2,13,62500.0,37,5.49,0.0,89.2,0.335
Other Asian,2nd,men,27,19,70.4,16,12.5,16,6.2,17,0.0,17,47.1,17,70.6,17,0.0,16,68.8,9,62500.0,27,4.93,0.0,59.3,0.371
Other Asian,2nd,women,32,25,78.1,24,4.2,24,4.2,25,0.0,25,52.0,25,72.0,25,0.0,25,52.0,12,62500.0,32,5.28,3.1,81.2,0.565
Other Asian,2nd,pooled,59,44,74.6,40,7.5,40,5.0,42,0.0,42,50.0,42,71.4,42,0.0,41,58.5,21,62500.0,59,5.12,1.7,71.2,0.476
Other Asian,both,men,47,27,57.4,24,12.5,24,4.2,25,0.0,25,48.0,25,72.0,24,0.0,24,66.7,14,62500.0,44,5.09,0.0,68.2,0.326
Other Asian,both,women,53,36,67.9,35,2.9,35,2.9,35,0.0,35,51.4,36,75.0,36,0.0,36,55.6,20,62500.0,52,5.4,1.9,86.5,0.5
Other Asian,both,pooled,100,63,63.0,59,6.8,59,3.4,60,0.0,60,50.0,61,73.8,60,0.0,60,60.0,34,62500.0,96,5.26,1.0,78.1,0.418
Europe/Canada,1.5,men,12,7,58.3,7,42.9,7,0.0,7,14.3,7,42.9,7,57.1,7,0.0,7,42.9,2,52500.0,12,5.0,16.7,66.7,0.297
Europe/Canada,1.5,women,8,6,75.0,6,16.7,6,0.0,5,0.0,5,60.0,6,66.7,6,0.0,6,66.7,2,21250.0,8,5.25,0.0,75.0,0.379
Europe/Canada,1.5,pooled,20,13,65.0,13,30.8,13,0.0,12,8.3,12,50.0,13,61.5,13,0.0,13,53.8,4,36250.0,20,5.1,10.0,70.0,0.33
Europe/Canada,2nd,men,32,24,75.0,23,8.7,22,0.0,24,4.2,24,41.7,24,91.7,24,0.0,23,34.8,8,42500.0,32,4.97,12.5,62.5,0.519
Europe/Canada,2nd,women,36,25,69.4,23,4.3,24,0.0,24,4.2,24,62.5,24,70.8,24,8.3,25,44.0,12,75000.0,34,5.32,5.9,85.3,0.452
Europe/Canada,2nd,pooled,68,49,72.1,46,6.5,46,0.0,48,4.2,48,52.1,48,81.2,48,4.2,48,39.6,20,52500.0,66,5.15,9.1,74.2,0.484
Europe/Canada,both,men,44,31,70.5,30,16.7,29,0.0,31,6.5,31,41.9,31,83.9,31,0.0,30,36.7,10,42500.0,44,4.98,13.6,63.6,0.458
Europe/Canada,both,women,44,31,70.5,29,6.9,30,0.0,29,3.4,29,62.1,30,70.0,30,6.7,31,48.4,14,52500.0,42,5.31,4.8,83.3,0.439
Europe/Canada,both,pooled,88,62,70.5,59,11.9,59,0.0,60,5.0,60,51.7,61,77.0,61,3.3,61,42.6,24,42500.0,86,5.14,9.3,73.3,0.449
Lao/Hmong/Cambodian,1.5,men,137,80,58.4,78,7.7,78,7.7,76,7.9,76,7.9,78,83.3,73,2.7,73,41.1,117,17500.0,85,3.14,56.5,29.4,-0.944
Lao/Hmong/Cambodian,1.5,women,156,100,64.1,96,1.0,96,0.0,97,5.2,97,18.6,100,80.0,99,4.0,97,42.3,137,17500.0,101,3.08,56.4,28.7,-1.003
Lao/Hmong/Cambodian,1.5,pooled,293,180,61.4,174,4.0,174,3.4,173,6.4,173,13.9,178,81.5,172,3.5,170,41.8,254,17500.0,186,3.11,56.5,29.0,-0.975
Lao/Hmong/Cambodian,2nd,men,5,4,80.0,4,25.0,4,25.0,4,0.0,4,0.0,4,100.0,3,0.0,4,50.0,4,17500.0,4,4.75,25.0,75.0,0.042
