cbsa,dX,Z,w,pop,counties_x,rent_2000,rent_2010,value_2000,value_2010,renters_2000,owners_2000,units_2000,dlog_rent,dlog_value,log_rent_2000,log_value_2000,pred_2000s_all,pred_2000s_mex,pred_1990s_all,ancestry_2010_all,counties_y,elasticity,WRLURI,Z2
20500,3.119273671668978,1.4140583053187472,426493.0,426493.0,4,649.5730416062563,784.0127937405831,130297.42384560998,194245.1459266488,68283.0,100421.0,181603.0,0.18811005076797294,0.3993012871525483,6.476315287995951,11.77757499197052,23569.969285283292,7682.88127942142,23784.170268238635,262251.4,4,,,5.526460993564559
20700,3.919982014377074,2.1901042288872596,138687.0,138687.0,1,658.0,936.0,123900.0,206400.0,10712.0,38742.0,67581.0,0.3524105451522743,0.5103412449723113,6.489204931325317,11.727230067617233,3794.738730268179,1548.5134201703609,2089.3820052846995,126033.37,1,,,2.736189210429369
20740,0.3761217877986549,0.5316181059721863,148337.0,148337.0,2,474.27597859757816,644.2343048208404,92886.2034852751,146827.27461139896,17755.0,39423.0,60295.0,0.30627310170554267,0.45788176779529266,6.161789385591239,11.439130404465205,1543.8585670074049,568.982529868909,1329.3996999477806,125202.59,2,,,1.040777801227883
20940,0.18895415256006487,10.872433054027969,142361.0,142361.0,1,504.0,682.0,93800.0,192600.0,16413.0,22971.0,43891.0,0.3024533897720936,0.7194506433518466,6.222576268071369,11.448920134994315,5262.969439817033,360.2045732834978,6093.120037477657,135105.22,1,,,3.6969180041001635
21060,0.08165157858882299,1.2059190956004016,133896.0,133896.0,3,433.97924755656715,630.3264818355641,81490.96315298507,123252.6750237842,14938.0,34304.0,53826.0,0.37324119402190803,0.41374438419366477,6.072996716267213,11.308247411522673,3077.0835366459933,1169.293158604957,3843.778630738576,65788.1,3,,,2.2981146088352102
21140,1.003300351834529,1.261846070555951,182791.0,182791.0,1,541.0,695.0,95600.0,128000.0,18362.0,47792.0,69791.0,0.2504925667183109,0.29185744386226276,6.293419278846481,11.467928099039492,4386.994972858419,699.6945357530113,5931.630040746282,121957.15,1,4.0081205,-0.8325504,2.4000060029533286
21340,-1.2479520494822012,9.388283108746174,682966.0,682966.0,2,467.59015580551716,618.0275366111762,66831.80249851278,101486.25725375659,76634.0,134480.0,225918.0,0.2789408373092561,0.41774434024316953,6.147592176779035,11.109934331539161,27408.47356762667,2425.0993860022204,35867.055821559836,617119.06,2,2.3477886,0.7277706,4.0131534465297936
21500,0.8223808435213598,0.6526055699906678,280843.0,280843.0,1,445.0,616.0,82500.0,111300.0,32799.0,73708.0,114322.0,0.3251726813672793,0.2994309649408642,6.09807428216624,11.320553572322773,5025.037504721875,2146.3922501613124,5732.353694468031,206448.4,1,1.6713277,-0.6262951,1.7892692731247974
21660,0.9848773969701687,1.285969935749849,322959.0,322959.0,1,604.0,769.0,136000.0,230000.0,49245.0,81208.0,138946.0,0.2415167715708293,0.525424423187145,6.403574197934815,11.820410164718188,6244.073782645424,1998.4783375597844,6650.852335979085,238236.3,1,1.2243577,0.34311852,1.9333951933977453
21780,0.7888247936269801,0.37220133464931343,296195.0,296195.0,4,449.20695359433495,640.0831799480294,84377.07975781846,117073.64242037054,34457.0,83904.0,127388.0,0.35411443388107333,0.3275073613204249,6.1074837026962445,11.343051076852602,3243.905062445653,1125.353740838142,1807.6232584831212,163330.3,4,3.9929748,-1.0457487,1.0951923774694552
22020,1.3394180326363294,0.47999203719263617,174367.0,174367.0,2,455.2584621813623,607.7621505740318,90788.24056798081,147334.64566929135,28716.0,41269.0,73536.0,0.2889182992912547,0.48417673257054794,6.120865306422579,11.416285047039143,6972.01184244042,2767.8351075001374,3416.0968321490022,170107.61,2,5.97526,-1.2707556,3.998469803598399
22140,1.7500648383070643,0.6851465716868208,113801.0,113801.0,1,459.0,683.0,77000.0,149400.0,9296.0,28415.0,43221.0,0.39744464951024483,0.6628218508450328,6.129050210060545,11.251560700835821,979.2325891869692,158.89256399201673,988.8648822392704,60172.77,1,,,0.8604780179321528
22180,1.4573459625021457,1.6180718382134622,336609.0,336609.0,2,576.289029535865,778.1087488383561,83223.9917541748,116900.0,46452.0,72279.0,130943.0,0.3002569721766113,0.3397831997893288,6.356609322231353,11.329290947670831,7493.907858749257,2543.1445538303037,10737.635635441577,141034.2,2,2.7050788,-0.508336,2.2262945609740847
22220,3.706985609283395,1.2523181789156361,347045.0,347045.0,4,494.8524530615025,674.8056731723453,87681.43630819643,149091.00798486493,44047.0,87892.0,144435.0,0.31016511431487004,0.530846707014998,6.204259643512393,11.38146548329991,12159.900695876438,2441.853928181177,10448.949839840338,255038.38,4,2.064204,-0.40400937,3.503839760226034
22380,1.604152373811612,1.0449186933367753,116320.0,116320.0,1,629.0,888.0,124700.0,257700.0,15620.0,24828.0,53443.0,0.34484048629172914,0.7258852649723284,6.444131256700441,11.733666131668128,2624.9244437514344,816.1003339915295,3186.197121168508,68924.195,1,3.1154153,-0.418257,2.2566406841054287
22420,-0.027886137790105625,0.7632940942720283,436141.0,436141.0,1,507.0,662.0,90800.0,118000.0,45438.0,124387.0,183630.0,0.2667545523458248,0.2620253388584164,6.2285110035911835,11.416414564589385,2843.5976965227906,1138.565862021589,4487.743036094887,209406.25,1,2.750336,-0.3153763,0.6519904564172574
22500,0.01629235966148901,0.390893056822057,193155.0,193155.0,2,427.19092465753425,592.8987242475538,67473.01297648012,98849.59037955655,18688.0,54252.0,80778.0,0.32779255535380436,0.38187169557102507,6.057231043641153,11.11948298916034,1222.4963646075407,362.6597309511147,1508.5898507279596,50278.785,2,2.937962,-0.4279859,0.6329095102935677
22520,0.3595871762151709,0.2468279648909741,142950.0,142950.0,2,417.83402819138377,556.7729083665339,75927.9432754731,102677.28351668417,15111.0,43438.0,65404.0,0.2870731599537928,0.30180612409092866,6.035084291931769,11.237540054726932,1151.2348005595104,307.4322822397891,625.8337707279497,48378.336,2,,,0.8053408888139283
22660,0.9354855641734945,0.9632474857019024,251494.0,251494.0,1,678.0,849.0,168200.0,246000.0,31420.0,65744.0,105392.0,0.22491189837095238,0.38017778839351557,6.519147287940395,12.032909026520985,5895.389810075455,1706.108130202776,6451.964531178799,226078.0,1,1.7872449,0.5740648,2.344147299766776
22900,1.1074736270420678,0.9268789226017538,255399.0,255399.0,4,406.5689338235294,568.5699631931454,64295.02989098582,94913.17664310319,29376.0,68248.0,107708.0,0.3353708784087006,0.38948021101318986,6.00775349351266,11.071237611608169,2965.659137561078,400.38897324458367,4503.424923957117,116880.93,4,3.3567379,-1.0431358,1.1611866677477507
23060,0.9547913758278441,0.8106333404870859,390156.0,390156.0,3,501.1704234559233,622.1513005552932,88022.62790379261,113959.46400693842,41303.0,109555.0,162420.0,0.21623710182022204,0.2582488895798587,6.216946209820021,11.385349195677106,8012.245872361074,2914.3269022460113,8305.599721403474,252327.42,3,5.3610816,-1.2196237,2.0536005783227926
