flow,annual_flow_bn,deficit_share,rate_name,rate,years,debt_bn,principal_bn,interest_component_bn,interest_in_year_N_bn
union_absolute,-263.2241407097771,0.509,r3,0.03,10,-1535.9430185099009,-1339.8108762127654,-196.1321422971355,-40.83384264724148
union_absolute,-263.2241407097771,0.509,r3,0.03,20,-3600.12199882461,-2679.6217524255308,-920.5002463990791,-100.9555605204854
union_absolute,-263.2241407097771,0.509,r3,0.03,30,-6374.205940367394,-4019.432628638296,-2354.7733117290977,-181.7541219246442
union_absolute,-263.2241407097771,0.509,r4,0.04,10,-1608.5912904315499,-1339.8108762127654,-268.7804142187845,-56.71577703116436
union_absolute,-263.2241407097771,0.509,r4,0.04,20,-3989.699354862277,-2679.6217524255308,-1310.077602436746,-148.29685643234615
union_absolute,-263.2241407097771,0.509,r4,0.04,30,-7514.320959008842,-4019.432628638296,-3494.8883303705456,-283.8592258225986
union_absolute,-263.2241407097771,0.509,r5,0.05,10,-1685.1997218963693,-1339.8108762127654,-345.3888456836039,-73.86755401309965
union_absolute,-263.2241407097771,0.509,r5,0.05,20,-4430.212493940205,-2679.6217524255308,-1750.590741514674,-204.582447919949
union_absolute,-263.2241407097771,0.509,r5,0.05,30,-8901.549048757863,-4019.432628638296,-4882.116420119566,-417.5032362445993
union_gap_vs_white,-361.1330759723237,1.0,effective_fy2024,0.03220790586972007,10,-4182.330015670905,-3611.330759723237,-570.9992559476677,-119.2325215139439
union_gap_vs_white,-361.1330759723237,1.0,effective_fy2024,0.03220790586972007,20,-9924.685967580055,-7222.661519446474,-2702.0244481335812,-298.41082359610226
union_gap_vs_white,-361.1330759723237,1.0,effective_fy2024,0.03220790586972007,30,-17808.963811478723,-10833.99227916971,-6974.971532309013,-544.423353826672
union_gap_vs_white,-361.1330759723237,1.0,r3,0.03,10,-4139.985998326913,-3611.330759723237,-528.6552386036765,-110.06367735013367
union_gap_vs_white,-361.1330759723237,1.0,r3,0.03,20,-9703.780991733782,-7222.661519446474,-2481.119472287308,-272.11595871149865
union_gap_vs_white,-361.1330759723237,1.0,r3,0.03,30,-17181.056214686094,-10833.99227916971,-6347.063935516384,-489.90067394311944
union_gap_vs_white,-361.1330759723237,1.0,r4,0.04,10,-4335.802395767268,-3611.330759723237,-724.4716360440307,-152.87189691519015
union_gap_vs_white,-361.1330759723237,1.0,r4,0.04,20,-10753.849112637034,-7222.661519446474,-3531.1875931905597,-399.7198475640273
