model,reference,group,stat,estimate,se,n_cell,boot_draws,reported
A_christian_ref,Christian,Buddhist,loggap_earnFT_adj_origin,0.009849555378971697,0.13420716555990866,82,500,True
A_christian_ref,Christian,Hindu,loggap_earnFT_adj_origin,-0.1674509847808167,0.17449235484498263,262,500,True
A_christian_ref,Christian,Jewish,loggap_earnFT_adj_origin,0.41243719572584303,0.12303107170294295,37,500,False
A_christian_ref,Christian,Muslim,loggap_earnFT_adj_origin,0.03013882402441112,0.0794108785454408,206,500,True
A_christian_ref,Christian,No religion,loggap_earnFT_adj_origin,0.06675052562954265,0.06672495954332279,370,500,True
A_christian_ref,Christian,Other,loggap_earnFT_adj_origin,0.02689198747922139,0.09057258087315147,76,500,True
A_christian_ref,Christian,Buddhist,loggap_wageG_unadj,-0.5512873778788422,0.24890591118563246,100,500,True
A_christian_ref,Christian,Hindu,loggap_wageG_unadj,0.5439431234789129,0.1447459944211149,280,500,True
A_christian_ref,Christian,Jewish,loggap_wageG_unadj,0.9563424679715287,0.1742812062908884,55,500,True
A_christian_ref,Christian,Muslim,loggap_wageG_unadj,-0.2900537620875977,0.12497662361953202,254,500,True
A_christian_ref,Christian,No religion,loggap_wageG_unadj,0.04333640827230454,0.11262136326838314,428,500,True
A_christian_ref,Christian,Other,loggap_wageG_unadj,0.16803239027110062,0.21940247356701909,79,500,True
A_christian_ref,Christian,Buddhist,loggap_wageG_adj,-0.43696995188588866,0.21645030843859456,100,500,True
A_christian_ref,Christian,Hindu,loggap_wageG_adj,0.11254706661327911,0.12330095295286907,280,500,True
A_christian_ref,Christian,Jewish,loggap_wageG_adj,0.4595558334222132,0.18225679219180857,55,500,True
A_christian_ref,Christian,Muslim,loggap_wageG_adj,-0.08228060056744002,0.09941807332723919,254,500,True
A_christian_ref,Christian,No religion,loggap_wageG_adj,-0.01904802726494812,0.09952164684026582,428,500,True
A_christian_ref,Christian,Other,loggap_wageG_adj,-0.11830937946928927,0.20175404405388295,79,500,True
A_christian_ref,Christian,Buddhist,loggap_wageG_adj_origin,-0.4358354179184309,0.22907596617956494,100,500,True
A_christian_ref,Christian,Hindu,loggap_wageG_adj_origin,-0.024282482659579163,0.17666299602742994,280,500,True
A_christian_ref,Christian,Jewish,loggap_wageG_adj_origin,0.4910468896591753,0.17900340155912844,55,500,True
A_christian_ref,Christian,Muslim,loggap_wageG_adj_origin,-0.10283491483862794,0.1043881890334656,254,500,True
A_christian_ref,Christian,No religion,loggap_wageG_adj_origin,0.006945777375035135,0.10040423000142554,428,500,True
A_christian_ref,Christian,Other,loggap_wageG_adj_origin,-0.08638060976257056,0.1643628303359277,79,500,True
B_catholic_ref,Catholic,Buddhist,emp_rate,0.42936642184154605,0.03563254336646697,287,500,True
B_catholic_ref,Catholic,Buddhist,any_wage_12m,0.8148509969817092,0.03656564572110771,155,500,True
B_catholic_ref,Catholic,Buddhist,mean_earn,21118.53143038644,1781.2048378420768,93,500,True
B_catholic_ref,Catholic,Buddhist,median_earn,16106.766729021369,1454.0130658644414,93,500,True
B_catholic_ref,Catholic,Buddhist,median_wage12m,7990.483614017166,1903.446832040471,100,500,True
B_catholic_ref,Catholic,Buddhist,median_earn_ft,17464.353948223892,2208.1951644229325,82,500,True
B_catholic_ref,Catholic,Catholic,emp_rate,0.6243007684599822,0.010537325679667999,2870,500,True
B_catholic_ref,Catholic,Catholic,any_wage_12m,0.8452057096106945,0.009750904985136729,1861,500,True
B_catholic_ref,Catholic,Catholic,mean_earn,24929.537385490476,1656.0105978231277,1297,500,True
B_catholic_ref,Catholic,Catholic,median_earn,18720.0,406.27485371348655,1297,500,True
B_catholic_ref,Catholic,Catholic,median_wage12m,15000.0,763.7260087973508,1261,500,True
B_catholic_ref,Catholic,Catholic,median_earn_ft,20195.98900305611,532.7673189174467,1159,500,True
B_catholic_ref,Catholic,Hindu,emp_rate,0.5460502857745608,0.0260298804206415,585,500,True
B_catholic_ref,Catholic,Hindu,any_wage_12m,0.9263441203623412,0.018450398459089648,392,500,True
B_catholic_ref,Catholic,Hindu,mean_earn,47984.948620103605,2933.677433786806,272,500,True
B_catholic_ref,Catholic,Hindu,median_earn,40380.231574232304,11259.767478634665,272,500,True
B_catholic_ref,Catholic,Hindu,median_wage12m,30035.76769079995,9794.021516632582,280,500,True
B_catholic_ref,Catholic,Hindu,median_earn_ft,50000.0,9068.302546155295,262,500,True
B_catholic_ref,Catholic,Jewish,emp_rate,0.6078098323507378,0.057532825519652324,98,500,True
B_catholic_ref,Catholic,Jewish,any_wage_12m,0.8237409900392239,0.060248008580528346,72,500,True
B_catholic_ref,Catholic,Jewish,mean_earn,48165.07336332177,6505.390624424963,42,500,False
B_catholic_ref,Catholic,Jewish,median_earn,37853.98705203951,7470.974191149951,42,500,False
B_catholic_ref,Catholic,Jewish,median_wage12m,30894.93070699753,7041.3823433185435,55,500,True
B_catholic_ref,Catholic,Jewish,median_earn_ft,42050.10776622937,7672.442681032405,37,500,False
B_catholic_ref,Catholic,Muslim,emp_rate,0.5072979653790477,0.025209043706993048,606,500,True
B_catholic_ref,Catholic,Muslim,any_wage_12m,0.8694897485146592,0.02100038841192497,370,500,True
B_catholic_ref,Catholic,Muslim,mean_earn,27608.562632166366,4765.68126543667,231,500,True
B_catholic_ref,Catholic,Muslim,median_earn,17428.624989511485,777.3891445176881,231,500,True
B_catholic_ref,Catholic,Muslim,median_wage12m,10000.0,1486.0537417184894,254,500,True
B_catholic_ref,Catholic,Muslim,median_earn_ft,18720.0,673.945912586376,206,500,True
B_catholic_ref,Catholic,No religion,emp_rate,0.606267021002763,0.018465957622580964,918,500,True
B_catholic_ref,Catholic,No religion,any_wage_12m,0.855267727361612,0.016853996042303004,618,500,True
