row,item,mean_all_cu
3,Item,"All
consumer
units"
2835,Used trucks [I],2107.53
2842,Other vehicles [I],49.88
2849,New motorcycles [I],29.44
2855,New aircraft [I],d/
2861,Used motorcycles [I],20.44
2867,Used aircraft [I],d/
2874,Gasoline and other fuels [I],2645.06
2881,Gasoline [I],2410.75
2887,Diesel fuel [I],75.41
2893,Gasoline on out of town trips [I],148.94
2899,Electric vehicle charging [I],9.96
2906,Other vehicle expenses [I],4205.67
2913,Vehicle finance charges [I],417.75
2920,Automobile finance charges [I],94.71
2926,Truck finance charges [I],296.96
2932,Motorcycle and plane finance charges [I],3.47
2938,Other vehicle finance charges [I],22.61
2945,Maintenance and repairs [I],984.39
2952,Vehicle maintenance/repair excluding tire purchase [I],669.45
2958,"Tires - purchased, replaced, and installed [I]",217.43
2964,Motor oil on out of town trips [I],1.5
2970,"Vehicle parts, accessories, fluid excluding tires [I]",44.55
2976,Auto repair service policy [I],51.45
2983,"Vehicle rental, leases, licenses, and other charges [I]",810.56
2990,Leased and rented vehicles [I],423.57
2997,Rented vehicles [I],121.41
3004,Auto/truck rental [I],112.57
3010,Auto/truck rental on out of town trips (through Q20241) [I],5.34
3016,Motorcycle rental [I],0.48
3022,Motorcycle rental on out of town trips (through Q20241) [I],0.02
3028,Aircraft rental [I],3.0
3034,Aircraft rental on out of town trips (through Q20241) [I],d/
3041,Leased vehicles [I],302.16
3048,Car/truck lease payments [I],228.26
3054,Cash down payment car/truck lease [I],39.07
3060,Termination fee for car/truck lease [I],0.49
3066,Extra fees for car/truck lease [I],1.48
3072,Trade in allowance for car/truck lease [I],32.86
3079,State and local vehicle registration [I],148.16
3085,Vehicle personal property taxes [I],63.5
3091,Drivers' licenses [I],12.25
3097,Vehicle inspections [I],14.11
3103,Parking fees [I],57.99
3110,"Parking fees in home city, excluding residence [I]",44.77
3116,Parking fees on out of town trips [I],13.23
3123,Tolls or electronic toll passes [I],59.97
3129,Tolls on out of town trips [I],5.57
3135,Towing charges [I],6.0
3141,Automobile service clubs and GPS services [I],19.44
3148,Vehicle insurance [I],1992.97
3155,Public and other transportation [I],1130.58
3162,Airline fares [I],681.83
3168,Intercity bus fares [I],11.77
3174,Intracity mass transit fares [I],108.85
3180,Local transportation on out of town trips (through Q20241) [I],1.68
3186,Taxi fares and limousine services on trips (through Q20241) [I],0.99
3192,Taxi fares and limousine services [I],135.26
3198,Intercity train fares [I],25.98
3204,Ship fares [I],161.72
3210,School bus [I],2.51
3217,Healthcare,6197.14
3224,Health insurance [I],4054.75
3231,Commercial health insurance [I],796.96
3238,Fee for service health plan (not BCBS) [I],796.96
3245,"Blue Cross, Blue Shield [I]",1095.56
3252,Fee for service health plan (BCBS) [I],827.93
3258,Health maintenance organization (BCBS) [I],224.47
3264,Commercial medicare supplement (BCBS) [I],16.43
3270,Dental care insurance (BCBS) [I],18.51
3276,Vision care insurance (BCBS) [I],3.63
3282,Other single service insurance (BCBS) [I],3.13
3288,Prescription drug insurance (BCBS) [I],1.46
3295,Health maintenance organization (not BCBS) [I],581.83
3301,Medicare payments [I],946.77
3307,Medicare prescription drug premiums [I],55.36
3313,Medicaid premiums [I],12.24
3319,Tricare/military premiums [I],11.77
3325,Children's Health Insurance Program (CHIP) premiums [I],1.6
3331,Commercial medicare supplements and other health insurance [I],501.5
3338,Commercial medicare supplement (not BCBS) [I],289.16
3344,Dental care insurance (not BCBS) [I],154.15
3350,Vision care insurance (not BCBS) [I],36.1
3356,Other single service insurance (not BCBS) [I],15.37
3362,Prescription drug insurance (not BCBS) [I],6.72
3369,Long term care insurance (not BCBS) [I],45.87
3375,Long term care insurance (BCBS) [I],5.29
3382,Medical services,1251.67
3389,Physician's services [I],204.34
3395,Dental services [I],401.7
3401,Eyecare services [I],66.77
3407,Non physician services inside the home [I],34.42
3413,Non physician services outside the home [I],101.91
3419,Lab tests and x-rays [I],55.89
3425,Hospital room and services [I],317.74
3431,Medical care in retirement community [I],d/
3437,Care in convalescent or nursing home [I],67.45
3443,Repair of medical equipment [D],0.3
3449,Other medical care services (through Q20241) [I],1.15
3456,Drugs,657.81
3463,Nonprescription drugs [D],142.69
3469,Vitamins and supplements [D],134.37
3475,Prescription drugs [I],380.74
3482,Medical supplies,232.92
3489,Eyeglasses and contact lenses [I],110.2
3495,Hearing aids [I],33.99
3501,Topicals and dressings [D],40.09
3507,Rental of medical equipment (through Q20241) [I],0.1
3513,Rental of supportive and convalescent medical equipment (through Q20241) [I],0.12
3519,Purchase/rental of supportive and convalescent medical equipment (new UCC Q20242) [I],48.42
3526,Entertainment,3609.38
3533,Fees and admissions,934.9
3540,Recreation expenses on out of town trips [I],0.65
3546,"Social, recreation, and health club memberships [I]",271.87
3552,Fees for participant sports [D],141.18
3558,Participant sports on out of town trips [I],36.9
3564,"Plays, theater, operas, and concerts [I]",108.54
3570,Tickets to movies [I],26.14
3576,Tickets to parks or museums [I],30.16
3582,Movie and other admissions on out of town trips [I],87.18
3588,Admission to sporting events [I],92.4
3594,Admission to sports events on out of town trips [I],29.03
3600,Fees for recreational lessons [I],110.2
3606,Other entertainment services on out of town trips [I],0.65
3613,Audio and visual equipment and services,965.46
3620,"Stereos, radios, speakers, and sound components including those in vehicles [I]",13.77
3626,Phonographs [D],d/
3632,Televisions [I],88.47
3638,Cable and satellite television services [I],454.09
3644,Miscellaneous sound equipment [D],6.81
3650,Miscellaneous video equipment [D],20.04
3656,Satellite radio services [I],19.81
3662,Sound equipment accessories [D],31.09
3668,Online gaming services [D],11.45
3674,VCR's and video disc players [I],2.38
3680,Digital video players and recorders [D],0.32
3686,"Video cassettes, tapes, and discs [D]",2.08
3692,Video game software [I],15.85
3698,Video game hardware and accessories [I],28.04
3704,"Rental, streaming, and downloading videos [I]",185.02
3710,"Applications, games, and ringtones for handheld devices [I]",3.48
3716,"Repair of televisions, radio, and sound equipment [I]",3.63
3722,Rental of televisions [I],0.16
3728,Personal digital audio players [I],0.34
3734,Satellite dishes [I],0.22
3740,"CDs, records, and audio tapes [I]",5.49
3746,Streaming and downloading audio [I],34.59
3752,"Rental of VCR, radio, and sound equipment [I]",0.13
3758,Musical instruments and accessories [I],32.57
3764,Rental and repair of musical instruments [I],3.01
3770,Rental of video hardware/accessories [I],0.1
3776,Rental of video software [I],1.06
3782,Installation of televisions [I],1.24
3788,Installation of satellite television equipment [I],d/
3794,Installation of sound systems [I],0.22
3800,Installation of other video equipment or sound systems [I],0.01
3807,"Pets, toys, hobbies, and playground equipment",1068.7
3814,Pets,880.11
3821,Pet food [D],295.9
3827,"Pet purchase, supplies, and medicine [I]",176.15
3833,Pet services [I],100.55
3839,Vet services [D],307.52
3846,"Toys, hobbies, and playground equipment",188.59
3853,"Toys, games, arts and crafts, and tricycles [D]",171.96
3859,Stamp and coin collecting [I],5.28
3865,Playground equipment [I],11.36
3872,"Other entertainment supplies, equipment, and services",640.32
3879,Non-motored recreational vehicles [I],116.21
3886,Boats without motor and boat trailers (through Q20241) [I],0.06
3892,Trailer and other attachable campers (through Q20241) [I],d/
3898,Purchase of boats and trailers (new UCC Q20242) [I],116.15
3905,Motorized recreational vehicles [I],126.16
3912,Purchase of motorized campers (through Q20241) [I],d/
3918,Purchase of motor homes and campers (new UCC Q20242) [I],89.28
3924,Purchase of other vehicles [I],36.88
3930,Purchase of boats with motor (through Q20241) [I],d/
3937,Rental of recreational vehicles [I],25.29
3944,Rental noncamper trailers (through Q20241) [I],b/
3950,Boat and trailer rentals on out of town trips (through Q20241) [I],0.02
3956,Rental of campers on out of town trips (through Q20241) [I],d/
3962,Rental of other vehicles on out of town trips (through Q20241) [I],0.95
3968,Rental of boats (through Q20241) [I],0.08
3974,Rental of motorized campers (through Q20241) [I],d/
3980,Rental of other recreational vehicles (through Q20241) [I],0.04
3986,Rental of boats and trailers (new UCC Q20242) [I],5.8
3992,"Rental of RVs, campers, and other vehicles (new UCC Q20242) [I]",18.41
3999,Outboard motors [I],10.73
4005,Docking and landing fees [I],16.61
4011,"Sports, recreation, and exercise equipment",225.14
4018,"Athletic gear, game tables, and exercise equipment [I]",79.43
4024,Bicycles [I],41.33
4030,Scooters and other single-rider transportation [D],d/
4036,Bike and E-scooter sharing or rental [I],1.6
4042,Camping equipment [D],29.65
4048,Hunting and fishing equipment [D],51.23
4054,Winter sports equipment [I],8.07
4060,Water sports equipment [I],6.93
4066,Other sports equipment [I],3.88
4072,Global positioning system devices [D],0.54
4078,Rental and repair of miscellaneous sports equipment [I],2.46
4085,"Photographic equipment, supplies, and services",50.07
4092,Film [I],0.61
4098,Other photographic supplies [D],0.52
4104,Photo processing [I],7.5
4110,Repair and rental of photographic equipment [I],0.22
4116,Photographic equipment [I],16.9
4122,Photographer fees [I],24.31
