approach,f_beta,f_vot,f_tau,f_nhts,f_pi_source,f_fill_in,note,is_central,umr_eq_a4_hours_per_other_car_commuter,others_passenger_hours_m,others_truck_person_hours_m,time_bn,fuel_bn,total_bn,usd_per_other_commuter,hours_per_other_commuter,usd_per_other_car_commuter,usd_per_other_resident,f_variant,f_theta,f_sigma,f_hours,areas_at_free_flow_cap,uncapped_others_passenger_hours_m,f_elasticity,f_share,f_residual,f_elasticity_value
"A1 BPR, DT fill-in",low,low,high,2017 national,acs,DT 0.32,,False,7.866540652182561,882.4939389403045,55.532058601661234,14.558419806654069,1.231023647657107,15.789443454311176,179.1517180973009,10.01303851076791,203.297718277835,75.98305210670219,,,,,,,,,,
"A1 BPR, trips fixed",low,central,low,2017 southwest,nhts,trips fixed,,False,18.47942649750594,2035.0304145964487,127.54599663065723,46.7968219777646,2.823154137122958,49.61997611488756,563.002996188693,23.09005990047553,638.88432510919,238.784681776822,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 southwest,nhts,DT 0.48,,False,10.609193847606942,1167.1066437877853,75.47352485475507,26.924934471897622,1.6468828091531253,28.57181728105075,324.18433049106477,13.24233884762203,367.87777080913173,137.4952757221146,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 southwest,nhts,DT 0.44,,False,9.87357731357412,1086.081450021742,70.47625347896795,25.06472480898355,1.5350030394613334,26.599727848444882,301.808417678482,12.32300291824892,342.4860410088559,128.00505052511096,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 southwest,nhts,DT 0.32,,False,7.5250785344435664,827.5098150307905,54.33427548873884,19.1210906030139,1.1756119346974823,20.296702537711383,230.29241922697472,9.38917229946236,261.3311435846729,97.67319608064287,,,,,,,,,,
"A1 BPR, trips fixed",low,central,low,2017 southwest,acs,trips fixed,,False,18.03226004426035,2016.8389599596185,125.92357626774194,46.36053916871093,2.796509079806134,49.15704824851706,557.7504790334574,22.88365424961724,632.923875696728,236.55694827286052,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 southwest,acs,DT 0.48,,False,10.290041485895976,1154.330610011209,74.35679279811936,26.61937450867846,1.6277333986656368,28.2471079073441,320.5000814324976,13.097378171321699,363.69696006877837,135.93268681052442,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 southwest,acs,DT 0.44,,False,9.571289679619648,1073.9984669890332,69.42061992533561,24.77575966652764,1.5168551913650479,26.292614857892687,298.32382241287735,12.185905801665037,338.53179332346997,126.52714014585685,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 southwest,acs,DT 0.32,,False,7.2820783718386055,817.8418919457994,53.48955350550304,18.88987872759764,1.1609959394223144,20.050874667019954,227.50318314541127,9.279477170807537,258.16597532872527,96.49020619489573,,,,,,,,,,
"A1 BPR, trips fixed",low,central,low,2022 national,nhts,trips fixed,,False,17.09894621742964,1899.5604463472714,116.95380463830477,43.60334475367332,2.6529124232697936,46.2562571769431,524.8372414125398,21.552977378684663,595.5746044726886,222.59756080110773,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2022 national,nhts,DT 0.48,,False,9.648968350563921,1073.1273986179688,68.1168239498229,24.7092109710812,1.523177095443115,26.23238806652432,297.64047133844883,12.176022401043095,337.7563404520743,126.23731261393628,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2022 national,nhts,DT 0.44,,False,8.965896947174741,997.2618542643039,63.516100665682025,22.970375296635986,1.4176470707523259,24.388022367388313,276.71374996564924,11.31522938736439,314.0091235606597,117.36172840308171,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2022 national,nhts,DT 0.32,,False,6.799735082227939,756.5719682752341,48.74961473888331,17.447429698968982,1.080788132942043,18.528217831911025,210.22666615659486,8.584290407256654,238.56093597483502,89.16277163537563,,,,,,,,,,
"A1 BPR, trips fixed",low,central,low,2022 national,acs,trips fixed,,False,16.88202563513796,1890.109070458036,116.1972905939101,43.37989181604631,2.639048864574442,46.018940680620744,522.144577914171,21.44573925887129,592.5190248158356,221.45552993991748,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2022 national,acs,DT 0.48,,False,9.501221579345044,1066.8598094430065,67.62023575246421,24.561219724861996,1.513803210270789,26.07502293513279,295.854959788344,12.104908471519764,335.7301783368001,125.48002924211258,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2022 national,acs,DT 0.44,,False,8.826533278164662,991.3642637404607,63.04867511777114,22.831114824888644,1.4088110568290437,24.239925881717692,275.03340322456006,11.24831357250124,312.10230032721745,116.64904824940234,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2022 national,acs,DT 0.32,,False,6.689131970293035,751.9271608507263,48.38050936532204,17.337715151826025,1.0737897170243726,18.411504868850397,208.9024061903052,8.53158904176904,237.05819275577667,88.60111744031646,,,,,,,,,,
"A1 BPR, trips fixed",low,central,low,2017 national,nhts,trips fixed,,False,19.528113169617097,2121.0158045966414,135.31583816476453,48.862763185865624,2.9357659065415356,51.798529092407165,587.721505743383,24.065675690504847,666.9343859462736,249.26846512783592,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 national,nhts,DT 0.48,,False,11.381372441065407,1230.0212598936089,81.08695287347308,28.433892792139613,1.7333263083965023,30.16721910053612,342.28623369261953,13.956186780350329,388.4194416144522,145.172778727959,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 national,nhts,DT 0.44,,False,10.60719195101369,1145.8253296273201,75.80640649585953,26.49762159909075,1.617411411268381,28.115033010359124,319.00152039829464,13.000874732294092,361.9964235504064,135.29710685429382,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 national,nhts,DT 0.32,,False,8.120593958764445,875.9381965651905,58.66002221912372,20.282787424807744,1.2432204860138145,21.52600791082156,244.24048334311678,9.938655109395755,277.1591224582249,103.58894444063814,,,,,,,,,,
"A1 BPR, trips fixed",low,central,low,2017 national,acs,trips fixed,,False,18.74352534043946,2094.9367164299642,132.49458533144121,48.21886595271963,2.89665351554735,51.11551946826698,579.9718755556074,23.769774605391202,658.1402635599276,245.98163896384898,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 national,acs,DT 0.48,,False,10.794275809508402,1210.0729585271952,79.01651189070807,27.944627043450268,1.702595988671531,29.647223032121797,336.3862037561729,13.729847424358656,381.72420789529207,142.67041767413622,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 national,acs,DT 0.44,,False,10.048736133529511,1126.8135297478354,73.83758808535872,26.031489824927274,1.588054888981637,27.619544713908905,313.3795629263279,12.785161200503852,355.61674079634474,132.9126837961677,,,,,,,,,,
"A1 BPR, DT fill-in",low,central,low,2017 national,acs,DT 0.32,,False,7.665623780696177,860.3565042924495,57.05489497508825,19.901070783582387,1.218980682339348,21.120051465921733,239.6343808679457,9.761860597948754,271.9322112496616,101.63537275236861,,,,,,,,,,
