area,group_car_commuters,other_car_commuters,group_car_person_minutes,other_car_person_minutes,group_carpool_2,other_carpool_2,group_carpool_3,other_carpool_3,group_carpool_4,other_carpool_4,group_carpool_5_6,other_carpool_5_6,group_carpool_7plus,other_carpool_7plus,group_carpooled,other_carpooled,group_commuter_minutes,other_commuter_minutes,group_commuters,other_commuters,group_drove_alone,other_drove_alone,group_means_bicycle,other_means_bicycle,group_means_bus,other_means_bus,group_means_car_truck_van,other_means_car_truck_van,group_means_commuter_rail,other_means_commuter_rail,group_means_ferry,other_means_ferry,group_means_light_rail,other_means_light_rail,group_means_motorcycle,other_means_motorcycle,group_means_other,other_means_other,group_means_subway,other_means_subway,group_means_taxi_ridehail,other_means_taxi_ridehail,group_means_walked,other_means_walked,group_means_worked_from_home,other_means_worked_from_home,group_personal_income,other_personal_income,group_persons,other_persons,group_transit_commuters,other_transit_commuters,group_transit_minutes,other_transit_minutes,group_vehicle_minutes,other_vehicle_minutes,group_vehicle_minutes_peak,other_vehicle_minutes_peak,group_vehicles,other_vehicles,group_vehicles_before_6am,other_vehicles_before_6am,group_vehicles_narrow_peak,other_vehicles_narrow_peak,group_vehicles_peak,other_vehicles_peak,group_workers,other_workers,title,group_share_persons,group_share_commuters,group_share_car_commuters,group_share_vehicles,group_share_vehicle_minutes,group_share_vehicles_peak,group_share_carpooled,group_share_transit_commuters,group_share_means_worked_from_home,group_mean_one_way_minutes,group_peak_share_of_vehicles,group_vehicles_per_car_commuter,other_mean_one_way_minutes,other_peak_share_of_vehicles,other_vehicles_per_car_commuter,group_share_persons_scaled
27340,6523.494149414942,78147.95499549955,137971.98559855984,1872206.187218722,1100.6840684068407,9881.840684068407,415.0,1725.00900090009,68.0,1291.0,0.0,342.5049504950495,15.197119711971196,0.0,1598.881188118812,13240.354635463545,157157.98559855984,2028429.302430243,7783.494149414942,84929.19531953195,4924.6129612961295,64907.600360036005,29.0,147.32853285328534,0.0,560.6984698469847,6523.494149414942,78147.95499549955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,68.0,1477.896489648965,0.0,0.0,0.0,343.0,1163.0,3911.3168316831684,917.0,13861.715571557155,343512366.2492439,7194720187.245857,14597.195319531953,198754.77317731772,0.0,560.6984698469847,0.0,12819.446444644465,126891.37293729371,1774065.157440744,95043.7397239724,1246387.9949744975,5631.8080408040805,71498.77469246925,694.8618361836184,11648.818481848184,2175.9817581758175,31740.856510651065,4265.1091209120905,51508.07502250225,8700.49414941494,98790.91089108911,"Jacksonville, NC",0.06841837655576866,0.08395284608825784,0.07704479154773926,0.0730165369070209,0.06675132803381842,0.07647239773768075,0.10774686831096024,0.0,0.06204869398561546,20.191186963296282,0.7573250171188612,0.8633115799313116,23.88376923622808,0.7204050033591337,0.9149154919867933,0.07096402063065639
14540,2386.39,79526.292,71033.84,1619406.652,682.82,9029.332,0.0,1266.636,0.0,1418.712,138.0,19.558,0.0,81.534,820.82,11815.772,71033.84,1700217.166,2386.39,84881.506,1565.57,67710.52,0.0,99.73400000000001,0.0,71.842,2386.39,79526.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86,0.0,1439.9,0.0,0.0,0.0,125.836,0.0,3595.042,714.132,6377.504,138922707.5778,6625134403.997735,4791.238,189913.376,0.0,71.842,0.0,671.684,54146.47,1481317.2719166665,18407.37,849293.4686666667,1929.98,73165.89134999999,672.968,12379.393083333332,478.464,25556.546333333335,802.672,46101.703266666664,3100.522,91259.01000000001,"Bowling Green, KY",0.024607727067012395,0.027345565888284965,0.02913333981665989,0.025700214476571226,0.03526391963668958,0.01711294512370217,0.06495580453970501,0.0,0.10070059997439237,29.766232677810418,0.4158965377879564,0.8087445891073965,20.030478323511367,0.6300982932898647,0.9200214106549818,0.02552330732129589
47580,2133.5432,81827.8616,40296.9178,2159464.783,53.3076,5135.3542,0.0,1371.0568,0.0,406.96180000000004,27.9598,56.674800000000005,37.459,0.0,118.7264,6970.0476,42990.0384,2193559.68,2256.561,84725.7642,2014.8168,74857.814,0.0,0.0,34.9888,72.1192,2133.5432,81827.8616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8326,81.0,390.2306,0.0,0.0,0.0,403.0,7.029,1934.7202,12.1836,7113.8014,143076494.8388275,7617263302.018768,7646.1528,205182.8956,34.9888,72.1192,1392.9916,1883.978,38718.71113492064,2079048.31952,29739.588334920634,1418941.1031,2050.765814920635,78496.41804333332,388.4252,13124.311906666666,1040.6170666666667,34291.34023666667,1545.340614920635,56531.664203333334,2268.7446,91839.5656,"Warner Robins, GA",0.03592626503516331,0.025942753252588376,0.02541099931667651,0.02546042849281422,0.018282800031572337,0.02660847644875317,0.01674850968587798,0.3266684094558763,0.0017097425829551984,19.051130636397595,0.7535431903912637,0.9612019175054131,25.890113836234953,0.7201814504723704,0.959287173200837,0.03726297438612348
44100,1326.5218,79819.35339999999,24193.819,1538839.376,16.8674,5246.3474,0.0,240.0834,0.0,14.071200000000001,0.0,73.8738,0.0,19.9298,16.8674,5594.3056,24871.038,1632824.8898,1563.1064000000001,84514.80559999999,1309.6544,74225.0478,0.0,805.4496,1.4432,1415.0,1326.5218,79819.35339999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,196.8762,0.0,0.0,0.0,7.4866,235.1414,2099.6398,284.0088,12394.3452,95796783.6932185,9258398542.67264,3620.07,203627.179,1.4432,1415.0,50.512,44435.0,23875.413,1483728.892475238,17589.841,1112903.6904352382,1318.0881,77127.0433457143,117.5561,4875.8146799999995,650.4164,45171.02821238095,966.3852,59890.54323238095,1847.1152,96909.1508,"Springfield, IL",0.01746739711850168,0.018159204419363705,0.016347371899440678,0.01680267564994961,0.015836657479214228,0.015879624964539006,0.003006038131421006,0.0010188901326929312,0.022401078247223576,15.911289212301861,0.7331719328928014,0.9936422454572552,19.319986340949473,0.7765180750405218,0.9662699591063626,0.018117306955841656
29340,1717.058,81303.66649999999,57696.2525,1899044.295,428.7985,6442.5025000000005,0.0,1288.4155,45.8565,200.7905,0.0,146.0185,0.0,252.238,474.655,8329.965,57779.3285,1976404.3614999999,1758.596,83719.35250000001,1242.4029999999998,72973.7015,0.0,66.822,0.0,287.154,1717.058,81303.66649999999,0.0,0.0,0.0,166.5315,0.0,0.0,0.0,71.6005,0.0,1337.925,0.0,0.0,0.0,49.879,41.538,435.774,56.588,6032.0965,107184618.12219751,7184501547.195421,6129.351500000001,207276.3595,0.0,453.6855,0.0,13007.4525,53935.215,1775802.0385,49364.552500000005,935966.8788333333,1468.266375,76854.316075,111.36999999999999,18790.522825,503.803375,26427.201433333335,1107.5013749999998,45954.85491666666,1815.1839999999997,89751.449,"Lake Charles, LA",0.028721590773172895,0.020573680473859286,0.020682281566935735,0.018746398919332365,0.029477027314621485,0.02353263759545557,0.05390976555490185,0.0,0.009293961610262448,32.85537354798942,0.7542918600175665,0.8551058700404994,23.607496982253892,0.5979476139221719,0.9452749105109547,0.02979023564687113
42020,23378.0,79049.0,588611.0,1986650.0,3895.0,3656.0,1210.0,1036.0,255.0,291.0,0.0,318.0,0.0,644.0,5360.0,5945.0,604292.0,2052622.0,24618.0,83450.0,18018.0,73104.0,53.0,909.0,59.0,271.0,23378.0,79049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,480.0,0.0,0.0,0.0,0.0,1128.0,2455.0,2145.0,15276.0,1825388199.8425002,12531748054.3935,61575.0,220756.0,59.0,271.0,2655.0,14830.0,503977.3333333333,1907790.4285714286,299390.5,1260103.1666666667,20432.583333333336,75772.48968253969,3210.833333333333,10605.666666666668,7349.833333333334,35492.84444444445,12820.833333333332,54328.66111111111,26763.0,98726.0,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",0.21809507280461585,0.2278010141762594,0.22824060062288265,0.21238571618735877,0.2089659465948342,0.1909297075042097,0.4741264927023441,0.1787878787878788,0.12312726020320303,24.54675440734422,0.6274700131734035,0.8740090398380245,24.597028160575196,0.7169971758712068,0.9585508947936051,0.2262097410822932
12220,2544.6826,76954.4622,53451.792499999996,1684022.4465,267.0,4089.1247000000003,702.5306,1339.9751,0.0,233.0,0.0,466.0,0.0,57.0,969.5306,6185.0998,53451.792499999996,1755464.8769999999,2544.6826,80874.86319999999,1575.152,70769.3624,0.0,206.0,0.0,921.4259,2544.6826,76954.4622,0.0,0.0,0.0,112.0,0.0,0.0,0.0,336.346,0.0,376.3359,0.0,0.0,0.0,58.0,0.0,1910.2932,0.0,8168.7546,174918388.69312,6495081295.1446495,6392.1751,180705.3388,0.0,1033.4259,0.0,17584.4259,38372.64316666666,1593691.2111833333,30889.354666666666,1049169.1319499998,1942.8288666666665,73803.34578333332,150.5058,11308.164266666667,929.7408666666665,33261.1694,1773.8808666666666,48907.91931666667,2544.6826,89043.6178,"Auburn-Opelika, AL",0.03416493873572524,0.03050463264449949,0.032008930491035925,0.02564920110677387,0.023511729068927446,0.035000352399676714,0.13551092730101055,0.0,0.0,21.005288635997275,0.9130402049821991,0.7634857355752999,21.70593936782078,0.6626788907409036,0.9590521936404791,0.035436114379459045
13980,622.0,72332.0,21486.0,1584225.0,0.0,6386.0,0.0,589.0,0.0,444.0,0.0,158.0,0.0,73.0,0.0,7650.0,25446.0,1723617.0,820.0,80501.0,622.0,64682.0,198.0,1412.0,0.0,1066.0,622.0,72332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,1286.0,0.0,314.0,0.0,170.0,0.0,3799.0,229.0,7420.0,105976769.725,6966953902.492499,2742.0,180569.0,0.0,1380.0,0.0,33610.0,21486.0,1495712.5833333333,19595.0,1028765.5833333334,622.0,68513.23333333334,31.0,6541.0,473.0,35270.1,591.0,50191.23333333333,1049.0,87921.0,"Blacksburg-Christiansburg-Radford, VA",0.014958185815362962,0.010083496267876687,0.008525920443018888,0.00899685977772067,0.014161626721793122,0.011637928488112969,0.0,0.0,0.029938554059354163,31.03170731707317,0.9501607717041801,1.0,21.41112532763568,0.732577210144804,0.9472050176040112,0.015514735371327805
26980,2099.1959,68027.1173,70632.4967,1251169.0211,9.235,3829.3552,16.2536,1897.0427,14.406600000000001,65.7532,35.2777,269.623,0.0,68.5237,75.1729,6130.2978,81627.4967,1433201.355,3002.1959,80460.6606,2024.0230000000001,61896.8195,0.0,2173.9104,10.0,3144.7676,2099.1959,68027.1173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.1137,0.0,34.5389,0.0,0.0,77.0,22.5334,816.0,6538.6793,756.6099,10943.8212,341814648.186622,7161487063.60489,7155.3496,175031.0911,10.0,3144.7676,800.0,65784.1,70651.72198333334,1190763.63255,38598.559283333336,858864.31645,2121.7155566666665,65062.707036666674,147.3906,6095.887626666667,581.89834,31894.844086666668,1073.8916566666667,46492.14024,3758.8058,91404.4818,"Iowa City, IA",0.039274874532416286,0.03597044273221106,0.029934496827362087,0.03158046872724337,0.056009879481347585,0.022576860289704404,0.012113972272884957,0.0031698055983584972,0.0646651301591785,27.189263931777404,0.5061430846808751,1.0107277537397374,17.812448273634978,0.7145743292513012,0.9564231091807072,0.04073617567223374
20740,605.5,75258.8025,13639.965,1545655.07,8.0975,4678.9225,12.8375,885.55,0.0,837.9300000000001,64.78,185.895,0.0,8.4925,85.715,6596.79,14395.4025,1619846.27,649.345,80339.0125,519.7850000000001,68662.0125,0.0,253.075,37.3275,1312.64,605.5,75258.8025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.04000000000002,6.5175,338.5875,0.0,0.0,0.0,201.2575,0.0,2832.61,441.0,9212.945,45182650.770825,6979871548.006939,1986.135,172004.3275,37.3275,1312.64,559.9125,27778.1625,12516.617916666668,1471931.436577381,8954.0575,781481.7469940477,541.0689166666667,71882.14629761905,63.055166666666665,13052.66625,134.1025,30962.08150595238,182.6875,46654.50796428571,1090.345,89551.9575,"Eau Claire, WI",0.01141519466907561,0.008017757367162311,0.007981355921647074,0.00747093200799982,0.008431832881436039,0.0039004790570627322,0.012826776785052911,0.027650665664173395,0.04568080717261182,22.169112721280673,0.33764183151653354,0.8935902835122489,20.16263605430799,0.6490416656608797,0.9551327407530706,0.011839920073796898
47940,2909.2562088208824,76326.95945976597,53879.11659225922,1236918.443611341,260.3184,5461.157007560756,8.9466,1445.5836757875788,0.0,1176.3508730873086,0.0,96.78283312331233,0.0,210.99095859585958,269.265,8390.865348154815,53879.11659225922,1282441.1065373537,2909.2562088208824,80223.43573285328,2639.991208820882,67936.09411161116,0.0,323.3356930693069,0.0,42.4242,2909.2562088208824,76326.95945976597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.9293600360036,0.0,0.0,0.0,142.2125413141314,0.0,2758.574478667867,9.812781278127812,6209.181917551756,145283336.87972155,6160135017.117517,5591.502836363636,163572.21080468045,0.0,42.4242,0.0,2545.4519999999998,51980.60179225922,1154595.2053769287,20390.642798559857,780821.4572689176,2773.1326088208825,71623.41200624233,737.9972317731773,11468.528613951394,451.69099594959494,35030.54018715872,1313.1570051305132,49016.252590400756,2919.06899009901,86432.61765040504,"Waterloo-Cedar Falls, IA",0.033053795734400176,0.03499533265279097,0.036716243756379385,0.03727501892956734,0.043081090705948843,0.026091245966992388,0.031092488123734927,0.0,0.0015778725908825917,18.519893995206544,0.4735283848141899,0.9532101711814613,15.985866160206918,0.6843607588274173,0.9383763287989612,0.034283629055499795
