outcome,label,n,estimator,coef,se,lo,hi,F,hansen_J,hansen_p
pa_rate,household public assistance receipt,334,"first-stage on both, coefficient on Z2",0.32830401071081106,0.10442984275050259,0.12362528000864473,0.5329827414129774,37.02589592148563,,
pa_rate,household public assistance receipt,334,partial F of Z2 given Z,,,,,9.883326176744507,,
pa_rate,household public assistance receipt,334,Z on baseline level (exogeneity test),0.2009551202370617,0.05074218744362391,0.10150226035077828,0.30040798012334513,,,
pa_rate,household public assistance receipt,334,Z2 on baseline level (exogeneity test),0.016381704898329102,0.08299195060216523,-0.146279529288642,0.1790429390853002,,,
pa_rate,household public assistance receipt,334,OLS,0.022129191729711718,0.09124528298558032,-0.15670827668119108,0.20096666014061454,,,
pa_rate,household public assistance receipt,334,IV with Z,-0.986353776281053,0.27625752468029,-1.5278185246544216,-0.4448890279076846,29.090105698792776,,
pa_rate,household public assistance receipt,334,IV with Z + baseline level,-0.3480269993992273,0.12613689929904293,-0.5952553220253515,-0.1007986767731032,,,
pa_rate,household public assistance receipt,334,IV with Z2,-0.10243852275098364,0.19294130183880237,-0.48060347435503625,0.27572642885306897,63.9274478587943,,
pa_rate,household public assistance receipt,334,IV with Z2 + baseline level,-0.07936771077205751,0.1029577217391042,-0.28116484538070174,0.12242942383658673,,,
pa_rate,household public assistance receipt,334,IV with Z2_exmex,-0.18384140451879416,0.1821077032889133,-0.5407725029650642,0.17308969392747586,58.592734886270314,,
pa_rate,household public assistance receipt,334,IV with Z2_exmex + baseline level,-0.1410121103805798,0.10213818578364832,-0.3412029545165305,0.05917873375537089,,,
pa_rate,household public assistance receipt,334,IV with Z+Z2,-0.06660801683527762,0.19114989921816644,-0.44126181930288383,0.3080457856323286,37.02589592148563,13.732026415992715,0.00021082858972765184
pa_rate,household public assistance receipt,334,IV with Z+Z2 + baseline level,-0.12488527528189863,0.09588162525794486,-0.3128132607874705,0.06304271022367328,,2.8489768909963575,0.09143210551949654
