epsilon,epsilon_sourced,case_id,allocation,normalization,profile,production_term_bn,net_cost_bn,change_vs_headline_bn,se_combined_independent_bn
inf,True,shared_7,shared,gdp,school_response_only,13.322597919257818,207.9137864675979,-0.0,11.991085550985218
inf,True,shared_7,shared,cash,school_response_only,8.790627696466178,212.4457566903891,-0.0,11.961012444089338
inf,True,shared_8,shared,gdp,cbo_category_lag_non_school_fixed,13.322597919257818,139.04677286109268,-0.0,12.165105468838362
inf,True,shared_8,shared,cash,cbo_category_lag_non_school_fixed,8.790627696466178,143.57874308388386,-0.0,12.135463611439596
inf,True,shared_9,shared,gdp,cbo_category_lag_non_school_full,13.322597919257818,165.1200005489785,-0.0,12.190943703606038
inf,True,shared_9,shared,cash,cbo_category_lag_non_school_full,8.790627696466178,169.6519707717697,-0.0,12.161364823945759
inf,True,shared_10,shared,gdp,school_response_only,13.322597919257818,212.9325534381476,-0.0,11.99679829733805
inf,True,shared_10,shared,cash,school_response_only,8.790627696466178,217.46452366093877,-0.0,11.96673954691196
inf,True,shared_11,shared,gdp,cbo_category_lag_non_school_fixed,13.322597919257818,144.06553983164235,-0.0,12.169640875285284
inf,True,shared_11,shared,cash,cbo_category_lag_non_school_fixed,8.790627696466178,148.59751005443354,-0.0,12.140010091842093
inf,True,shared_12,shared,gdp,cbo_category_lag_non_school_full,13.322597919257818,170.1387675195282,-0.0,12.196562838786113
inf,True,shared_12,shared,cash,cbo_category_lag_non_school_full,8.790627696466178,174.67073774231935,-0.0,12.166997619670676
inf,True,shared_13,shared,gdp,education_fixed_diagnostic,13.322597919257818,33.652666479549424,-0.0,12.118493212765685
inf,True,shared_13,shared,cash,education_fixed_diagnostic,8.790627696466178,38.184636702340626,-0.0,12.088737061598351
inf,True,shared_14,shared,gdp,education_full_diagnostic,13.322597919257818,227.0181265190912,-0.0,12.274689194419778
inf,True,shared_14,shared,cash,education_full_diagnostic,8.790627696466178,231.5500967418824,-0.0,12.245312605900235
5.0,False,personal_0,personal,gdp,proportional_reference,21.530198295555344,275.9760607929432,-8.207600376297526,12.180520729150446
5.0,False,personal_0,personal,cash,proportional_reference,14.206235044723266,283.30002404377484,-5.415607348257089,12.118769155310371
5.0,False,personal_1,personal,gdp,school_response_only,21.530198295555344,223.1555739316855,-8.207600376297526,12.097342468932903
5.0,False,personal_1,personal,cash,school_response_only,14.206235044723266,230.47953718251716,-5.415607348257089,12.035164120903625
5.0,False,personal_2,personal,gdp,cbo_category_lag_non_school_fixed,21.530198295555344,123.54972020851649,-8.207600376297526,12.206630917497261
5.0,False,personal_2,personal,cash,cbo_category_lag_non_school_fixed,14.206235044723266,130.87368345934811,-5.415607348257089,12.145012102193983
5.0,False,personal_3,personal,gdp,cbo_category_lag_non_school_full,21.530198295555344,180.36178801306613,-8.207600376297526,12.26728395755692
5.0,False,personal_3,personal,cash,cbo_category_lag_non_school_full,14.206235044723266,187.68575126389777,-5.415607348257089,12.205971337905545
5.0,False,personal_4,personal,gdp,school_response_only,21.530198295555344,227.43831610962536,-8.207600376297526,12.103159972255694
5.0,False,personal_4,personal,cash,school_response_only,14.206235044723266,234.762279360457,-5.415607348257089,12.041011665157159
5.0,False,personal_5,personal,gdp,cbo_category_lag_non_school_fixed,21.530198295555344,127.8324623864563,-8.207600376297526,12.210196772307693
5.0,False,personal_5,personal,cash,cbo_category_lag_non_school_fixed,14.206235044723266,135.15642563728795,-5.415607348257089,12.148596043366966
5.0,False,personal_6,personal,gdp,cbo_category_lag_non_school_full,21.530198295555344,184.64453019100597,-8.207600376297526,12.273020907612695
5.0,False,personal_6,personal,cash,cbo_category_lag_non_school_full,14.206235044723266,191.9684934418376,-5.415607348257089,12.211737092041272
5.0,False,personal_7,personal,gdp,school_response_only,21.530198295555344,212.09175752604324,-8.207600376297526,12.083076509470228
5.0,False,personal_7,personal,cash,school_response_only,14.206235044723266,219.41572077687488,-5.415607348257089,12.020824370239737
5.0,False,personal_8,personal,gdp,cbo_category_lag_non_school_fixed,21.530198295555344,142.38811030461005,-8.207600376297526,12.223546433536614
5.0,False,personal_8,personal,cash,cbo_category_lag_non_school_fixed,14.206235044723266,149.71207355544166,-5.415607348257089,12.162013320962282
5.0,False,personal_9,personal,gdp,cbo_category_lag_non_school_full,21.530198295555344,169.29797160742385,-8.207600376297526,12.253215856190446
5.0,False,personal_9,personal,cash,cbo_category_lag_non_school_full,14.206235044723266,176.62193485825549,-5.415607348257089,12.191832488384806
5.0,False,personal_10,personal,gdp,school_response_only,21.530198295555344,217.2715658990351,-8.207600376297526,12.089618428900783
5.0,False,personal_10,personal,cash,school_response_only,14.206235044723266,224.59552914986676,-5.415607348257089,12.027400149777
5.0,False,personal_11,personal,gdp,cbo_category_lag_non_school_fixed,21.530198295555344,147.56791867760194,-8.207600376297526,12.228754981641472
5.0,False,personal_11,personal,cash,cbo_category_lag_non_school_fixed,14.206235044723266,154.89188192843358,-5.415607348257089,12.167248210152511
5.0,False,personal_12,personal,gdp,cbo_category_lag_non_school_full,21.530198295555344,174.47777998041573,-8.207600376297526,12.25966698736565
5.0,False,personal_12,personal,cash,cbo_category_lag_non_school_full,14.206235044723266,181.80174323124734,-5.415607348257089,12.198316082457508
5.0,False,personal_13,personal,gdp,education_fixed_diagnostic,21.530198295555344,33.6121344717805,-8.207600376297526,12.169999869061844
5.0,False,personal_13,personal,cash,education_fixed_diagnostic,14.206235044723266,40.93609772261214,-5.415607348257089,12.108194639144335
5.0,False,personal_14,personal,gdp,education_full_diagnostic,21.530198295555344,233.18227487432384,-8.207600376297526,12.3493176377462
5.0,False,personal_14,personal,cash,education_full_diagnostic,14.206235044723266,240.50623812515545,-5.415607348257089,12.288414329130823
5.0,False,shared_0,shared,gdp,proportional_reference,21.530198295555344,261.60431206141305,-8.207600376297526,12.132476529057648
5.0,False,shared_0,shared,cash,proportional_reference,14.206235044723266,268.9282753122447,-5.415607348257089,12.070479167563027
5.0,False,shared_1,shared,gdp,school_response_only,21.530198295555344,210.42602596691927,-8.207600376297526,12.060142271790912
5.0,False,shared_1,shared,cash,school_response_only,14.206235044723266,217.7499892177509,-5.415607348257089,11.997771135601662
5.0,False,shared_2,shared,gdp,cbo_category_lag_non_school_fixed,21.530198295555344,112.58647215603862,-8.207600376297526,12.20629538347062
5.0,False,shared_2,shared,cash,cbo_category_lag_non_school_fixed,14.206235044723266,119.91043540687028,-5.415607348257089,12.14467486575801
5.0,False,shared_3,shared,gdp,cbo_category_lag_non_school_full,21.530198295555344,167.63224004829988,-8.207600376297526,12.258874634699687
5.0,False,shared_3,shared,cash,cbo_category_lag_non_school_full,14.206235044723266,174.95620329913152,-5.415607348257089,12.197519744428442
5.0,False,shared_4,shared,gdp,school_response_only,21.530198295555344,214.57561673133767,-8.207600376297526,12.065199285939872
5.0,False,shared_4,shared,cash,school_response_only,14.206235044723266,221.8995799821693,-5.415607348257089,12.002854427838503
5.0,False,shared_5,shared,gdp,cbo_category_lag_non_school_fixed,21.530198295555344,116.73606292045704,-8.207600376297526,12.209385612508985
5.0,False,shared_5,shared,cash,cbo_category_lag_non_school_fixed,14.206235044723266,124.06002617128865,-5.415607348257089,12.14778077022217
5.0,False,shared_6,shared,gdp,cbo_category_lag_non_school_full,21.530198295555344,171.78183081271828,-8.207600376297526,12.263849701577776
5.0,False,shared_6,shared,cash,cbo_category_lag_non_school_full,14.206235044723266,179.10579406354992,-5.415607348257089,12.202519826221453
5.0,False,shared_7,shared,gdp,school_response_only,21.530198295555344,199.70618609130037,-8.207600376297526,12.047742539290127
5.0,False,shared_7,shared,cash,school_response_only,14.206235044723266,207.030149342132,-5.415607348257089,11.985306875481296
5.0,False,shared_8,shared,gdp,cbo_category_lag_non_school_fixed,21.530198295555344,130.83917248479514,-8.207600376297526,12.220955718352615
5.0,False,shared_8,shared,cash,cbo_category_lag_non_school_fixed,14.206235044723266,138.16313573562678,-5.415607348257089,12.159409495381501
5.0,False,shared_9,shared,gdp,cbo_category_lag_non_school_full,21.530198295555344,156.91240017268098,-8.207600376297526,12.246676119930099
5.0,False,shared_9,shared,cash,cbo_category_lag_non_school_full,14.206235044723266,164.2363634235126,-5.415607348257089,12.185259808182364
5.0,False,shared_10,shared,gdp,school_response_only,21.530198295555344,204.72495306185007,-8.207600376297526,12.0534284329807
5.0,False,shared_10,shared,cash,school_response_only,14.206235044723266,212.04891631268168,-5.415607348257089,11.991022374903062
5.0,False,shared_11,shared,gdp,cbo_category_lag_non_school_fixed,21.530198295555344,135.85793945534482,-8.207600376297526,12.225470405484968
5.0,False,shared_11,shared,cash,cbo_category_lag_non_school_fixed,14.206235044723266,143.18190270617646,-5.415607348257089,12.16394702560921
5.0,False,shared_12,shared,gdp,cbo_category_lag_non_school_full,21.530198295555344,161.93116714323065,-8.207600376297526,12.25226969513946
5.0,False,shared_12,shared,cash,cbo_category_lag_non_school_full,14.206235044723266,169.25513039406226,-5.415607348257089,12.190881563236973
5.0,False,shared_13,shared,gdp,education_fixed_diagnostic,21.530198295555344,25.445066103251897,-8.207600376297526,12.1745572958454
5.0,False,shared_13,shared,cash,education_fixed_diagnostic,14.206235044723266,32.769029354083536,-5.415607348257089,12.112775320142813
5.0,False,shared_14,shared,gdp,education_full_diagnostic,21.530198295555344,218.81052614279366,-8.207600376297526,12.330043082713868
5.0,False,shared_14,shared,cash,education_full_diagnostic,14.206235044723266,226.13448939362533,-5.415607348257089,12.269044095935854
7.0,False,personal_0,personal,gdp,proportional_reference,19.161295930051143,278.3449631584474,-5.838698010793324,12.15869286063805
7.0,False,personal_0,personal,cash,proportional_reference,12.643166124484804,284.8630929640133,-3.852538428018626,12.109379769512062
7.0,False,personal_1,personal,gdp,school_response_only,19.161295930051143,225.5244762971897,-5.838698010793324,12.07536424530186
7.0,False,personal_1,personal,cash,school_response_only,12.643166124484804,232.04260610275563,-3.852538428018626,12.025709458474866
7.0,False,personal_2,personal,gdp,cbo_category_lag_non_school_fixed,19.161295930051143,125.91862257402069,-5.838698010793324,12.184849822712916
7.0,False,personal_2,personal,cash,cbo_category_lag_non_school_fixed,12.643166124484804,132.43675237958658,-3.852538428018626,12.135643020664553
7.0,False,personal_3,personal,gdp,cbo_category_lag_non_school_full,19.161295930051143,182.73069037857033,-5.838698010793324,12.24561074595303
7.0,False,personal_3,personal,cash,cbo_category_lag_non_school_full,12.643166124484804,189.24882018413624,-3.852538428018626,12.196649083430154
7.0,False,personal_4,personal,gdp,school_response_only,19.161295930051143,229.80721847512956,-5.838698010793324,12.081192331888413
7.0,False,personal_4,personal,cash,school_response_only,12.643166124484804,236.32534828069547,-3.852538428018626,12.03156159785656
7.0,False,personal_5,personal,gdp,cbo_category_lag_non_school_fixed,19.161295930051143,130.20136475196048,-5.838698010793324,12.188422049820073
7.0,False,personal_5,personal,cash,cbo_category_lag_non_school_fixed,12.643166124484804,136.71949455752642,-3.852538428018626,12.13922972793074
7.0,False,personal_6,personal,gdp,cbo_category_lag_non_school_full,19.161295930051143,187.01343255651017,-5.838698010793324,12.251357844939688
7.0,False,personal_6,personal,cash,cbo_category_lag_non_school_full,12.643166124484804,193.53156236207607,-3.852538428018626,12.20241924241675
7.0,False,personal_7,personal,gdp,school_response_only,19.161295930051143,214.46065989154744,-5.838698010793324,12.061072289799865
7.0,False,personal_7,personal,cash,school_response_only,12.643166124484804,220.97878969711334,-3.852538428018626,12.011358420375087
7.0,False,personal_8,personal,gdp,cbo_category_lag_non_school_fixed,19.161295930051143,144.75701267011425,-5.838698010793324,12.201795534219242
7.0,False,personal_8,personal,cash,cbo_category_lag_non_school_fixed,12.643166124484804,151.27514247568013,-3.852538428018626,12.152657346516026
7.0,False,personal_9,personal,gdp,cbo_category_lag_non_school_full,19.161295930051143,171.66687397292804,-5.838698010793324,12.231517717129952
7.0,False,personal_9,personal,cash,cbo_category_lag_non_school_full,12.643166124484804,178.18500377849395,-3.852538428018626,12.182499414627575
7.0,False,personal_10,personal,gdp,school_response_only,19.161295930051143,219.6404682645393,-5.838698010793324,12.06762613783193
7.0,False,personal_10,personal,cash,school_response_only,12.643166124484804,226.15859807010523,-3.852538428018626,12.017939379337113
7.0,False,personal_11,personal,gdp,cbo_category_lag_non_school_fixed,19.161295930051143,149.93682104310614,-5.838698010793324,12.207013363107624
7.0,False,personal_11,personal,cash,cbo_category_lag_non_school_fixed,12.643166124484804,156.45495084867204,-3.852538428018626,12.157896264157934
7.0,False,personal_12,personal,gdp,cbo_category_lag_non_school_full,19.161295930051143,176.84668234591993,-5.838698010793324,12.23798028627151
7.0,False,personal_12,personal,cash,cbo_category_lag_non_school_full,12.643166124484804,183.3648121514858,-3.852538428018626,12.188987973171006
7.0,False,personal_13,personal,gdp,education_fixed_diagnostic,19.161295930051143,35.981036837284705,-5.838698010793324,12.148153096624698
7.0,False,personal_13,personal,cash,education_fixed_diagnostic,12.643166124484804,42.499166642850604,-3.852538428018626,12.098797046895594
7.0,False,personal_14,personal,gdp,education_full_diagnostic,19.161295930051143,235.55117723982804,-5.838698010793324,12.327788648578315
7.0,False,personal_14,personal,cash,education_full_diagnostic,12.643166124484804,242.0693070453939,-3.852538428018626,12.279154664998469
7.0,False,shared_0,shared,gdp,proportional_reference,19.161295930051143,263.97321442691725,-5.838698010793324,12.110562066815959
7.0,False,shared_0,shared,cash,proportional_reference,12.643166124484804,270.49134423248313,-3.852538428018626,12.06105218864171
7.0,False,shared_1,shared,gdp,school_response_only,19.161295930051143,212.79492833242347,-5.838698010793324,12.03809613111247
7.0,False,shared_1,shared,cash,school_response_only,12.643166124484804,219.31305813798937,-3.852538428018626,11.988286982919718
7.0,False,shared_2,shared,gdp,cbo_category_lag_non_school_fixed,19.161295930051143,114.95537452154282,-5.838698010793324,12.184513688884063
7.0,False,shared_2,shared,cash,cbo_category_lag_non_school_fixed,12.643166124484804,121.47350432710874,-3.852538428018626,12.135305523864664
7.0,False,shared_3,shared,gdp,cbo_category_lag_non_school_full,19.161295930051143,170.00114241380408,-5.838698010793324,12.237186529400878
7.0,False,shared_3,shared,cash,cbo_category_lag_non_school_full,12.643166124484804,176.51927221936998,-3.852538428018626,12.188191025672662
7.0,False,shared_4,shared,gdp,school_response_only,19.161295930051143,216.94451909684187,-5.838698010793324,12.04316240260468
7.0,False,shared_4,shared,cash,school_response_only,12.643166124484804,223.46264890240778,-3.852538428018626,11.993374294936697
7.0,False,shared_5,shared,gdp,cbo_category_lag_non_school_fixed,19.161295930051143,119.10496528596124,-5.838698010793324,12.187609440780763
7.0,False,shared_5,shared,cash,cbo_category_lag_non_school_fixed,12.643166124484804,125.62309509152712,-3.852538428018626,12.138413825700024
7.0,False,shared_6,shared,gdp,cbo_category_lag_non_school_full,19.161295930051143,174.15073317822248,-5.838698010793324,12.24217041006031
7.0,False,shared_6,shared,cash,cbo_category_lag_non_school_full,12.643166124484804,180.6688629837884,-3.852538428018626,12.19319493290801
7.0,False,shared_7,shared,gdp,school_response_only,19.161295930051143,202.07508845680456,-5.838698010793324,12.025673666746819
7.0,False,shared_7,shared,cash,school_response_only,12.643166124484804,208.59321826237047,-3.852538428018626,11.975812851828687
7.0,False,shared_8,shared,gdp,cbo_category_lag_non_school_fixed,19.161295930051143,133.20807485029934,-5.838698010793324,12.199200199849267
7.0,False,shared_8,shared,cash,cbo_category_lag_non_school_fixed,12.643166124484804,139.72620465586525,-3.852538428018626,12.150051515896537
7.0,False,shared_9,shared,gdp,cbo_category_lag_non_school_full,19.161295930051143,159.28130253818517,-5.838698010793324,12.224966373472489
7.0,False,shared_9,shared,cash,cbo_category_lag_non_school_full,12.643166124484804,165.79943234375108,-3.852538428018626,12.175921696342764
7.0,False,shared_10,shared,gdp,school_response_only,19.161295930051143,207.09385542735427,-5.838698010793324,12.03136998994938
7.0,False,shared_10,shared,cash,school_response_only,12.643166124484804,213.61198523292015,-3.852538428018626,11.981532880144837
7.0,False,shared_11,shared,gdp,cbo_category_lag_non_school_fixed,19.161295930051143,138.22684182084902,-5.838698010793324,12.203722935295431
7.0,False,shared_11,shared,cash,cbo_category_lag_non_school_fixed,12.643166124484804,144.74497162641492,-3.852538428018626,12.154592539628512
7.0,False,shared_12,shared,gdp,cbo_category_lag_non_school_full,19.161295930051143,164.30006950873485,-5.838698010793324,12.230569877503655
7.0,False,shared_12,shared,cash,cbo_category_lag_non_school_full,12.643166124484804,170.81819931430073,-3.852538428018626,12.181547760914336
7.0,False,shared_13,shared,gdp,education_fixed_diagnostic,19.161295930051143,27.8139684687561,-5.838698010793324,12.152718716233391
7.0,False,shared_13,shared,cash,education_fixed_diagnostic,12.643166124484804,34.332098274322,-3.852538428018626,12.103381284534779
7.0,False,shared_14,shared,gdp,education_full_diagnostic,19.161295930051143,221.17942850829786,-5.838698010793324,12.308480380113828
7.0,False,shared_14,shared,cash,education_full_diagnostic,12.643166124484804,227.6975583138638,-3.852538428018626,12.259769801696294
