arm,account,rate,group,start_age,lifetime,gap_vs_white,gap_change_vs_terminal83,longevity_only
mortality_65plus,partial,0.0,mexican_third_plus_selfid,0,-12513.56561142713,397709.25026014436,13788.769399791374,36478.97371836216
fenelon_mexican,partial,0.0,mexican_third_plus_selfid,0,14236.56752095366,370959.1171277636,-12961.363732589409,9728.84058598138
truncate83,partial,0.0,mexican_third_plus_selfid,0,77883.94484397168,387054.85577185533,3134.374911502353,25824.57923007314
male,partial,0.0,mexican_third_plus_selfid,0,8658.745194713214,400809.20448868035,16888.723628327367,39578.927946898155
female,partial,0.0,mexican_third_plus_selfid,0,-51021.3114852807,411828.67495045543,27908.19409010245,50598.39840867324
lt2023,partial,0.0,mexican_third_plus_selfid,0,-18451.69213197686,406151.74500928435,22231.26414893137,44921.468467502156
terminal83,partial,0.0,mexican_third_plus_selfid,25,-14328.689665618102,252087.1586378799,0.0,18957.606832326186
common_white,partial,0.0,mexican_third_plus_selfid,25,-5876.740552591096,233129.55180555372,-18957.606832326186,0.0
group_specific,partial,0.0,mexican_third_plus_selfid,25,-53856.70653472154,281109.51778768416,29022.35914980425,47979.96598213044
paradox_fades,partial,0.0,mexican_third_plus_selfid,25,-5876.740552591096,233129.55180555372,-18957.606832326186,0.0
mortality_65plus,partial,0.0,mexican_third_plus_selfid,25,-42803.06807427042,270055.87932723307,17968.720689353155,36926.32752167934
fenelon_mexican,partial,0.0,mexican_third_plus_selfid,25,-15724.89104296525,242977.70229592788,-9109.456341952027,9848.150490374159
truncate83,partial,0.0,mexican_third_plus_selfid,25,48781.18307594093,259192.6605321216,7105.501894241694,26063.10872656788
male,partial,0.0,mexican_third_plus_selfid,25,-21377.36722791471,274124.00055361516,22036.841915735247,40994.44874806143
female,partial,0.0,mexican_third_plus_selfid,25,-81652.69785687557,283393.4018200296,31306.243182149687,50263.85001447587
lt2023,partial,0.0,mexican_third_plus_selfid,25,-48878.24674191001,278871.47311170487,26784.314473824954,45741.92130615114
terminal83,partial,0.0,all_native,0,270373.0649913269,129296.96017165709,0.0,5375.5821117115265
common_white,partial,0.0,all_native,0,261274.30658877167,123921.37805994556,-5375.5821117115265,0.0
group_specific,partial,0.0,all_native,0,261274.30658877167,123921.37805994556,-5375.5821117115265,0.0
paradox_fades,partial,0.0,all_native,0,261274.30658877167,123921.37805994556,-5375.5821117115265,0.0
mortality_65plus,partial,0.0,all_native,0,261274.30658877167,123921.37805994556,-5375.5821117115265,0.0
fenelon_mexican,partial,0.0,all_native,0,261274.30658877167,123921.37805994556,-5375.5821117115265,0.0
truncate83,partial,0.0,all_native,0,340570.46082497045,124368.33979085658,-4928.620380800508,446.9617309110181
male,partial,0.0,all_native,0,286615.43946192355,122852.51022147003,-6444.44995018706,-1068.867838475533
female,partial,0.0,all_native,0,235757.0543428344,125050.30912234035,-4246.651049316744,1128.9310623947822
lt2023,partial,0.0,all_native,0,264133.5191809721,123566.53369633539,-5730.426475321699,-354.8443636101729
terminal83,partial,0.0,all_native,25,169461.1537492803,68297.31522298153,0.0,4180.979443742806
common_white,partial,0.0,all_native,25,163136.4754737239,64116.335779238725,-4180.979443742806,0.0
group_specific,partial,0.0,all_native,25,163136.4754737239,64116.335779238725,-4180.979443742806,0.0
paradox_fades,partial,0.0,all_native,25,163136.4754737239,64116.335779238725,-4180.979443742806,0.0
mortality_65plus,partial,0.0,all_native,25,163136.4754737239,64116.335779238725,-4180.979443742806,0.0
fenelon_mexican,partial,0.0,all_native,25,163136.4754737239,64116.335779238725,-4180.979443742806,0.0
truncate83,partial,0.0,all_native,25,243405.0648573547,64568.77875070783,-3728.5364722736995,452.44297146910685
male,partial,0.0,all_native,25,189470.40757564118,63276.22575005927,-5021.089472922264,-840.1100291794573
female,partial,0.0,all_native,25,136744.03945289255,64996.66451026144,-3300.6507127200894,880.328731022717
lt2023,partial,0.0,all_native,25,166179.45089456002,63813.77547523481,-4483.5397477467195,-302.5603040039132
terminal83,partial,0.03,mexico_born,0,-27370.502953795843,257872.89571052312,0.0,5714.778575707896
common_white,partial,0.03,mexico_born,0,-24958.853381920522,252158.11713481523,-5714.778575707896,0.0
group_specific,partial,0.03,mexico_born,0,-28068.367181835467,255267.63093473017,-2605.2647757929517,3109.5137999149447
paradox_fades,partial,0.03,mexico_born,0,-28068.367181835467,255267.63093473017,-2605.2647757929517,3109.5137999149447
mortality_65plus,partial,0.03,mexico_born,0,-27209.94583994924,254409.20959284395,-3463.6861176791717,2251.0924580287246
fenelon_mexican,partial,0.03,mexico_born,0,-26429.80691100635,253629.07066390105,-4243.825046622078,1470.9535290858184
truncate83,partial,0.03,mexico_born,0,-22234.172974802455,255424.96354341143,-2447.9321671116923,3266.846408596204
male,partial,0.03,mexico_born,0,-25990.631161126614,254222.9239800506,-3649.97173047252,2064.8068452353764
female,partial,0.03,mexico_born,0,-29932.232597845654,256132.21217051562,-1740.683540007507,3974.0950357003894
lt2023,partial,0.03,mexico_born,0,-27755.760111656153,254796.27907410497,-3076.6166364181554,2638.161939289741
terminal83,partial,0.03,mexico_born,25,28423.310650769035,225142.0570751179,0.0,7324.425479554251
common_white,partial,0.03,mexico_born,25,33488.181199754734,217817.63159556364,-7324.425479554251,0.0
group_specific,partial,0.03,mexico_born,25,26891.579520105777,224414.23327521258,-727.823799905309,6596.601679648942
paradox_fades,partial,0.03,mexico_born,25,26891.579520105777,224414.23327521258,-727.823799905309,6596.601679648942
mortality_65plus,partial,0.03,mexico_born,25,28717.092876713323,222588.71991860506,-2553.3371565128327,4771.088323041418
fenelon_mexican,partial,0.03,mexico_born,25,30370.560266363424,220935.25252895494,-4206.804546162952,3117.6209333912993
truncate83,partial,0.03,mexico_born,25,39270.754758731666,224733.82726114217,-408.22981397571857,6916.1956655785325
male,partial,0.03,mexico_born,25,31398.99815815873,223070.10384518642,-2071.953229931474,5252.472249622777
female,partial,0.03,mexico_born,25,22858.04195924717,225314.06818946637,172.0111143484828,7496.436593902734
lt2023,partial,0.03,mexico_born,25,27585.183391375653,223610.14955567257,-1531.907519445318,5792.517960108933
terminal83,partial,0.03,mexican_second_gen,0,-12409.58628166356,242911.97903839085,0.0,5215.5550912690815
common_white,partial,0.03,mexican_second_gen,0,-10497.160194227055,237696.42394712177,-5215.5550912690815,0.0
group_specific,partial,0.03,mexican_second_gen,0,-14099.402604719202,241298.66635761393,-1613.3126807769295,3602.242410492152
paradox_fades,partial,0.03,mexican_second_gen,0,-10497.160194227055,237696.42394712177,-5215.5550912690815,0.0
mortality_65plus,partial,0.03,mexican_second_gen,0,-13189.610913443945,240388.87466633864,-2523.104372052214,2692.4507192168676
fenelon_mexican,partial,0.03,mexican_second_gen,0,-11244.340197583935,238443.60395047863,-4468.3750879122235,747.1800033568579
truncate83,partial,0.03,mexican_second_gen,0,-7192.049207830424,240382.8397764394,-2529.1392619514663,2686.415829317615
male,partial,0.03,mexican_second_gen,0,-11935.214597678027,240167.507416602,-2744.4716217888636,2471.083469480218
female,partial,0.03,mexican_second_gen,0,-15983.585074093975,242183.56464676393,-728.414391626924,4487.140699642157
lt2023,partial,0.03,mexican_second_gen,0,-13817.472278701876,240857.99124115068,-2053.9877972401737,3161.567294028908
terminal83,partial,0.03,mexican_second_gen,25,72298.86658088514,181266.5011450018,0.0,6721.437856206379
common_white,partial,0.03,mexican_second_gen,25,76760.74950652297,174545.0632887954,-6721.437856206379,0.0
group_specific,partial,0.03,mexican_second_gen,25,69160.32651760029,182145.4862777181,878.9851327163051,7600.422988922684
paradox_fades,partial,0.03,mexican_second_gen,25,76760.74950652297,174545.0632887954,-6721.437856206379,0.0
mortality_65plus,partial,0.03,mexican_second_gen,25,71054.22237521657,180251.5904201018,-1014.9107248999935,5706.527131306386
fenelon_mexican,partial,0.03,mexican_second_gen,25,75177.12842973918,176128.6843655792,-5137.816779422603,1583.6210767837765
truncate83,partial,0.03,mexican_second_gen,25,83816.56439739633,180188.0176224775,-1078.4835225243005,5642.954333682079
male,partial,0.03,mexican_second_gen,25,73969.13127940244,180499.9707239427,-766.5304210590839,5954.9074351472955
female,partial,0.03,mexican_second_gen,25,64957.72315204655,183214.386996667,1947.8858516651962,8669.323707871576
lt2023,partial,0.03,mexican_second_gen,25,69834.4291788187,181360.90376822953,94.40262322773924,6815.840479434119
terminal83,partial,0.03,mexican_third_plus_selfid,0,69113.2019172114,161389.19083951588,0.0,4541.527103415021
common_white,partial,0.03,mexican_third_plus_selfid,0,70351.60001679385,156847.66373610086,-4541.527103415021,0.0
group_specific,partial,0.03,mexican_third_plus_selfid,0,66426.42336259068,160772.84039030405,-616.3504492118373,3925.1766542031837
paradox_fades,partial,0.03,mexican_third_plus_selfid,0,70351.60001679385,156847.66373610086,-4541.527103415021,0.0
mortality_65plus,partial,0.03,mexican_third_plus_selfid,0,67472.12788269881,159727.1358701959,-1662.0549693199864,2879.4721340950346
fenelon_mexican,partial,0.03,mexican_third_plus_selfid,0,69543.99306938147,157655.27068351326,-3733.9201560026268,807.6069474123942
truncate83,partial,0.03,mexican_third_plus_selfid,0,73875.29922822858,159315.4913403804,-2073.6994991354877,2467.8276042795333
male,partial,0.03,mexican_third_plus_selfid,0,68597.70788080116,159634.58493812283,-1754.6059013930499,2786.921202021971
female,partial,0.03,mexican_third_plus_selfid,0,64568.06870482027,161631.91086784969,242.72002833380247,4784.247131748823
lt2023,partial,0.03,mexican_third_plus_selfid,0,66671.33675799682,160369.182204452,-1020.0086350638885,3521.5184683511325
terminal83,partial,0.03,mexican_third_plus_selfid,25,112799.12167653788,140766.24604934905,0.0,6604.568638239551
common_white,partial,0.03,mexican_third_plus_selfid,25,117144.13538420886,134161.6774111095,-6604.568638239551,0.0
group_specific,partial,0.03,mexican_third_plus_selfid,25,108972.10349857916,142333.7092967392,1567.4632473901438,8172.031885629694
paradox_fades,partial,0.03,mexican_third_plus_selfid,25,117144.13538420886,134161.6774111095,-6604.568638239551,0.0
mortality_65plus,partial,0.03,mexican_third_plus_selfid,25,111041.2248500345,140264.58794528386,-501.6581040651945,6102.910534174356
fenelon_mexican,partial,0.03,mexican_third_plus_selfid,25,115432.42893467697,135873.3838606414,-4892.862188707659,1711.7064495318918
truncate83,partial,0.03,mexican_third_plus_selfid,25,124777.36064280383,139227.22137707,-1539.024672279047,5065.543965960504
male,partial,0.03,mexican_third_plus_selfid,25,113978.20385309999,140490.89815024516,-275.34789910388645,6329.220739135664
female,partial,0.03,mexican_third_plus_selfid,25,104627.01156985124,143545.09857886232,2778.8525295132713,9383.421167752822
lt2023,partial,0.03,mexican_third_plus_selfid,25,109645.64141886291,141549.6915281853,783.4454788362491,7388.0141170758
terminal83,partial,0.03,all_native,0,167816.59102135617,62685.80173537112,0.0,1246.4998830261757
common_white,partial,0.03,all_native,0,165759.96190054977,61439.30185234494,-1246.4998830261757,0.0
group_specific,partial,0.03,all_native,0,165759.96190054977,61439.30185234494,-1246.4998830261757,0.0
paradox_fades,partial,0.03,all_native,0,165759.96190054977,61439.30185234494,-1246.4998830261757,0.0
mortality_65plus,partial,0.03,all_native,0,165759.96190054977,61439.30185234494,-1246.4998830261757,0.0
fenelon_mexican,partial,0.03,all_native,0,165759.96190054977,61439.30185234494,-1246.4998830261757,0.0
truncate83,partial,0.03,all_native,0,171717.90609080635,61472.88447780261,-1212.917257568508,33.582625457667746
male,partial,0.03,all_native,0,167055.66493252097,61176.627886403,-1509.1738489681156,-262.67396594193997
female,partial,0.03,all_native,0,164483.67804584175,61716.3015268282,-969.5002085429151,276.9996744832606
lt2023,partial,0.03,all_native,0,165684.6333517821,61355.88561066671,-1329.9161247044103,-83.41624167823466
terminal83,partial,0.03,all_native,25,213851.6466861836,39713.72103970332,0.0,1556.8084448800655
common_white,partial,0.03,all_native,25,213148.90020049512,38156.912594823254,-1556.8084448800655,0.0
group_specific,partial,0.03,all_native,25,213148.90020049512,38156.912594823254,-1556.8084448800655,0.0
paradox_fades,partial,0.03,all_native,25,213148.90020049512,38156.912594823254,-1556.8084448800655,0.0
mortality_65plus,partial,0.03,all_native,25,213148.90020049512,38156.912594823254,-1556.8084448800655,0.0
fenelon_mexican,partial,0.03,all_native,25,213148.90020049512,38156.912594823254,-1556.8084448800655,0.0
truncate83,partial,0.03,all_native,25,225776.49257418123,38228.0894456926,-1485.631594010716,71.17685086934944
male,partial,0.03,all_native,25,216682.8896476135,37786.21235573164,-1927.5086839716823,-370.7002390916168
female,partial,0.03,all_native,25,209628.32120084707,38543.78894786647,-1169.9320918368467,386.87635304321884
lt2023,partial,0.03,all_native,25,213176.67837377108,38018.654573277134,-1695.0664664261858,-138.2580215461203
terminal83,complete,0.0,mexico_born,0,-799188.6285682084,623984.8837311924,0.0,29104.150454678573
common_white,complete,0.0,mexico_born,0,-756372.0425758706,594880.7332765139,-29104.150454678573,0.0
group_specific,complete,0.0,mexico_born,0,-816131.1424485018,654639.8331491449,30654.949417952448,59759.09987263102
paradox_fades,complete,0.0,mexico_born,0,-816131.1424485018,654639.8331491449,30654.949417952448,59759.09987263102
mortality_65plus,complete,0.0,mexico_born,0,-799958.9891507602,638467.6798514035,14482.796120211016,43586.94657488959
fenelon_mexican,complete,0.0,mexico_born,0,-782491.9767371493,621000.6674377925,-2984.2162933999207,26119.934161278652
truncate83,complete,0.0,mexico_born,0,-695702.8820785921,639887.5915983887,15902.707867196295,45006.85832187487
male,complete,0.0,mexico_born,0,-769148.4975570285,647631.1696661381,23646.285934945685,52750.43638962426
female,complete,0.0,mexico_born,0,-858548.9314327155,656535.4204191917,32550.536687999265,61654.68714267784
lt2023,complete,0.0,mexico_born,0,-807706.7662378043,652074.9790807322,28090.09534953977,57194.24580421834
terminal83,complete,0.0,mexico_born,25,-559317.5806260202,395357.0295982822,0.0,23051.462702105404
common_white,complete,0.0,mexico_born,25,-524364.3740123961,372305.5668961768,-23051.462702105404,0.0
group_specific,complete,0.0,mexico_born,25,-585638.1240632922,433579.31694707286,38222.287348790676,61273.75005089608
paradox_fades,complete,0.0,mexico_born,25,-585638.1240632922,433579.31694707286,38222.287348790676,61273.75005089608
mortality_65plus,complete,0.0,mexico_born,25,-568485.8418289139,416427.0347126946,21070.0051144124,44121.467816517805
fenelon_mexican,complete,0.0,mexico_born,25,-550804.535543062,398745.7284268427,3388.698828560533,26440.161530665937
truncate83,complete,0.0,mexico_born,25,-463596.3184711977,418509.4703862427,23152.440787960542,46203.903490065946
male,complete,0.0,mexico_born,25,-539740.4495463906,427846.57940674544,32489.549808463256,55541.01251056866
female,complete,0.0,mexico_born,25,-626490.2610077484,433978.821101793,38621.79150351079,61673.25420561619
lt2023,complete,0.0,mexico_born,25,-577833.2130422097,431601.84334273153,36244.81374444935,59296.27644655475
terminal83,complete,0.0,mexican_second_gen,0,-747279.5750440027,572075.8302069867,0.0,27370.60857506562
common_white,complete,0.0,mexican_second_gen,0,-706196.5309312779,544705.2216319211,-27370.60857506562,0.0
group_specific,complete,0.0,mexican_second_gen,0,-772348.589121698,610857.2798223412,38781.44961535442,66152.05819042004
paradox_fades,complete,0.0,mexican_second_gen,0,-706196.5309312779,544705.2216319211,-27370.60857506562,0.0
mortality_65plus,complete,0.0,mexican_second_gen,0,-755113.3199800942,593622.0106807374,21546.18047375069,48916.78904881631
fenelon_mexican,complete,0.0,mexican_second_gen,0,-717354.1443824668,555862.83508311,-16212.995123876724,11157.613451188896
truncate83,complete,0.0,mexican_second_gen,0,-637718.5047067776,581903.2142265743,9827.384019587538,37197.99259465316
male,complete,0.0,mexican_second_gen,0,-721838.2640878125,600320.9361969221,28245.105989935342,55615.71456500096
female,complete,0.0,mexican_second_gen,0,-817572.7555562115,615559.2445426877,43483.414335700916,70854.02291076654
lt2023,complete,0.0,mexican_second_gen,0,-763525.2269037912,607893.4397467191,35817.60953973234,63188.21811479796
terminal83,complete,0.0,mexican_second_gen,25,-500818.6138460181,336858.0628182801,0.0,21967.56887909281
common_white,complete,0.0,mexican_second_gen,25,-466949.30105540657,314890.49393918726,-21967.56887909281,0.0
group_specific,complete,0.0,mexican_second_gen,25,-534641.0368910215,382582.2297748022,45724.16695652215,67691.73583561496
paradox_fades,complete,0.0,mexican_second_gen,25,-466949.30105540657,314890.49393918726,-21967.56887909281,0.0
mortality_65plus,complete,0.0,mexican_second_gen,25,-516465.9729791087,364407.1658628894,27549.103044609306,49516.67192370212
fenelon_mexican,complete,0.0,mexican_second_gen,25,-478243.66336585814,326184.85624963883,-10673.206568641239,11294.362310451572
truncate83,complete,0.0,mexican_second_gen,25,-398207.12562679907,353120.2775418441,16262.214723564044,38229.783602656855
male,complete,0.0,mexican_second_gen,25,-485011.8101507213,373117.94001107616,36259.87719279609,58227.4460718889
female,complete,0.0,mexican_second_gen,25,-578485.0118581203,385973.5719521649,49115.5091338848,71083.07801297761
lt2023,complete,0.0,mexican_second_gen,25,-526374.081163012,380142.71146353375,43284.64864525368,65252.21752434649
terminal83,complete,0.0,mexican_third_plus_selfid,0,-611516.315697369,436312.570860353,0.0,25259.053663919098
common_white,complete,0.0,mexican_third_plus_selfid,0,-572544.8264957907,411053.5171964339,-25259.053663919098,0.0
group_specific,complete,0.0,mexican_third_plus_selfid,0,-641698.7025333433,480207.3932339865,43894.822373633506,69153.8760375526
paradox_fades,complete,0.0,mexican_third_plus_selfid,0,-572544.8264957907,411053.5171964339,-25259.053663919098,0.0
mortality_65plus,complete,0.0,mexican_third_plus_selfid,0,-623676.1188825154,462184.8095831585,25872.238722805516,51131.29238672461
fenelon_mexican,complete,0.0,mexican_third_plus_selfid,0,-584332.6044951008,422841.29519574397,-13471.275664609042,11787.777999310056
truncate83,complete,0.0,mexican_third_plus_selfid,0,-500401.6133857198,444586.3229055164,8273.75204516342,33532.80570908252
male,complete,0.0,mexican_third_plus_selfid,0,-589693.9237341953,468176.5958433049,31864.024982951873,57123.07864687097
female,complete,0.0,mexican_third_plus_selfid,0,-688093.3393350705,486079.82832154667,49767.25746119366,75026.31112511276
lt2023,complete,0.0,mexican_third_plus_selfid,0,-632734.8871103798,477103.09995330765,40790.529092954646,66049.58275687374
terminal83,complete,0.0,mexican_third_plus_selfid,25,-452659.0496656181,288698.4986378801,0.0,20999.743148457143
common_white,complete,0.0,mexican_third_plus_selfid,25,-419757.56260564225,267698.75548942294,-20999.743148457143,0.0
group_specific,complete,0.0,mexican_third_plus_selfid,25,-490391.07066126756,338332.2635450482,49633.76490716811,70633.50805562525
paradox_fades,complete,0.0,mexican_third_plus_selfid,25,-419757.56260564225,267698.75548942294,-20999.743148457143,0.0
mortality_65plus,complete,0.0,mexican_third_plus_selfid,25,-471515.89505918225,319457.0879429629,30758.5893050828,51758.332453539944
fenelon_mexican,complete,0.0,mexican_third_plus_selfid,25,-431689.82955382316,279631.0224376038,-9067.476200276287,11932.266948180855
truncate83,complete,0.0,mexican_third_plus_selfid,25,-347200.8275113987,302113.97942644375,13415.48078856367,34415.22393702081
male,complete,0.0,mexican_third_plus_selfid,25,-439060.1490549198,327166.27891527466,38467.78027739457,59467.523425851716
female,complete,0.0,mexican_third_plus_selfid,25,-535614.810559588,343103.37065363256,54404.87201575248,75404.61516420962
lt2023,complete,0.0,mexican_third_plus_selfid,25,-481905.5506393604,335674.1809398822,46975.6823020021,67975.42545045924
terminal83,complete,0.0,all_native,0,-337593.6350086731,162389.89017165708,0.0,6998.169635250932
common_white,complete,0.0,all_native,0,-316883.029835763,155391.72053640615,-6998.169635250932,0.0
group_specific,complete,0.0,all_native,0,-316883.029835763,155391.72053640615,-6998.169635250932,0.0
paradox_fades,complete,0.0,all_native,0,-316883.029835763,155391.72053640615,-6998.169635250932,0.0
mortality_65plus,complete,0.0,all_native,0,-316883.029835763,155391.72053640615,-6998.169635250932,0.0
fenelon_mexican,complete,0.0,all_native,0,-316883.029835763,155391.72053640615,-6998.169635250932,0.0
truncate83,complete,0.0,all_native,0,-210161.13069494357,154345.8402147402,-8044.04995691689,-1045.880321665958
male,complete,0.0,all_native,0,-274936.3025064419,153418.9746155515,-8970.915556105581,-1972.7459208546497
female,complete,0.0,all_native,0,-359462.91846602864,157449.40745250482,-4940.482719152264,2057.686916098668
lt2023,complete,0.0,all_native,0,-310475.5220188546,154843.73486178255,-7546.155309874535,-547.9856746236037
terminal83,complete,0.0,all_native,25,-255383.0462507197,91422.49522298167,0.0,5470.874047301826
common_white,complete,0.0,all_native,25,-238010.42829189918,85951.62117567984,-5470.874047301826,0.0
group_specific,complete,0.0,all_native,25,-238010.42829189918,85951.62117567984,-5470.874047301826,0.0
paradox_fades,complete,0.0,all_native,25,-238010.42829189918,85951.62117567984,-5470.874047301826,0.0
mortality_65plus,complete,0.0,all_native,25,-238010.42829189918,85951.62117567984,-5470.874047301826,0.0
fenelon_mexican,complete,0.0,all_native,25,-238010.42829189918,85951.62117567984,-5470.874047301826,0.0
truncate83,complete,0.0,all_native,25,-129979.76296027427,84892.9148753193,-6529.58034766237,-1058.7063003605435
male,complete,0.0,all_native,25,-196160.8303536259,84266.9602139808,-7155.535009000872,-1684.6609616990463
female,complete,0.0,all_native,25,-280203.4495167777,87692.00961082225,-3730.4856121594203,1740.3884351424058
lt2023,complete,0.0,all_native,25,-231702.72440640896,85471.35470693075,-5951.140516050917,-480.26646874909056
terminal83,complete,0.03,mexico_born,0,-270961.0447877925,284115.5381743189,0.0,6494.171388088609
common_white,complete,0.03,mexico_born,0,-261314.88300049305,277621.3667862303,-6494.171388088609,0.0
group_specific,complete,0.03,mexico_born,0,-266455.85427545715,282762.3380611944,-1353.2001131245052,5140.971274964104
paradox_fades,complete,0.03,mexico_born,0,-266455.85427545715,282762.3380611944,-1353.2001131245052,5140.971274964104
mortality_65plus,complete,0.03,mexico_born,0,-264764.5701141268,281071.053899864,-3044.4842744548805,3449.6871136337286
fenelon_mexican,complete,0.03,mexico_born,0,-262770.6738996037,279077.15768534096,-5038.380488977942,1455.790899110667
truncate83,complete,0.03,mexico_born,0,-257598.75224693507,281845.2405440841,-2270.297630234796,4223.873757853813
male,complete,0.03,mexico_born,0,-261744.5882559169,281188.4673887801,-2927.0707855388173,3567.100602549792
female,complete,0.03,mexico_born,0,-270965.4772576579,284087.4277082868,-28.110466032114346,6466.060922056495
lt2023,complete,0.03,mexico_born,0,-265508.70744682103,282192.243639753,-1923.294534565881,4570.876853522728
terminal83,complete,0.03,mexico_born,25,-190097.20135848635,248683.84003799054,0.0,8482.733792996645
common_white,complete,0.03,mexico_born,25,-174280.6334500791,240201.1062449939,-8482.733792996645,0.0
group_specific,complete,0.03,mexico_born,25,-185578.31184812236,251498.78464303716,2814.9446050466213,11297.678398043266
paradox_fades,complete,0.03,mexico_born,25,-185578.31184812236,251498.78464303716,2814.9446050466213,11297.678398043266
mortality_65plus,complete,0.03,mexico_born,25,-181592.08876027874,247512.56155519353,-1171.2784827970027,7311.455310199643
fenelon_mexican,complete,0.03,mexico_born,25,-177366.07084352287,243286.54363843767,-5397.29639955287,3085.4373934437754
