account,rate,timing,survival,group,start_age,lifetime,person_years,gap_vs_white,gap_per_year
complete,0.0,accrual_only,common_white,mexican_second_gen,0,-1063394.829171104,78.93040675292968,-472885.8566962478,-5991.174708835459
complete,0.0,accrual_only,common_white,mexican_second_gen,25,-802879.322365196,54.764830068072335,-245475.6983636754,-4482.360267685495
complete,0.0,accrual_only,common_white,mexican_third_plus_selfid,0,-940626.8709040174,78.93040675292968,-350117.8984291613,-4435.779730935769
complete,0.0,accrual_only,common_white,mexican_third_plus_selfid,25,-767123.2638979136,54.764830068072335,-209719.63989639306,-3829.458424972978
complete,0.0,accrual_only,common_white,third_plus_nh_white,0,-590508.9724748561,78.93040675292968,0.0,0.0
complete,0.0,accrual_only,common_white,third_plus_nh_white,25,-557403.6240015206,54.764830068072335,0.0,0.0
complete,0.0,accrual_only,common_white,all_native,0,-723983.9935234507,78.93040675292968,-133475.02104859462,-1691.046917652434
complete,0.0,accrual_only,common_white,all_native,25,-623933.0509800871,54.764830068072335,-66529.42697856657,-1214.8202942631415
complete,0.0,accrual_only,common_white,mexican_observed_total,0,-1033654.3765104138,78.93040675292968,-443145.40403555776,-5614.381355245067
complete,0.0,accrual_only,common_white,mexican_observed_total,25,-814100.1094617302,54.764830068072335,-256696.48546020966,-4687.250652309841
complete,0.0,accrual_only,group_specific,mexico_born,0,-1159994.3629838405,81.81386755859376,-569485.3905089844,-7215.031746784286
complete,0.0,accrual_only,group_specific,mexico_born,25,-906099.387172322,57.76235330662396,-348695.76317080145,-6367.147724869681
complete,0.0,accrual_only,group_specific,mexican_second_gen,0,-1134160.127255516,81.81386755859376,-543651.1547806598,-6887.727773688192
complete,0.0,accrual_only,group_specific,mexican_second_gen,25,-875641.7650114038,57.76235330662396,-318238.14100988326,-5810.994768253919
complete,0.0,accrual_only,group_specific,mexican_third_plus_selfid,0,-1014716.0649277251,81.81386755859376,-424207.09245286905,-5374.44452529853
complete,0.0,accrual_only,group_specific,mexican_third_plus_selfid,25,-843166.2803499505,57.76235330662396,-285762.65634842997,-5217.995855975976
complete,0.0,accrual_only,group_specific,third_plus_nh_white,0,-590508.9724748561,78.93040675292968,0.0,0.0
complete,0.0,accrual_only,group_specific,third_plus_nh_white,25,-557403.6240015206,54.764830068072335,0.0,0.0
complete,0.0,accrual_only,group_specific,all_native,0,-723983.9935234507,78.93040675292968,-133475.02104859462,-1691.046917652434
complete,0.0,accrual_only,group_specific,all_native,25,-623933.0509800871,54.764830068072335,-66529.42697856657,-1214.8202942631415
complete,0.0,accrual_only,group_specific,mexican_observed_total,0,-1102441.7890978586,81.81386755859376,-511932.8166230025,-6485.875820017879
complete,0.0,accrual_only,group_specific,mexican_observed_total,25,-884849.028497898,57.76235330662396,-327445.40449637745,-5979.118424897236
complete,0.0,accrual_only,paradox_fades,mexico_born,0,-1159994.3629838405,81.81386755859376,-569485.3905089844,-7215.031746784286
complete,0.0,accrual_only,paradox_fades,mexico_born,25,-906099.387172322,57.76235330662396,-348695.76317080145,-6367.147724869681
complete,0.0,accrual_only,paradox_fades,mexican_second_gen,0,-1063394.829171104,78.93040675292968,-472885.8566962478,-5991.174708835459
complete,0.0,accrual_only,paradox_fades,mexican_second_gen,25,-802879.322365196,54.764830068072335,-245475.6983636754,-4482.360267685495
complete,0.0,accrual_only,paradox_fades,mexican_third_plus_selfid,0,-940626.8709040174,78.93040675292968,-350117.8984291613,-4435.779730935769
complete,0.0,accrual_only,paradox_fades,mexican_third_plus_selfid,25,-767123.2638979136,54.764830068072335,-209719.63989639306,-3829.458424972978
complete,0.0,accrual_only,paradox_fades,third_plus_nh_white,0,-590508.9724748561,78.93040675292968,0.0,0.0
complete,0.0,accrual_only,paradox_fades,third_plus_nh_white,25,-557403.6240015206,54.764830068072335,0.0,0.0
complete,0.0,accrual_only,paradox_fades,all_native,0,-723983.9935234507,78.93040675292968,-133475.02104859462,-1691.046917652434
complete,0.0,accrual_only,paradox_fades,all_native,25,-623933.0509800871,54.764830068072335,-66529.42697856657,-1214.8202942631415
complete,0.0,accrual_only,paradox_fades,mexican_observed_total,0,-1102441.7890978586,81.81386755859376,-511932.8166230025,-6485.875820017879
complete,0.0,accrual_only,paradox_fades,mexican_observed_total,25,-884849.028497898,57.76235330662396,-327445.40449637745,-5979.118424897236
complete,0.0,accrual_only,mortality_65plus,mexico_born,0,-1140780.6001382214,80.86920579656656,-550271.6276633653,-6971.605117731649
complete,0.0,accrual_only,mortality_65plus,mexico_born,25,-885489.5537978323,56.72740525006046,-328085.9297963118,-5990.814349072261
complete,0.0,accrual_only,mortality_65plus,mexican_second_gen,0,-1113976.7866744203,80.86920579656656,-523467.8141995643,-6632.017187471729
complete,0.0,accrual_only,mortality_65plus,mexican_second_gen,25,-854081.5832587078,56.72740525006046,-296677.9592571872,-5417.30813166805
complete,0.0,accrual_only,mortality_65plus,mexican_third_plus_selfid,0,-993580.037963084,80.86920579656656,-403071.0654882279,-5106.663985020791
complete,0.0,accrual_only,mortality_65plus,mexican_third_plus_selfid,25,-820725.8132796421,56.72740525006046,-263322.1892781216,-4808.235302671692
complete,0.0,accrual_only,mortality_65plus,third_plus_nh_white,0,-590508.9724748561,78.93040675292968,0.0,0.0
complete,0.0,accrual_only,mortality_65plus,third_plus_nh_white,25,-557403.6240015206,54.764830068072335,0.0,0.0
complete,0.0,accrual_only,mortality_65plus,all_native,0,-723983.9935234507,78.93040675292968,-133475.02104859462,-1691.046917652434
complete,0.0,accrual_only,mortality_65plus,all_native,25,-623933.0509800871,54.764830068072335,-66529.42697856657,-1214.8202942631415
complete,0.0,accrual_only,mortality_65plus,mexican_observed_total,0,-1082378.8913949013,80.86920579656656,-491869.91892004525,-6231.691171435505
complete,0.0,accrual_only,mortality_65plus,mexican_observed_total,25,-863422.1492989922,56.72740525006046,-306018.5252974717,-5587.86587883305
complete,0.0,accrual_only,fenelon_mexican,mexico_born,0,-1119250.0949287887,79.7575924103368,-528741.1224539327,-6698.8267792539555
complete,0.0,accrual_only,fenelon_mexican,mexico_born,25,-863694.8768973778,55.602150387918876,-306291.2528958572,-5592.845855910429
