arm,account,rate,group,start_age,lifetime
mortality_65plus,partial,0.03,mexican_third_plus_selfid,0,67472.12788269881
fenelon_mexican,partial,0.03,mexican_third_plus_selfid,0,69543.99306938147
truncate83,partial,0.03,mexican_third_plus_selfid,0,73875.29922822858
male,partial,0.03,mexican_third_plus_selfid,0,68597.70788080116
female,partial,0.03,mexican_third_plus_selfid,0,64568.06870482027
lt2023,partial,0.03,mexican_third_plus_selfid,0,66671.33675799682
terminal83,partial,0.03,mexican_third_plus_selfid,25,112799.12167653788
common_white,partial,0.03,mexican_third_plus_selfid,25,117144.13538420886
group_specific,partial,0.03,mexican_third_plus_selfid,25,108972.10349857916
paradox_fades,partial,0.03,mexican_third_plus_selfid,25,117144.13538420886
mortality_65plus,partial,0.03,mexican_third_plus_selfid,25,111041.2248500345
fenelon_mexican,partial,0.03,mexican_third_plus_selfid,25,115432.42893467697
truncate83,partial,0.03,mexican_third_plus_selfid,25,124777.36064280383
male,partial,0.03,mexican_third_plus_selfid,25,113978.20385309999
female,partial,0.03,mexican_third_plus_selfid,25,104627.01156985124
lt2023,partial,0.03,mexican_third_plus_selfid,25,109645.64141886291
terminal83,partial,0.03,third_plus_nh_white,0,230502.3927567273
common_white,partial,0.03,third_plus_nh_white,0,227199.2637528947
group_specific,partial,0.03,third_plus_nh_white,0,227199.2637528947
paradox_fades,partial,0.03,third_plus_nh_white,0,227199.2637528947
mortality_65plus,partial,0.03,third_plus_nh_white,0,227199.2637528947
fenelon_mexican,partial,0.03,third_plus_nh_white,0,227199.2637528947
truncate83,partial,0.03,third_plus_nh_white,0,233190.79056860897
male,partial,0.03,third_plus_nh_white,0,228232.29281892398
female,partial,0.03,third_plus_nh_white,0,226199.97957266995
lt2023,partial,0.03,third_plus_nh_white,0,227040.5189624488
terminal83,partial,0.03,third_plus_nh_white,25,253565.36772588693
common_white,partial,0.03,third_plus_nh_white,25,251305.81279531837
group_specific,partial,0.03,third_plus_nh_white,25,251305.81279531837
paradox_fades,partial,0.03,third_plus_nh_white,25,251305.81279531837
mortality_65plus,partial,0.03,third_plus_nh_white,25,251305.81279531837
fenelon_mexican,partial,0.03,third_plus_nh_white,25,251305.81279531837
truncate83,partial,0.03,third_plus_nh_white,25,264004.58201987384
male,partial,0.03,third_plus_nh_white,25,254469.10200334515
female,partial,0.03,third_plus_nh_white,25,248172.11014871355
lt2023,partial,0.03,third_plus_nh_white,25,251195.3329470482
terminal83,partial,0.03,all_native,0,167816.59102135617
common_white,partial,0.03,all_native,0,165759.96190054977
group_specific,partial,0.03,all_native,0,165759.96190054977
paradox_fades,partial,0.03,all_native,0,165759.96190054977
mortality_65plus,partial,0.03,all_native,0,165759.96190054977
fenelon_mexican,partial,0.03,all_native,0,165759.96190054977
truncate83,partial,0.03,all_native,0,171717.90609080635
male,partial,0.03,all_native,0,167055.66493252097
female,partial,0.03,all_native,0,164483.67804584175
lt2023,partial,0.03,all_native,0,165684.6333517821
terminal83,partial,0.03,all_native,25,213851.6466861836
common_white,partial,0.03,all_native,25,213148.90020049512
group_specific,partial,0.03,all_native,25,213148.90020049512
paradox_fades,partial,0.03,all_native,25,213148.90020049512
mortality_65plus,partial,0.03,all_native,25,213148.90020049512
fenelon_mexican,partial,0.03,all_native,25,213148.90020049512
truncate83,partial,0.03,all_native,25,225776.49257418123
male,partial,0.03,all_native,25,216682.8896476135
female,partial,0.03,all_native,25,209628.32120084707
lt2023,partial,0.03,all_native,25,213176.67837377108
terminal83,complete,0.0,mexico_born,0,-799188.6285682084
common_white,complete,0.0,mexico_born,0,-756372.0425758706
group_specific,complete,0.0,mexico_born,0,-816131.1424485018
paradox_fades,complete,0.0,mexico_born,0,-816131.1424485018
mortality_65plus,complete,0.0,mexico_born,0,-799958.9891507602
fenelon_mexican,complete,0.0,mexico_born,0,-782491.9767371493
truncate83,complete,0.0,mexico_born,0,-695702.8820785921
male,complete,0.0,mexico_born,0,-769148.4975570285
female,complete,0.0,mexico_born,0,-858548.9314327155
lt2023,complete,0.0,mexico_born,0,-807706.7662378043
terminal83,complete,0.0,mexico_born,25,-559317.5806260202
common_white,complete,0.0,mexico_born,25,-524364.3740123961
group_specific,complete,0.0,mexico_born,25,-585638.1240632922
paradox_fades,complete,0.0,mexico_born,25,-585638.1240632922
mortality_65plus,complete,0.0,mexico_born,25,-568485.8418289139
fenelon_mexican,complete,0.0,mexico_born,25,-550804.535543062
truncate83,complete,0.0,mexico_born,25,-463596.3184711977
male,complete,0.0,mexico_born,25,-539740.4495463906
female,complete,0.0,mexico_born,25,-626490.2610077484
lt2023,complete,0.0,mexico_born,25,-577833.2130422097
terminal83,complete,0.0,mexican_second_gen,0,-747279.5750440027
common_white,complete,0.0,mexican_second_gen,0,-706196.5309312779
group_specific,complete,0.0,mexican_second_gen,0,-772348.589121698
paradox_fades,complete,0.0,mexican_second_gen,0,-706196.5309312779
mortality_65plus,complete,0.0,mexican_second_gen,0,-755113.3199800942
fenelon_mexican,complete,0.0,mexican_second_gen,0,-717354.1443824668
truncate83,complete,0.0,mexican_second_gen,0,-637718.5047067776
male,complete,0.0,mexican_second_gen,0,-721838.2640878125
female,complete,0.0,mexican_second_gen,0,-817572.7555562115
lt2023,complete,0.0,mexican_second_gen,0,-763525.2269037912
terminal83,complete,0.0,mexican_second_gen,25,-500818.6138460181
common_white,complete,0.0,mexican_second_gen,25,-466949.30105540657
group_specific,complete,0.0,mexican_second_gen,25,-534641.0368910215
paradox_fades,complete,0.0,mexican_second_gen,25,-466949.30105540657
mortality_65plus,complete,0.0,mexican_second_gen,25,-516465.9729791087
fenelon_mexican,complete,0.0,mexican_second_gen,25,-478243.66336585814
truncate83,complete,0.0,mexican_second_gen,25,-398207.12562679907
male,complete,0.0,mexican_second_gen,25,-485011.8101507213
female,complete,0.0,mexican_second_gen,25,-578485.0118581203
lt2023,complete,0.0,mexican_second_gen,25,-526374.081163012
terminal83,complete,0.0,mexican_third_plus_selfid,0,-611516.315697369
common_white,complete,0.0,mexican_third_plus_selfid,0,-572544.8264957907
group_specific,complete,0.0,mexican_third_plus_selfid,0,-641698.7025333433
paradox_fades,complete,0.0,mexican_third_plus_selfid,0,-572544.8264957907
mortality_65plus,complete,0.0,mexican_third_plus_selfid,0,-623676.1188825154
fenelon_mexican,complete,0.0,mexican_third_plus_selfid,0,-584332.6044951008
truncate83,complete,0.0,mexican_third_plus_selfid,0,-500401.6133857198
male,complete,0.0,mexican_third_plus_selfid,0,-589693.9237341953
female,complete,0.0,mexican_third_plus_selfid,0,-688093.3393350705
lt2023,complete,0.0,mexican_third_plus_selfid,0,-632734.8871103798
terminal83,complete,0.0,mexican_third_plus_selfid,25,-452659.0496656181
common_white,complete,0.0,mexican_third_plus_selfid,25,-419757.56260564225
group_specific,complete,0.0,mexican_third_plus_selfid,25,-490391.07066126756
paradox_fades,complete,0.0,mexican_third_plus_selfid,25,-419757.56260564225
mortality_65plus,complete,0.0,mexican_third_plus_selfid,25,-471515.89505918225
fenelon_mexican,complete,0.0,mexican_third_plus_selfid,25,-431689.82955382316
truncate83,complete,0.0,mexican_third_plus_selfid,25,-347200.8275113987
male,complete,0.0,mexican_third_plus_selfid,25,-439060.1490549198
female,complete,0.0,mexican_third_plus_selfid,25,-535614.810559588
lt2023,complete,0.0,mexican_third_plus_selfid,25,-481905.5506393604
terminal83,complete,0.0,third_plus_nh_white,0,-175203.74483701604
common_white,complete,0.0,third_plus_nh_white,0,-161491.30929935683
group_specific,complete,0.0,third_plus_nh_white,0,-161491.30929935683
paradox_fades,complete,0.0,third_plus_nh_white,0,-161491.30929935683
mortality_65plus,complete,0.0,third_plus_nh_white,0,-161491.30929935683
fenelon_mexican,complete,0.0,third_plus_nh_white,0,-161491.30929935683
truncate83,complete,0.0,third_plus_nh_white,0,-55815.290480203366
male,complete,0.0,third_plus_nh_white,0,-121517.32789089039
female,complete,0.0,third_plus_nh_white,0,-202013.51101352382
lt2023,complete,0.0,third_plus_nh_white,0,-155631.78715707207
terminal83,complete,0.0,third_plus_nh_white,25,-163960.55102773802
common_white,complete,0.0,third_plus_nh_white,25,-152058.80711621934
group_specific,complete,0.0,third_plus_nh_white,25,-152058.80711621934
paradox_fades,complete,0.0,third_plus_nh_white,25,-152058.80711621934
mortality_65plus,complete,0.0,third_plus_nh_white,25,-152058.80711621934
fenelon_mexican,complete,0.0,third_plus_nh_white,25,-152058.80711621934
truncate83,complete,0.0,third_plus_nh_white,25,-45086.84808495497
male,complete,0.0,third_plus_nh_white,25,-111893.8701396451
female,complete,0.0,third_plus_nh_white,25,-192511.43990595546
lt2023,complete,0.0,third_plus_nh_white,25,-146231.3696994782
terminal83,complete,0.0,all_native,0,-337593.6350086731
common_white,complete,0.0,all_native,0,-316883.029835763
group_specific,complete,0.0,all_native,0,-316883.029835763
paradox_fades,complete,0.0,all_native,0,-316883.029835763
mortality_65plus,complete,0.0,all_native,0,-316883.029835763
