account,rate,timing,survival,group,start_age,lifetime,person_years,gap_vs_white,gap_per_year,gap_change_vs_repo
partial,0.03,accrual_only,paradox_fades,mexican_second_gen,0,-115742.44641571346,30.448598719809517,-218327.89324770385,-7170.375729168192,24584.085790687008
partial,0.03,accrual_only,paradox_fades,mexican_second_gen,25,-116980.45355291665,26.765846735420713,-137728.56508303533,-5145.683095493914,43537.936061966466
partial,0.03,accrual_only,paradox_fades,mexican_third_plus_selfid,0,-37122.210590402785,30.448598719809517,-139707.65742239315,-4588.311557717135,21681.53341712273
partial,0.03,accrual_only,paradox_fades,mexican_third_plus_selfid,25,-81590.90347947943,26.765846735420713,-102339.01500959811,-3823.4925284155975,38427.23103975094
partial,0.03,accrual_only,paradox_fades,mexican_observed_total,0,-92195.26997616544,30.710301514419616,-194780.71680815582,-6397.03385369369,22831.61642236539
partial,0.03,accrual_only,paradox_fades,mexican_observed_total,25,-131077.15157103576,27.37146360409304,-151825.26310115444,-5672.350462211821,40018.94327802447
partial,0.03,accrual_only,mortality_65plus,mexico_born,0,-127611.22975897545,30.603007844700986,-230196.67659096583,-7560.1730874137875,27676.219119557296
partial,0.03,accrual_only,mortality_65plus,mexico_born,25,-150129.49041110426,27.093109869421813,-170877.60194122294,-6384.165747877919,54264.45513389495
partial,0.03,accrual_only,mortality_65plus,mexican_second_gen,0,-118578.45949394572,30.603007844700986,-221163.90632593608,-7263.5167339260615,21748.07271245477
partial,0.03,accrual_only,mortality_65plus,mexican_second_gen,25,-122991.2545901142,27.093109869421813,-143739.36612023288,-5370.252902554907,37527.13502476891
partial,0.03,accrual_only,mortality_65plus,mexican_third_plus_selfid,0,-40160.9320313938,30.603007844700986,-142746.3788633842,-4688.109957931003,18642.811976131692
partial,0.03,accrual_only,mortality_65plus,mexican_third_plus_selfid,25,-88031.33569379362,27.093109869421813,-108779.44722391228,-4064.1138051485023,31986.798825436766
partial,0.03,accrual_only,mortality_65plus,mexican_observed_total,0,-90796.89595371146,30.603007844700986,-193382.34278570185,-6351.10812701832,24229.990444819356
partial,0.03,accrual_only,mortality_65plus,mexican_observed_total,25,-127934.89291827434,27.093109869421813,-148683.004448393,-5554.952395794475,43161.2019307859
partial,0.03,accrual_only,fenelon_mexican,mexico_born,0,-126079.7311966124,30.446645391872856,-228665.1780286028,-7509.875253465631,29207.71768192033
partial,0.03,accrual_only,fenelon_mexican,mexico_born,25,-146883.52256664837,26.761700686365696,-167631.63409676705,-6262.892997699599,57510.422978350834
partial,0.03,accrual_only,fenelon_mexican,mexican_second_gen,0,-116210.78969538318,30.441692293100328,-218796.23652737355,-7185.7571686879355,24115.742511017306
partial,0.03,accrual_only,fenelon_mexican,mexican_second_gen,25,-117973.06297109804,26.751202819693386,-138721.1745012167,-5182.768020472873,42545.32664378508
partial,0.03,accrual_only,fenelon_mexican,mexican_third_plus_selfid,0,-37642.48068788842,30.441692293100328,-140227.9275198788,-4605.398389931425,21161.263319637073
partial,0.03,accrual_only,fenelon_mexican,mexican_third_plus_selfid,25,-82693.5820406758,26.751202819693386,-103441.69357079448,-3864.689751581982,37324.55247855457
partial,0.03,accrual_only,fenelon_mexican,mexican_observed_total,0,-89240.29509976374,30.446645391872856,-191825.7419317541,-6299.985877739406,25786.591298767104
partial,0.03,accrual_only,fenelon_mexican,mexican_observed_total,25,-124635.72781344513,26.761700686365696,-145383.8393435638,-5431.692140386106,46460.36703561511
partial,0.03,cash_to_accrual,terminal83,mexico_born,0,-101114.78758183356,31.38058577229341,-250403.516613129,-7979.567954216317,7469.379097394121
partial,0.03,cash_to_accrual,terminal83,mexico_born,25,-105922.85357910968,28.150935658187652,-218775.6796753999,-7771.524269452457,6366.3773997179815
partial,0.03,cash_to_accrual,terminal83,mexican_second_gen,0,-82136.66800604574,31.38058577229341,-231425.3970373412,-7374.795318246469,11486.582001049654
partial,0.03,cash_to_accrual,terminal83,mexican_second_gen,25,-47082.37951092907,28.150935658187652,-159935.20560721928,-5681.345996778704,21331.295537782513
partial,0.03,cash_to_accrual,terminal83,mexican_third_plus_selfid,0,-4302.516294025484,31.38058577229341,-153591.24532532095,-4894.467121800191,7797.945514194929
partial,0.03,cash_to_accrual,terminal83,mexican_third_plus_selfid,25,-16201.252766782196,28.150935658187652,-129054.07886307241,-4584.361970417749,11712.167186276638
partial,0.03,cash_to_accrual,terminal83,mexican_observed_total,0,-62504.138475831896,31.38058577229341,-211792.86750712735,-6749.168707173203,5819.465723393863
partial,0.03,cash_to_accrual,terminal83,mexican_observed_total,25,-70671.99121997341,28.150935658187652,-183524.81731626362,-6519.315007666032,8319.389062915288
partial,0.03,cash_to_accrual,common_white,mexico_born,0,-97168.75432483394,30.448598719809517,-243095.49606039067,-7983.79913300363,14777.399650132458
partial,0.03,cash_to_accrual,common_white,mexico_born,25,-99465.06747098705,26.765846735420713,-207923.39504784002,-7768.235285180932,17218.662027277867
