outcome,outcome_label,taxonomy,period,group,n_obs,adjusted_gap,se_adjusted_gap,raw_gap,se_raw_gap
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Mexico|2nd_both_foreign,5483.0,-0.046415920763536234,0.006759373489027301,-0.04687834411942693,0.006846747231932417
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Central America|1st_foreign_born,11373.0,-0.0607709473419931,0.004552620592035332,-0.036120630714791324,0.004625416711888161
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Central America|2nd_father_foreign,534.0,-0.02656114979527633,0.02007666577343418,-0.01253371776421508,0.02101314262291619
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Central America|2nd_mother_foreign,678.0,-0.01902374095316672,0.017696719268836317,-0.007756548540317487,0.018810562111234913
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Central America|2nd_both_foreign,462.0,-0.043516478505407984,0.02272260367369967,-0.008501342623097874,0.022432851011542493
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Caribbean|1st_foreign_born,13903.0,-0.07027580858019378,0.004623840417693419,-0.07567212082121777,0.004712992439748199
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Caribbean|2nd_father_foreign,445.0,-0.030495114329657347,0.02622244457199088,-0.01734677760566894,0.026081475731969988
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Caribbean|2nd_mother_foreign,314.0,-0.02160189729006971,0.02556916754708167,0.011515612782834639,0.0257233652556232
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Caribbean|2nd_both_foreign,1535.0,-0.03640786853423914,0.01270648921178984,-0.0020645754553590967,0.012418536926008904
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,South America|1st_foreign_born,9768.0,-0.040607191564009784,0.00517618948120461,-0.031084721276093075,0.005107632471631635
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,South America|2nd_father_foreign,227.0,0.0024523914202690786,0.026549545202728467,0.015080857571842965,0.02867857499911572
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,South America|2nd_mother_foreign,203.0,0.015832964973669792,0.030720442259557626,0.034241779974163444,0.030912960024987866
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,South America|2nd_both_foreign,733.0,0.015006184806554277,0.0180148125187519,0.03974965761252691,0.017877386576884976
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Europe|1st_foreign_born,18681.0,-0.03134443571476961,0.0038120894612680254,-0.044148492070949175,0.004120617749534727
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Europe|2nd_father_foreign,8703.0,0.003388218775751725,0.005004317729000875,-0.046937317606262186,0.00541564699331124
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Europe|2nd_mother_foreign,7430.0,0.012369184812418166,0.005372573000419326,0.004511110442612654,0.00556215931229052
