outcome,outcome_label,taxonomy,period,origin,g1_adjusted_gap,se_g1_adjusted_gap,g2_adjusted_gap,se_g2_adjusted_gap,closing_ratio_adjusted,se_closing_ratio_adjusted,p025_closing_ratio_adjusted,p975_closing_ratio_adjusted,g1_raw_gap,g2_raw_gap,closing_ratio_raw,se_closing_ratio_raw,n_obs_g1,n_obs_g2
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,1994-2004,Mexico,0.5814761617712995,0.0029599342544958255,0.168343788834032,0.004593597676544432,0.7104889247373078,0.008090122856467196,0.6954877098622833,0.7255333386503332,0.5695225662650666,0.16482756575521423,0.7105864183114732,0.00832771378851169,42104.0,10582.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,2005-2014,Mexico,0.5232223971134893,0.0029542860056645413,0.13402959100889122,0.003945408558420094,0.743838200068833,0.007738602998850989,0.7281811649109362,0.7567139855595144,0.5184530188838666,0.12669735127493545,0.7556242385323719,0.007827197761211368,60678.0,15611.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,2015-2025,Mexico,0.4204089717345459,0.002615977713709693,0.08461499842727165,0.0027217524160834308,0.798731701471159,0.006660224390635683,0.7852056894168706,0.8100972166335364,0.41923539304085167,0.07420569054186824,0.8229975527504249,0.006680045428703201,59003.0,23990.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,all,Mexico,0.49611441505102105,0.0015399098976011793,0.11802768891453082,0.0020948126340753054,0.7620958284342682,0.004373802437286295,0.7533715092988507,0.7688088371924405,0.48582514067782623,0.09855257296709763,0.7971439418931748,0.00452133354872527,161785.0,50183.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,1994-2004,Other origin,0.14457329228261187,0.00236589451997995,0.0028046593523021485,0.002499730681164079,0.9806004324310496,0.01733148208815921,0.9515461834690734,1.0160164862059458,0.1380096192195418,0.004761195032926616,0.9655009914536997,0.017978722104382505,73352.0,20707.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,2005-2014,Other origin,0.11908884477735734,0.0017276657386822308,0.007261838073518736,0.0019341069481788099,0.9390216767397894,0.01618896327289595,0.9088050719303965,0.9690533615982524,0.11542502759547266,0.00200527801306815,0.9826270085886746,0.016316555015933015,101512.0,26650.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,2015-2025,Other origin,0.09458963122458457,0.0014598262039487242,0.007110156217245549,0.0013916625291968553,0.9248315473356284,0.014582800682473999,0.8952457533530686,0.9511321680480859,0.09177612976251973,-0.0008682046914718702,1.0094600272828942,0.01482631475396816,107922.0,32377.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,all,Other origin,0.11646078244646633,0.0010558314648398497,0.009214921599787243,0.0011053200536416889,0.9208753246697181,0.009400033492229119,0.9024074546926862,0.9382410539533423,0.10563742721397576,-0.0036022823215157776,1.034100435958357,0.010397295196496112,282786.0,79734.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,1994-2004,Philippines,-0.0030643273143347227,0.004611520349320185,-0.03427773077044938,0.006540682696374084,-10.186053986498242,302.733086974205,-88.85169386028034,86.37693322922554,-0.006690950876912002,-0.044289904352754386,-5.619373713470603,29.28278181475083,6565.0,1451.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,2005-2014,Philippines,-0.022307736706935453,0.002433182511872708,-0.017664021871978658,0.0048805023944957565,0.2081661127689869,0.23571096186445678,-0.18151854413790616,0.6623554739012075,-0.024515565842526864,-0.025462089212538036,-0.03860907702849148,0.2244262823961536,9527.0,2815.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,2015-2025,Philippines,-0.018061374931440954,0.001947975398475592,-0.01867257685012414,0.002971832206677526,-0.033840276335729946,0.1914942020971207,-0.4221316060220477,0.318567980566508,-0.018082642822517234,-0.02667419747893028,-0.47512715595501875,0.21708025491387842,8753.0,3459.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,all,Philippines,-0.01426959960734428,0.001659316638750342,-0.016755808429715694,0.00226248086260713,-0.17423115509784948,0.21311101316516878,-0.5862074758549913,0.1979444438804347,-0.01907658419216255,-0.03629490909901574,-0.9025895167294777,0.21206103224603165,24845.0,7725.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,1994-2004,Poland,0.011661211991680093,0.009007840158622096,-0.061797771317978804,0.005963357278924647,6.299429541463577,211.63429495663553,-26.994740082093305,79.57036222230228,0.01340438494573222,-0.032580478387655105,3.430583612717591,25.4544179965475,1571.0,1946.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,2005-2014,Poland,0.0007200062261685596,0.009679590011409426,-0.05108176939822864,0.0038766686606859606,71.94628843705298,60.47487658863662,-88.45242805042268,66.64825416067197,-9.958584068824744e-05,-0.045665285945569976,-457.55199524322677,59.702647256460764,1538.0,1187.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,2015-2025,Poland,-0.007922918324994204,0.0068600097059816996,-0.04073006371386674,0.003703723316801952,-4.140790557612688,104.06900393230848,-43.760760407236106,55.28130007018496,-0.007636344869061937,-0.03925575375087641,-4.140647053529245,56.04038435856174,1112.0,646.0
less_than_hs,no high-school credential (EDUC <= 71),country_gen_union,all,Poland,0.0015682802705741696,0.004559326300942065,-0.05631930091498379,0.003364922825533055,36.911502536701875,594.0868454655246,-317.83228994792074,238.484896370576,0.0014396186017058,-0.032510513184426465,23.582726526251363,109.48069301707704,4221.0,3779.0
log_inctot,log total personal income | positive,region_gen_union,1994-2004,Africa,-0.1608335456307838,0.0334192157312614,0.4121292448468021,0.07285981517199402,3.5624582435862178,0.814611128952666,2.4598231513264484,5.885227534029145,-0.0006485128600637324,0.31738071236499543,490.39771577360074,190.63993964797353,2384.0,238.0
log_inctot,log total personal income | positive,region_gen_union,2005-2014,Africa,-0.1956403940668663,0.022748315549965224,0.06290241074565865,0.050073313629750774,1.3215205686212212,0.2643143487018419,0.8049541012298831,1.808352036532992,-0.1360508037267767,0.03455365981969649,1.2539761535631109,0.3841900772380113,6526.0,902.0
log_inctot,log total personal income | positive,region_gen_union,2015-2025,Africa,-0.1932077219875437,0.02145378336596644,0.14723356660384257,0.0555163273941733,1.7620480438837474,0.3022629162190073,1.2108567978360816,2.42612441506289,-0.12656454440464948,0.15237687185018522,2.203945959486166,0.5235588465864851,8322.0,1361.0
log_inctot,log total personal income | positive,region_gen_union,all,Africa,-0.18911619336217123,0.013865564831597014,0.14661498698572195,0.038339429260443945,1.775264055283429,0.21199937086637854,1.420032647162925,2.2210301806118307,0.0088169196941692,0.28254904549920035,-31.046231030782266,280.7436806429591,17232.0,2501.0
log_inctot,log total personal income | positive,region_gen_union,1994-2004,Asia,-0.13878515034054073,0.01052154347878315,0.19341662016823702,0.022959453892270037,2.393640599831074,0.20786868288558918,1.9738297347345322,2.775158616721923,-0.11166459553453478,0.18863717666275015,2.6893194817905366,0.27865265765272945,29402.0,4516.0
log_inctot,log total personal income | positive,region_gen_union,2005-2014,Asia,-0.09185462063486641,0.009431136094278541,0.1525126326953115,0.019277488101552297,2.6603697412410887,0.2688846162838233,2.2071047150651246,3.1886502648865895,-0.08444592681038898,0.10573922446216599,2.252153045813423,0.27084052930723773,44796.0,9414.0
log_inctot,log total personal income | positive,region_gen_union,2015-2025,Asia,-0.09731400414848877,0.00998705363881442,0.19201642528333923,0.018228980365387944,2.973163338242116,0.29304372407715823,2.4898549699533623,3.639934031106166,-0.07136629746538858,0.2052165400846615,3.875538557737116,0.5232197841545907,49480.0,14044.0
log_inctot,log total personal income | positive,region_gen_union,all,Asia,-0.10513741936563638,0.006040868789380116,0.1816513592577662,0.012772622410922039,2.7277517400920535,0.1608986486065027,2.4015538416047013,3.0120378841470408,-0.02453325006054108,0.2927752067876934,12.933812522401539,5.369394315895335,123678.0,27974.0
log_inctot,log total personal income | positive,region_gen_union,1994-2004,Canada,0.0686305716879065,0.03449516309817769,0.16828126908786736,0.019927971073668792,-1.451986992810093,9.565528315513953,-21.673075248648114,-0.10786225820270585,0.030545371904667107,0.17205572309675254,-4.6327918885303765,64.3707191624697,3277.0,6435.0
log_inctot,log total personal income | positive,region_gen_union,2005-2014,Canada,0.11779758111740564,0.030754504289035246,0.10107045316371978,0.02419406316103285,0.1419989085940091,0.3889610402313198,-0.7324382850662063,0.5916313526853231,0.11507878656509085,0.10856759000243343,0.0565803373237217,0.42919580354191267,3220.0,4972.0
log_inctot,log total personal income | positive,region_gen_union,2015-2025,Canada,0.09957160204610235,0.05242130846324423,0.035808417785788825,0.04559141808087391,0.6403751968436817,2.4679847178780556,-1.2115657854958102,2.4325895396169446,0.10682284066710501,0.028044629528196197,0.7374659824335466,1.3697687842788477,2446.0,2894.0
log_inctot,log total personal income | positive,region_gen_union,all,Canada,0.09436022461576665,0.024046803770241328,0.11458094676630845,0.016402913032978618,-0.2142928573228844,0.5490443975588235,-1.4855803580887448,0.24001264624126206,0.07699546833837623,0.06308131424116681,0.1807139354755285,1.5778723402701287,8943.0,14301.0
log_inctot,log total personal income | positive,region_gen_union,1994-2004,Caribbean,-0.29716945802572986,0.014291100482779063,0.09481329248007608,0.0337700789425649,1.31905463337308,0.11660347239694188,1.0847212368618666,1.5396261202809296,-0.30204219382100383,0.05773312991087032,1.191142598921408,0.11498254275122456,12480.0,2158.0
log_inctot,log total personal income | positive,region_gen_union,2005-2014,Caribbean,-0.2449299015659536,0.012715591765674212,-0.0031887045689020835,0.027717686420839313,0.9869811544098325,0.11321247097484159,0.7483126678671697,1.2148931488810626,-0.25603339155022375,-0.05617388930599354,0.7805993625836323,0.11044714455238334,13211.0,3362.0
log_inctot,log total personal income | positive,region_gen_union,2015-2025,Caribbean,-0.28365551538995665,0.015029039320438869,-0.000855122839268891,0.024582874509720205,0.9969853473919119,0.08707009026895549,0.8280335723360684,1.1654245463553778,-0.2695309863504587,-0.0016401721872547625,0.9939147175266813,0.09062728440940498,13592.0,4769.0
log_inctot,log total personal income | positive,region_gen_union,all,Caribbean,-0.2753036025437461,0.008615624115374728,0.015282907968766307,0.016634134242699813,1.0555129240139087,0.06035792057116596,0.9397748734394398,1.1764943690989698,-0.22838898375763783,0.09923488958256677,1.4344994576790664,0.07542313936152804,39283.0,10289.0
log_inctot,log total personal income | positive,region_gen_union,1994-2004,Central America,-0.47297785954954047,0.014946906077520885,-0.0394255820171575,0.03603224010005819,0.9166439163670239,0.07623950895350667,0.7645129967954101,1.0683898063629402,-0.4314075656283194,-0.05505620708114378,0.8723800612978178,0.09173699575941127,9944.0,1589.0
log_inctot,log total personal income | positive,region_gen_union,2005-2014,Central America,-0.45200674126711765,0.011570425635036524,0.023384713042222102,0.03273903956632302,1.0517353192049024,0.07246161054933857,0.9263585758685096,1.2058455111635888,-0.4127296303644581,-0.04171872817840239,0.8989199584687851,0.07913174068862382,13682.0,1563.0
log_inctot,log total personal income | positive,region_gen_union,2015-2025,Central America,-0.5336666692693156,0.016172892687673333,-0.09937144643740743,0.028168989947705742,0.8137949170154011,0.05368411208135909,0.7116377111949777,0.9128326125838223,-0.4438673185605815,-0.11176642035618478,0.7481985816873555,0.06619182356695799,14804.0,3061.0
log_inctot,log total personal income | positive,region_gen_union,all,Central America,-0.4942833890930131,0.009407347620986573,-0.05760742100003175,0.019210648398870035,0.8834526462527121,0.03896343171152025,0.8196727973401752,0.9570651883126045,-0.36364916521758595,-0.0006675505420030703,0.9981643006340916,0.05457797710984645,38430.0,6213.0
log_inctot,log total personal income | positive,region_gen_union,1994-2004,Europe,-0.08877627427155542,0.014823449402018464,0.13094758937398646,0.010480441169629321,2.475029116151398,0.30498815932805207,2.0613350094227214,3.185775737693339,-0.09838621297501327,0.09998927469781016,2.0162935605947556,0.21541775073608485,17353.0,23695.0
log_inctot,log total personal income | positive,region_gen_union,2005-2014,Europe,-0.031265998077018325,0.014115433264828373,0.13753089375779085,0.014165209310858656,5.398736717727914,17.636870478207253,2.6956675344373595,18.75009517301754,-0.025693609992163857,0.13896016960191027,6.408355215335288,23.6623917844773,17349.0,18510.0
log_inctot,log total personal income | positive,region_gen_union,2015-2025,Europe,0.012002771045843949,0.017268788481597044,0.1784702948523523,0.016851635998563017,-13.869090993296002,487.20977625480924,-160.69499661720602,89.74865775038668,0.027054757192063406,0.18398805793655626,-5.800580638385093,63.88677470181082,14705.0,13368.0
log_inctot,log total personal income | positive,region_gen_union,all,Europe,-0.03502622300179971,0.009389404352195705,0.14672236067598296,0.007942247738744187,5.188928982392538,1.5848516913948105,3.78037603481709,10.082382845481227,-0.024134155669697677,0.10430815574585317,5.322013878315214,14.541559934653645,49407.0,55573.0
log_inctot,log total personal income | positive,region_gen_union,1994-2004,Mexico,-0.6323853082547809,0.0081577678411704,-0.2170293132799205,0.01585178914631142,0.6568084197293182,0.025575492861388324,0.6058760766940054,0.705363779498025,-0.533163208017136,-0.24228747319502197,0.5455660301540635,0.030327164859725694,34427.0,9732.0
log_inctot,log total personal income | positive,region_gen_union,2005-2014,Mexico,-0.5708971767922486,0.006642706356257433,-0.16108239700917,0.011884743219807897,0.7178434163674479,0.020409503848701344,0.6811486214664081,0.7587043436059502,-0.49394983327453623,-0.19969585027391012,0.5957163322638078,0.02406813171733687,48579.0,13999.0
log_inctot,log total personal income | positive,region_gen_union,2015-2025,Mexico,-0.6012552798964498,0.008288676891026059,-0.22403738866011522,0.012423287579684195,0.6273839147014232,0.02100248104303668,0.5810401936172493,0.6710675102430497,-0.5013989977665538,-0.21961701233075281,0.5619915211059033,0.026002456563584984,48317.0,21515.0
log_inctot,log total personal income | positive,region_gen_union,all,Mexico,-0.5985228114256302,0.0045053747741110985,-0.2046505466827867,0.007870059711291002,0.6580739400803679,0.013366784308565001,0.6329852911520576,0.6875591452419343,-0.454987465261933,-0.12274198535500247,0.7302299629631757,0.01843368490265865,131323.0,45246.0
log_inctot,log total personal income | positive,region_gen_union,1994-2004,Other,-0.15026913198841507,0.0684250599095989,-0.07268205279111718,0.11606409756267998,0.5163208050158926,1.3343011993357976,-3.0414528059166988,3.461024377366214,-0.09234902434706704,-0.14131480617484726,-0.5302252208291505,6.140494447723952,798.0,258.0
log_inctot,log total personal income | positive,region_gen_union,2005-2014,Other,-0.11396087571056102,0.0455333180616605,-0.06342669184783721,0.0778444250352991,0.44343449931949486,1.328782730818531,-1.7839354711836617,1.6959361223387586,-0.10295084518979714,-0.043120139114463996,0.5811579882130256,2.6300588406417567,1424.0,547.0
log_inctot,log total personal income | positive,region_gen_union,2015-2025,Other,-0.23432060606335606,0.062057696112439116,-0.2560698488828074,0.09625561208913014,-0.09281831071045787,0.58341339650684,-1.4075825975561838,0.6945601142950543,-0.18032794859661117,-0.2694413590187832,-0.4941741483540987,1.0336461257987615,1378.0,630.0
log_inctot,log total personal income | positive,region_gen_union,all,Other,-0.17450359039100669,0.03418920397289295,-0.15648554946231397,0.057228589147749066,0.10325312441033485,0.38295776211791716,-0.7532283862347927,0.7647955473824677,-0.07846577198925075,-0.08257016650829563,-0.052308088163679045,1.5631542661319222,3600.0,1435.0
log_inctot,log total personal income | positive,region_gen_union,1994-2004,South America,-0.31133064857627,0.018306224732715443,0.22189845848654963,0.04570347568468547,1.7127420943016753,0.14762239412409867,1.3936265550861295,1.9605609022015142,-0.2724844049422437,0.17853517229503169,1.6552124417280847,0.16213674929386532,8634.0,1112.0
log_inctot,log total personal income | positive,region_gen_union,2005-2014,South America,-0.2250851317377129,0.015439103324751393,0.11386983105419414,0.03383135357433817,1.5058967252749698,0.15390581144813156,1.2333558647625906,1.8343581511787308,-0.21214365605221985,0.0675018939618024,1.3181895476770071,0.16911697136574455,11161.0,1793.0
log_inctot,log total personal income | positive,region_gen_union,2015-2025,South America,-0.2980315339822243,0.018279603214857353,0.05638985673005593,0.03402247232222339,1.1892076854304257,0.11513726759107623,0.968769332422781,1.4174071830300181,-0.2642920590334956,0.06763260363117851,1.2559010054199433,0.12912202688419475,12428.0,2800.0
log_inctot,log total personal income | positive,region_gen_union,all,South America,-0.278500314438568,0.009716316113506677,0.09899919336414273,0.02279282588515888,1.3554724653137873,0.08307481837107786,1.1918892707283713,1.5143691769415213,-0.17840803411547768,0.19855574595401215,2.1129305187315364,0.14450831390779045,32223.0,5705.0
log_inctot,log total personal income | positive,region_gen_union,1994-2004,US outlying,-0.3980697967395585,0.01660751788529791,-0.13621771956799972,0.02157586537267968,0.6578044335849935,0.05660319484569197,0.5586953850884661,0.7574023014730235,-0.4211538488050923,-0.1902076688595855,0.5483653553226517,0.05218575018371784,7658.0,4387.0
log_inctot,log total personal income | positive,region_gen_union,2005-2014,US outlying,-0.35175168692101016,0.019233872187186835,-0.18656425477182673,0.023406394011921572,0.4696137596243516,0.07306038780432945,0.32321765807934777,0.5892553806323332,-0.37272804829719597,-0.1980145318880595,0.46874260525150513,0.07010195752990461,6772.0,4870.0
log_inctot,log total personal income | positive,region_gen_union,2015-2025,US outlying,-0.35045101803360523,0.02212942559530613,-0.24917637387576627,0.030783185643502617,0.2889837350911265,0.09977500015012755,0.0811777921770909,0.4584725195249564,-0.3517508615439606,-0.25575151828933507,0.2729185732005034,0.10117640088312277,5433.0,4214.0
log_inctot,log total personal income | positive,region_gen_union,all,US outlying,-0.3665564369775704,0.010819536573084203,-0.19812400646504635,0.016079947351252916,0.45949931176036185,0.046604470544005086,0.357781144491899,0.5381608230163113,-0.3729774949817042,-0.18076517182440455,0.5153456327619133,0.045099913863964385,19863.0,13471.0
log_inctot,log total personal income | positive,country_gen_union,1994-2004,Canada,0.06865085578471189,0.03449135058068639,0.16801394980339096,0.01992451940302224,-1.4473686144609812,9.479548290370301,-21.79510857107748,-0.1064167297948639,0.030545371904667107,0.17205572309675254,-4.6327918885303765,64.3707191624697,3277.0,6435.0
log_inctot,log total personal income | positive,country_gen_union,2005-2014,Canada,0.11781395740191453,0.030765024613569746,0.10084727482403111,0.024185328299309878,0.14401250031863966,0.3882142111389129,-0.7311559170640164,0.5928105541036192,0.11507878656509085,0.10856759000243343,0.0565803373237217,0.42919580354191267,3220.0,4972.0
log_inctot,log total personal income | positive,country_gen_union,2015-2025,Canada,0.09954279854242805,0.05242129035679219,0.035657718062070305,0.04559066489004745,0.6417850554314892,2.4883942746888463,-1.2126322552923239,2.4418605279728545,0.10682284066710501,0.028044629528196197,0.7374659824335466,1.3697687842788477,2446.0,2894.0
log_inctot,log total personal income | positive,country_gen_union,all,Canada,0.09435610573277811,0.024048193992720016,0.11431399798116818,0.0163956777579041,-0.21151670147252544,0.5479348897961703,-1.4805386552948987,0.24166385090410505,0.07699546833837623,0.06308131424116681,0.1807139354755285,1.5778723402701287,8943.0,14301.0
log_inctot,log total personal income | positive,country_gen_union,1994-2004,China,-0.23609969251322532,0.03287705081653528,0.23386271356911978,0.07079187844090588,1.990525278028559,0.3451625516087717,1.337038630572216,2.5519480779256942,-0.20549518985408177,0.27986540327951204,2.3619073199632514,0.43315964780186983,3414.0,786.0
