origin,persons,crude_per100k,std_per100k,crude_ratio,std_ratio,pct_of_gap_removed
Ireland,444.0,2374.839537869063,2102.21939890703,0.7290214388295196,0.6453332894658201,
Greece,624.0,2295.299050982123,2160.034569736667,0.704604328001245,0.6630812250009579,
Belgium,312.0,2272.561730643164,2433.3642281054226,0.6976244905325168,0.746987180599781,
Sweden,3697.0,2182.795064060932,2392.796684605875,0.6700681763533157,0.7345338722982202,
Thailand,2723.0,2180.3885143250645,3072.0348934717044,0.6693294206087356,0.9430444720415931,
Estonia,333.0,2157.2946359160405,2866.588023195504,0.6622401279649861,0.8799769802875312,
Austria,357.0,2089.3076607947564,2154.5424343262903,0.6413696810845796,0.6613952650043882,
Germany,7058.0,2071.6233390764282,2085.900654908914,0.6359409986585712,0.6403238081767929,
France,1336.0,1989.6052063321865,2028.6776522543241,0.6107633072020067,0.6227576547318209,
China,2454.0,1950.2503377572914,2524.9777838276605,0.5986822623752219,0.77511044751694,
Norway,3482.0,1914.5122447408646,2221.035799038766,0.5877114849494609,0.6818072076398058,
Spain,1137.0,1878.7488226837852,1933.9222788108036,0.576732932087353,0.5936699216100252,
USA,1753.0,1835.7558748376828,1898.4530088502236,0.5635350801068306,0.5827816667159296,
Switzerland,314.0,1786.5270823850706,1783.563397411923,0.548422966410995,0.5475131828871361,
Finland,707.0,1735.7360306393007,2126.509659781673,0.5328312748322912,0.6527898441719397,
Canada,419.0,1608.3835553337683,1720.9327296855272,0.49373697675224176,0.5282869999081714,
Indonesia,164.0,1428.446999390297,1684.9889549919162,0.4385005682201339,0.5172530829103043,
Australia,318.0,1285.3678253839935,1491.3165555526493,0.3945785332205778,0.45780008448689485,
Philippines,1457.0,1183.81176011765,2052.1284365895594,0.363403143202957,0.6299565093344751,
Japan,144.0,797.5188303057155,1005.7438876184651,0.2448200461092223,0.3087403777619073,
