year_range,origin,offence,persons,population,rate_per_100k,ratio_to_danish_origin
2008-2024,Canada,sexual_total,2.0,37106.0,5.389963887241955,0.33698889223559847
2008-2024,Chile,sexual_total,9.0,27745.0,32.43827716705712,2.028091341100145
2008-2024,China,sexual_total,5.0,181683.0,2.752046146309781,0.17206218847242336
2008-2024,Croatia,sexual_total,2.0,27624.0,7.2400810889081955,0.4526610858418085
2008-2024,Czechoslovakia,sexual_total,2.0,12384.0,16.149870801033593,1.0097149414804683
2008-2024,Denmark,sexual_total,10625.0,66429146.0,15.994485312215213,1.0
2008-2024,Egypt,sexual_total,12.0,34085.0,35.20610239108112,2.201140061955837
2008-2024,Estonia,sexual_total,0.0,21267.0,0.0,0.0
2008-2024,Ethiopia,sexual_total,7.0,22840.0,30.647985989492117,1.9161595632018131
2008-2024,Finland,sexual_total,4.0,57773.0,6.923649455628061,0.43287728992069363
2008-2024,France,sexual_total,6.0,98216.0,6.10898427954712,0.38194316105199105
2008-2024,Germany,sexual_total,86.0,489326.0,17.575195268593944,1.0988284352714695
2008-2024,Ghana,sexual_total,12.0,34870.0,34.41353599082306,2.1515875827864845
2008-2024,Greece,sexual_total,2.0,41353.0,4.836408483060479,0.3023797508111653
2008-2024,Hungary,sexual_total,16.0,72295.0,22.131544366830347,1.3836984394820242
2008-2024,Iceland,sexual_total,14.0,123458.0,11.339888869089084,0.7089874195844647
2008-2024,India,sexual_total,24.0,154355.0,15.548573094489972,0.9721208773511023
2008-2024,Indonesia,sexual_total,3.0,16726.0,17.93614731555662,1.1213957164259942
2008-2024,Iran,sexual_total,109.0,280527.0,38.85543993982754,2.429302298971327
2008-2024,Iraq,sexual_total,222.0,400257.0,55.46436414603617,3.4677179704980725
2008-2024,Ireland,sexual_total,3.0,27527.0,10.898390670977586,0.6813842682799134
2008-2024,Israel,sexual_total,2.0,23116.0,8.652015919709292,0.5409374387997109
2008-2024,Italy,sexual_total,14.0,119609.0,11.704804822379588,0.7318025303033955
2008-2024,Japan,sexual_total,0.0,25737.0,0.0,0.0
2008-2024,Jordan,sexual_total,10.0,30372.0,32.92506255761886,2.058525917834538
2008-2024,Kenya,sexual_total,5.0,20017.0,24.978768047159917,1.561711274828161
2008-2024,Kuwait,sexual_total,25.0,25054.0,99.7844655544025,6.238679370207412
2008-2024,Latvia,sexual_total,11.0,67973.0,16.18289614994189,1.0117797374563084
2008-2024,Lebanon,sexual_total,158.0,330530.0,47.80201494569328,2.9886560281615444
2008-2024,Lithuania,sexual_total,13.0,159385.0,8.15635097405653,0.5099476985250291
2008-2024,Morocco,sexual_total,44.0,144210.0,30.511060259344013,1.9075987544308344
2008-2024,Myanmar,sexual_total,13.0,25559.0,50.862709808677955,3.180015412551812
2008-2024,Netherlands,sexual_total,16.0,108510.0,14.74518477559672,0.9218917950636157
2008-2024,Nigeria,sexual_total,15.0,21137.0,70.96560533661352,4.436879583891086
2008-2024,Norway,sexual_total,14.0,257077.0,5.445839184368886,0.3404823023726698
2008-2024,Pakistan,sexual_total,98.0,326346.0,30.0294779160768,1.8774894802737332
2008-2024,Philippines,sexual_total,12.0,171175.0,7.010369504892654,0.43829916174537586
2008-2024,Poland,sexual_total,73.0,591651.0,12.338354874748795,0.7714130610583524
2008-2024,Portugal,sexual_total,10.0,34501.0,28.98466711109823,1.8121662901501576
2008-2024,Republic of North Macedonia,sexual_total,19.0,64581.0,29.42041776993233,1.8394100963951334
