statefips,pair,year2,agi_in,agi_out,n1_in,n1_out,n2_in,n2_out
05,1617,2017,2147117.0,2108526.0,45006.0,44039.5,93644.0,91067.5
05,1718,2018,1661653.0,1671154.5,35949.5,35522.0,72923.5,71729.0
05,1819,2019,1684489.5,1706479.5,35058.5,34910.0,70637.0,69549.0
05,1920,2020,2010007.0,1886216.5,39304.0,37334.0,80674.5,75889.5
05,2021,2021,2139166.0,1870355.5,41863.0,38549.5,80727.5,72906.0
05,2122,2022,2354500.5,2120736.0,41800.5,38689.5,79503.5,72185.0
05,2223,2023,2275560.5,2051814.0,41428.0,38793.5,76822.5,71217.0
06,1112,2012,14825586.0,14519801.0,253909.0,252373.0,455202.0,468496.0
06,1213,2013,16343621.0,19642988.0,257360.0,266937.0,463373.0,505991.0
06,1314,2014,22216706.0,22607515.5,343114.5,350039.0,639389.0,667181.5
06,1415,2015,18734130.5,19740852.0,277494.0,282379.5,499582.5,521024.5
06,1516,2016,28032588.5,29035646.0,359863.0,372819.5,651880.5,696239.5
06,1617,2017,35315622.0,38753192.5,462657.5,495164.5,842854.5,931889.0
06,1718,2018,29554077.5,33545947.0,378898.0,409612.0,670885.5,747484.0
06,1819,2019,32215156.0,36619800.0,368804.0,404577.5,639435.5,724176.5
06,1920,2020,34051839.5,42959397.5,389953.5,448691.0,681919.5,813591.5
06,2021,2021,37426067.5,51961549.0,399611.5,478721.5,668167.5,834047.5
06,2122,2022,44626382.5,56522364.0,389056.5,461158.0,638774.5,792333.0
06,2223,2023,35850619.0,41810872.0,368508.0,418706.5,594108.5,694382.0
08,1112,2012,5092258.0,4014705.0,88916.0,75396.0,165210.0,144925.0
08,1213,2013,5992847.0,4949978.0,96427.0,80285.0,179352.0,154364.0
08,1314,2014,5813476.0,5339800.0,105197.0,95787.5,193920.5,179476.5
08,1415,2015,4639975.5,4211843.0,82054.0,72439.0,144576.0,130933.5
08,1516,2016,7265101.5,6372313.0,117418.0,105082.0,209210.0,192062.5
08,1617,2017,10359221.5,9137536.0,157574.0,144787.5,282559.5,266186.0
08,1718,2018,8321246.0,7265644.0,123211.0,113167.5,213665.5,200664.5
08,1819,2019,8628230.0,7634341.5,120707.0,112483.0,204219.0,195140.0
08,1920,2020,9876593.0,8715770.0,131475.0,125029.0,224903.0,219798.5
08,2021,2021,10641007.0,9579345.5,132868.5,129934.5,215929.0,218035.5
08,2122,2022,12050218.5,11314683.0,135764.5,132269.5,214468.0,216554.0
08,2223,2023,10518032.5,10160523.5,129686.0,124015.5,200392.5,196748.5
09,1112,2012,3025916.0,4986716.0,37958.0,44807.0,65523.0,76481.0
09,1213,2013,3499230.0,5135829.0,38545.0,47113.0,67781.0,82412.0
09,1314,2014,2326446.0,2857000.5,31385.5,36411.5,53612.5,61926.0
09,1415,2015,1728137.0,2362051.5,24022.0,28242.0,39968.0,46028.5
09,1516,2016,2528783.5,3836988.5,32268.0,38395.0,54999.5,64669.0
09,1617,2017,3585904.5,4644020.0,44868.5,51147.0,77714.5,87587.5
09,1718,2018,3165000.0,3731769.5,35962.0,40953.5,60806.0,68129.0
09,1819,2019,2879770.0,3655511.5,34951.0,39339.0,58217.0,64208.0
09,1920,2020,4009797.5,4146438.0,40935.5,42409.0,69660.5,71162.0
09,2021,2021,4714732.0,4686024.0,42670.5,42903.0,70289.0,70020.0
09,2122,2022,4849532.0,5361547.5,42999.0,46271.0,70229.5,73182.5
09,2223,2023,3970903.0,4200895.0,41486.0,44323.0,65734.5,68118.0
10,1112,2012,845476.0,880842.0,16272.0,15062.0,29360.0,27337.0
10,1213,2013,977379.0,876411.0,16967.0,14604.0,32051.0,27252.0
10,1314,2014,558432.5,527639.0,9481.0,8908.0,17526.5,16661.5
10,1415,2015,453662.5,382186.0,7354.5,6907.5,13388.5,12255.0
10,1516,2016,651887.5,588026.5,9991.0,9077.0,18219.5,16605.0
10,1617,2017,962263.0,788722.0,14189.5,12258.5,26083.0,22494.0
10,1718,2018,786854.0,620998.0,11401.0,9732.5,20843.5,17339.5
10,1819,2019,797978.0,624816.0,11262.0,9645.5,20231.5,17060.0
10,1920,2020,1061784.5,685460.5,12636.5,10078.0,23170.5,18214.0
10,2021,2021,1140087.0,871561.0,13481.5,10660.0,23735.0,18416.0
10,2122,2022,1215244.0,908624.0,13415.0,10913.5,23338.5,18599.5
10,2223,2023,1082649.5,800610.0,12803.0,10776.0,21663.0,17761.5
11,1112,2012,1660284.0,1987764.0,28396.0,27750.0,39705.0,41454.0
11,1213,2013,1911131.0,2611502.0,28800.0,29044.0,40710.0,43742.0
11,1314,2014,1716471.0,2183567.0,27234.0,27497.0,37707.0,41846.0
11,1415,2015,1531914.0,1645482.0,22187.0,20412.0,30323.0,31227.0
11,1516,2016,2076295.0,2545451.0,29029.0,29007.0,38780.0,43735.0
11,1617,2017,2769678.0,3631386.0,35336.0,40180.0,47571.0,60002.0
11,1718,2018,2263347.0,2853361.0,29274.0,31261.0,39258.0,45905.0
11,1819,2019,2333936.0,2937546.0,28727.0,30655.0,38236.0,44777.0
11,1920,2020,2286631.0,3726830.0,27909.0,35911.0,37774.0,53104.0
11,2021,2021,2607871.0,4207668.0,27425.0,35750.0,35774.0,51126.0
11,2122,2022,3075699.0,4211641.0,30491.0,32602.0,38582.0,46615.0
11,2223,2023,2825041.0,3652385.0,32848.0,31175.0,41301.0,43869.0
12,1112,2012,20292740.0,12836682.0,308884.0,302232.0,541089.0,497242.0
12,1213,2013,24819946.0,16588109.0,306663.0,278657.0,567274.0,496391.0
12,1314,2014,17497852.5,12159247.5,285156.0,257894.0,529148.5,470851.5
12,1415,2015,15632121.5,9853405.0,228636.0,198806.0,409246.0,351937.0
12,1516,2016,22477464.0,13870228.0,301578.5,254042.5,552643.0,457083.0
12,1617,2017,26694917.5,18927233.0,389630.5,344160.5,723912.5,628490.5
12,1718,2018,24741371.0,16743203.0,318113.0,290142.5,576840.0,519351.0
12,1819,2019,26532971.0,17789079.0,317943.0,287006.5,572630.0,510273.0
12,1920,2020,31716232.5,19877433.5,348526.0,307825.5,637284.0,553930.5
12,2021,2021,40894078.0,21300555.5,387708.5,323594.5,683545.5,555628.5
12,2122,2022,44927387.0,26930342.0,386280.5,323505.0,668260.0,545593.0
12,2223,2023,34757202.0,24433853.0,367266.0,339591.5,623509.0,567638.0
13,1112,2012,6218009.0,6154905.0,144440.0,142111.0,272177.0,273335.0
13,1213,2013,7022611.0,7201348.0,137762.0,134571.0,276682.0,269373.0
13,1314,2014,7509602.0,7358046.0,164296.5,161293.5,337612.5,331119.5
13,1415,2015,5982875.0,5933856.5,132539.0,127944.0,263496.5,254091.5
13,1516,2016,8824509.0,8547884.0,169013.5,160114.5,340681.5,321503.5
13,1617,2017,12461239.0,11960838.0,220158.5,208424.0,445839.0,421981.0
13,1718,2018,9963478.0,9562161.5,178798.5,170370.0,353625.5,335689.5
13,1819,2019,9973034.0,9768303.5,174013.0,165652.0,340459.0,323051.5
13,1920,2020,11557049.5,11000597.0,188289.0,179620.0,373906.0,355369.0
13,2021,2021,12410698.0,11776876.0,197492.5,184725.0,371912.5,344990.0
13,2122,2022,13739015.5,13386432.5,198069.0,186055.0,363663.0,338178.5
13,2223,2023,12824009.0,12450828.5,195617.0,188281.5,353360.5,335592.5
15,1112,2012,1215256.0,1094141.0,25213.0,24974.0,49453.0,51538.0
15,1213,2013,1512520.0,1251608.0,26742.0,26471.0,52802.0,55841.0
15,1314,2014,752135.0,717753.0,14319.5,14601.0,27987.5,30492.0
15,1415,2015,600706.0,523802.5,11524.5,11317.0,21272.5,21394.0
15,1516,2016,897191.0,820229.0,14151.5,15451.0,27163.5,31729.5
15,1617,2017,1092564.5,1218933.0,17697.0,21082.0,35377.5,45274.5
15,1718,2018,890805.5,912952.5,14093.5,15853.5,27089.0,31975.5
15,1819,2019,875996.5,971882.0,13508.0,15270.0,25442.5,30164.0
15,1920,2020,1025771.5,990361.0,14034.0,15610.0,27404.0,32072.0
15,2021,2021,1145713.0,1093939.5,13794.0,15816.0,25728.5,31308.0
15,2122,2022,1368715.5,1194697.0,14061.0,15736.0,25731.5,30179.5
15,2223,2023,1072043.5,1073722.5,13928.0,15226.5,24855.0,28267.5
16,1112,2012,1068464.0,1068395.0,23811.0,23425.0,50051.0,49394.0
16,1213,2013,1563560.0,989132.0,25903.0,23185.0,55279.0,48541.0
16,1314,2014,964960.0,832234.5,21690.5,20492.0,46698.0,43662.0
16,1415,2015,726174.0,707600.0,16178.0,15594.0,32900.0,31363.5
16,1516,2016,1260023.5,916213.5,23921.5,20603.0,50889.0,43119.0
16,1617,2017,1932520.5,1275344.0,34239.5,27586.5,74633.5,58644.0
16,1718,2018,1631366.0,1076663.0,27613.0,22742.5,57711.0,46431.0
16,1819,2019,1763725.0,1148732.0,27505.0,22411.0,56157.5,44656.5
16,1920,2020,2297463.5,1270457.0,32071.0,24421.0,69125.0,50797.5
16,2021,2021,2541107.0,1464501.5,33262.0,26221.5,67078.5,51168.0
16,2122,2022,2590838.5,1744014.5,31278.0,27032.0,61312.5,51249.5
16,2223,2023,2159519.0,1665480.5,30140.5,27235.0,55813.0,49443.5
17,1112,2012,5540017.0,8059740.0,103645.0,127660.0,185368.0,235096.0
17,1213,2013,6141951.0,9906671.0,103865.0,134890.0,185917.0,252839.0
17,1314,2014,6464921.5,8509715.0,116004.0,135339.0,215253.0,255825.0
17,1415,2015,4872972.0,6564280.0,88489.0,101140.0,158715.5,183523.5
17,1516,2016,7436921.0,9814141.5,118092.0,139074.5,215695.0,258775.5
17,1617,2017,10385505.5,13780082.0,156250.5,189134.5,289061.0,355867.5
17,1718,2018,7893827.5,10680464.0,122664.5,144413.5,219626.5,263567.5
17,1819,2019,7874369.5,10843779.5,118210.0,139550.5,207962.0,249128.5
17,1920,2020,8849717.5,13080644.5,125643.0,151027.5,224852.5,275313.0
17,2021,2021,9113941.5,14556228.0,128028.0,154983.0,218197.5,270752.0
17,2122,2022,10410008.5,15329554.0,129677.5,152407.5,216403.5,260059.0
17,2223,2023,9990065.0,12986829.0,128390.0,142694.5,207091.5,234182.5
18,1112,2012,2650985.0,2944398.0,58375.0,62068.0,114876.0,120007.0
18,1213,2013,2977782.0,3178740.0,60996.0,62641.0,121636.0,121111.0
18,1314,2014,3267494.5,3462631.0,73892.0,76277.0,143954.0,146788.0
18,1415,2015,2391092.5,2578954.0,55233.5,57427.0,103181.5,105491.0
18,1516,2016,3762438.5,4038205.0,77079.5,79555.0,146801.5,148860.5
18,1617,2017,5586874.0,5810088.0,105602.5,106702.0,204329.0,202776.0
18,1718,2018,4285664.5,4473499.0,83301.0,83278.0,157105.5,153978.0
18,1819,2019,4322006.0,4496956.5,80022.5,80523.5,148428.0,146445.0
18,1920,2020,4923394.5,5030574.0,87200.5,86541.5,165832.5,161600.0
18,2021,2021,5118212.5,5201797.5,88933.0,87338.5,161006.5,155525.0
18,2122,2022,5575201.0,5850517.0,89217.5,89412.5,158017.0,154854.0
18,2223,2023,5383705.5,5546902.0,89361.0,89995.0,154486.0,152067.5
19,1112,2012,1369902.0,1463558.0,30151.0,31984.0,59089.0,59828.0
19,1213,2013,1581454.0,1636747.0,31276.0,32362.0,61700.0,60915.0
19,1314,2014,1539646.5,1655038.5,34218.0,35467.0,64460.0,65752.5
19,1415,2015,1082342.5,1205442.5,25119.5,26032.0,45011.0,45746.0
19,1516,2016,1839760.0,1967670.5,36093.0,37758.0,67564.5,69099.5
19,1617,2017,2549940.5,2742457.0,48866.5,50929.0,92642.0,94823.5
19,1718,2018,1871797.0,2099573.0,36892.5,38222.0,67660.5,68914.0
19,1819,2019,1906042.0,2164620.5,35491.5,37460.0,63708.0,66423.0
19,1920,2020,2178264.0,2320854.0,38979.0,40276.0,71693.0,73256.0
19,2021,2021,2188407.5,2318229.5,41168.5,41402.5,70798.5,71392.5
19,2122,2022,2372737.5,2631166.5,39679.5,42153.5,67897.0,70619.0
19,2223,2023,2370531.0,2503765.5,39970.5,41177.5,66543.5,67277.0
20,1112,2012,1729617.0,2007786.0,38176.0,41742.0,77490.0,85030.0
20,1213,2013,2148117.0,2390501.0,39190.0,44147.0,80435.0,90748.0
20,1314,2014,1632263.0,1712288.5,34873.5,37569.5,69324.0,74977.0
20,1415,2015,1110538.5,1364907.5,25639.5,27289.0,48463.5,51369.5
20,1516,2016,1768553.0,1972540.5,35073.0,39007.5,69123.0,76746.0
20,1617,2017,2445470.0,2765968.0,46535.0,51070.0,92592.5,101679.0
20,1718,2018,1821365.0,2090271.5,35841.5,38680.5,68918.5,73971.5
20,1819,2019,1864786.5,2061673.0,34346.0,37257.5,64889.5,70233.0
20,1920,2020,2082589.5,2229919.5,37169.5,39100.0,72185.0,75429.5
20,2021,2021,2201152.5,2318287.5,37925.5,39355.0,69392.0,71449.0
20,2122,2022,2277684.5,2581542.0,37629.5,39562.5,67485.0,69978.5
20,2223,2023,2245300.5,2426028.5,37878.0,39514.0,66033.5,68057.5
21,1112,2012,1976332.0,1920948.0,43891.0,44979.0,88269.0,90813.0
21,1213,2013,2169626.0,2238696.0,45251.0,46438.0,90919.0,95496.0
21,1314,2014,2007332.5,2162042.5,49191.5,50838.0,99604.0,103605.0
21,1415,2015,1509732.5,1620191.5,38270.5,39293.5,74270.0,76260.0
21,1516,2016,2339793.0,2457422.0,50569.5,51451.5,100041.5,101911.5
21,1617,2017,3438882.5,3460177.5,67390.5,67774.0,135901.0,135785.5
21,1718,2018,2550615.0,2703184.0,53214.5,53499.5,103660.0,103582.5
21,1819,2019,2559599.5,2661070.5,51344.0,52107.0,98906.0,99529.5
21,1920,2020,2932860.0,3070260.5,56386.5,55479.5,111198.5,108489.0
21,2021,2021,2990943.0,3052168.5,58065.5,56844.0,107842.0,104767.5
21,2122,2022,3300054.5,3280464.0,57301.5,55848.5,104715.5,100575.0
21,2223,2023,3169621.0,3225561.0,57275.5,56196.5,102687.0,99756.5
22,1112,2012,1867545.0,1957722.0,44358.0,44471.0,87135.0,88700.0
22,1213,2013,2112246.0,2459441.0,44223.0,46147.0,88586.0,93317.0
22,1314,2014,2226352.5,2463046.0,52552.0,54125.0,106208.5,110297.0
22,1415,2015,2126318.5,2284809.0,43239.5,44095.5,84904.0,86956.0
22,1516,2016,2455764.5,2563064.5,50576.5,53200.5,101394.5,106822.0
22,1617,2017,3001829.0,3360684.0,60266.5,66996.0,122709.0,136917.5
22,1718,2018,2459701.0,2731901.5,49540.5,54331.0,98952.5,108944.0
22,1819,2019,2478068.0,2728727.0,47716.5,52420.5,94644.5,104201.0
22,1920,2020,2686316.5,2972967.5,51542.0,56460.0,103075.5,113590.0
22,2021,2021,2636695.0,3067572.5,53144.5,60201.0,100034.5,114285.5
22,2122,2022,2874534.5,3315716.0,52016.5,59262.5,96766.0,109974.0
22,2223,2023,2716988.0,3116690.5,51733.0,56797.5,95349.5,104016.0
23,1112,2012,802146.0,688572.0,14621.0,14561.0,24919.0,24274.0
23,1213,2013,874555.0,803373.0,15563.0,15098.0,26731.0,25505.0
23,1314,2014,717771.0,691523.5,14944.5,14676.0,25333.0,24559.5
23,1415,2015,500674.5,534622.0,10859.5,11300.5,17473.0,18019.0
23,1516,2016,838857.5,763136.5,15783.0,15247.5,26776.5,25269.0
23,1617,2017,1300975.5,1021399.5,22404.5,19829.5,38384.0,33523.0
23,1718,2018,1025690.5,865332.5,17597.0,16016.5,29326.0,26362.0
23,1819,2019,1032778.5,864356.5,17113.5,15734.5,28209.0,25539.5
23,1920,2020,1367250.0,932204.0,19661.0,16493.0,33250.5,27613.5
23,2021,2021,1530396.5,1069101.0,20444.5,16749.0,33124.0,26952.0
23,2122,2022,1606548.0,1255485.5,20265.5,17704.5,32407.0,27927.0
23,2223,2023,1393587.0,1142466.0,19439.0,17603.5,30059.5,26811.0
24,1112,2012,4424057.0,5134998.0,79647.0,81624.0,142745.0,146657.0
24,1213,2013,4754728.0,6382618.0,80993.0,86671.0,146897.0,158133.0
24,1314,2014,4373360.0,4981309.5,79788.5,81214.5,147551.5,149026.0
24,1415,2015,3260762.0,3767064.0,60819.0,64894.0,108781.5,115856.0
24,1516,2016,4950614.0,5735680.5,81310.0,87344.0,148368.5,158834.0
24,1617,2017,6987295.5,7971549.0,109390.0,116022.0,201778.0,214525.5
24,1718,2018,5382098.0,6244823.0,87040.0,91529.0,155954.5,164153.0
24,1819,2019,5474228.0,6400751.5,84055.0,89011.5,149054.5,157535.0
24,1920,2020,6208810.0,7135773.5,88811.5,93893.0,159694.0,169848.5
24,2021,2021,6593903.5,7522359.0,89333.5,95811.0,153905.5,165926.0
24,2122,2022,6906465.5,8265540.0,85874.0,93850.5,145310.0,158821.0
24,2223,2023,6397136.0,7307874.0,85225.0,92039.0,141745.5,151801.5
25,1112,2012,4222984.0,5027591.0,67822.0,72255.0,108362.0,116038.0
25,1213,2013,4827815.0,5790838.0,69601.0,75326.0,112447.0,123144.0
25,1314,2014,5460428.5,5851867.5,74069.0,79010.0,118534.5,127691.0
25,1415,2015,4108574.0,4502755.0,56780.5,60137.5,87946.5,94067.5
25,1516,2016,6590903.0,7297631.0,79477.5,86752.0,125335.0,138816.5
25,1617,2017,8811210.0,9756864.0,107410.5,117431.0,172329.0,190317.0
25,1718,2018,7395935.0,8147502.0,86064.5,93594.5,134339.0,147847.5
25,1819,2019,7556472.5,8282987.0,84891.0,92353.5,130948.5,144099.5
25,1920,2020,8497999.0,9773755.0,89767.5,99965.0,140201.5,158692.5
25,2021,2021,9042387.5,11179966.5,90146.5,102661.0,136625.0,158668.5
25,2122,2022,10566232.5,12498767.5,90825.5,103842.0,135239.5,157869.0
25,2223,2023,8955428.5,10964827.0,91188.5,98877.5,132260.5,146444.0
26,1112,2012,3275388.0,3760837.0,69223.0,79647.0,127264.0,142910.0
26,1213,2013,3667822.0,4223388.0,68662.0,78511.0,130354.0,143074.0
26,1314,2014,5279662.0,5632440.0,101001.5,108354.0,186613.0,198333.5
26,1415,2015,3487538.5,3799852.5,75382.5,81028.5,133858.5,141601.0
26,1516,2016,5475688.0,5830998.0,103924.5,109087.0,189777.0,195478.0
26,1617,2017,8092054.0,8325132.5,144279.5,147251.5,266548.0,267755.5
26,1718,2018,6174662.5,6455881.5,111272.0,115166.0,198683.5,202510.5
26,1819,2019,6159323.5,6723759.5,106597.0,112400.5,188060.5,194979.5
26,1920,2020,7005785.5,7200075.0,114063.5,117441.0,205081.5,208510.5
26,2021,2021,7303406.5,7837783.5,116163.5,118885.5,198324.5,200982.5
26,2122,2022,8000046.0,8683190.5,115479.5,121296.5,194407.5,200898.5
26,2223,2023,7389288.0,7867414.5,115629.0,120014.0,190210.0,194431.0
27,1112,2012,2318515.0,2793381.0,45359.0,48009.0,81566.0,86162.0
27,1213,2013,2811578.0,3497543.0,47886.0,50166.0,87440.0,90940.0
27,1314,2014,3663781.5,4131941.0,72964.0,75355.0,130467.5,134744.0
27,1415,2015,2736317.0,2981703.5,53809.0,55424.0,92169.0,94483.0
27,1516,2016,4441600.5,4767107.0,79495.5,80225.5,140943.0,141308.5
27,1617,2017,6594337.5,6701939.0,111331.5,109815.0,201567.5,196714.5
27,1718,2018,4857871.5,5209594.5,83599.0,83277.0,146420.5,144564.0
27,1819,2019,4850118.0,5308619.0,81618.5,83111.0,140428.0,142778.5
27,1920,2020,5620116.5,6224454.5,87219.0,90338.0,154424.5,160078.0
27,2021,2021,5675507.0,6456765.5,87386.5,91959.5,148089.0,156099.5
27,2122,2022,6029440.5,7125628.5,85668.0,89807.0,142888.5,149616.0
27,2223,2023,5689045.5,6422635.5,84955.5,87508.5,136741.5,140522.0
28,1112,2012,1189559.0,1280583.0,31692.0,33663.0,64067.0,68821.0
28,1213,2013,1261982.0,1389287.0,30299.0,33786.0,63255.0,69780.0
28,1314,2014,1319019.5,1426095.5,34398.0,36739.5,73389.5,77536.0
28,1415,2015,1063466.0,1165839.5,28400.5,30150.0,58860.5,61810.0
28,1516,2016,1399052.5,1501361.0,33373.5,35146.5,69734.5,72692.5
28,1617,2017,1865414.0,1939129.0,40932.0,42800.0,86537.0,90135.0
28,1718,2018,1469174.0,1527852.5,33360.5,35306.5,69212.5,72500.0
28,1819,2019,1460435.0,1522589.0,31913.5,34159.0,65471.0,69497.5
28,1920,2020,1668001.0,1694378.0,34851.0,36227.0,72554.0,74580.0
28,2021,2021,1712758.0,1688116.5,36053.0,37011.0,70028.5,71228.0
28,2122,2022,1857442.0,1794768.0,35182.5,35986.5,67546.5,67802.5
28,2223,2023,1807771.5,1840953.5,35178.5,36741.0,66864.5,68435.5
29,1112,2012,2755372.0,3262300.0,61299.0,65421.0,117776.0,125039.0
29,1213,2013,3502559.0,3563883.0,64609.0,66201.0,124506.0,127738.0
29,1314,2014,3316647.0,3476749.0,77072.5,79405.5,148339.5,152099.5
29,1415,2015,2470127.0,2589572.5,58388.0,60148.5,107691.0,110681.5
29,1516,2016,3829057.5,4141587.5,80020.5,81427.0,151062.5,153227.0
29,1617,2017,5586320.5,5751170.5,107761.5,108483.5,207188.5,207328.0
29,1718,2018,4226549.5,4385995.5,84027.5,84696.0,156597.0,157241.0
29,1819,2019,4279157.5,4478185.0,81536.5,82077.0,150835.5,150771.5
29,1920,2020,4886956.0,4984447.0,89064.0,87526.0,169585.0,165121.0
29,2021,2021,5009570.5,5119366.5,90722.0,88904.0,163853.5,158540.0
29,2122,2022,5762936.0,6053868.5,89774.0,88758.0,159913.0,155466.0
29,2223,2023,5183653.5,5290956.0,87547.5,86150.5,151881.5,147462.0
30,1112,2012,747559.0,642464.0,16364.0,15256.0,30612.0,27353.0
30,1213,2013,1064358.0,713024.0,17586.0,15489.0,32933.0,28161.0
30,1314,2014,659446.0,578381.5,14145.0,13667.0,26284.5,24723.0
30,1415,2015,523361.0,457497.5,10688.5,10169.5,18528.5,17568.0
30,1516,2016,774355.5,616482.5,14877.0,13780.0,27184.0,24621.5
30,1617,2017,1121104.0,844459.0,19935.5,17829.5,37130.0,32547.0
30,1718,2018,848802.5,694449.0,15210.0,14358.0,27338.0,25535.0
30,1819,2019,946521.0,702527.5,15174.5,13954.5,27056.5,24279.0
30,1920,2020,1284000.0,758853.5,17389.5,14649.0,32415.0,26320.5
30,2021,2021,1425390.0,869754.5,18629.0,14896.5,32928.0,25557.5
30,2122,2022,1602954.0,1073478.5,18106.0,15389.0,31170.5,25991.5
30,2223,2023,1233356.0,983327.0,17186.0,15638.0,28137.0,25471.0
31,1112,2012,908130.0,982663.0,20216.0,21385.0,40423.0,41342.0
31,1213,2013,1000858.0,1165128.0,20928.0,22048.0,42031.0,43416.0
31,1314,2014,993723.0,1108427.5,22530.0,23395.5,43442.5,44732.0
31,1415,2015,703149.5,802990.0,16519.5,17110.5,30327.0,30898.0
31,1516,2016,1155806.0,1257053.5,23464.5,24102.0,44797.5,45755.0
31,1617,2017,1600002.0,1804026.0,30725.0,32354.0,59812.0,62711.5
31,1718,2018,1218664.5,1362464.5,23523.0,24668.5,44367.0,46309.5
31,1819,2019,1202067.0,1322353.5,22680.5,24072.5,42214.5,44628.0
31,1920,2020,1362090.5,1611427.0,24641.5,25793.0,47239.5,49348.5
31,2021,2021,1399166.0,1502413.5,24479.5,25600.0,44058.0,46027.0
31,2122,2022,1538414.0,1687802.5,24978.0,25683.5,43854.0,44830.5
31,2223,2023,1515457.5,1637402.0,25351.0,26093.0,43135.0,44086.0
32,1112,2012,3102514.0,2328335.0,61543.0,52651.0,110716.0,99865.0
32,1213,2013,3985294.0,2716137.0,61050.0,54031.0,115666.0,102805.0
32,1314,2014,1890563.0,1177645.0,32695.0,28098.5,61922.5,54093.0
32,1415,2015,1783237.5,1089187.5,26377.0,21158.0,48616.0,38887.0
32,1516,2016,2048199.5,1533754.5,34573.5,27455.5,65137.5,51803.5
32,1617,2017,2987968.5,2068878.0,47535.0,36068.5,89748.5,68580.5
32,1718,2018,2863202.5,1715606.5,39696.5,29438.5,73007.0,54570.0
32,1819,2019,2882886.0,1867337.5,38934.0,29665.0,69999.0,54555.0
32,1920,2020,3380306.5,2070571.0,41392.0,33202.0,75434.5,61398.0
32,2021,2021,4749747.5,2440995.5,42295.0,36282.0,73210.0,63846.0
32,2122,2022,4646986.0,3103856.0,41908.5,36523.5,70891.5,63731.0
32,2223,2023,3334179.5,2577549.0,38593.0,34104.5,64321.5,58542.5
33,1112,2012,1324516.0,1323140.0,22062.0,21955.0,36481.0,36137.0
33,1213,2013,1516957.0,1271753.0,23595.0,22506.0,40484.0,37551.0
