rule,group,tenure,variable,estimate,se
householder_hisp02,other,no_cash_rent,persons,4084967.0,52183.82921700936
householder_hisp02,other,owner,contract_rent_annual,0.0,0.0
householder_hisp02,other,owner,gross_rent_annual,0.0,0.0
householder_hisp02,other,owner,households,80723950.0,178910.45988957718
householder_hisp02,other,owner,owner_value,39135080475400.0,100738372340.70267
householder_hisp02,other,owner,paying_cash_rent,0.0,0.0
householder_hisp02,other,owner,persons,203174992.0,386645.6374837301
householder_hisp02,other,renter,contract_rent_annual,686226566112.0,2102513632.9585526
householder_hisp02,other,renter,gross_rent_annual,778543844148.0,2379325909.6353908
householder_hisp02,other,renter,households,39058234.0,113341.97171811509
householder_hisp02,other,renter,owner_value,0.0,0.0
householder_hisp02,other,renter,paying_cash_rent,39058234.0,113341.97171811509
householder_hisp02,other,renter,persons,83648909.0,334525.66177215765
person_share,group,no_cash_rent,contract_rent_annual,0.0,0.0
person_share,group,no_cash_rent,gross_rent_annual,0.0,0.0
person_share,group,no_cash_rent,households,203287.6683491345,5905.638755711879
person_share,group,no_cash_rent,owner_value,0.0,0.0
person_share,group,no_cash_rent,paying_cash_rent,0.0,0.0
person_share,group,no_cash_rent,persons,548743.0,17164.929026943282
person_share,group,owner,contract_rent_annual,0.0,0.0
person_share,group,owner,gross_rent_annual,0.0,0.0
person_share,group,owner,households,6468309.075795468,24238.2517390235
person_share,group,owner,owner_value,2735592399498.692,17710608456.93554
person_share,group,owner,paying_cash_rent,0.0,0.0
person_share,group,owner,persons,22000398.0,92151.21274703876
person_share,group,renter,contract_rent_annual,87384892500.21225,543795001.1444955
person_share,group,renter,gross_rent_annual,101280289485.66861,625036371.1284052
person_share,group,renter,households,5040413.7873073565,27202.195237863358
person_share,group,renter,owner_value,0.0,0.0
person_share,group,renter,paying_cash_rent,5040413.7873073565,27202.195237863358
person_share,group,renter,persons,15195919.0,101400.66958284842
person_share,other,no_cash_rent,contract_rent_annual,0.0,0.0
person_share,other,no_cash_rent,gross_rent_annual,0.0,0.0
person_share,other,no_cash_rent,households,1983413.3316508655,19743.370206821914
person_share,other,no_cash_rent,owner_value,0.0,0.0
person_share,other,no_cash_rent,paying_cash_rent,0.0,0.0
person_share,other,no_cash_rent,persons,4034658.0,50970.04950949136
person_share,other,owner,contract_rent_annual,0.0,0.0
person_share,other,owner,gross_rent_annual,0.0,0.0
person_share,other,owner,households,80242653.92420453,181303.9525122284
person_share,other,owner,owner_value,38866162183001.31,101101914939.15079
person_share,other,owner,paying_cash_rent,0.0,0.0
person_share,other,owner,persons,201399326.0,391844.8774043116
person_share,other,renter,contract_rent_annual,681035172827.7878,2060737848.6383648
person_share,other,renter,gross_rent_annual,772523451194.3313,2334473981.0560446
person_share,other,renter,households,38799067.212692656,111355.18176553115
person_share,other,renter,owner_value,0.0,0.0
person_share,other,renter,paying_cash_rent,38799067.212692656,111355.18176553115
person_share,other,renter,persons,82774399.0,329864.51442887884
