cbsa,NAME,pop_b03001,mexican_share,all,tagged,mexican,cbp_restaurants,osm_coverage,tagged_coverage
36380,"Okeechobee, FL Micro Area",40249,0.184601,19.0,14.0,1.0,41.0,0.463415,0.341463
36460,"Olean, NY Micro Area",76479,0.006891,30.0,23.0,0.0,117.0,0.25641,0.196581
36580,"Oneonta, NY Micro Area",59738,0.005775,51.0,39.0,1.0,94.0,0.542553,0.414894
36660,"Opelousas, LA Micro Area",82128,0.011007,33.0,26.0,2.0,73.0,0.452055,0.356164
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2721022,0.027098,3179.0,2536.0,248.0,4637.0,0.685573,0.546905
36820,"Oskaloosa, IA Micro Area",22045,0.01624,18.0,18.0,2.0,24.0,0.75,0.75
36837,"Ottawa, IL Micro Area",147676,0.092215,144.0,113.0,11.0,253.0,0.56917,0.44664
36840,"Ottawa, KS Micro Area",25994,0.035931,26.0,24.0,5.0,37.0,0.702703,0.648649
36900,"Ottumwa, IA Micro Area",35265,0.081497,50.0,43.0,7.0,47.0,1.06383,0.914894
36940,"Owatonna, MN Micro Area",37413,0.075081,35.0,30.0,2.0,51.0,0.686275,0.588235
36980,"Owensboro, KY Metro Area",112322,0.024483,129.0,113.0,14.0,161.0,0.801242,0.701863
37020,"Owosso, MI Micro Area",68061,0.023009,58.0,49.0,7.0,84.0,0.690476,0.583333
37060,"Oxford, MS Micro Area",69359,0.021064,149.0,102.0,14.0,140.0,1.064286,0.728571
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",838259,0.3821,948.0,753.0,140.0,1294.0,0.732612,0.581917
37120,"Ozark, AL Micro Area",49516,0.040512,41.0,36.0,2.0,51.0,0.803922,0.705882
37140,"Paducah, KY-IL Metro Area",102924,0.017945,141.0,119.0,18.0,194.0,0.726804,0.613402
37220,"Pahrump, NV Micro Area",53207,0.121713,45.0,38.0,8.0,55.0,0.818182,0.690909
37260,"Palatka, FL Micro Area",74235,0.058665,68.0,57.0,4.0,80.0,0.85,0.7125
37300,"Palestine, TX Micro Area",57825,0.163424,25.0,19.0,3.0,63.0,0.396825,0.301587
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",620533,0.018101,749.0,627.0,54.0,939.0,0.797657,0.667732
37420,"Pampa, TX Micro Area",21916,0.268434,35.0,32.0,7.0,36.0,0.972222,0.888889
37460,"Panama City-Panama City Beach, FL Metro Area",206627,0.023032,356.0,317.0,38.0,394.0,0.903553,0.804569
37500,"Paragould, AR Micro Area",46182,0.026157,28.0,27.0,4.0,64.0,0.4375,0.421875
37580,"Paris, TX Micro Area",62042,0.079349,50.0,48.0,8.0,86.0,0.581395,0.55814
37740,"Payson, AZ Micro Area",53610,0.147043,72.0,51.0,11.0,95.0,0.757895,0.536842
37800,"Pella, IA Micro Area",33551,0.016691,32.0,25.0,3.0,50.0,0.64,0.5
