cbsa,NAME,pop_total,pop_b03001,mexican_origin,median_hh_income,mexican_share,all,restaurant,tagged,named,mexican_by_name,mexican,chinese,italian,indian,thai,japanese,vietnamese,korean,american,cbsa_states,all_states_fetched
10580,"Albany-Schenectady-Troy, NY Metro Area",902372,902372,7418,86072,0.0082205564888981,1523.0,995.0,1119.0,1505.0,49.0,78.0,89.0,248.0,24.0,18.0,46.0,7.0,7.0,218.0,NY,True
10620,"Albemarle, NC Micro Area",63557,63557,2474,61631,0.038925688751829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,False
10660,"Albert Lea, MN Micro Area",30752,30752,2681,69012,0.0871813215400624,24.0,10.0,22.0,24.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,MN,True
10700,"Albertville, AL Micro Area",98712,98712,9112,60946,0.0923089391360726,100.0,41.0,85.0,85.0,3.0,8.0,2.0,14.0,0.0,0.0,2.0,0.0,0.0,37.0,AL,True
10740,"Albuquerque, NM Metro Area",918567,918567,261881,67995,0.2850973309513623,1346.0,685.0,1152.0,1277.0,101.0,210.0,40.0,149.0,10.0,16.0,41.0,16.0,2.0,348.0,NM,True
10760,"Alexander City, AL Micro Area",41070,41070,773,57185,0.0188215242269296,38.0,22.0,33.0,38.0,3.0,4.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,14.0,AL,True
10780,"Alexandria, LA Metro Area",150593,150593,3495,56492,0.0232082500514632,76.0,28.0,63.0,72.0,4.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,28.0,LA,True
10820,"Alexandria, MN Micro Area",39354,39354,720,77264,0.018295471870712,51.0,31.0,44.0,51.0,3.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,MN,True
10860,"Alice, TX Micro Area",45850,45850,34032,45939,0.7422464558342421,22.0,8.0,18.0,22.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,TX,True
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",866764,866764,11657,82602,0.0134488742033587,151.0,104.0,107.0,147.0,7.0,7.0,11.0,31.0,1.0,1.0,5.0,1.0,0.0,27.0,NJ+PA,False
10940,"Alma, MI Micro Area",41478,41478,2391,61128,0.0576450166353247,33.0,15.0,27.0,33.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,MI,True
10980,"Alpena, MI Micro Area",28908,28908,311,51909,0.0107582676075826,50.0,33.0,36.0,49.0,2.0,3.0,4.0,8.0,0.0,2.0,0.0,0.0,0.0,14.0,MI,True
11020,"Altoona, PA Metro Area",121854,121854,271,60594,0.0022239729512367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PA,False
11060,"Altus, OK Micro Area",24730,24730,4906,61497,0.1983825313384553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK,False
11100,"Amarillo, TX Metro Area",270207,270207,69798,66571,0.2583130710899421,550.0,327.0,486.0,549.0,61.0,97.0,8.0,48.0,8.0,27.0,12.0,4.0,1.0,144.0,TX,True
11140,"Americus, GA Micro Area",33713,33713,1071,42821,0.0317681606501942,16.0,7.0,11.0,16.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,GA,True
11180,"Ames, IA Metro Area",125261,125261,3850,71090,0.0307358236003225,153.0,93.0,129.0,150.0,8.0,14.0,8.0,19.0,1.0,2.0,4.0,1.0,0.0,35.0,IA,True
11200,"Amherst Town-Northampton, MA Metro Area",156595,156595,1246,86391,0.0079568313164532,208.0,147.0,178.0,208.0,8.0,19.0,15.0,31.0,5.0,3.0,10.0,3.0,1.0,42.0,MA,True
11220,"Amsterdam, NY Micro Area",49461,49461,986,62923,0.0199348982026242,48.0,25.0,45.0,48.0,2.0,2.0,5.0,12.0,1.0,0.0,0.0,0.0,0.0,12.0,NY,True
11260,"Anchorage, AK Metro Area",399746,399746,15057,95918,0.0376664181755414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,False
11360,"Anderson Creek, NC Micro Area",136503,136503,10547,69012,0.0772657011201219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,False
11380,"Andrews, TX Micro Area",18518,18518,9747,76902,0.5263527378766606,20.0,11.0,20.0,20.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,TX,True
11420,"Angola, IN Micro Area",34648,34648,1129,71483,0.0325848533825906,31.0,18.0,24.0,30.0,4.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,IN,True
11460,"Ann Arbor, MI Metro Area",368394,368394,10237,87156,0.0277881833037454,598.0,393.0,501.0,594.0,39.0,54.0,34.0,76.0,16.0,8.0,25.0,6.0,18.0,118.0,MI,True
11500,"Anniston-Oxford, AL Metro Area",116141,116141,3511,55826,0.0302304956905829,145.0,65.0,126.0,141.0,5.0,9.0,5.0,17.0,0.0,0.0,3.0,0.0,0.0,53.0,AL,True
11540,"Appleton, WI Metro Area",244163,244163,9213,83919,0.0377329898469465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WI,False
11580,"Arcadia, FL Micro Area",34719,34719,7884,50868,0.2270802730493389,6.0,2.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,FL,True
11620,"Ardmore, OK Micro Area",48255,48255,3136,58856,0.0649880841363589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK,False
11640,"Arecibo, PR Metro Area",181380,181380,117,24436,0.0006450545815415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PR,False
11660,"Arkadelphia, AR Micro Area",21378,21378,838,50985,0.0391991767237346,34.0,19.0,24.0,30.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,13.0,AR,True
11680,"Arkansas City-Winfield, KS Micro Area",34487,34487,2435,58263,0.0706063154232029,38.0,15.0,32.0,37.0,4.0,5.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,11.0,KS,True
11700,"Asheville, NC Metro Area",410817,410817,21335,69236,0.0519330991658086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,False
11740,"Ashland, OH Micro Area",52296,52296,467,64991,0.0089299372800979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OH,False
11820,"Astoria, OR Micro Area",41343,41343,2353,68705,0.0569141087971361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OR,False
11860,"Atchison, KS Micro Area",16211,16211,365,62164,0.022515575843563,16.0,9.0,14.0,16.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,KS,True
11900,"Athens, OH Micro Area",61573,61573,427,53837,0.0069348578110535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OH,False
11940,"Athens, TN Micro Area",67211,67211,1756,59361,0.0261266756929669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TN,False
11980,"Athens, TX Micro Area",83658,83658,10657,63955,0.1273876975304214,81.0,34.0,74.0,81.0,6.0,12.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,35.0,TX,True
12020,"Athens-Clarke County, GA Metro Area",218190,218190,11164,62897,0.0511664145927861,380.0,226.0,319.0,379.0,28.0,51.0,12.0,48.0,2.0,2.0,7.0,4.0,4.0,90.0,GA,True
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",6176937,6176937,354908,86338,0.057456956417072,6968.0,3893.0,5978.0,6804.0,511.0,719.0,227.0,682.0,66.0,62.0,194.0,34.0,62.0,1899.0,GA,True
12100,"Atlantic City-Hammonton, NJ Metro Area",369940,369940,15470,80600,0.0418175920419527,760.0,579.0,443.0,750.0,23.0,33.0,15.0,114.0,2.0,2.0,16.0,7.0,2.0,118.0,NJ,True
12140,"Auburn, IN Micro Area",43584,43584,841,70080,0.0192960719530102,37.0,17.0,31.0,36.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,IN,True
12180,"Auburn, NY Micro Area",75464,75464,329,66583,0.0043596946888582,40.0,22.0,30.0,40.0,1.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,NY,True
12220,"Auburn-Opelika, AL Metro Area",196614,196614,4026,58991,0.0204766700234978,264.0,140.0,229.0,256.0,21.0,28.0,14.0,23.0,4.0,0.0,6.0,1.0,5.0,68.0,AL,True
12260,"Augusta-Richmond County, GA-SC Metro Area",618022,618022,17083,66628,0.0276414108235629,515.0,287.0,429.0,511.0,32.0,50.0,21.0,44.0,1.0,0.0,14.0,2.0,5.0,141.0,GA+SC,False
12300,"Augusta-Waterville, ME Micro Area",125614,125614,599,65062,0.004768576750999,178.0,112.0,127.0,165.0,9.0,10.0,7.0,17.0,1.0,3.0,4.0,1.0,0.0,37.0,ME,True
12380,"Austin, MN Micro Area",40069,40069,3811,71495,0.0951109336394719,35.0,21.0,29.0,31.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,MN,True
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2357497,2357497,584362,97638,0.2478739103379559,3203.0,1912.0,2688.0,3149.0,305.0,503.0,113.0,348.0,51.0,43.0,103.0,63.0,26.0,692.0,TX,True
12460,"Bainbridge, GA Micro Area",29118,29118,1540,50485,0.0528882478192183,32.0,17.0,21.0,31.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,GA,True
12520,"Baker City, OR Micro Area",16796,16796,714,57844,0.0425101214574898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OR,False
12540,"Bakersfield-Delano, CA Metro Area",910433,910433,456454,67660,0.5013592433490438,711.0,349.0,574.0,629.0,94.0,135.0,24.0,67.0,5.0,8.0,14.0,3.0,1.0,199.0,CA,True
12580,"Baltimore-Columbia-Towson, MD Metro Area",2839409,2839409,44318,97300,0.0156081776172435,4092.0,2510.0,3367.0,4025.0,187.0,266.0,249.0,616.0,60.0,29.0,152.0,29.0,52.0,656.0,MD,True
12620,"Bangor, ME Metro Area",153571,153571,1297,63248,0.0084456049644789,197.0,130.0,141.0,171.0,8.0,8.0,14.0,28.0,2.0,3.0,2.0,3.0,0.0,43.0,ME,True
12660,"Baraboo, WI Micro Area",65759,65759,2655,77648,0.0403747015617634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WI,False
12700,"Barnstable Town, MA Metro Area",230073,230073,1473,94452,0.0064023157867285,476.0,350.0,340.0,458.0,16.0,19.0,7.0,73.0,1.0,7.0,8.0,0.0,0.0,60.0,MA,True
12740,"Barre, VT Micro Area",59958,59958,490,79853,0.0081723873378031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VT,False
12780,"Bartlesville, OK Micro Area",52895,52895,2624,61205,0.0496077133944607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK,False
12860,"Batavia, NY Micro Area",57943,57943,949,72055,0.0163781647481145,72.0,26.0,42.0,72.0,4.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,NY,True
12900,"Batesville, AR Micro Area",38120,38120,1805,56009,0.0473504721930745,22.0,7.0,17.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,AR,True
12940,"Baton Rouge, LA Metro Area",871379,871379,15317,68910,0.0175778851682218,697.0,326.0,626.0,681.0,41.0,56.0,15.0,65.0,5.0,0.0,15.0,1.0,0.0,222.0,LA,True
12980,"Battle Creek, MI Metro Area",133846,133846,5741,60385,0.042892578037446,134.0,62.0,112.0,132.0,16.0,16.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,33.0,MI,True
13020,"Bay City, MI Metro Area",103235,103235,5318,60523,0.0515135370756042,114.0,59.0,94.0,111.0,6.0,8.0,5.0,16.0,0.0,0.0,2.0,0.0,0.0,40.0,MI,True
13060,"Bay City, TX Micro Area",36274,36274,13689,55174,0.3773777361195347,45.0,28.0,34.0,36.0,3.0,10.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,10.0,TX,True
13100,"Beatrice, NE Micro Area",21646,21646,526,64426,0.024300101635406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,False
13140,"Beaumont-Port Arthur, TX Metro Area",396058,396058,55716,65245,0.1406763655828186,394.0,149.0,347.0,387.0,30.0,45.0,7.0,49.0,3.0,1.0,5.0,3.0,1.0,121.0,TX,True
13180,"Beaver Dam, WI Micro Area",88818,88818,4351,73992,0.0489878177846832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WI,False
13220,"Beckley, WV Metro Area",113653,113653,471,52345,0.0041441932901023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WV,False
13260,"Bedford, IN Micro Area",45077,45077,699,65551,0.0155067994764514,60.0,33.0,52.0,58.0,5.0,7.0,3.0,9.0,0.0,0.0,1.0,1.0,0.0,16.0,IN,True
13300,"Beeville, TX Micro Area",31000,31000,17246,56075,0.5563225806451613,13.0,6.0,12.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,TX,True
13340,"Bellefontaine, OH Micro Area",46140,46140,462,69183,0.0100130039011703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OH,False
13380,"Bellingham, WA Metro Area",228432,228432,16266,80989,0.071207186383694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WA,False
13420,"Bemidji, MN Micro Area",46421,46421,634,67257,0.0136576118567027,70.0,42.0,60.0,65.0,4.0,6.0,2.0,14.0,0.0,2.0,1.0,0.0,0.0,19.0,MN,True
13460,"Bend, OR Metro Area",253650,253650,19877,85509,0.0783638872462054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OR,False
13540,"Bennington, VT Micro Area",37312,37312,366,71494,0.0098091766723842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VT,False
13660,"Big Rapids, MI Micro Area",40321,40321,735,57774,0.0182287145656109,21.0,6.0,20.0,21.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,MI,True
13700,"Big Spring, TX Micro Area",33127,33127,12716,71457,0.383856069067528,33.0,13.0,26.0,33.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,TX,True
13740,"Billings, MT Metro Area",187269,187269,8251,74599,0.0440596147787407,308.0,188.0,261.0,304.0,22.0,34.0,11.0,48.0,2.0,5.0,9.0,0.0,2.0,77.0,MT,True
13780,"Binghamton, NY Metro Area",245844,245844,1550,63347,0.0063048111810741,240.0,150.0,183.0,231.0,7.0,10.0,13.0,39.0,5.0,1.0,3.0,1.0,0.0,52.0,NY,True
13820,"Birmingham, AL Metro Area",1181432,1181432,43679,69627,0.0369712349081453,1292.0,599.0,1159.0,1253.0,98.0,153.0,35.0,142.0,7.0,7.0,20.0,0.0,1.0,417.0,AL,True
13860,"Bishop, CA Micro Area",18803,18803,3491,72432,0.185661862468755,72.0,51.0,55.0,69.0,8.0,13.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,22.0,CA,True
13900,"Bismarck, ND Metro Area",134286,134286,1906,83982,0.0141935868221556,110.0,55.0,100.0,110.0,12.0,14.0,5.0,17.0,0.0,1.0,2.0,0.0,0.0,39.0,ND,True
13940,"Blackfoot, ID Micro Area",48993,48993,7334,76842,0.1496948543669503,25.0,11.0,21.0,24.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,ID,True
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",181605,181605,2891,64627,0.0159191652212218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VA,False
14010,"Bloomington, IL Metro Area",170882,170882,7896,78329,0.0462073243524771,255.0,136.0,237.0,253.0,15.0,27.0,12.0,41.0,2.0,0.0,6.0,1.0,3.0,81.0,IL,True
14020,"Bloomington, IN Metro Area",161256,161256,3333,62949,0.0206689983628516,254.0,168.0,194.0,248.0,17.0,19.0,11.0,33.0,3.0,3.0,7.0,1.0,3.0,49.0,IN,True
14100,"Bloomsburg-Berwick, PA Micro Area",65055,65055,1314,61992,0.020198293751441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PA,False
14140,"Bluefield, WV-VA Micro Area",98995,98995,483,46906,0.0048790342946613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VA+WV,False
14180,"Blytheville, AR Micro Area",39749,39749,1698,53428,0.0427180558001459,63.0,31.0,51.0,58.0,2.0,6.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,20.0,AR,True
14220,"Bogalusa, LA Micro Area",45238,45238,386,42776,0.00853264954242,25.0,8.0,22.0,25.0,3.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,10.0,LA,True
14260,"Boise City, ID Metro Area",790640,790640,93332,82694,0.1180461398360821,962.0,532.0,869.0,951.0,75.0,128.0,34.0,139.0,5.0,13.0,37.0,4.0,11.0,279.0,ID,True
14300,"Bonham, TX Micro Area",36525,36525,4069,68377,0.1114031485284052,17.0,5.0,14.0,17.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,TX,True
14380,"Boone, NC Micro Area",54607,54607,1794,51367,0.0328529309429194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,False
14420,"Borger, TX Micro Area",20413,20413,4479,65470,0.2194189976975457,27.0,15.0,22.0,27.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,TX,True
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4917661,4917661,39412,112484,0.0080143791936857,5229.0,3555.0,4202.0,5161.0,241.0,331.0,258.0,845.0,84.0,108.0,225.0,62.0,51.0,774.0,MA+NH,False
14500,"Boulder, CO Metro Area",328317,328317,32317,102772,0.0984323078000834,622.0,409.0,515.0,611.0,55.0,102.0,25.0,71.0,19.0,14.0,30.0,8.0,2.0,82.0,CO,True
14540,"Bowling Green, KY Metro Area",183194,183194,6161,62437,0.0336310141161828,122.0,58.0,104.0,115.0,7.0,10.0,2.0,19.0,0.0,0.0,3.0,0.0,0.0,49.0,KY,True
14580,"Bozeman, MT Metro Area",122194,122194,3642,87454,0.0298050640784326,209.0,147.0,176.0,207.0,20.0,23.0,6.0,37.0,2.0,3.0,7.0,0.0,1.0,54.0,MT,True
14620,"Bradford, PA Micro Area",40149,40149,147,61705,0.0036613614286781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PA,False
14660,"Brainerd, MN Micro Area",97801,97801,1112,69311,0.0113700268913405,98.0,74.0,62.0,92.0,4.0,5.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,34.0,MN,True
14700,"Branson, MO Micro Area",56382,56382,2390,58258,0.0423894150615444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MO,False
14710,"Brattleboro, VT Micro Area",45913,45913,278,68021,0.0060549299762594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VT,False
14720,"Breckenridge, CO Micro Area",38268,38268,5279,102233,0.1379481551165464,164.0,134.0,119.0,158.0,8.0,19.0,2.0,23.0,1.0,2.0,5.0,3.0,1.0,39.0,CO,True
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",276581,276581,14708,98546,0.0531779117148321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WA,False
14780,"Brenham, TX Micro Area",36156,36156,5966,75085,0.165007191060958,49.0,24.0,43.0,47.0,6.0,8.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,17.0,TX,True
14820,"Brevard, NC Micro Area",33243,33243,873,64523,0.0262611677646421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,False
14860,"Bridgeport-Stamford-Danbury, CT Metro Area",947528,947528,22562,111656,0.0238114335407502,903.0,616.0,722.0,863.0,33.0,62.0,29.0,171.0,14.0,11.0,24.0,4.0,3.0,145.0,CT,True
14940,"Brigham City, UT-ID Micro Area",64406,64406,4769,77315,0.074045896345061,76.0,44.0,63.0,75.0,4.0,9.0,3.0,10.0,0.0,0.0,2.0,0.0,0.0,25.0,ID+UT,True
15020,"Brookhaven, MS Micro Area",34830,34830,92,48316,0.0026414010910134,33.0,14.0,25.0,33.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,MS,True
15060,"Brookings, OR Micro Area",23463,23463,1626,64769,0.0693006009461705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OR,False
15100,"Brookings, SD Micro Area",34968,34968,612,67341,0.0175017158544955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SD,False
15180,"Brownsville-Harlingen, TX Metro Area",423192,423192,356487,51334,0.8423765099529291,239.0,115.0,208.0,233.0,11.0,31.0,3.0,31.0,0.0,2.0,2.0,1.0,0.0,86.0,TX,True
15220,"Brownwood, TX Micro Area",38294,38294,7391,55305,0.1930067373478874,38.0,17.0,30.0,37.0,4.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,TX,True
15260,"Brunswick-St. Simons, GA Metro Area",114345,114345,3566,64819,0.031186322095413,161.0,96.0,122.0,159.0,6.0,10.0,3.0,17.0,0.0,1.0,2.0,0.0,0.0,44.0,GA,True
15340,"Bucyrus, OH Micro Area",41767,41767,447,55477,0.0107022290324897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OH,False
15380,"Buffalo-Cheektowaga, NY Metro Area",1161385,1161385,7444,70572,0.0064095885516,1260.0,821.0,1019.0,1239.0,80.0,102.0,59.0,212.0,30.0,17.0,22.0,11.0,8.0,268.0,NY,True
15420,"Burley, ID Micro Area",47087,47087,13376,68214,0.2840699131395077,26.0,11.0,21.0,24.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,ID,True
15460,"Burlington, IA-IL Micro Area",44881,44881,1004,61453,0.0223702680421559,55.0,32.0,38.0,51.0,5.0,4.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,13.0,IA+IL,True
15500,"Burlington, NC Metro Area",174286,174286,15593,64445,0.0894678861182194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,False
15540,"Burlington-South Burlington, VT Metro Area",226603,226603,1102,90911,0.0048631306734685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VT,False
15580,"Butte-Silver Bow, MT Micro Area",35589,35589,1311,57504,0.0368372249852482,60.0,36.0,52.0,59.0,4.0,6.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,MT,True
15620,"Cadillac, MI Micro Area",49024,49024,803,62833,0.0163797323759791,51.0,27.0,36.0,48.0,5.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,MI,True
15660,"Calhoun, GA Micro Area",58336,58336,5046,61997,0.0864989029072956,73.0,36.0,67.0,73.0,5.0,8.0,6.0,5.0,1.0,0.0,2.0,0.0,0.0,24.0,GA,True
15700,"Cambridge, MD Micro Area",32612,32612,518,60495,0.0158837237826566,39.0,24.0,27.0,35.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,MD,True
15740,"Cambridge, OH Micro Area",38283,38283,378,55756,0.0098738343390016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OH,False
15780,"Camden, AR Micro Area",27034,27034,976,52267,0.0361026855071391,8.0,4.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,AR,True
